מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,מאפיין עיקרי,שם נייר ערך,מספר נייר ערך,תאריך רכישה,"מח""מ",סוג הצמדה,מועד פדיון,שיעור ריבית,תשואה לפדיון,ערך נקוב (יחידות),שער נייר הערך,"שווי הוגן (באלפי ש""ח)","עלות מופחתת (באלפי ש""ח)",השיטה שיושמה בדוח הכספי,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
209,12119.0,ערד בקרן פנסיה מקיפה חדשה,ערד 2032 סדרה 8847,8288478.0,2017-02-01,5.5017,צמוד למדד המחירים לצרכן,2032-02-01,0.048,0.0485,16339900.0,121.002181,19771.6354,,,0.006237,0.001764
209,12119.0,ערד בקרן פנסיה מקיפה חדשה,ערד 2029 סדרה 8820,8288201.0,2014-11-02,3.6928,צמוד למדד המחירים לצרכן,2029-11-02,0.048,0.0485,24002738.0,121.080175,29062.5574,,,0.009167,0.002593
209,12119.0,ערד בקרן פנסיה מקיפה חדשה,ערד 2032 סדרה 8852,8288523.0,2017-07-02,5.7859,צמוד למדד המחירים לצרכן,2032-07-02,0.048,0.0485,6870840.0,120.62206,8287.74876,,,0.002614,0.000739
209,12119.0,ערד בקרן פנסיה מקיפה חדשה,ערד 2037 סדרה 8912,8289124.0,2022-09-01,9.185,צמוד למדד המחירים לצרכן,2037-09-01,0.048,0.0485,10464000.0,111.084741,11623.90737,,,0.003666,0.001037
209,12119.0,ערד בקרן פנסיה מקיפה חדשה,ערד 2035 סדרה 8891,8288914.0,2020-11-01,7.96,צמוד למדד המחירים לצרכן,2035-11-01,0.048,0.0485,33867073.0,121.109458,41016.22878,,,0.012938,0.00366
209,12119.0,ערד בקרן פנסיה מקיפה חדשה,ערד 2033 סדרה 8865,8288656.0,2018-08-01,6.5773,צמוד למדד המחירים לצרכן,2033-08-01,0.048,0.0485,953000.0,119.449342,1138.35223,,,0.000359,0.000101
209,12119.0,ערד בקרן פנסיה מקיפה חדשה,ערד 2027 סדרה 8790,8287902.0,2012-05-01,1.5145,צמוד למדד המחירים לצרכן,2027-05-01,0.048,0.0486,3805894.0,124.464415,4736.98371,,,0.001494,0.000422
209,12119.0,ערד בקרן פנסיה מקיפה חדשה,ערד 2028 סדרה 8802,8288023.0,2013-05-01,2.4158,צמוד למדד המחירים לצרכן,2028-05-01,0.048,0.0486,6728558.0,122.903406,8269.62702,,,0.002608,0.000738
209,12119.0,ערד בקרן פנסיה מקיפה חדשה,ערד  2028 סדרה 8799,8287991.0,2013-02-01,2.225,צמוד למדד המחירים לצרכן,2028-02-01,0.048,0.0485,16350859.0,121.487172,19864.19623,,,0.006266,0.001772
209,12119.0,ערד בקרן פנסיה מקיפה חדשה,ערד 2032 סדרה 8857,8288578.0,2017-12-01,6.0602,צמוד למדד המחירים לצרכן,2032-12-01,0.048,0.0485,5773131.0,121.235224,6999.06831,,,0.002207,0.000624
209,12119.0,ערד בקרן פנסיה מקיפה חדשה,ערד 2033 סדרה 8869,8288689.0,2018-12-02,6.7554,צמוד למדד המחירים לצרכן,2033-12-02,0.048,0.0485,28435000.0,119.790408,34062.40264,,,0.010745,0.00304
209,12119.0,ערד בקרן פנסיה מקיפה חדשה,ערד 2033 סדרה 8863,8288634.0,2018-06-01,6.4096,צמוד למדד המחירים לצרכן,2033-06-01,0.048,0.0485,2020000.0,121.114849,2446.51995,,,0.000771,0.000218
209,12119.0,ערד בקרן פנסיה מקיפה חדשה,ערד 2033 סדרה 8867,8288678.0,2018-10-02,6.5882,צמוד למדד המחירים לצרכן,2033-10-02,0.048,0.0485,35884000.0,121.210152,43495.05125,,,0.01372,0.003881
209,12119.0,ערד בקרן פנסיה מקיפה חדשה,ערד 2029 סדרה 8818,8288189.0,2014-09-01,3.6094,צמוד למדד המחירים לצרכן,2029-09-01,0.048,0.0485,14474525.0,118.730606,17185.69128,,,0.005421,0.001533
209,12119.0,ערד בקרן פנסיה מקיפה חדשה,ערד 2035 סדרה 8882,8288829.0,2020-01-01,7.4975,צמוד למדד המחירים לצרכן,2035-01-01,0.048,0.0485,44764133.0,119.325025,53414.81314,,,0.016849,0.004767
209,12119.0,ערד בקרן פנסיה מקיפה חדשה,ערד 2036 סדרה 8904,8289047.0,2021-12-01,8.6449,צמוד למדד המחירים לצרכן,2036-12-01,0.048,0.0485,26861000.0,117.572175,31581.06218,,,0.009962,0.002818
209,12119.0,ערד בקרן פנסיה מקיפה חדשה,ערד 2028 סדרה 8798,8287988.0,2013-01-01,2.1401,צמוד למדד המחירים לצרכן,2028-01-01,0.048,0.0485,4116353.0,122.20055,5030.20601,,,0.001586,0.000448
209,12119.0,ערד בקרן פנסיה מקיפה חדשה,ערד 2037 סדרה 8908,8289081.0,2022-04-01,8.7667,צמוד למדד המחירים לצרכן,2037-04-01,0.048,0.0485,57230396.0,117.23867,67096.15526,,,0.021165,0.005988
209,12119.0,ערד בקרן פנסיה מקיפה חדשה,ערד 2030 סדרה 8829,8288299.0,2015-08-02,4.3455,צמוד למדד המחירים לצרכן,2030-08-02,0.048,0.0485,22923000.0,119.775101,27456.04649,,,0.008661,0.00245
209,12119.0,ערד בקרן פנסיה מקיפה חדשה,ערד 2030 סדרה 8827,8288278.0,2015-06-01,4.1753,צמוד למדד המחירים לצרכן,2030-06-01,0.048,0.0485,27881316.84,121.349149,33833.74076,,,0.010672,0.003019
209,12119.0,ערד בקרן פנסיה מקיפה חדשה,ערד 2033 סדרה 8866,8288667.0,2018-09-02,6.6636,צמוד למדד המחירים לצרכן,2033-09-02,0.048,0.0485,107000.0,118.959472,127.28663,,,4e-05,1.1e-05
209,12119.0,ערד בקרן פנסיה מקיפה חדשה,ערד 2029 סדרה 8814,8288145.0,2014-05-01,3.2731,צמוד למדד המחירים לצרכן,2029-05-01,0.048,0.0486,4190973.0,121.333904,5085.07118,,,0.001604,0.000453
209,12119.0,ערד בקרן פנסיה מקיפה חדשה,ערד 2032 סדרה 8853,8288534.0,2017-08-02,5.8708,צמוד למדד המחירים לצרכן,2032-08-02,0.048,0.0485,35461503.0,120.986173,42903.51554,,,0.013534,0.003829
209,12119.0,ערד בקרן פנסיה מקיפה חדשה,ערד 2036 סדרה 8896,8288969.0,2021-04-01,8.1802,צמוד למדד המחירים לצרכן,2036-04-01,0.048,0.0485,26433587.0,121.342027,32075.05041,,,0.010118,0.002862
209,12119.0,ערד בקרן פנסיה מקיפה חדשה,ערד 2033 סדרה 8858,8288589.0,2018-01-01,6.1447,צמוד למדד המחירים לצרכן,2033-01-01,0.048,0.0485,64666013.0,121.119062,78322.86873,,,0.024707,0.00699
209,12119.0,ערד בקרן פנסיה מקיפה חדשה,ערד 2036 סדרה 8897,8288970.0,2021-05-02,8.2659,צמוד למדד המחירים לצרכן,2036-05-02,0.048,0.0485,68324220.0,120.131369,82078.82119,,,0.025892,0.007325
209,12119.0,ערד בקרן פנסיה מקיפה חדשה,ערד 2026 סדרה 8782,8287823.0,2011-09-01,0.9087,צמוד למדד המחירים לצרכן,2026-09-01,0.048,0.0485,6210081.0,123.338775,7659.43785,,,0.002416,0.000683
209,12119.0,ערד בקרן פנסיה מקיפה חדשה,ערד 2035 סדרה 8883,8288830.0,2020-02-02,7.5852,צמוד למדד המחירים לצרכן,2035-02-02,0.048,0.0485,18335000.0,118.837599,21788.87388,,,0.006873,0.001944
209,12119.0,ערד בקרן פנסיה מקיפה חדשה,ערד 2026 סדרה 8781,8287812.0,2011-08-01,0.8239,צמוד למדד המחירים לצרכן,2026-08-01,0.048,0.0485,4000507.0,123.473014,4939.54659,,,0.001558,0.00044
209,12119.0,ערד בקרן פנסיה מקיפה חדשה,ערד 2029 סדרה 8812,8288123.0,2014-03-02,3.1852,צמוד למדד המחירים לצרכן,2029-03-02,0.048,0.0486,8942416.0,119.53195,10689.04428,,,0.003371,0.000953
209,12119.0,ערד בקרן פנסיה מקיפה חדשה,ערד 2037 סדרה 8911,8289113.0,2022-08-01,9.102,צמוד למדד המחירים לצרכן,2037-08-01,0.048,0.0485,173523983.0,112.79112,195719.64533,,,0.06174,0.017467
209,12119.0,ערד בקרן פנסיה מקיפה חדשה,ערד 2037 סדרה 8907,8289070.0,2022-03-01,8.8928,צמוד למדד המחירים לצרכן,2037-03-01,0.048,0.0485,114584307.0,115.731282,132609.88836,,,0.041832,0.011835
209,12119.0,ערד בקרן פנסיה מקיפה חדשה,ערד 2030 סדרה 8822,8288223.0,2015-01-01,3.8572,צמוד למדד המחירים לצרכן,2030-01-01,0.048,0.0485,29239325.08,120.028442,35095.50635,,,0.01107,0.003132
209,12119.0,ערד בקרן פנסיה מקיפה חדשה,ערד 2036 סדרה 8900,8289003.0,2021-08-01,8.5153,צמוד למדד המחירים לצרכן,2036-08-01,0.048,0.0485,26857000.0,117.796648,31636.64579,,,0.009979,0.002823
209,12119.0,ערד בקרן פנסיה מקיפה חדשה,ערד 2036 סדרה 8902,8289025.0,2021-10-01,8.4778,צמוד למדד המחירים לצרכן,2036-10-01,0.048,0.0485,39835000.0,118.84624,47342.40009,,,0.014934,0.004225
209,12119.0,ערד בקרן פנסיה מקיפה חדשה,ערד 2034 סדרה 8876,8288763.0,2019-07-01,7.1686,צמוד למדד המחירים לצרכן,2034-07-01,0.048,0.0485,4326000.0,118.269048,5116.31905,,,0.001613,0.000456
209,12119.0,ערד בקרן פנסיה מקיפה חדשה,ערד 2034  סדרה 8872,8288720.0,2019-03-01,7.0002,צמוד למדד המחירים לצרכן,2034-03-01,0.048,0.0486,9929017.0,119.209454,11836.32696,,,0.003733,0.001056
209,12119.0,ערד בקרן פנסיה מקיפה חדשה,ערד 2031 סדרה 8836,8288367.0,2016-03-01,4.818,צמוד למדד המחירים לצרכן,2031-03-01,0.048,0.0486,4227304.0,120.888658,5110.3311,,,0.001612,0.000456
209,12119.0,ערד בקרן פנסיה מקיפה חדשה,ערד 2027 סדרה 8788,8287889.0,2012-03-01,1.3816,צמוד למדד המחירים לצרכן,2027-03-01,0.048,0.0487,3895462.0,122.982977,4790.75515,,,0.001511,0.000427
209,12119.0,ערד בקרן פנסיה מקיפה חדשה,ערד 2031 סדרה 8843,8288434.0,2016-10-02,5.1678,צמוד למדד המחירים לצרכן,2031-10-02,0.048,0.0486,13895947.0,122.535416,17027.45649,,,0.005371,0.001519
209,12119.0,ערד בקרן פנסיה מקיפה חדשה,ערד 2030 סדרה 8826,8288267.0,2015-05-01,4.0907,צמוד למדד המחירים לצרכן,2030-05-01,0.048,0.0486,5572530.0,122.566799,6830.07166,,,0.002154,0.000609
209,12119.0,ערד בקרן פנסיה מקיפה חדשה,ערד 2037 סדרה 8905,8289058.0,2022-01-02,8.7322,צמוד למדד המחירים לצרכן,2037-01-02,0.048,0.0485,60971841.0,117.208275,71464.04317,,,0.022543,0.006378
209,12119.0,ערד בקרן פנסיה מקיפה חדשה,ערד 2030 סדרה 8824,8288245.0,2015-03-01,4.0197,צמוד למדד המחירים לצרכן,2030-03-01,0.048,0.0486,18904634.05,120.157482,22715.3323,,,0.007165,0.002027
209,12119.0,ערד בקרן פנסיה מקיפה חדשה,ערד 2033 סדרה 8864,8288645.0,2018-07-01,6.4923,צמוד למדד המחירים לצרכן,2033-07-01,0.048,0.0485,14346000.0,120.041916,17221.2134,,,0.005432,0.001536
209,12119.0,ערד בקרן פנסיה מקיפה חדשה,ערד 2031 סדרה 8841,8288412.0,2016-08-01,5.1225,צמוד למדד המחירים לצרכן,2031-08-01,0.048,0.0485,13599167.0,120.757988,16422.08047,,,0.00518,0.001465
209,12119.0,ערד בקרן פנסיה מקיפה חדשה,ערד 2034 סדרה 8880,8288807.0,2019-11-01,7.3302,צמוד למדד המחירים לצרכן,2034-11-01,0.048,0.0485,103347639.66,120.26843,124294.58437,,,0.039209,0.011093
209,12119.0,ערד בקרן פנסיה מקיפה חדשה,ערד 2032 סדרה 8851,8288512.0,2017-06-01,5.7005,צמוד למדד המחירים לצרכן,2032-06-01,0.048,0.0485,1955937.0,121.597857,2378.37747,,,0.00075,0.000212
209,12119.0,ערד בקרן פנסיה מקיפה חדשה,ערד 2036 סדרה 8903,8289036.0,2021-11-01,8.5622,צמוד למדד המחירים לצרכן,2036-11-01,0.048,0.0485,97838231.0,118.150513,115596.37237,,,0.036465,0.010316
209,12119.0,ערד בקרן פנסיה מקיפה חדשה,ערד 2036 סדרה 8901,8289014.0,2021-09-01,8.5984,צמוד למדד המחירים לצרכן,2036-09-01,0.048,0.0485,25310258.0,116.868133,29579.62608,,,0.00933,0.002639
209,12119.0,ערד בקרן פנסיה מקיפה חדשה,ערד 2032 סדרה 8850,8288501.0,2017-05-01,5.616,צמוד למדד המחירים לצרכן,2032-05-01,0.048,0.0485,11873524.04,122.320548,14523.7597,,,0.004581,0.001296
209,12119.0,ערד בקרן פנסיה מקיפה חדשה,ערד 2027 סדרה 8786,8287867.0,2012-01-01,1.2198,צמוד למדד המחירים לצרכן,2027-01-01,0.048,0.0484,967722.0,123.963146,1199.61864,,,0.000378,0.000107
209,12119.0,ערד בקרן פנסיה מקיפה חדשה,ערד 2026 סדרה 8779,8287793.0,2011-06-01,0.6568,צמוד למדד המחירים לצרכן,2026-06-01,0.048,0.0485,1476745.0,125.539503,1853.89834,,,0.000584,0.000165
209,12119.0,ערד בקרן פנסיה מקיפה חדשה,ערד 2027 סדרה 8791,8287913.0,2012-06-01,1.5993,צמוד למדד המחירים לצרכן,2027-06-01,0.048,0.0486,3696184.0,122.916637,4543.2251,,,0.001433,0.000405
209,12119.0,ערד בקרן פנסיה מקיפה חדשה,ערד 2033 סדרה 8862,8288623.0,2018-05-01,6.3252,צמוד למדד המחירים לצרכן,2033-05-01,0.048,0.0485,1061000.0,122.076651,1295.23327,,,0.000408,0.000115
209,12119.0,ערד בקרן פנסיה מקיפה חדשה,ערד 2030 סדרה 8823,8288234.0,2015-02-01,3.9422,צמוד למדד המחירים לצרכן,2030-02-01,0.048,0.0485,10614979.0,119.553958,12690.62761,,,0.004003,0.001132
209,12119.0,ערד בקרן פנסיה מקיפה חדשה,ערד 2035 סדרה 8892,8288925.0,2020-12-01,8.0429,צמוד למדד המחירים לצרכן,2035-12-01,0.048,0.0485,239002299.04,120.274009,287457.64858,,,0.090679,0.025655
209,12119.0,ערד בקרן פנסיה מקיפה חדשה,ערד 2029 סדרה 8821,8288212.0,2014-12-01,3.7725,צמוד למדד המחירים לצרכן,2029-12-01,0.048,0.0485,18681702.04,120.267328,22467.98387,,,0.007087,0.002005
209,12119.0,ערד בקרן פנסיה מקיפה חדשה,ערד 2035 סדרה 8888,8288881.0,2020-08-02,7.9013,צמוד למדד המחירים לצרכן,2035-08-02,0.048,0.0485,87374496.0,119.788285,104664.41109,,,0.033016,0.009341
209,12119.0,ערד בקרן פנסיה מקיפה חדשה,ערד 2035 סדרה 8889,8288892.0,2020-09-01,7.9818,צמוד למדד המחירים לצרכן,2035-09-01,0.048,0.0485,37028706.0,119.090487,44097.66636,,,0.01391,0.003935
209,12119.0,ערד בקרן פנסיה מקיפה חדשה,ערד 2036 סדרה 8898,8288981.0,2021-06-01,8.3475,צמוד למדד המחירים לצרכן,2036-06-01,0.048,0.0485,58703805.0,119.320029,70045.39739,,,0.022096,0.006251
209,12119.0,ערד בקרן פנסיה מקיפה חדשה,ערד 2034סדרה 8879,8288796.0,2019-10-02,7.2486,צמוד למדד המחירים לצרכן,2034-10-02,0.048,0.0485,47423026.86,120.485338,57137.79449,,,0.018024,0.005099
209,12119.0,ערד בקרן פנסיה מקיפה חדשה,ערד 2026 סדרה 8776,8287768.0,2011-03-01,0.4164,צמוד למדד המחירים לצרכן,2026-03-01,0.048,0.0488,1944651.0,125.394416,2438.48376,,,0.000769,0.000217
209,12119.0,ערד בקרן פנסיה מקיפה חדשה,ערד 2027 סדרה 8794,8287945.0,2012-09-02,1.8538,צמוד למדד המחירים לצרכן,2027-09-02,0.048,0.0485,3847739.0,121.679861,4681.92347,,,0.001476,0.000417
209,12119.0,ערד בקרן פנסיה מקיפה חדשה,ערד 2027 סדרה 8789,8287891.0,2012-04-01,1.4322,צמוד למדד המחירים לצרכן,2027-04-01,0.048,0.0486,7215976.0,125.433163,9051.22694,,,0.002855,0.000807
209,12119.0,ערד בקרן פנסיה מקיפה חדשה,ערד 2030 סדרה 8833,8288334.0,2015-12-01,4.5708,צמוד למדד המחירים לצרכן,2030-12-01,0.048,0.0485,16561465.0,121.105485,20056.84256,,,0.006326,0.00179
209,12119.0,ערד בקרן פנסיה מקיפה חדשה,ערד 2031 סדרה 8839,8288390.0,2016-06-01,4.955,צמוד למדד המחירים לצרכן,2031-06-01,0.048,0.0485,1017137.0,122.457927,1245.56488,,,0.000392,0.000111
209,12119.0,ערד בקרן פנסיה מקיפה חדשה,ערד 2037 סדרה 8906,8289069.0,2022-02-01,8.8159,צמוד למדד המחירים לצרכן,2037-02-02,0.048,0.0485,55586000.0,116.418904,64712.6121,,,0.020413,0.005775
