מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,נכס בסיס (כתב אופציה),ענף מסחר,תאריך פקיעה,בעל עניין/צד קשור,תאריך רכישה,מטבע פעילות,סוג גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,שער מימוש,יחס המרה,ערך נקוב (יחידות),שער נייר הערך,שער חליפין,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
209,12119.0,EverPhone Finance GmbH,7344.0,פנימי,EverPhone כתב אופציה,10048490.0,טיקר,"חו""ל",גרמניה,לא סחיר,33916.0,Diversified Telecommunication Services,2026-08-12,לא,2021-12-31,EUR,אחר,אי-תלות,2025-09-30,0.0,1.0,35.25,46066.0,3.8807,63.02428,1.0,5e-06
209,2188.0,EverPhone Finance GmbH,7344.0,פנימי,EverPhone כתב אופציה,10048490.0,טיקר,"חו""ל",גרמניה,לא סחיר,33916.0,Diversified Telecommunication Services,2026-08-12,לא,2021-12-31,EUR,אחר,אי-תלות,2025-09-30,0.0,1.0,1.56,46066.0,3.8807,2.78705,1.0,1.3e-05
209,9974.0,EverPhone Finance GmbH,7344.0,פנימי,EverPhone כתב אופציה,10048490.0,טיקר,"חו""ל",גרמניה,לא סחיר,33916.0,Diversified Telecommunication Services,2026-08-12,לא,2021-12-31,EUR,אחר,אי-תלות,2025-09-30,0.0,1.0,333.76,46066.0,3.8807,596.65846,1.0,1e-05
209,9975.0,EverPhone Finance GmbH,7344.0,פנימי,EverPhone כתב אופציה,10048490.0,טיקר,"חו""ל",גרמניה,לא סחיר,33916.0,Diversified Telecommunication Services,2026-08-12,לא,2021-12-31,EUR,אחר,אי-תלות,2025-09-30,0.0,1.0,70.97,46066.0,3.8807,126.87583,1.0,9e-06
209,9976.0,EverPhone Finance GmbH,7344.0,פנימי,EverPhone כתב אופציה,10048490.0,טיקר,"חו""ל",גרמניה,לא סחיר,33916.0,Diversified Telecommunication Services,2026-08-12,לא,2021-12-31,EUR,אחר,אי-תלות,2025-09-30,0.0,1.0,31.08,46066.0,3.8807,55.56854,1.0,9e-06
325,325.0,EverPhone Finance GmbH,7344.0,פנימי,EverPhone כתב אופציה,10048490.0,טיקר,"חו""ל",גרמניה,לא סחיר,33916.0,Diversified Telecommunication Services,2026-08-12,לא,2021-12-31,EUR,אחר,אי-תלות,2025-09-30,0.0,1.0,1.95,46066.0,3.8807,3.49032,0.999999,5e-06
347,347.0,EverPhone Finance GmbH,7344.0,פנימי,EverPhone כתב אופציה,10048490.0,טיקר,"חו""ל",גרמניה,לא סחיר,33916.0,Diversified Telecommunication Services,2026-08-12,לא,2021-12-31,EUR,אחר,אי-תלות,2025-09-30,0.0,1.0,15.21,46066.0,3.8807,27.18027,0.999999,1.3e-05
389,389.0,EverPhone Finance GmbH,7344.0,פנימי,EverPhone כתב אופציה,10048490.0,טיקר,"חו""ל",גרמניה,לא סחיר,33916.0,Diversified Telecommunication Services,2026-08-12,לא,2021-12-31,EUR,אחר,אי-תלות,2025-09-30,0.0,1.0,5.34,46066.0,3.8807,9.54115,0.999999,1.1e-05
671,12120.0,EverPhone Finance GmbH,7344.0,פנימי,EverPhone כתב אופציה,10048490.0,טיקר,"חו""ל",גרמניה,לא סחיר,33916.0,Diversified Telecommunication Services,2026-08-12,לא,2021-12-31,EUR,אחר,אי-תלות,2025-09-30,0.0,1.0,4.38,46066.0,3.8807,7.8337,1.0,2e-05
671,7234.0,EverPhone Finance GmbH,7344.0,פנימי,EverPhone כתב אופציה,10048490.0,טיקר,"חו""ל",גרמניה,לא סחיר,33916.0,Diversified Telecommunication Services,2026-08-12,לא,2021-12-31,EUR,אחר,אי-תלות,2025-09-30,0.0,1.0,17.71,46066.0,3.8807,31.6683,1.0,1.1e-05
671,7235.0,EverPhone Finance GmbH,7344.0,פנימי,EverPhone כתב אופציה,10048490.0,טיקר,"חו""ל",גרמניה,לא סחיר,33916.0,Diversified Telecommunication Services,2026-08-12,לא,2021-12-31,EUR,אחר,אי-תלות,2025-09-30,0.0,1.0,3.1,46066.0,3.8807,5.5379,1.0,8e-06
671,7236.0,EverPhone Finance GmbH,7344.0,פנימי,EverPhone כתב אופציה,10048490.0,טיקר,"חו""ל",גרמניה,לא סחיר,33916.0,Diversified Telecommunication Services,2026-08-12,לא,2021-12-31,EUR,אחר,אי-תלות,2025-09-30,0.0,1.0,2.38,46066.0,3.8807,4.24687,1.0,2e-05
209,13335.0,,,,,,,,,,,,,,,,,,,,,,,,,,
209,14285.0,,,,,,,,,,,,,,,,,,,,,,,,,,
209,14286.0,,,,,,,,,,,,,,,,,,,,,,,,,,
209,15217.0,,,,,,,,,,,,,,,,,,,,,,,,,,
209,15218.0,,,,,,,,,,,,,,,,,,,,,,,,,,
209,15219.0,,,,,,,,,,,,,,,,,,,,,,,,,,
209,2187.0,,,,,,,,,,,,,,,,,,,,,,,,,,
209,2189.0,,,,,,,,,,,,,,,,,,,,,,,,,,
209,2201.0,,,,,,,,,,,,,,,,,,,,,,,,,,
209,9979.0,,,,,,,,,,,,,,,,,,,,,,,,,,
209,9984.0,,,,,,,,,,,,,,,,,,,,,,,,,,
209,9987.0,,,,,,,,,,,,,,,,,,,,,,,,,,
671,13465.0,,,,,,,,,,,,,,,,,,,,,,,,,,
671,14082.0,,,,,,,,,,,,,,,,,,,,,,,,,,
671,14287.0,,,,,,,,,,,,,,,,,,,,,,,,,,
671,14288.0,,,,,,,,,,,,,,,,,,,,,,,,,,
671,15220.0,,,,,,,,,,,,,,,,,,,,,,,,,,
671,15221.0,,,,,,,,,,,,,,,,,,,,,,,,,,
671,15222.0,,,,,,,,,,,,,,,,,,,,,,,,,,
671,15223.0,,,,,,,,,,,,,,,,,,,,,,,,,,
671,15224.0,,,,,,,,,,,,,,,,,,,,,,,,,,
671,2202.0,,,,,,,,,,,,,,,,,,,,,,,,,,
671,8318.0,,,,,,,,,,,,,,,,,,,,,,,,,,
671,8319.0,,,,,,,,,,,,,,,,,,,,,,,,,,
671,8320.0,,,,,,,,,,,,,,,,,,,,,,,,,,
סיום מידע טבלה,,,,,,,,,,,,,,,,,,,,,,,,,,,
