מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,בעל עניין/צד קשור,נכס בסיס,תאריך רכישה,דירוג,שם מדרג,דירוג נייר הערך/המנפיק,מטבע פעילות,"מח""מ",שיעור ריבית,תשואה לפדיון,סוג גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
209,12119.0,בנק ירושלים בע''מ,520025636.0,ח.פ.,בנק ירושלים-CLN -משכנתאות,93145103,טיקר,שכבת חוב (Tranche) בדרוג BB+ ומטה,ישראל,ישראל,לא,משכנתאות או תיקי משכנתאות,2016-12-30,NR,NR,NR,ILS,4.9,0.081,0.0601,חברת ציטוט,אי-תלות,2025-09-30,490807.91,1.0,108.77,533.85176,1.0,4.7e-05
209,2188.0,בנק ירושלים בע''מ,520025636.0,ח.פ.,בנק ירושלים-CLN -משכנתאות,93145103,טיקר,שכבת חוב (Tranche) בדרוג BB+ ומטה,ישראל,ישראל,לא,משכנתאות או תיקי משכנתאות,2016-12-30,NR,NR,NR,ILS,4.9,0.081,0.0601,חברת ציטוט,אי-תלות,2025-09-30,21704.41,1.0,108.77,23.60789,1.0,0.000116
209,9974.0,בנק ירושלים בע''מ,520025636.0,ח.פ.,בנק ירושלים-CLN -משכנתאות,93145103,טיקר,שכבת חוב (Tranche) בדרוג BB+ ומטה,ישראל,ישראל,לא,משכנתאות או תיקי משכנתאות,2016-12-30,NR,NR,NR,ILS,4.9,0.081,0.0601,חברת ציטוט,אי-תלות,2025-09-30,4646537.64,1.0,108.77,5054.03899,0.999999,8.6e-05
209,9974.0,PLENUM,460.0,פנימי,PLENUM ADMIRAL,XS0201165015,ISIN,שכבת הון (Equity Tranch),"חו""ל",גרמניה,לא,מניות לרבות מדדי מניות,2024-09-30,NR,NR,NR,USD,0.0,0.0,0.0,חברת ציטוט,אי-תלות,2025-09-30,50000.0,3.306,1e-05,1e-05,0.0,0.0
209,9975.0,בנק ירושלים בע''מ,520025636.0,ח.פ.,בנק ירושלים-CLN -משכנתאות,93145103,טיקר,שכבת חוב (Tranche) בדרוג BB+ ומטה,ישראל,ישראל,לא,משכנתאות או תיקי משכנתאות,2016-12-30,NR,NR,NR,ILS,4.9,0.081,0.0601,חברת ציטוט,אי-תלות,2025-09-30,988058.25,1.0,108.77,1074.71096,1.0,7.8e-05
209,9976.0,בנק ירושלים בע''מ,520025636.0,ח.פ.,בנק ירושלים-CLN -משכנתאות,93145103,טיקר,שכבת חוב (Tranche) בדרוג BB+ ומטה,ישראל,ישראל,לא,משכנתאות או תיקי משכנתאות,2016-12-30,NR,NR,NR,ILS,4.9,0.081,0.0601,חברת ציטוט,אי-תלות,2025-09-30,432745.57,1.0,108.77,470.69736,1.0,8.3e-05
325,325.0,בנק ירושלים בע''מ,520025636.0,ח.פ.,בנק ירושלים-CLN -משכנתאות,93145103,טיקר,שכבת חוב (Tranche) בדרוג BB+ ומטה,ישראל,ישראל,לא,משכנתאות או תיקי משכנתאות,2016-12-30,NR,NR,NR,ILS,4.9,0.081,0.0601,חברת ציטוט,אי-תלות,2025-09-30,14373.26,1.0,108.77,15.63379,1.0,2.7e-05
347,347.0,בנק ירושלים בע''מ,520025636.0,ח.פ.,בנק ירושלים-CLN -משכנתאות,93145103,טיקר,שכבת חוב (Tranche) בדרוג BB+ ומטה,ישראל,ישראל,לא,משכנתאות או תיקי משכנתאות,2016-12-30,NR,NR,NR,ILS,4.9,0.081,0.0601,חברת ציטוט,אי-תלות,2025-09-30,211669.06,1.0,108.77,230.23245,0.999999,0.000115
347,347.0,PLENUM,460.0,פנימי,PLENUM ADMIRAL,XS0201165015,ISIN,שכבת הון (Equity Tranch),"חו""ל",גרמניה,לא,מניות לרבות מדדי מניות,2024-09-30,NR,NR,NR,USD,0.0,0.0,0.0,חברת ציטוט,אי-תלות,2025-09-30,50000.0,3.306,1e-05,1e-05,0.0,0.0
389,389.0,בנק ירושלים בע''מ,520025636.0,ח.פ.,בנק ירושלים-CLN -משכנתאות,93145103,טיקר,שכבת חוב (Tranche) בדרוג BB+ ומטה,ישראל,ישראל,לא,משכנתאות או תיקי משכנתאות,2016-12-30,NR,NR,NR,ILS,4.9,0.081,0.0601,חברת ציטוט,אי-תלות,2025-09-30,27804.02,1.0,108.77,30.24244,1.0,3.8e-05
671,12120.0,בנק ירושלים בע''מ,520025636.0,ח.פ.,בנק ירושלים-CLN -משכנתאות,93145103,טיקר,שכבת חוב (Tranche) בדרוג BB+ ומטה,ישראל,ישראל,לא,משכנתאות או תיקי משכנתאות,2016-12-30,NR,NR,NR,ILS,4.9,0.081,0.0601,חברת ציטוט,אי-תלות,2025-09-30,61005.75,1.0,108.77,66.35595,1.0,0.000176
671,7234.0,בנק ירושלים בע''מ,520025636.0,ח.פ.,בנק ירושלים-CLN -משכנתאות,93145103,טיקר,שכבת חוב (Tranche) בדרוג BB+ ומטה,ישראל,ישראל,לא,משכנתאות או תיקי משכנתאות,2016-12-30,NR,NR,NR,ILS,4.9,0.081,0.0601,חברת ציטוט,אי-תלות,2025-09-30,246620.08,1.0,108.77,268.24866,1.0,9.5e-05
671,7235.0,בנק ירושלים בע''מ,520025636.0,ח.פ.,בנק ירושלים-CLN -משכנתאות,93145103,טיקר,שכבת חוב (Tranche) בדרוג BB+ ומטה,ישראל,ישראל,לא,משכנתאות או תיקי משכנתאות,2016-12-30,NR,NR,NR,ILS,4.9,0.081,0.0601,חברת ציטוט,אי-תלות,2025-09-30,43126.94,1.0,108.77,46.90917,1.0,7.4e-05
