מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,ענף מסחר,בעל עניין/צד קשור,תאריך רכישה,מטבע פעילות,סוג גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,תאריך אחרון בו נבחנה בפועל ירידת ערך,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
209,12119.0,"פויכטונגר השקעות 1984 בע""מ",511015448,ח.פ.,פויכטוונגר השק,IL0010853237,ISIN,אחר,ישראל,ישראל,סחיר,השקעה ואחזקות,לא,2019-02-17,ILS,אחר,אי-תלות,2025-09-30,2025-09-30,54.56,1.0,1e-06,0.0,0.0,0.0
209,12119.0,בוימלגרין,520038555,ח.פ.,בוימלגרין,IL0004020165,ISIN,אחר,ישראל,ישראל,לא סחיר,השקעה ואחזקות,לא,2021-05-05,ILS,אחר,אי-תלות,2025-09-30,2025-09-30,5566.21,1.0,1.0,0.05566,0.0,0.0
209,12119.0,נפטא חיפושים - שותפות מוגבלת,550011373,ח.פ.,נפטא חיפושים חייבים לקבל,IL0006430156,ISIN,מניות לא סחירות,ישראל,ישראל,לא סחיר,חיפושי נפט וגז,לא,2017-06-06,ILS,מומחה בלתי תלוי,אי-תלות,2025-09-30,2025-09-30,1510.47,1.0,100.0,1.51047,2.5e-05,0.0
209,12119.0,סיאלו,513310235,ח.פ.,סיאלו,IL0011020455,ISIN,אחר,ישראל,ישראל,לא סחיר,מכשור רפואי,לא,2009-12-09,ILS,אחר,אי-תלות,2025-09-30,2025-09-30,9801.74,1.0,18.3,1.79372,3e-05,0.0
209,12119.0,הסנה,520033366,ח.פ.,הסנה מ ר 1 ש ח,IL0006970110,ISIN,אחר,ישראל,ישראל,לא סחיר,ביטוח,לא,2009-01-01,ILS,אחר,אי-תלות,2025-09-30,2025-09-30,41.21,1.0,0.0,0.0,0.0,0.0
209,12119.0,"מאיר חברה למכוניות ומשאיות בע""מ",510485261,ח.פ.,קבוצת מאיר,34027,פנימי,מניות לא סחירות,ישראל,ישראל,לא סחיר,השקעה ואחזקות,לא,2023-05-15,ILS,מומחה בלתי תלוי,אי-תלות,2025-09-30,2025-09-30,3954735.34,1.0,116.2412,4597.0348,0.078345,0.00041
209,12119.0,"שלא""ג תעשיות בע""מ",513507574,פנימי,שלאג,34066,פנימי,מניות לא סחירות,ישראל,ישראל,לא סחיר,Consumer Staples Distribution & Retail,לא,2023-07-31,ILS,מומחה בלתי תלוי,אי-תלות,2025-09-30,2025-09-30,1407562.43,1.0,121.7091,1713.13284,0.029196,0.000152
209,12119.0,meshek energy,34080,פנימי,meshek energy 250,34080,פנימי,מניות בכורה לא סחירות,ישראל,ישראל,לא סחיר,אנרגיה מתחדשת,לא,2024-04-24,ILS,גורם תלוי/פנימי,קיימת תלות,2025-09-30,2025-09-30,2704125.86,1.0,106.277,2873.86384,0.048978,0.000256
209,12119.0,PowerGen,10128,פנימי,PowerGen,34095,פנימי,מניות בכורה לא סחירות,ישראל,ישראל,לא סחיר,אנרגיה מתחדשת,לא,2024-01-24,ILS,גורם תלוי/פנימי,קיימת תלות,2025-09-30,2025-09-30,4549202.07,1.0,123.9296,5637.80792,0.096083,0.000503
209,12119.0,Accesibe III - Round B-2,34116,פנימי,Accesibe III - Round B-2,34116,פנימי,מניות לא סחירות,ישראל,"ארה""ב",לא סחיר,תוכנה ואינטרנט,לא,2022-12-14,USD,מומחה בלתי תלוי,אי-תלות,2025-09-30,2025-09-30,140016.48,3.306,155.1143,718.01567,0.012236,6.4e-05
