מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,מאפיין עיקרי,מספר עסקה (רגל 1),מטבע פעילות (רגל 1),שער חליפין,ערך נקוב (רגל 1),שווי הוגן במטבע הנסחר (רגל 1),שיעור מנכסי אפיק ההשקעה (רגל 1),שיעור מסך נכסי ההשקעה (רגל 1),מספר עסקה (רגל 2),מטבע פעילות (רגל 2),שער חליפין.1,ערך נקוב (רגל 2),שווי הוגן במטבע הנסחר (רגל 2),שיעור מנכסי ההשקעה (רגל 2),שיעור מסך אפיק ההשקעה (רגל 2),"שווי הוגן (נטו  באלפי ש""ח)","ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סוג הנכס,פקטור מוביל,פקטור נוסף,טיקר,בעל עניין/צד קשור,מועד ההתקשרות בעסקה,מועד סיום חוזי,תדירות Reset,סוג הסליקה,נספח התחשבנות בטחונות - CSA,גורם מצטט,ריבית עוגן,תקופת ריבית עוגן,שיעור ריבית עוגן,שער נכס הבסיס במועד ההתקשרות בעסקה,שער הנגזר במועד ההתקשרות בעסקה,האם קיים קנס בגין יציאה מוקדמת,שיעור הקנס בגין יציאה מוקדמת,צד נגדי - Counterparty,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
209,12119.0,Funded Forward,100095046.0,USD,3.306,-2524682.44,-2375.92276,0.164995,-0.0007,100095047.0,ILS,1.0,8941667.79,8500.00027,0.000758,-0.178548,645.19963,ישראל,ישראל,"מט""ח",אחר,"מט""ח/₪",USDILS,לא,2024-07-09,2027-07-12,ללא,Delivery,קיים חוזה,גורם אחר,ללא,ללא,,3.673,,,,CITIUS33,-0.013552,5.7e-05
209,12119.0,Funded Forward,100111648.0,USD,3.306,970509.42,959.36469,-0.066623,0.000283,100111649.0,ILS,1.0,-3614177.07,-3574.44485,-0.000319,0.075083,-402.7852,ישראל,ישראל,"מט""ח",אחר,"מט""ח/₪",USDILS,לא,2025-04-10,2026-01-14,ללא,Delivery,קיים חוזה,גורם אחר,ללא,ללא,,3.757,,,,GSILGB2X,0.00846,-3.5e-05
209,12119.0,Funded Forward,100114644.0,USD,3.306,-485254.71,-458.18861,0.031818,-0.000135,100114645.0,ILS,1.0,1677040.27,1597.99966,0.000142,-0.033567,83.22812,ישראל,ישראל,"מט""ח",אחר,"מט""ח/₪",USDILS,לא,2025-05-29,2027-06-03,ללא,Delivery,קיים חוזה,גורם אחר,ללא,ללא,,3.512,,,,CITIUS33,-0.001748,7e-06
209,12119.0,Funded Forward,100117126.0,EUR,3.8807,15201.62,15.15486,-0.001235,5e-06,100117127.0,USD,3.306,-17922.41,-17.80799,-5e-06,0.001236,-0.06174,ישראל,ישראל,"מט""ח",אחר,"מט""ח/מט""ח",EURUSD,לא,2025-07-14,2025-11-26,ללא,Delivery,קיים חוזה,גורם אחר,ללא,ללא,,3.9329,,,,POALILIT,1e-06,0.0
209,12119.0,Funded Forward,100104224.0,EUR,3.8807,-1978368.47,-1972.28304,0.160774,-0.000683,100104225.0,USD,3.306,2124627.27,2111.06334,0.000622,-0.146602,-674.6634,ישראל,ישראל,"מט""ח",אחר,"מט""ח/מט""ח",EURUSD,לא,2024-12-05,2025-11-26,ללא,Delivery,קיים חוזה,גורם אחר,ללא,ללא,,3.7929,,,,CITIUS33,0.014171,-6e-05
209,12119.0,Funded Forward,100113484.0,USD,3.306,-7010972.79,-6960.29981,0.483357,-0.002053,100113485.0,ILS,1.0,24860909.5,24684.21781,0.002201,-0.51851,1673.46664,ישראל,ישראל,"מט""ח",אחר,"מט""ח/₪",USDILS,לא,2025-05-14,2025-12-04,ללא,Delivery,קיים חוזה,גורם אחר,ללא,ללא,,3.559,,,,POALILIT,-0.035152,0.000149
209,12119.0,Funded Forward,100114338.0,USD,3.306,-388203.77,-385.72669,0.026786,-0.000113,100114339.0,ILS,1.0,1368806.48,1360.19093,0.000121,-0.028571,84.97848,ישראל,ישראל,"מט""ח",אחר,"מט""ח/₪",USDILS,לא,2025-05-27,2025-11-26,ללא,Delivery,קיים חוזה,גורם אחר,ללא,ללא,,3.537,,,,CITIUS33,-0.001785,7e-06
209,12119.0,Funded Forward,100117758.0,USD,3.306,-262444.03,-257.96917,0.017914,-7.6e-05,100117759.0,ILS,1.0,877612.85,863.67071,7.7e-05,-0.018142,10.82463,ישראל,ישראל,"מט""ח",אחר,"מט""ח/₪",USDILS,לא,2025-07-28,2026-03-11,ללא,Delivery,קיים חוזה,גורם אחר,ללא,ללא,,3.356,,,,CITIUS33,-0.000227,0.0
209,12119.0,Funded Forward,100092922.0,USD,3.306,-179334.97,-174.76028,0.012136,-5.1e-05,100092923.0,ILS,1.0,641050.79,626.31328,5.5e-05,-0.013156,48.5558,ישראל,ישראל,"מט""ח",אחר,"מט""ח/₪",USDILS,לא,2024-06-04,2026-06-08,ללא,Delivery,קיים חוזה,גורם אחר,ללא,ללא,,3.688,,,,LUMIILIT,-0.001019,4e-06
209,12119.0,Funded Forward,100110526.0,AUD,2.1849,194101.88,193.12171,-0.008863,3.7e-05,100110527.0,USD,3.306,-122915.02,-122.22227,-3.6e-05,0.008487,17.88482,ישראל,ישראל,"מט""ח",אחר,"מט""ח/מט""ח",AUDUSD,לא,2025-03-25,2025-11-19,ללא,Delivery,קיים חוזה,גורם אחר,ללא,ללא,,2.3165,,,,POALILIT,-0.000375,1e-06
209,12119.0,Funded Forward,100115258.0,USD,3.306,-616273.48,-600.55283,0.041705,-0.000177,100115259.0,ILS,1.0,2138468.98,2089.30641,0.000186,-0.043887,103.87875,ישראל,ישראל,"מט""ח",אחר,"מט""ח/₪",USDILS,לא,2025-06-10,2026-06-08,ללא,Delivery,קיים חוזה,גורם אחר,ללא,ללא,,3.495,,,,CITIUS33,-0.002182,9e-06
209,12119.0,Funded Forward,100117610.0,EUR,3.8807,87345.85,87.08173,-0.007098,3e-05,100117611.0,USD,3.306,-103478.63,-102.82902,-3e-05,0.00714,-2.01466,ישראל,ישראל,"מט""ח",אחר,"מט""ח/מט""ח",EURUSD,לא,2025-07-24,2025-11-25,ללא,Delivery,קיים חוזה,גורם אחר,ללא,ללא,,3.9261,,,,MIZBILIT,4.2e-05,0.0
209,12119.0,Funded Forward,100108210.0,EUR,3.8807,-625309.37,-623.38592,0.050816,-0.000215,100108211.0,USD,3.306,665673.09,661.42333,0.000195,-0.045932,-232.50823,ישראל,ישראל,"מט""ח",אחר,"מט""ח/מט""ח",EURUSD,לא,2025-02-17,2025-11-26,ללא,Delivery,קיים חוזה,גורם אחר,ללא,ללא,,3.7272,,,,POALILIT,0.004884,-2e-05
209,12119.0,Funded Forward,100113396.0,USD,3.306,-970509.42,-952.53495,0.066148,-0.000281,100113397.0,CHF,4.1427,786937.56,787.78937,0.000291,-0.068553,114.49448,ישראל,ישראל,"מט""ח",אחר,"מט""ח/מט""ח",USDCHF,לא,2025-05-13,2026-03-26,ללא,Delivery,קיים חוזה,גורם אחר,ללא,ללא,,3.576,,,,CITIUS33,-0.002405,1e-05
209,12119.0,Funded Forward,100115584.0,EUR,3.8807,-1211800.0,-1204.62128,0.098197,-0.000417,100115585.0,USD,3.306,1425300.98,1407.90915,0.000415,-0.097772,-20.22614,ישראל,ישראל,"מט""ח",אחר,"מט""ח/מט""ח",EURUSD,לא,2025-06-12,2026-01-21,ללא,Delivery,קיים חוזה,גורם אחר,ללא,ללא,,4.1436,,,,POALILIT,0.000424,-1e-06
209,12119.0,Funded Forward,100118710.0,USD,3.306,-48900.0,-47.74295,0.003315,-1.4e-05,100118711.0,CHF,4.1427,38388.95,38.44088,1.4e-05,-0.003345,1.41085,ישראל,ישראל,"מט""ח",אחר,"מט""ח/מט""ח",USDCHF,לא,2025-08-12,2026-05-19,ללא,Delivery,קיים חוזה,גורם אחר,ללא,ללא,,3.429,,,,POALILIT,-2.9e-05,0.0
209,12119.0,Funded Forward,100103862.0,USD,3.306,-1045261.49,-1038.59182,0.072124,-0.000306,100103863.0,ILS,1.0,3773393.97,3749.64344,0.000333,-0.078763,316.05888,ישראל,ישראל,"מט""ח",אחר,"מט""ח/₪",USDILS,לא,2024-11-28,2025-11-26,ללא,Delivery,קיים חוזה,גורם אחר,ללא,ללא,,3.646,,,,POALILIT,-0.006639,2.8e-05
209,12119.0,Funded Forward,100110660.0,GBP,4.4409,-384548.54,-384.17073,0.035837,-0.000152,100110661.0,USD,3.306,495702.3,495.18853,0.000146,-0.034388,-68.9705,ישראל,ישראל,"מט""ח",אחר,"מט""ח/מט""ח",GBPUSD,לא,2025-03-26,2025-10-09,ללא,Delivery,קיים חוזה,גורם אחר,ללא,ללא,,4.7328,,,,POALILIT,0.001448,-6e-06
209,12119.0,Funded Forward,100115188.0,USD,3.306,-353498.99,-347.47157,0.024129,-0.000101,100115189.0,ILS,1.0,1225333.53,1205.86736,0.000107,-0.025329,57.12635,ישראל,ישראל,"מט""ח",אחר,"מט""ח/₪",USDILS,לא,2025-06-09,2026-03-11,ללא,Delivery,קיים חוזה,גורם אחר,ללא,ללא,,3.484,,,,CITIUS33,-0.001199,5e-06
209,12119.0,Funded Forward,100118098.0,USD,3.306,119245.1,118.38324,-0.008221,3.4e-05,100118099.0,ILS,1.0,-403048.44,-400.18389,-3.5e-05,0.008406,-8.80891,ישראל,ישראל,"מט""ח",אחר,"מט""ח/₪",USDILS,לא,2025-07-31,2025-12-04,ללא,Delivery,קיים חוזה,גורם אחר,ללא,ללא,,3.388,,,,POALILIT,0.000185,0.0
209,12119.0,Funded Forward,100108708.0,USD,3.306,171771.58,170.80347,-0.011861,5e-05,100108709.0,DKK,0.5199,-1203431.68,-1200.76979,-5.5e-05,0.013113,-59.60394,ישראל,ישראל,"מט""ח",אחר,"מט""ח/מט""ח",USDDKK,לא,2025-02-24,2025-11-19,ללא,Delivery,קיים חוזה,גורם אחר,ללא,ללא,,3.566,,,,POALILIT,0.001252,-5e-06
209,12119.0,Funded Forward,100113392.0,USD,3.306,-970509.42,-952.53495,0.066148,-0.000281,100113393.0,CHF,4.1427,786977.35,787.82921,0.000291,-0.068557,114.6595,ישראל,ישראל,"מט""ח",אחר,"מט""ח/מט""ח",USDCHF,לא,2025-05-13,2026-03-26,ללא,Delivery,קיים חוזה,גורם אחר,ללא,ללא,,3.576,,,,CITIUS33,-0.002408,1e-05
209,12119.0,Funded Forward,100114488.0,EUR,3.8807,-559000.0,-554.52617,0.045203,-0.000192,100114489.0,GBP,4.4409,477302.15,469.44763,0.000186,-0.043792,-67.17972,ישראל,ישראל,"מט""ח",אחר,"מט""ח/מט""ח",EURGBP,לא,2025-05-28,2026-03-02,ללא,Delivery,קיים חוזה,גורם אחר,ללא,ללא,,4.0101,,,,POALILIT,0.001411,-5e-06
209,12119.0,Funded Forward,100116782.0,EUR,3.8807,-3896293.8,-3875.06485,0.315883,-0.001341,100116783.0,USD,3.306,4626770.96,4574.55352,0.001349,-0.317679,85.50976,ישראל,ישראל,"מט""ח",אחר,"מט""ח/מט""ח",EURUSD,לא,2025-07-07,2026-01-12,ללא,Delivery,קיים חוזה,גורם אחר,ללא,ללא,,3.9151,,,,POALILIT,-0.001796,7e-06
209,12119.0,Funded Forward,100103492.0,USD,3.306,485254.71,456.66247,-0.031712,0.000134,100103493.0,ILS,1.0,-1746916.95,-1660.62919,-0.000148,0.034882,-150.90308,ישראל,ישראל,"מט""ח",אחר,"מט""ח/₪",USDILS,לא,2024-11-21,2027-07-12,ללא,Delivery,קיים חוזה,גורם אחר,ללא,ללא,,3.733,,,,CHASUS33,0.003169,-1.3e-05
209,12119.0,Funded Forward,100108956.0,USD,3.306,-485254.71,-477.64609,0.03317,-0.00014,100108957.0,ILS,1.0,1719645.64,1694.38776,0.000151,-0.035591,115.28977,ישראל,ישראל,"מט""ח",אחר,"מט""ח/₪",USDILS,לא,2025-02-26,2026-02-25,ללא,Delivery,קיים חוזה,גורם אחר,ללא,ללא,,3.576,,,,CITIUS33,-0.002421,1e-05
209,12119.0,Funded Forward,100114322.0,USD,3.306,-970509.42,-964.31673,0.066967,-0.000284,100114323.0,ILS,1.0,3417163.66,3395.65532,0.000303,-0.071328,207.62421,ישראל,ישראל,"מט""ח",אחר,"מט""ח/₪",USDILS,לא,2025-05-27,2025-11-26,ללא,Delivery,קיים חוזה,גורם אחר,ללא,ללא,,3.537,,,,CITIUS33,-0.004361,1.8e-05
