מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,ענף מסחר,בעל עניין/צד קשור,תאריך רכישה,דירוג,שם מדרג,דירוג נייר הערך/המנפיק,מטבע פעילות,"מח""מ",סוג הצמדה,ריבית עוגן,מועד פדיון,שיעור ריבית,תשואה לפדיון,נחיתות חוזית,האם סווג כחוב בעייתי,סוג גורם משערך,תלות/אי-תלות המשערך,שם גורם משערך,תאריך שערוך אחרון,תאריך אחרון בו נבחנה בפועל ירידת ערך,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)","עלות מופחתת (באלפי ש""ח)",עלות מופחתת (במטבע הפעילות),השיטה שיושמה בדוח הכספי,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
209,12119.0,"שיכון ובינוי נדל""ן (נכסים) בע""מ",515092609.0,ח.פ.,"שיכון ובינוי נע""מ 3 2.6% בי 30.05.26",1512315.0,פנימי,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,"נדל""ן מניב בישראל",לא,2023-05-31,A1.il,מידרוג Moodys,נייר ערך,ILS,0.663,לא צמוד,ריבית בנק ישראל,2026-05-30,0.071,-0.0128,החוב לא נחות,,מומחה בלתי תלוי,אי-תלות,,2025-09-30,2025-09-30,1145150.44,1.0,103.49,1185.11619,,,,1.0,0.000105
209,14285.0,"שיכון ובינוי נדל""ן (נכסים) בע""מ",515092609.0,ח.פ.,"שיכון ובינוי נע""מ 3 2.6% בי 30.05.26",1512315.0,פנימי,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,"נדל""ן מניב בישראל",לא,2023-05-31,A1.il,מידרוג Moodys,נייר ערך,ILS,0.663,לא צמוד,ריבית בנק ישראל,2026-05-30,0.071,-0.0128,החוב לא נחות,,מומחה בלתי תלוי,אי-תלות,,2025-09-30,2025-09-30,16750.51,1.0,103.49,17.33511,,,,1.0,0.000377
209,15217.0,"שיכון ובינוי נדל""ן (נכסים) בע""מ",515092609.0,ח.פ.,"שיכון ובינוי נע""מ 3 2.6% בי 30.05.26",1512315.0,פנימי,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,"נדל""ן מניב בישראל",לא,2023-05-31,A1.il,מידרוג Moodys,נייר ערך,ILS,0.663,לא צמוד,ריבית בנק ישראל,2026-05-30,0.071,-0.0128,החוב לא נחות,,מומחה בלתי תלוי,אי-תלות,,2025-09-30,2025-09-30,21629.87,1.0,103.49,22.38475,,,,1.0,0.001308
209,2188.0,"שיכון ובינוי נדל""ן (נכסים) בע""מ",515092609.0,ח.פ.,"שיכון ובינוי נע""מ 3 2.6% בי 30.05.26",1512315.0,פנימי,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,"נדל""ן מניב בישראל",לא,2023-05-31,A1.il,מידרוג Moodys,נייר ערך,ILS,0.663,לא צמוד,ריבית בנק ישראל,2026-05-30,0.071,-0.0128,החוב לא נחות,,מומחה בלתי תלוי,אי-תלות,,2025-09-30,2025-09-30,232376.5,1.0,103.49,240.48644,,,,1.0,0.001182
209,2189.0,"וואן טכנולוגיות תוכנה בע""מ",520034695.0,ח.פ.,"וואן טכנולוגיות נע""מ 0.3% בי 23.07.30",1512316.0,פנימי,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,שירותי מידע,לא,2025-07-23,NR,NR,NR,ILS,4.7839,לא צמוד,ריבית בנק ישראל,2030-07-23,0.048,0.0013,החוב לא נחות,,מומחה בלתי תלוי,אי-תלות,,2025-09-30,2025-09-30,871196.33,1.0,100.86,878.68862,,,,0.245079,0.005784
209,2189.0,"רוטשטיין נדל""ן בע""מ",520039959.0,ח.פ.,"רוטשטיין נדל""ן נע""מ 1 2% בי 05.05.30",1512320.0,פנימי,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,"נדל""ן מניב בישראל",לא,2025-08-06,NR,NR,NR,ILS,4.3894,לא צמוד,ריבית בנק ישראל,2030-05-05,0.065,0.0188,החוב לא נחות,,מומחה בלתי תלוי,אי-תלות,,2025-09-30,2025-09-30,1633493.12,1.0,100.98,1649.50136,,,,0.460071,0.010858
209,2189.0,"שיכון ובינוי נדל""ן (נכסים) בע""מ",515092609.0,ח.פ.,"שיכון ובינוי נע""מ 3 2.6% בי 30.05.26",1512315.0,פנימי,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,"נדל""ן מניב בישראל",לא,2023-05-31,A1.il,מידרוג Moodys,נייר ערך,ILS,0.663,לא צמוד,ריבית בנק ישראל,2026-05-30,0.071,-0.0128,החוב לא נחות,,מומחה בלתי תלוי,אי-תלות,,2025-09-30,2025-09-30,1021477.7,1.0,103.49,1057.12727,,,,0.294849,0.006959
209,9975.0,"שיכון ובינוי נדל""ן (נכסים) בע""מ",515092609.0,ח.פ.,"שיכון ובינוי נע""מ 3 2.6% בי 30.05.26",1512315.0,פנימי,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,"נדל""ן מניב בישראל",לא,2023-05-31,A1.il,מידרוג Moodys,נייר ערך,ILS,0.663,לא צמוד,ריבית בנק ישראל,2026-05-30,0.071,-0.0128,החוב לא נחות,,מומחה בלתי תלוי,אי-תלות,,2025-09-30,2025-09-30,1483164.42,1.0,103.49,1534.92686,,,,1.0,0.000112
209,9976.0,"שיכון ובינוי נדל""ן (נכסים) בע""מ",515092609.0,ח.פ.,"שיכון ובינוי נע""מ 3 2.6% בי 30.05.26",1512315.0,פנימי,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,"נדל""ן מניב בישראל",לא,2023-05-31,A1.il,מידרוג Moodys,נייר ערך,ILS,0.663,לא צמוד,ריבית בנק ישראל,2026-05-30,0.071,-0.0128,החוב לא נחות,,מומחה בלתי תלוי,אי-תלות,,2025-09-30,2025-09-30,1105398.14,1.0,103.49,1143.97654,,,,1.0,0.000204
325,325.0,"שיכון ובינוי נדל""ן (נכסים) בע""מ",515092609.0,ח.פ.,"שיכון ובינוי נע""מ 3 2.6% בי 30.05.26",1512315.0,פנימי,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,"נדל""ן מניב בישראל",לא,2023-05-31,A1.il,מידרוג Moodys,נייר ערך,ILS,0.663,לא צמוד,ריבית בנק ישראל,2026-05-30,0.071,-0.0128,החוב לא נחות,,מומחה בלתי תלוי,אי-תלות,,2025-09-30,2025-09-30,7200.33,1.0,103.49,7.45162,,,,1.0,1.3e-05
