מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם הבנק,מספר מזהה בנק,סוג מספר מזהה בנק,מאפיין עיקרי,"ישראל/חו""ל",בעל עניין/צד קשור,דירוג הבנק,שם מדרג,מטבע פעילות,שווי מטבעי,שער חליפין,שיעור ריבית,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
209,12119.0,בנק הפועלים,12-600,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,S&P מעלות,NZD,115.28665,1.9197,,221.31578,0.000312,1.9e-05
209,12119.0,CITI_GlobalCustody,CITIUS33,SWIFT,"מזומן ועו""ש נקוב במט""ח","חו""ל",לא,ilA+,S&P מעלות,NOK,3e-05,0.3311,,1e-05,0.0,0.0
209,12119.0,בנק הפועלים,12-600,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,S&P מעלות,CAD,352.65972,2.3745,,837.3905,0.00118,7.3e-05
209,12119.0,בנק דיסקונט,11-10,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,S&P מעלות,JPY,8.70042,0.022332,,0.1943,0.0,0.0
209,12119.0,בנק לאומי,10-800,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,S&P מעלות,EUR,10.77305,3.8807,,41.80698,5.8e-05,3e-06
209,12119.0,CITI_GlobalCustody,CITIUS33,SWIFT,"מזומן ועו""ש נקוב במט""ח","חו""ל",לא,ilA+,S&P מעלות,CAD,0.00024,2.3745,,0.00058,0.0,0.0
209,12119.0,בנק הפועלים,12-600,סימול בנק,"פק""מ לתקופה של עד שלושה חודשים",ישראל,לא,ilAAA,S&P מעלות,ILS,15753.1855,1.0,,15753.1855,0.022221,0.001404
209,12119.0,בנק לאומי,10-800,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,S&P מעלות,CHF,0.14051,4.1427,,0.58209,0.0,0.0
209,12119.0,בנק דיסקונט,11-10,סימול בנק,"פק""מ לתקופה של עד שלושה חודשים",ישראל,לא,ilAAA,S&P מעלות,ILS,6820.43774,1.0,,6820.43774,0.00962,0.000607
209,12119.0,בנק מזרחי,20-61,סימול בנק,"פק""מ לתקופה של עד שלושה חודשים",ישראל,לא,ilAAA,S&P מעלות,ILS,7675.3747,1.0,,7675.3747,0.010826,0.000684
209,12119.0,בנק מזרחי,20-61,סימול בנק,"פק""מ לתקופה של עד שלושה חודשים",ישראל,לא,ilAAA,S&P מעלות,ILS,2916.43079,1.0,,2916.43079,0.004114,0.00026
209,12119.0,בנק מזרחי,20-61,סימול בנק,"פח""ק/פר""י",ישראל,לא,ilAAA,S&P מעלות,ILS,14877.49886,1.0,,14877.49886,0.020984,0.001325
209,12119.0,בנק U בנק,26-273,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,S&P מעלות,CHF,0.00128,4.1427,,0.0053,0.0,0.0
209,12119.0,בנק הפועלים,12-600,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,S&P מעלות,CZK,7e-05,0.15944,,1e-05,0.0,0.0
209,12119.0,בנק לאומי,10-800,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,S&P מעלות,GBP,7.83797,4.4409,,34.80762,4.8e-05,2e-06
209,12119.0,בנק לאומי,10-800,סימול בנק,"מזומן ועו""ש בש""ח",ישראל,לא,ilAAA,S&P מעלות,ILS,22434.9068,1.0,,22434.9068,0.031645,0.002
209,12119.0,בנק דיסקונט,11-10,סימול בנק,"פק""מ לתקופה של עד שלושה חודשים",ישראל,לא,ilAAA,S&P מעלות,ILS,2961.71822,1.0,,2961.71822,0.004177,0.000264
209,12119.0,בנק דיסקונט,11-10,סימול בנק,"פק""מ לתקופה של עד שלושה חודשים",ישראל,לא,ilAAA,S&P מעלות,ILS,28476.3946,1.0,,28476.3946,0.040167,0.002539
209,12119.0,בנק לאומי,10-800,סימול בנק,"פק""מ לתקופה של עד שלושה חודשים",ישראל,לא,ilAAA,S&P מעלות,ILS,18635.30971,1.0,,18635.30971,0.026287,0.001662
209,12119.0,בנק מזרחי,20-61,סימול בנק,"מזומן ועו""ש בש""ח",ישראל,לא,ilAAA,S&P מעלות,ILS,0.17719,1.0,,0.17719,0.0,0.0
209,12119.0,J.P. MORGAN,CHASUS33,SWIFT,"מזומן ועו""ש בש""ח","חו""ל",לא,ilA+,S&P מעלות,ILS,2e-05,1.0,,2e-05,0.0,0.0
209,12119.0,CITI_GlobalCustody,CITIUS33,SWIFT,"מזומן ועו""ש נקוב במט""ח","חו""ל",לא,ilA+,S&P מעלות,GBP,45.76325,4.4409,,203.22999,0.000286,1.8e-05
209,12119.0,CITI_GlobalCustody,CITIUS33,SWIFT,"מזומן ועו""ש נקוב במט""ח","חו""ל",לא,ilA+,S&P מעלות,USD,696.00715,3.306,,2300.99964,0.003245,0.000205
209,12119.0,בנק לאומי,10-800,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,S&P מעלות,USD,283.11622,3.306,,935.98224,0.001317,8.2e-05
209,12119.0,בנק הפועלים,12-600,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,S&P מעלות,HUF,1.84269,0.009944,,0.01832,0.0,0.0
209,12119.0,בנק מזרחי,20-61,סימול בנק,"פק""מ לתקופה של עד שלושה חודשים",ישראל,לא,ilAAA,S&P מעלות,ILS,11705.54542,1.0,,11705.54542,0.016511,0.001043
209,12119.0,בנק ירושלים,54-50,סימול בנק,"פק""מ לתקופה של עד שלושה חודשים",ישראל,לא,ilAA-,S&P מעלות,ILS,2785.60192,1.0,,2785.60192,0.003929,0.000248
209,12119.0,CITI_GlobalCustody,CITIUS33,SWIFT,בטחונות שוטפים,"חו""ל",לא,ilA+,S&P מעלות,JPY,-0.00049,0.022332,,-1e-05,0.0,0.0
209,12119.0,CITI_GlobalCustody,CITIUS33,SWIFT,"מזומן ועו""ש נקוב במט""ח","חו""ל",לא,ilA+,S&P מעלות,CHF,8e-05,4.1427,,0.00034,0.0,0.0
209,12119.0,בנק מזרחי,20-61,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,S&P מעלות,EUR,174.09949,3.8807,,675.62786,0.000951,6e-05
209,12119.0,בנק הפועלים,12-600,סימול בנק,"מזומן ועו""ש בש""ח",ישראל,לא,ilAAA,S&P מעלות,ILS,304937.43023,1.0,,304937.43023,0.430157,0.02721
209,12119.0,בנק מזרחי,20-61,סימול בנק,"פק""מ לתקופה של עד שלושה חודשים",ישראל,לא,ilAAA,S&P מעלות,ILS,62270.47485,1.0,,62270.47485,0.087839,0.005552
209,12119.0,בנק לאומי,10-800,סימול בנק,בטחונות שוטפים,ישראל,לא,ilAAA,S&P מעלות,USD,0.0,3.306,,0.0,0.0,0.0
209,12119.0,בנק מזרחי,20-61,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,S&P מעלות,HKD,89.69423,0.4251,,38.12902,5.3e-05,3e-06
