מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,זירת מסחר,ענף מסחר,בעל עניין/צד קשור,מטבע פעילות,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,סכום לקבל (במטבע הפעילות),"שווי הוגן (באלפי ש""ח)",שיעור מערך נקוב מונפק,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
209,12119.0,"תאת טכנולוגיות בע""מ",520035791,ח.פ.,תאת טכנולוגיות,IL0010827264,ISIN,מניות,ישראל,ישראל,סחיר,TASE,חשמל,לא,ILS,5084.49,1.0,13500.0,,686.40667,0.000394,0.000791,6.1e-05
209,12119.0,"הראל השקעות בביטוח ושרותים פיננסים בע""מ",520033986,ח.פ.,הראל,IL0005850180,ISIN,מניות,ישראל,ישראל,סחיר,TASE,ביטוח,לא,ILS,60761.35,1.0,11160.0,,6780.96671,0.000295,0.007818,0.000605
209,12119.0,"ישראל קנדה (ט.ר) בע""מ",520039298,ח.פ.,ישראל קנדה הפחתה,IL0004340191,ISIN,מניות,ישראל,ישראל,חסום,TASE,בנייה,לא,ILS,41577.37,1.0,1462.14,,592.97068,0.000125,0.000683,5.2e-05
209,12119.0,"חילן בע""מ",520039942,ח.פ.,חילן טק,IL0010846983,ISIN,מניות,ישראל,ישראל,סחיר,TASE,שירותי מידע,לא,ILS,2258.89,1.0,25560.0,,577.3724,9.8e-05,0.000665,5.1e-05
209,12119.0,"ספידווליו בע""מ",516107323,ח.פ.,ספידווליו,IL0011782849,ISIN,מניות,ישראל,ישראל,סחיר,TASE,תוכנה ואינטרנט,לא,ILS,20234.55,1.0,342.8,,69.36404,0.00132,7.9e-05,6e-06
209,12119.0,בנק ירושלים בע''מ,520025636,ח.פ.,בנק ירושלים,IL0007260180,ISIN,מניות,ישראל,ישראל,סחיר,TASE,בנקים,לא,ILS,16342.48,1.0,2488.0,,406.60099,0.000231,0.000468,3.6e-05
209,12119.0,"אלקטרה נדל""ן בע''מ",510607328,ח.פ.,אלקטרה נדלן הפחתה,IL0010940448,ISIN,מניות,ישראל,"ארה""ב",חסום,TASE,"נדל""ן מניב בחו""ל",לא,ILS,3043.68,1.0,5012.05,,152.55101,4.7e-05,0.000175,1.3e-05
209,12119.0,אורמת טכנולוגיות אינק,520036716,ח.פ.,אורמת טכנולוגיות,US6866881021,ISIN,מניות,ישראל,"ארה""ב",סחיר,TASE,Electric Utilities,לא,ILS,2297.77,1.0,31800.0,,730.6894,4e-05,0.000842,6.5e-05
209,12119.0,"רימון שירותי ייעוץ וניהול בע""מ",512467994,ח.פ.,רימון יעוץ,IL0011787228,ISIN,מניות,ישראל,ישראל,סחיר,TASE,בנייה,לא,ILS,65349.38,1.0,7325.0,,4786.84198,0.001803,0.005518,0.000427
209,12119.0,"מליסרון בע""מ",520037789,ח.פ.,מליסרון,IL0003230146,ISIN,מניות,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",לא,ILS,31222.89,1.0,40000.0,,12489.15474,0.000655,0.014397,0.001113
209,12119.0,"חברת הכשרת הישוב בישראל בע""מ",520020116,ח.פ.,הכשרה הישוב-הפחתה,IL0006120104,ISIN,מניות,ישראל,ישראל,חסום,TASE,"נדל""ן מניב בישראל",לא,ILS,2598.64,1.0,3669.3,,95.35194,6.4e-05,0.000109,8e-06
209,12119.0,"קבוצת חמת בע""מ",520038530,ח.פ.,חמת,IL0003840167,ISIN,מניות,ישראל,ישראל,סחיר,TASE,מתכת ומוצרי בניה,לא,ILS,47424.95,1.0,1427.0,,676.75403,0.001294,0.00078,6e-05
209,12119.0,"קבוצת ברן בע""מ",520037250,ח.פ.,ברן,IL0002860133,ISIN,מניות,ישראל,ישראל,סחיר,TASE,שירותים,לא,ILS,4257.85,1.0,1738.0,,74.00142,0.000177,8.5e-05,6e-06
209,12119.0,"תורפז תעשיות בע""מ",514574524,ח.פ.,תורפז,IL0011756116,ISIN,מניות,ישראל,ישראל,סחיר,TASE,מזון,לא,ILS,72791.25,1.0,4954.0,,3606.07828,0.000671,0.004157,0.000321
209,12119.0,"וואן טכנולוגיות תוכנה בע""מ",520034695,ח.פ.,וואן תוכנה,IL0001610182,ISIN,מניות,ישראל,ישראל,סחיר,TASE,שירותי מידע,לא,ILS,44116.41,1.0,8089.0,,3568.57609,0.000615,0.004114,0.000318
209,12119.0,"כנפיים אחזקות בע""מ",520040700,ח.פ.,כנפיים,IL0005430173,ISIN,מניות,ישראל,ישראל,סחיר,TASE,תעופה,לא,ILS,22426.36,1.0,1606.0,,360.16735,0.001372,0.000415,3.2e-05
209,12119.0,"ישראל קנדה (ט.ר) בע""מ",520039298,ח.פ.,ישראל קנדה,IL0004340191,ISIN,מניות,ישראל,ישראל,סחיר,TASE,בנייה,לא,ILS,69268.91,1.0,1463.0,,1013.40418,0.000209,0.001168,9e-05
209,12119.0,"אפי נכסים בע""מ",510560188,ח.פ.,אפי נכסים,IL0010913544,ISIN,מניות,ישראל,רומניה,סחיר,TASE,"נדל""ן מניב בחו""ל",לא,ILS,36438.48,1.0,21010.0,,7655.72372,0.00094,0.008826,0.000683
209,12119.0,"אורביט טכנולוג'יס בע""מ",520036153,ח.פ.,אורביט,IL0002650179,ISIN,מניות,ישראל,ישראל,סחיר,TASE,ביטחוניות,לא,ILS,0.01,1.0,3811.0,,0.00024,0.0,0.0,0.0
209,12119.0,"ערד השקעות ופתוח תעשיה בע""מ",520025198,ח.פ.,ערד,IL0007310183,ISIN,מניות,ישראל,ישראל,סחיר,TASE,השקעה ואחזקות,לא,ILS,18.29,1.0,20780.0,,3.80079,2e-06,4e-06,0.0
209,12119.0,"סופרגז אנרגיה בע""מ",516077989,ח.פ.,אלקטרה פאוור,IL0011669178,ISIN,מניות,ישראל,ישראל,סחיר,TASE,אנרגיה,לא,ILS,19097.99,1.0,2988.0,,570.64787,0.001067,0.000657,5e-05
209,12119.0,"החברה לישראל בע""מ",520028010,ח.פ.,חברה לישראל,IL0005760173,ISIN,מניות,ישראל,ישראל,סחיר,TASE,השקעה ואחזקות,לא,ILS,1746.6,1.0,103430.0,,1806.5026,0.00023,0.002082,0.00016
209,12119.0,"כרמל קורפ בע""מ",515818524,ח.פ.,"כרמל קורפ בע""מ",IL0011476855,ISIN,מניות,ישראל,ישראל,סחיר,TASE,מזון,לא,ILS,10883.12,1.0,1977.0,,215.1593,0.000543,0.000248,1.9e-05
209,12119.0,"אי.טי.ג'י.איי גרופ בע""מ",513764399,ח.פ.,אי.טי.ג'י.איי,IL0011761140,ISIN,מניות,ישראל,ישראל,סחיר,TASE,שירותים,לא,ILS,22444.31,1.0,2209.0,,495.79483,0.001015,0.000571,4.4e-05
209,12119.0,"איי.סי.אל גרופ בע""מ",520027830,ח.פ.,איי.סי.אל,IL0002810146,ISIN,מניות,ישראל,ישראל,סחיר,TASE,"כימיה, גומי ופלסטיק",לא,ILS,923457.87,1.0,2070.0,,19115.57805,0.000715,0.022038,0.001704
209,12119.0,"פינרג'י בע""מ",514354786,ח.פ.,פינרג'י,IL0011723603,ISIN,מניות,ישראל,ישראל,סחיר,TASE,קלינטק,לא,ILS,0.01,1.0,140.7,,1e-05,0.0,0.0,0.0
209,12119.0,תדיראן גרופ בע''מ,520036732,ח.פ.,תדיראן הולדינגס,IL0002580129,ISIN,מניות,ישראל,ישראל,סחיר,TASE,מסחר,לא,ILS,11649.91,1.0,16620.0,,1936.21433,0.001356,0.002232,0.000172
209,12119.0,"אורד בע""מ",512499344,ח.פ.,אורד,IL0011044968,ISIN,מניות,ישראל,ישראל,סחיר,TASE,השקעה ואחזקות,לא,ILS,0.0,1.0,111.6,,0.0,0.0,0.0,0.0
209,12119.0,"סאמיט אחזקות נדל""ן בע""מ",520043720,ח.פ.,סאמיט,IL0010816861,ISIN,מניות,ישראל,גרמניה,סחיר,TASE,"נדל""ן מניב בחו""ל",לא,ILS,64198.96,1.0,6396.0,,4106.16575,0.000867,0.004734,0.000366
