מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,מספר מזהה לווה,סוג מספר מזהה לווה,שם הלוואה,מספר הלוואה,תאריך העמדת מסגרת אשראי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,בעל עניין/צד קשור,דירוג,שם מדרג,דירוג הלוואה/המנפיק,מטבע פעילות,שער חליפין,שיעור ריבית,סוג הריבית,סכום מסגרת האשראי הראשוני (במטבע הפעילות),"סכום מסגרת האשראי הראשוני (באלפי ש""ח)",שיעור יתרת מסגרת אשראי
209,12119.0,,,,1523524.0,2025-03-23,ישראל,,לא,NR,NR,NR,ILS,1.0,0.012,קבועה,1345.29055,1345.29055,0.020126
209,12119.0,,,,152189.0,2025-02-28,ישראל,,לא,ilA-,S&P מעלות,הלוואה,ILS,1.0,0.003,קבועה,2522.41979,2522.41979,1.0
209,12119.0,,,,15210113.0,2024-11-28,ישראל,,לא,A+,פנימי,הלוואה,ILS,1.0,0.0115,קבועה,3197.04344,3197.04344,0.017326
209,12119.0,,,,152020.0,2020-08-17,ישראל,,לא,NR,NR,NR,ILS,1.0,0.0,קבועה,3554.12069,3554.12069,0.071257
209,12119.0,,,,1521210.0,2025-02-28,ישראל,,לא,BBB+,פנימי,הלוואה,ILS,1.0,0.0,אחר,3867.71035,3867.71035,0.182608
209,12119.0,,,,152077.0,2023-09-28,ישראל,,לא,A1.il,מידרוג Moodys,הלוואה,ILS,1.0,0.01,קבועה,3179.6338,3179.6338,0.04055
209,12119.0,,,,152149.0,2025-07-27,ישראל,,לא,NR,NR,NR,ILS,1.0,0.005,קבועה,3699.54903,3699.54903,0.40909
209,12119.0,,,,313955.0,2021-05-02,ישראל,,לא,NR,NR,NR,ILS,1.0,0.0,קבועה,9496.16864,9496.16864,0.205382
209,12119.0,,,,1520495.0,2024-08-27,ישראל,,לא,AA-,פנימי,הלוואה,ILS,1.0,0.0,קבועה,2191.09645,2191.09645,0.38686
209,12119.0,,,,1520912.0,2023-09-25,ישראל,,לא,A2.il,מידרוג Moodys,הלוואה,ILS,1.0,0.006,קבועה,895.84821,895.84821,0.026619
209,12119.0,,,,152366.0,2024-11-06,ישראל,,לא,AA-,פנימי,הלוואה,ILS,1.0,0.012,קבועה,1178.77411,1178.77411,0.017118
209,12119.0,,,,150692.0,2024-11-04,ישראל,,לא,A+,פנימי,הלוואה,ILS,1.0,0.012,קבועה,4431.54536,4431.54536,0.023214
209,12119.0,,,,152138.0,2023-09-30,ישראל,,לא,A,פנימי,הלוואה,ILS,1.0,0.005,קבועה,3363.22639,3363.22639,0.911319
209,12119.0,,,,1524564.0,2022-08-22,ישראל,,לא,A,פנימי,הלוואה,ILS,1.0,0.005,משתנה,0.0,0.0,0.0
209,12119.0,,,,10051500.0,2024-05-05,ישראל,,לא,A3.il,מידרוג Moodys,הלוואה,ILS,1.0,0.005,קבועה,2103.83946,2103.83946,0.269999
209,12119.0,,,,1520913.0,2023-09-25,ישראל,,לא,A2.il,מידרוג Moodys,הלוואה,ILS,1.0,0.006,קבועה,167.97523,167.97523,0.798587
209,12119.0,,,,10051260.0,2024-01-11,ישראל,,לא,A1.il,מידרוג Moodys,הלוואה,ILS,1.0,0.0,קבועה,10089.6792,10089.6792,0.398997
209,12119.0,,,,1522174.0,2025-05-08,ישראל,,לא,A-,פנימי,הלוואה,ILS,1.0,0.01,קבועה,3032.53814,3032.53814,0.473735
209,12119.0,,,,152222.0,2023-09-12,ישראל,,לא,AA+,פנימי,הלוואה,ILS,1.0,0.0,קבועה,3714.18896,3714.18896,0.018642
209,12119.0,,,,15210112.0,2023-09-30,ישראל,,לא,A1.il,מידרוג Moodys,הלוואה,ILS,1.0,0.004,קבועה,15135.98045,15135.98045,0.363399
209,12119.0,,,,152365.0,2023-11-15,ישראל,,לא,A1.il,מידרוג Moodys,הלוואה,ILS,1.0,0.005,קבועה,3699.54903,3699.54903,0.487495
209,12119.0,,,,1520492.0,2022-12-29,ישראל,,לא,A,פנימי,הלוואה,ILS,1.0,0.0,קבועה,763.54345,763.54345,0.19343
209,12119.0,,,,152141.0,2023-09-30,ישראל,,לא,AA-,פנימי,הלוואה,ILS,1.0,0.005,קבועה,8576.2273,8576.2273,0.101615
209,12119.0,,,,152028.0,2023-09-30,ישראל,,לא,A1.il,מידרוג Moodys,הלוואה,EUR,3.8807,0.006,קבועה,2592.1979,10059.542391,0.101016
209,12119.0,,,,10051501.0,2024-05-05,ישראל,,לא,A3.il,מידרוג Moodys,הלוואה,ILS,1.0,0.005,קבועה,358.58163,358.58163,0.235106
209,12119.0,,,,1521273.0,2022-08-22,ישראל,,לא,A1.il,מידרוג Moodys,הלוואה,ILS,1.0,0.015,קבועה,0.0,0.0,0.0
209,12119.0,,,,10051670.0,2024-07-04,ישראל,,לא,BBB+,פנימי,הלוואה,ILS,1.0,0.004,קבועה,7042.79167,7042.79167,0.357041
209,12119.0,,,,152140.0,2023-08-17,ישראל,,לא,A1.il,מידרוג Moodys,הלוואה,ILS,1.0,0.004,קבועה,10089.67918,10089.67918,0.366666
209,12119.0,,,,1520126.0,2022-10-27,ישראל,,לא,A3.il,מידרוג Moodys,הלוואה,ILS,1.0,0.0,קבועה,4200.494,4200.494,0.491666
209,12119.0,,,,1522175.0,2025-05-08,ישראל,,לא,A-,פנימי,הלוואה,ILS,1.0,0.01,משתנה,5995.02917,5995.02917,0.248711
209,12119.0,,,,1521271.0,2022-08-22,ישראל,,לא,A1.il,מידרוג Moodys,הלוואה,ILS,1.0,0.005,קבועה,0.0,0.0,0.0
209,12119.0,,,,152256.0,2024-02-14,ישראל,,לא,A2.il,מידרוג Moodys,הלוואה,ILS,1.0,0.012,קבועה,0.0,0.0,0.0
209,12119.0,,,,152042.0,2023-09-15,"חו""ל",,לא,A,פנימי,הלוואה,EUR,3.8807,0.01225,קבועה,469.39814,1821.593362,0.198774
209,12119.0,,,,10020013.0,2024-09-30,"חו""ל",,לא,NR,NR,NR,GBP,4.4409,0.0,קבועה,42.12304,187.064208,20.605024
209,12119.0,,,,1520259.0,2025-01-27,"חו""ל",,לא,NR,NR,NR,USD,3.306,0.1063431,משתנה,225.51153,745.541118,0.226234
209,12119.0,,,,152016.0,2020-12-23,"חו""ל",,לא,NR,NR,NR,GBP,4.4409,0.0175,קבועה,668.77993,2969.984791,0.2715
209,12119.0,,,,1520254.0,2024-11-18,"חו""ל",,לא,NR,NR,NR,USD,3.306,0.0,קבועה,1153.98001,3815.057913,0.122474
209,12119.0,,,,152053.0,2022-03-08,"חו""ל",,לא,NR,NR,NR,GBP,4.4409,0.013,משתנה,1235.81364,5488.124794,0.010763
209,12119.0,,,,10051621.0,2024-06-17,"חו""ל",,לא,A2.il,מידרוג Moodys,הלוואה,EUR,3.8807,0.0,קבועה,796.745,3091.928322,0.05
209,12119.0,,,,10051220.0,2023-12-28,"חו""ל",,לא,NR,NR,NR,EUR,3.8807,0.0,קבועה,713.00399,2766.954584,0.469982
209,12119.0,,,,10020056.0,2024-09-30,"חו""ל",,לא,NR,NR,NR,EUR,3.8807,0.0,קבועה,208.99377,811.042123,0.0
209,12119.0,,,,154025.0,2025-02-27,"חו""ל",,לא,BBB,S&P,הלוואה,USD,3.306,0.005,קבועה,4263.47295,14095.041573,0.601285
209,12119.0,,,,1557081.0,2024-02-28,"חו""ל",,לא,NR,NR,NR,EUR,3.8807,0.0,קבועה,391.10116,1517.746272,0.626829
209,12119.0,,,,1520266.0,2025-07-29,"חו""ל",,לא,A,פנימי,הלוואה,USD,3.306,0.016,קבועה,4263.47295,14095.041573,0.030571
209,12119.0,,,,150694.0,2025-02-20,"חו""ל",,לא,NR,NR,NR,USD,3.306,0.03,קבועה,0.0,0.0,0.0
209,12119.0,,,,15212477.0,2025-02-06,"חו""ל",,לא,AA-,פנימי,הלוואה,USD,3.306,0.0025,קבועה,2131.73647,7047.52077,0.511523
209,12119.0,,,,10020057.0,2024-09-30,"חו""ל",,לא,NR,NR,NR,USD,3.306,0.0,קבועה,2089.93772,6909.334102,0.0
