מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,זירת מסחר,ענף מסחר,בעל עניין/צד קשור,דירוג,שם מדרג,דירוג נייר הערך/המנפיק,מטבע פעילות,"מח""מ",ריבית עוגן,מועד פדיון,שיעור ריבית,תשואה לפדיון,נחיתות חוזית,האם סווג כחוב בעייתי,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,סכום לקבל (במטבע הפעילות),"שווי הוגן (באלפי ש""ח)","עלות מופחתת (באלפי ש""ח)",עלות מופחתת (במטבע הפעילות),השיטה שיושמה בדוח הכספי,שיעור מערך נקוב מונפק,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
209,12119.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,13335.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,14285.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,14286.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,15217.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,15218.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,15219.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,2187.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,2188.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,2189.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,2201.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,9974.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,9975.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,9976.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,9979.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,9984.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,9987.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,325.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,347.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,389.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
671,12120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
671,13465.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
671,14082.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
671,14287.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
671,14288.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
671,15220.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
671,15221.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
671,15222.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
671,15223.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
671,15224.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
671,2202.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
671,7234.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
671,7235.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
671,7236.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
671,8318.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
671,8319.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
671,8320.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
סיום מידע טבלה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
