מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם הנכס האחר,מספר הנכס האחר,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,בעל עניין/צד קשור,תאריך עסקה,מטבע פעילות,תאריך שערוך אחרון,שווי מטבעי,שער חליפין,"שווי הוגן (באלפי ש""ח)","עלות מופחתת (באלפי ש""ח)",השיטה שיושמה בדוח הכספי,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
209,12119.0,פיקדון-מזרחי עסקים קטנים,642000,חייבים וזכאים,ישראל,ישראל,לא,,ILS,2025-09-30,508.71128,1.0,508.71128,,,0.0276,4.5e-05
209,12119.0,קרנות השקעה חייבים דולר,3130,חייבים וזכאים,ישראל,ישראל,לא,,USD,2025-09-30,12.97,3.306,42.87882,,,0.002326,3e-06
209,12119.0,בזק,IL0002300114,דיבידנד לקבל,ישראל,ישראל,לא,,ILS,2025-09-30,207.64618,1.0,207.64618,,,0.011265,1.7e-05
209,12119.0,חייבים דולר,1811,חייבים וזכאים,ישראל,ישראל,לא,,USD,2025-09-30,603.36774,3.306,1994.73375,,,0.108223,0.000177
209,12119.0,זכאים אירו,17111,חייבים וזכאים,ישראל,ישראל,לא,,EUR,2025-09-30,-0.35622,3.8807,-1.38237,,,-7.5e-05,0.0
209,12119.0,חייבים אירו,1711,חייבים וזכאים,ישראל,ישראל,לא,,EUR,2025-09-30,7.84229,3.8807,30.43358,,,0.001649,1e-06
209,12119.0,חייבים דולר ניו זילנד,1311,חייבים וזכאים,ישראל,ישראל,לא,,NZD,2025-09-30,1743.51215,1.9197,3347.02028,,,0.181593,0.000298
209,12119.0,מכלול נדלן אגח 2 1% פריים 01.01.28,1215193,חייבים בגין תקבולים,ישראל,ישראל,לא,,ILS,2025-09-30,36.58837,1.0,36.58837,,,0.001985,3e-06
209,12119.0,חייבים לישט,1211,חייבים וזכאים,ישראל,ישראל,לא,,GBP,2025-09-30,21.64144,4.4409,96.10746,,,0.005213,8e-06
209,12119.0,אדגר אגח יג,IL0012071580,חייבים בגין תקבולים,ישראל,ישראל,לא,,ILS,2025-09-30,12.45745,1.0,12.45745,,,0.000675,1e-06
209,12119.0,מכלול נדלן אגח 1 1.00% פריים 30.11.26,IL0012071416,חייבים בגין תקבולים,ישראל,ישראל,לא,,ILS,2025-09-30,11.48599,1.0,11.48599,,,0.000623,1e-06
209,12119.0,קרסו אגח ד,IL0011735664,חייבים בגין תקבולים,ישראל,ישראל,לא,,ILS,2025-09-30,0.61633,1.0,0.61633,,,3.3e-05,0.0
209,12119.0,אמות אגח ו,IL0011586091,חייבים בגין תקבולים,ישראל,ישראל,לא,,ILS,2025-09-30,30.07259,1.0,30.07259,,,0.001631,2e-06
209,12119.0,חלל תקש אג יח,IL0011585184,חייבים בגין תקבולים,ישראל,ישראל,לא,,ILS,2025-09-30,8.82515,1.0,8.82515,,,0.000478,0.0
209,12119.0,קרנות השקעה זכאים דולר,3131,חייבים וזכאים,ישראל,ישראל,לא,,USD,2024-09-30,-390.51037,3.306,-1291.02728,,,-0.070044,-0.000114
