מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם שותף כללי קרן השקעות,מספר מזהה שותף כללי קרן השקעות,סוג מספר מזהה שותף כללי קרן השקעות,שם קרן השקעה,מספר מזהה קרן השקעה,סוג מספר מזהה קרן השקעות,מאפיין עיקרי,אסטרטגיית קרן ההשקעה,"ישראל/חו""ל",מדינת התאגדות קרן השקעה,מיקום משרד השותף הכללי,מדינה לפי חשיפה כלכלית,בעל עניין/צד קשור,תאריך רכישה,מטבע פעילות,סוג גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,שער חליפין,NAV (במטבע הדיווח של קרן ההשקעה),"שווי הוגן (באלפי ש""ח)",שיעור החזקה בקרן השקעה,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
209,12119.0, GCP Investments IV Limited Partnership,,,Glilot IV,33943,פנימי,קרן השקעה אחרת,,ישראל,,,ישראל,לא,2022-03-08,USD,דיווח מנהל הקרן,אי-תלות,2025-06-30,3.306,803.57249,2656.61066,0.003566,0.006324,0.000237
209,12119.0,RS TRATICAL GEAR,,,RS TRATICAL GEAR,34136,פנימי,קרן השקעה אחרת,,ישראל,,,ישראל,לא,2022-12-21,ILS,דיווח מנהל הקרן,אי-תלות,2025-06-30,1.0,1583.85776,1583.85776,0.000452,0.00377,0.000141
209,12119.0,Fattal Partnership III,,,Fattal Partnership III,34092,פנימי,"קרן נדל""ן",,ישראל,,,גרמניה,לא,2024-01-24,EUR,דיווח מנהל הקרן,אי-תלות,2025-06-30,3.8807,424.36731,1646.84222,0.001069,0.00392,0.000146
209,12119.0,ARBEL FUND 2 GP LIMITED PARTNERSHIP,,,Arbel Fund-II,33656,פנימי,קרן חוב,,ישראל,,,ישראל,לא,2021-10-03,ILS,דיווח מנהל הקרן,אי-תלות,2025-06-30,1.0,3487.97519,3487.97519,0.00315,0.008304,0.000311
209,12119.0,Israel Infrastructure G.P. Management II L.P.,,,גיזה זינגר אבן מזנין,33942,פנימי,קרן חוב,,ישראל,,,ישראל,לא,2022-02-23,ILS,דיווח מנהל הקרן,אי-תלות,2025-06-30,1.0,4228.69493,4228.69493,0.005832,0.010067,0.000377
209,12119.0,Israel Infrastructure G.P. Management II L.P.,,,NOY IV,33889,פנימי,קרן אנרגיה ותשתיות,,ישראל,,,ישראל,לא,2021-05-13,ILS,דיווח מנהל הקרן,אי-תלות,2025-06-30,1.0,12759.63398,12759.63398,0.006277,0.030378,0.001138
209,12119.0,נוי עיר הבהדים  ג'י. פי 2021 בע''מ,,,NOY EIR HABAHADIM,34073,פנימי,קרן חוב,,ישראל,,,ישראל,לא,2023-08-16,ILS,דיווח מנהל הקרן,אי-תלות,2025-06-30,1.0,1110.4654,1110.4654,0.008653,0.002643,9.9e-05
209,12119.0,Stage One Capital (GP) IV L.P.,,,Stageone IV,33944,פנימי,קרן השקעה אחרת,,ישראל,,,ישראל,לא,2022-03-15,USD,דיווח מנהל הקרן,אי-תלות,2025-06-30,3.306,288.76807,954.66725,0.006959,0.002272,8.5e-05
209,12119.0,Stage One Capital (GP) IV L.P.,,,Coralogix -Stage one Ventures-D,33974,פנימי,פרייבט אקוויטי,,ישראל,,,"ארה""ב",לא,2022-07-07,USD,מומחה בלתי תלוי,אי-תלות,2025-03-31,3.306,199.68395,660.15514,0.00045,0.001571,5.8e-05
209,12119.0,ICP A1 L.P.,,,AQUA,33881,פנימי,פרייבט אקוויטי,,ישראל,,,"ארה""ב",לא,2021-04-06,USD,מומחה בלתי תלוי,אי-תלות,2025-06-30,3.306,546.52965,1806.82704,0.000454,0.004301,0.000161
