מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך ,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,זירת מסחר,סיווג הקרן,בעל עניין/צד קשור,מטבע פעילות,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)",שיעור מערך נקוב מונפק,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
209,12119.0,"מגדל קרנות נאמנות בע""מ",511303661,ח.פ.,MTF מח תל גוב-שקלי,IL0051233935,ISIN,"אג""ח קונצרני",ישראל,ישראל,סחיר,TASE,"(ומעלה ו/ או מדינה AA) אג""ח בארץ - כללי-אג""ח כללי בארץ - ללא מניות-אג""ח כללי בארץ בדירוג גבוה בלבד",לא,ILS,1474.27,1.0,109.58,1.6155,2.9e-05,1.1e-05,0.0
209,12119.0,"מגדל קרנות נאמנות בע""מ",511303661,ח.פ.,MTF סל תלבונד שקלי,IL0011500027,ISIN,"אג""ח קונצרני",ישראל,ישראל,סחיר,TASE,"אג""ח בארץ - חברות והמרה-חברות והמרה אחר",לא,ILS,3520.17,1.0,487.71,17.16825,2.4e-05,0.000124,1e-06
209,12119.0,"הראל קרנות נאמנות בע""מ",511776783,ח.פ.,הראל Htf שקליות ריבית קבועה ממשלתיות,IL0051281116,ISIN,"אג""ח קונצרני",ישראל,ישראל,סחיר,TASE,"(ומעלה ו/ או מדינה AA) אג""ח בארץ - כללי-אג""ח כללי בארץ - ללא מניות-אג""ח כללי בארץ בדירוג גבוה בלבד",לא,ILS,334.28,1.0,492.68,1.64695,1.1e-05,1.1e-05,0.0
209,12119.0,NinetyOne,LU1194085475,פנימי,NinetyOne Global Strategy Fund,LU1194085475,ISIN,"אג""ח ממשלתי","חו""ל",סין,סחיר,אחר,Bond/Fixed Income Funds,לא,USD,0.17,3.306,2471.0,0.01399,3e-06,0.0,0.0
209,12119.0,CVC Credit Partners Ltd,2588,פנימי,CVC INCOME & GROWTH LTD,JE00B9G79F59,ISIN,מניות,"חו""ל",אירופה,סחיר,LSE,Bond/Fixed Income Funds,לא,EUR,62703.51,3.8807,109.0,265.23351,0.000754,0.001916,2.3e-05
209,12119.0,INDIA DYNAMIC BOND FUND,25490082RF6XVDE85Z82,LEI,India Dynamic Bond Fund,MU0395S00048,ISIN,"אג""ח ממשלתי","חו""ל",הודו,סחיר,אחר,Bond/Fixed Income Funds,לא,USD,22145.35,3.306,12121.0,8874.09104,5.3e-05,0.064118,0.000792
209,12119.0,SDCL ENERGY EFFICIENCY INCOME,213800ZPSC7XUVD3NL94,LEI,Sdcl Energy Efficiency Income,GB00BGHVZM47,ISIN,מניות,"חו""ל",בריטניה,סחיר,LSE,Equity Funds,לא,GBP,203578.08,4.4409,56.6,511.70357,0.000187,0.003697,4.5e-05
209,12119.0,M&Gַַ  LUX INVESTMENT FUNDS 1 - M,549300OR1ZG2XAP7AU07,LEI,M&G Lux Investment Funds 1 - M,LU2486835627,ISIN,מניות,"חו""ל",יפן,סחיר,אחר,Equity Funds,לא,USD,44815.93,3.306,1656.53,2454.33889,0.00215,0.017733,0.000219
209,12119.0,Prestige Alternative Finance,21380098U356PUQFYE72,LEI,PRESTIGE ALT FI,KYG722711853,ISIN,מניות,"חו""ל",בריטניה,סחיר,אחר,Bond/Fixed Income Funds,לא,USD,206.59,3.306,9914.0,67.71009,0.0,0.000489,6e-06
209,12119.0,Kotak Funds - India Midcap,4408,פנימי,Kotak Bond Feeder Fund,MU0381S00022,ISIN,"אג""ח ממשלתי","חו""ל",הודו,סחיר,אחר,Bond/Fixed Income Funds,לא,USD,222448.54,3.306,1401.76,10308.75134,0.00454,0.074484,0.00092
