מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,זירת מסחר,סיווג הקרן,בעל עניין/צד קשור,מטבע פעילות,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,סכום לקבל (במטבע הפעילות),"שווי הוגן (באלפי ש""ח)",שיעור מערך נקוב מונפק,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
209,12119.0,"מיטב תכלית קרנות נאמנות בע""מ",513534974,ח.פ.,תכלית סל תלבונד 40,IL0011450934,ISIN,עוקב אחר מדדים אחרים בישראל,ישראל,ישראל,TASE,"אג""ח בארץ - חברות והמרה-תל בונד שקלי-תל בונד- שקלי",לא,ILS,9631.03,1.0,380.93,,36.68748,0.000262,0.000142,3e-06
209,12119.0,"הראל קרנות נאמנות בע""מ",511776783,ח.פ.,הראל סל תלבונד צמוד,IL0011506065,ISIN,עוקב אחר מדדים אחרים בישראל,ישראל,ישראל,TASE,"אג""ח בארץ - חברות והמרה-תל בונד צמוד מדד-תל בונד צמוד מדד- אחר",לא,ILS,32827.68,1.0,406.0,,133.28038,0.000699,0.000519,1.1e-05
209,12119.0,"הראל קרנות נאמנות בע""מ",511776783,ח.פ.,הראל סל תל בונד מאגר,IL0011696221,ISIN,עוקב אחר מדדים אחרים בישראל,ישראל,ישראל,TASE,"אג""ח בארץ - חברות והמרה-תל בונד צמוד מדד-תל בונד צמוד מדד- אחר",לא,ILS,970.91,1.0,419.26,,4.07065,1.5e-05,1.5e-05,0.0
209,12119.0,"הראל קרנות נאמנות בע""מ",511776783,ח.פ.,"הראל סל ת""א 125",IL0011488991,ISIN,עוקב אחר מדדי מניות בישראל,ישראל,ישראל,TASE,"125 מניות בארץ - מניות כללי-ת""א",לא,ILS,2908.58,1.0,3192.0,,92.84178,2.8e-05,0.000361,8e-06
209,12119.0,"מור ניהול קרנות נאמנות (2013) בע""מ",514884485,ח.פ.,מור סל תא 125,IL0011961534,ISIN,עוקב אחר מדדי מניות בישראל,ישראל,ישראל,TASE,"125 מניות בארץ - מניות כללי-ת""א",לא,ILS,1612.83,1.0,8821.0,,142.26768,0.00013,0.000553,1.2e-05
209,12119.0,"הראל קרנות נאמנות בע""מ",511776783,ח.פ.,הראל סל תלבונד 60,IL0011504730,ISIN,עוקב אחר מדדים אחרים בישראל,ישראל,ישראל,TASE,"אג""ח בארץ - חברות והמרה-תל בונד צמוד מדד-תל בונד צמוד מדד- אחר",לא,ILS,157624.13,1.0,390.79,,615.97935,0.000807,0.002398,5.4e-05
209,12119.0,"הראל קרנות נאמנות בע""מ",511776783,ח.פ.,הראל HTF תל בונד צמודות - בנקים,IL0051296890,ISIN,עוקב אחר מדדים אחרים בישראל,ישראל,ישראל,TASE,"אג""ח בארץ - חברות והמרה-תל בונד שקלי-תל בונד- שקלי",לא,ILS,3545.91,1.0,363.54,,12.89079,0.000342,5e-05,1e-06
209,12119.0,"הראל קרנות נאמנות בע""מ",511776783,ח.פ.,הראל סל תא SME60,IL0011489569,ISIN,עוקב אחר מדדי מניות בישראל,ישראל,ישראל,TASE,All Cap מניות בארץ - מניות לפי שווי שוק-מניות,לא,ILS,4462.98,1.0,1003.0,,44.76372,0.000353,0.000174,3e-06
209,12119.0,"פסגות קרנות נאמנות בע""מ",513765339,ח.פ.,פסגות ETF תל בונד צמודות,IL0011480485,ISIN,עוקב אחר מדדים אחרים בישראל,ישראל,ישראל,TASE,"אג""ח בארץ - חברות והמרה-תל בונד צמוד מדד-תל בונד צמוד מדד- אחר",לא,ILS,81.31,1.0,4059.17,,3.30032,4.7e-05,1.2e-05,0.0
209,12119.0,"הראל קרנות נאמנות בע""מ",511776783,ח.פ.,הראל סל תלבונד 20,IL0011504409,ISIN,עוקב אחר מדדים אחרים בישראל,ישראל,ישראל,TASE,"אג""ח בארץ - חברות והמרה-תל בונד צמוד מדד-תל בונד צמוד מדד- אחר",לא,ILS,114236.81,1.0,401.77,,458.96921,0.001227,0.001787,4e-05
209,12119.0,"מיטב תכלית קרנות נאמנות בע""מ",513534974,ח.פ.,"תכלית סל ת""א 125",IL0011437188,ISIN,עוקב אחר מדדי מניות בישראל,ישראל,ישראל,TASE,"125 מניות בארץ - מניות כללי-ת""א",לא,ILS,1271.12,1.0,3198.0,,40.65053,6e-06,0.000158,3e-06
209,12119.0,"מיטב תכלית קרנות נאמנות בע""מ",513534974,ח.פ.,"תכלית סל ת""א בנקים",IL0011437261,ISIN,עוקב אחר מדדי מניות בישראל,ישראל,ישראל,TASE,"35 מניות בארץ - מניות כללי-ת""א",לא,ILS,9483.4,1.0,6710.0,,636.33618,0.000162,0.002477,5.6e-05
209,12119.0,"מור ניהול קרנות נאמנות (2013) בע""מ",514884485,ח.פ.,מור סל תל בונד 60,IL0011953044,ISIN,עוקב אחר מדדים אחרים בישראל,ישראל,ישראל,TASE,"אג""ח בארץ - חברות והמרה-תל בונד שקלי-תל בונד- שקלי",לא,ILS,8863.71,1.0,5713.57,,506.43409,0.002623,0.001972,4.5e-05
209,12119.0,"מיטב תכלית קרנות נאמנות בע""מ",513534974,ח.פ.,תכלית סל תלבונד מאגר,IL0011440133,ISIN,עוקב אחר מדדים אחרים בישראל,ישראל,ישראל,TASE,"אג""ח בארץ - חברות והמרה-תל בונד צמוד מדד-תל בונד צמוד מדד- אחר",לא,ILS,70.41,1.0,4144.1,,2.91804,2e-06,1.1e-05,0.0
209,12119.0,"מגדל קרנות נאמנות בע""מ",511303661,ח.פ.,MTF סל תל בונד 60,IL0011499964,ISIN,עוקב אחר מדדים אחרים בישראל,ישראל,ישראל,TASE,"אג""ח בארץ - חברות והמרה-תל בונד צמוד מדד-תל בונד צמוד מדד- אחר",לא,ILS,122063.97,1.0,499.28,,609.44101,0.000757,0.002373,5.4e-05
209,12119.0,"מגדל קרנות נאמנות בע""מ",511303661,ח.פ.,MTF סל תל בונד-מאגר,IL0011933178,ISIN,עוקב אחר מדדים אחרים בישראל,ישראל,ישראל,TASE,"אג""ח בארץ - חברות והמרה-תל בונד שקלי-תל בונד- שקלי",לא,ILS,1116.29,1.0,423.02,,4.72214,5e-06,1.8e-05,0.0
209,12119.0,"פסגות קרנות נאמנות בע""מ",513765339,ח.פ.,פסגות ETF אינדקס בנקים ישראל,IL0011487746,ISIN,עוקב אחר מדדי מניות בישראל,ישראל,ישראל,TASE,"35 מניות בארץ - מניות כללי-ת""א",לא,ILS,546090.1,1.0,6734.0,,36773.70766,0.002517,0.143198,0.003282
209,12119.0,"מגדל קרנות נאמנות בע""מ",511303661,ח.פ.,"MTF סל ת""א 125",IL0011502833,ISIN,עוקב אחר מדדי מניות בישראל,ישראל,ישראל,TASE,"125 מניות בארץ - מניות כללי-ת""א",לא,ILS,2053.98,1.0,5003.0,,102.76059,2.4e-05,0.0004,9e-06
209,12119.0,"מיטב תכלית קרנות נאמנות בע""מ",513534974,ח.פ.,תכלית סל תל בונד 20,IL0011437915,ISIN,עוקב אחר מדדים אחרים בישראל,ישראל,ישראל,TASE,"אג""ח בארץ - חברות והמרה-תל בונד צמוד מדד-תל בונד צמוד מדד- אחר",לא,ILS,38923.59,1.0,398.89,,155.2623,0.000226,0.000604,1.3e-05
209,12119.0,"מיטב תכלית קרנות נאמנות בע""מ",513534974,ח.פ.,תכלית סל תא-ביטוח,IL0011976987,ISIN,עוקב אחר מדדי מניות בישראל,ישראל,ישראל,TASE,"125 מניות בארץ - מניות כללי-ת""א",לא,ILS,47517.38,1.0,9583.0,,4553.59048,0.006617,0.017731,0.000406
