מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,זירת מסחר,ענף מסחר,נכס בסיס,תאריך פקיעה,בעל עניין/צד קשור,מטבע פעילות,שער מימוש,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
170,2002,בורסה תל אביב,520020033,ח.פ.,TA35 C 3000 OCT,85849750.0,פנימי,מדד,ישראל,ישראל,TASE,אחר,מניות לרבות מדדי מניות,2025-10-30,לא,ILS,3000.0,-924.640745647,1.0,1057300.0,-9776.2266,-131.611%,-0.018%
170,2002,בורסה תל אביב,520020033,ח.פ.,TA35 P 3000 OCT,85851004.0,פנימי,מדד,ישראל,ישראל,TASE,אחר,מניות לרבות מדדי מניות,2025-10-30,לא,ILS,3000.0,924.640745647,1.0,50000.0,462.32037,6.224%,0.001%
170,2002,בורסה תל אביב,520020033,ח.פ.,TA35 C 3150 OCT,85922011.0,פנימי,מדד,ישראל,ישראל,TASE,אחר,מניות לרבות מדדי מניות,2025-10-30,לא,ILS,0.0,924.640745647,1.0,488000.0,4512.24684,60.746%,0.008%
170,2002,בורסה תל אביב,520020033,ח.פ.,TA35 P 3150 OCT,85923241.0,פנימי,מדד,ישראל,ישראל,TASE,אחר,מניות לרבות מדדי מניות,2025-10-30,לא,ILS,0.0,-924.640745647,1.0,188400.0,-1742.02316,-23.452%,-0.003%
170,2002,בורסה תל אביב,520020033,ח.פ.,bC 7050 OCT,85925295.0,פנימי,מדד,ישראל,ישראל,TASE,אחר,מניות לרבות מדדי מניות,2025-10-30,לא,ILS,7050.0,1729.078194359,1.0,646600.0,11180.2196,150.512%,0.020%
170,2002,בורסה תל אביב,520020033,ח.פ.,bP 7050 OCT,85927564.0,פנימי,מדד,ישראל,ישראל,TASE,אחר,מניות לרבות מדדי מניות,2025-10-30,לא,ILS,7050.0,-1729.078194359,1.0,36200.0,-625.92631,-8.426%,-0.001%
170,2002,NYSEAmerican,549300HIIRNTNKXV3M12,LEI,SNDK US 10/17/25 C120 Equity,73660599.0,פנימי,מניה,"חו""ל","ארה""ב",NYSE,"Technology Hardware, Storage & Peripherals",מניות לרבות מדדי מניות,2025-10-17,לא,USD,120.0,85.094901194,3.306,535.0,150.5082,2.026%,0.000%
170,2002,NYSEAmerican,549300HIIRNTNKXV3M12,LEI,MU US 10/10/25 C195 Equity,70141777.0,פנימי,מניה,"חו""ל","ארה""ב",NYSE,Semiconductors & Semiconductor Equipment,מניות לרבות מדדי מניות,2025-10-10,לא,USD,195.0,-624.109629433,3.306,40.0,-82.53226,-1.111%,-0.000%
170,2002,Cboe Options Exchange,529900RLNSGA90UPEH54,LEI,SPXW US 12/31/25 P6000 Index,70246321.0,פנימי,מדד,"חו""ל","ארה""ב",CBOE,Other,מניות לרבות מדדי מניות,2025-12-31,לא,USD,6000.0,1462.0,3.306,5200.0,25133.5344,338.357%,0.045%
170,2002,Cboe Options Exchange,529900RLNSGA90UPEH54,LEI,SPXW US 12/31/25 P5900 Index,70246323.0,פנימי,מדד,"חו""ל","ארה""ב",CBOE,Other,מניות לרבות מדדי מניות,2025-12-31,לא,USD,5900.0,-1462.0,3.306,4507.0,-21784.0076,-293.264%,-0.039%
170,9654,בורסה תל אביב,520020033,ח.פ.,TA35 C 3000 OCT,85849750.0,פנימי,מדד,ישראל,ישראל,TASE,אחר,מניות לרבות מדדי מניות,2025-10-30,לא,ILS,3000.0,-637.023616049,1.0,1057300.0,-6735.25069,-121.911%,-0.019%
170,9654,בורסה תל אביב,520020033,ח.פ.,TA35 P 3000 OCT,85851004.0,פנימי,מדד,ישראל,ישראל,TASE,אחר,מניות לרבות מדדי מניות,2025-10-30,לא,ILS,3000.0,637.023616049,1.0,50000.0,318.51181,5.765%,0.001%
