מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,זירת מסחר,ענף מסחר,בעל עניין/צד קשור,דירוג,שם מדרג,דירוג נייר הערך/המנפיק,מטבע פעילות,"מח""מ",מועד פדיון,שיעור ריבית,תשואה לפדיון,נחיתות חוזית,האם סווג כחוב בעייתי,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,סכום לקבל (במטבע הפעילות),"שווי הוגן (באלפי ש""ח)","עלות מופחתת (באלפי ש""ח)",עלות מופחתת (במטבע הפעילות),השיטה שיושמה בדוח הכספי,שיעור מערך נקוב מונפק,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
170,2002,"חברת השקעות דיסקונט בע""מ",520023896,ח.פ.,דיסקונט השקעות אגח ו',IL0063902071,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",לא,BBB,S&P מעלות,נייר ערך,ILS,0.24,2025-12-31,4.950%,6.500%,החוב לא נחות,,1461797.13264957,1.0,148.12,0.0,2165.21391,,,,0.797%,0.105%,0.004%
170,2002,"חברה לנכסים ולבנין בע""מ",520025438,ח.פ.,נכסים ובנ אגח ד,IL0069901549,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",לא,A,S&P מעלות,נייר ערך,ILS,0.24,2025-12-31,4.950%,6.800%,החוב לא נחות,,1608552.63632165,1.0,144.53,0.0,2324.84113,,,,0.733%,0.113%,0.004%
170,2002,"חברת גב-ים לקרקעות בע""מ",520001736,ח.פ.,גב ים אגח ו,IL0075901285,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",לא,Aa3,מידרוג Moodys,נייר ערך,ILS,0.49,2026-03-31,4.750%,5.130%,החוב לא נחות,,1479468.31701785,1.0,143.8,0.0,2127.47544,,,,0.310%,0.104%,0.004%
170,2002,קרדן אן.וי.,1239114,מספר שותפות,קרדן אן וי אגח א,IL0011055352,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,השקעה ואחזקות,לא,NR,NR,NR,ILS,2.66,2026-12-31,6.320%,45.000%,החוב לא נחות,,3967.823994193,1.0,6.65,0.0,0.26386,,,,0.005%,0.000%,0.000%
170,2002,"אדמה פתרונות לחקלאות בע""מ",520043605,ח.פ.,אדמה אגח ב,IL0011109159,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"כימיה, גומי ופלסטיק",לא,AA-,S&P מעלות,נייר ערך,ILS,4.79,2036-11-30,5.150%,4.100%,החוב לא נחות,,2201281.97346981,1.0,153.07,0.0,3369.50232,,,,0.115%,0.164%,0.006%
170,2002,קרדן אן.וי.,1239114,מספר שותפות,קרדן אן וי אגח ב,IL0011130346,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,השקעה ואחזקות,לא,NR,NR,NR,ILS,1.24,2026-12-31,6.780%,45.000%,החוב לא נחות,,1757712.32171657,1.0,27.03,0.0,475.10964,,,,0.387%,0.023%,0.001%
170,2002,"קבוצת אשטרום בע""מ",510381601,ח.פ.,אשטרום קבוצה אגח א,IL0011323230,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,בנייה,לא,A,S&P מעלות,נייר ערך,ILS,0.1,2025-11-10,2.400%,10.020%,החוב לא נחות,,54746.47473696,1.0,119.09,0.0,65.19758,,,,0.163%,0.003%,0.000%
170,2002,"איירפורט סיטי בע""מ",511659401,ח.פ.,ארפורט אגח ה,IL0011334872,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",לא,AA,S&P מעלות,נייר ערך,ILS,1.76,2029-02-28,2.340%,2.970%,החוב לא נחות,,3800298.38289863,1.0,118.73,0.0,4512.09427,,,,0.233%,0.220%,0.008%
170,2002,"ג'י סיטי בע""מ",520033234,ח.פ.,גי סיטי בעמ אגח יב,IL0012606039,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בחו""ל",לא,A3,מידרוג Moodys,נייר ערך,ILS,1.2,2027-06-30,4.000%,4.730%,החוב לא נחות,,4426571.65300158,1.0,118.67,0.0,5253.01258,,,,0.303%,0.256%,0.009%
170,2002,"הפניקס גיוסי הון (2009)בע""מ",514290345,ח.פ.,פניקס הון אגח ה,IL0011354177,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,ביטוח,לא,Aa2,מידרוג Moodys,נייר ערך,ILS,1.06,2026-10-31,2.250%,3.080%,החוב לא נחות,,1618653.44988915,1.0,120.29,0.0,1947.07823,,,,0.396%,0.095%,0.004%
170,2002,"שיכון ובינוי בע""מ - שכון ובינוי אחזקות",520036104,ח.פ.,שיכון ובינוי אגח 8,IL0011358889,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,בנייה,לא,A,S&P מעלות,נייר ערך,ILS,1.97,2029-05-01,3.900%,3.200%,החוב לא נחות,,9485262.65179777,1.0,122.88,0.0,11655.49075,,,,0.687%,0.568%,0.021%
170,2002,"ריט 1 בע""מ",513821488,ח.פ.,ריט 1 אגח ה,IL0011367534,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",לא,AA,S&P מעלות,נייר ערך,ILS,1.67,2028-09-20,4.000%,2.890%,החוב לא נחות,,1753752.20218365,1.0,121.74,0.0,2135.01793,,,,0.243%,0.104%,0.004%
