מספר קרן,מספר מסלול,מאפיין עיקרי,חודש הנפקת שכבה,חודש הבדיקה,"שווי הנכסים באפיק (באלפי ש""ח)",שיעור מסך נכסי ההשקעה
170,2002,החזקה באפיק השקעה מובטח תשואה,,,5483232.10138,9.885%
170,9654,החזקה באפיק השקעה מובטח תשואה,,,3526365.10095,9.772%
170,12177,החזקה באפיק השקעה מובטח תשואה,,,2237813.18297,21.157%
170,13347,החזקה באפיק השקעה מובטח תשואה,,,1637240.71401,9.714%
170,9655,החזקה באפיק השקעה מובטח תשואה,,,1598830.81132,9.659%
170,9647,החזקה באפיק השקעה מובטח תשואה,,,811014.19961,9.335%
170,9656,החזקה באפיק השקעה מובטח תשואה,,,629699.95259,9.667%
170,2205,החזקה באפיק השקעה מובטח תשואה,,,493352.21085,21.871%
170,2004,החזקה באפיק השקעה מובטח תשואה,,,84482.08156,9.792%
170,15092,החזקה באפיק השקעה מובטח תשואה,,,74198.6494,9.508%
170,9648,החזקה באפיק השקעה מובטח תשואה,,,35740.45836,9.942%
170,14233,החזקה באפיק השקעה מובטח תשואה,,,34725.614,9.951%
170,14232,החזקה באפיק השקעה מובטח תשואה,,,26488.78299,8.268%
170,15432,החזקה באפיק השקעה מובטח תשואה,,,18624.12222,8.526%
170,12176,החזקה באפיק השקעה מובטח תשואה,,,15397.82397,21.474%
170,13213,החזקה באפיק השקעה מובטח תשואה,,,13206.71272,10.139%
170,9650,החזקה באפיק השקעה מובטח תשואה,,,2128.47564,21.870%
170,15433,החזקה באפיק השקעה מובטח תשואה,,,555.94637,6.958%
170,9649,,,,0.0,0.000%
667,15434,,,,0.0,
667,15435,,,,0.0,
667,15091,,,,0.0,
667,14231,,,,0.0,
667,14238,,,,0.0,
667,13698,,,,0.0,
667,14795,,,,0.0,
667,13214,,,,0.0,
667,12251,,,,0.0,
667,9635,,,,0.0,
667,9634,,,,0.0,
667,9633,,,,0.0,
667,2206,,,,0.0,
667,2176,,,,0.0,
