מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם הנכס,מאפיין עיקרי,"מדינת מיקום נדל""ן",בעל עניין/צד קשור,תאריך רכישה,שימוש עיקרי בנכס,מחזור חיי הנכס,כתובת הנכס,שיעור תשואה בפועל במהלך הרבעון,השיטה שבאמצעותה נקבע שווי הנכס,סוג גורם משערך,שם גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,מטבע פעילות,שווי הוגן (במטבע הפעילות),"שווי הוגן (באלפי ש""ח)","עלות מופחתת (באלפי ש""ח)",עלות מופחתת (במטבע הפעילות),השיטה שיושמה בדוח הכספי,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
170,2002,בניין HP - מקיפה כללי,"נדל""ן מניב",ישראל,לא,2008-11-02,משרדים,בשימוש,רחוב דפנה אזור התעשייה רעננה,0.000%,,מומחה בלתי תלוי,,אי-תלות,2024-12-31,ILS,21140.0,21139.99951,,,,3.596%,0.038%
170,2002,מקאן אריקסון - מקיפה כללי,"נדל""ן מניב",ישראל,לא,2008-11-02,משרדים,בשימוש,רחוב ראול וולנברג 2א תל אביב,7.371%,,מומחה בלתי תלוי,,אי-תלות,2024-12-31,ILS,31560.0,31559.99971,,,,5.369%,0.057%
170,2002,בניין אי.סי.אי - מקיפה כללי,"נדל""ן מניב",ישראל,לא,2008-11-02,משרדים,בשימוש,רחוב הסיבים 30 רמת סיב פתח תקווה,5.877%,,מומחה בלתי תלוי,,אי-תלות,2025-06-30,ILS,29560.0,29560.0,,,,5.029%,0.053%
170,2002,אדגר פ.ת - מקיפה כללי,"נדל""ן מניב",ישראל,לא,2009-09-30,משרדים,בשימוש,רחוב אפעל 35 פתח תקווה,6.887%,,מומחה בלתי תלוי,,אי-תלות,2024-12-31,ILS,35979.678,35979.67775,,,,6.121%,0.065%
170,2002,פארק אפק - מקיפה כללי,"נדל""ן מניב",ישראל,לא,2018-01-30,לוגיסטיקה ותעשייה,בשימוש,רחוב העמל 7 פארק תעסוקה אפק ראש העין,7.315%,,מומחה בלתי תלוי,,אי-תלות,2024-12-31,ILS,14009.854,14009.85385,,,,2.383%,0.025%
170,2002,חניון שוק הפשפשים - פנסיה,"נדל""ן מניב",ישראל,לא,2018-08-07,חניון,בשימוש,רבי פנחס 4 תל אביב,6.235%,,מומחה בלתי תלוי,,אי-תלות,2024-12-31,ILS,21689.956,21689.95624,,,,3.690%,0.039%
170,2002,טוטנאוור הר טוב בית שמש - פנסיה,"נדל""ן מניב",ישראל,לא,2019-08-25,לוגיסטיקה ותעשייה,בשימוש,איזור תעשיה הר טוב בית שמש,5.885%,,מומחה בלתי תלוי,,אי-תלות,2024-12-31,ILS,17503.198,17503.19764,,,,2.977%,0.032%
170,2002,מגדלי הארבעה - פנסיה,"נדל""ן מניב",ישראל,לא,2020-01-15,משרדים,בשימוש,רחוב הארבעה תל אביב-יפו,5.099%,,מומחה בלתי תלוי,,אי-תלות,2024-12-31,ILS,21664.792,21664.79173,,,,3.685%,0.039%
170,2002,עמק חפר - פנסיה,"נדל""ן מניב",ישראל,לא,2018-03-07,לוגיסטיקה ותעשייה,בשימוש,עמק חפר,5.748%,,מומחה בלתי תלוי,,אי-תלות,2024-12-31,ILS,54729.817,54729.8174,,,,9.310%,0.099%
170,2002,SKY TOWER - פנסיה,"נדל""ן מניב",ישראל,לא,2022-03-30,משרדים,בשימוש,"רחוב המסגר 35, מתחם חסן עראפה, תל אביב",6.364%,,מומחה בלתי תלוי,,אי-תלות,2024-12-31,ILS,25027.502,25027.50218,,,,4.257%,0.045%
