מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,זירת מסחר,נכס בסיס,בעל עניין/צד קשור,מטבע פעילות,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
170,2002,Osaka Exchange,3538001249AILNPRUX57,LEI,12/2025 JPM NKZ5 Index משתנה,557001076,פנימי,"חו""ל",יפן,אחר,מניות לרבות מדדי מניות,לא,JPY,91.603576356,0.022332,4499000.0,92035.64111,190.994%,0.166%
170,2002,Osaka Exchange,3538001249AILNPRUX57,LEI,12/2025 JPM NKZ5 Index התחייבות,557001077,פנימי,"חו""ל",יפן,אחר,מניות לרבות מדדי מניות,לא,JPY,-4006477277.45335,0.022332,100.0,-89472.65056,-185.675%,-0.161%
170,2002,Osaka Exchange,3538001249AILNPRUX57,LEI,12/2025 JPM TPZ5 Index משתנה,557001078,פנימי,"חו""ל",יפן,אחר,מניות לרבות מדדי מניות,לא,JPY,461.392750381,0.022332,314100.0,323643.07734,671.628%,0.583%
170,2002,Osaka Exchange,3538001249AILNPRUX57,LEI,12/2025 JPM TPZ5 Index התחייבות,557001079,פנימי,"חו""ל",יפן,אחר,מניות לרבות מדדי מניות,לא,JPY,-14440168409.7578,0.022332,100.0,-322477.84093,-669.210%,-0.581%
170,2002,Chicago Mercantile Exchange,LCZ7XYGSLJUHFXXNXD88,LEI,12/2025 JPM ESZ5 Index משתנה,557001080,פנימי,"חו""ל","ארה""ב",CME,מניות לרבות מדדי מניות,לא,USD,1732.75396538,3.306,673875.0,1930141.28313,4005.455%,3.480%
170,2002,Chicago Mercantile Exchange,LCZ7XYGSLJUHFXXNXD88,LEI,12/2025 JPM ESZ5 Index התחייבות,557001081,פנימי,"חו""ל","ארה""ב",CME,מניות לרבות מדדי מניות,לא,USD,-578491174.242771,3.306,100.0,-1912491.82205,-3968.828%,-3.448%
170,2002,Chicago Mercantile Exchange,LCZ7XYGSLJUHFXXNXD88,LEI,12/2025 JPM NQZ5 Index משתנה,557001082,פנימי,"חו""ל","ארה""ב",CME,מניות לרבות מדדי מניות,לא,USD,505.7481663,3.306,2490175.0,832716.23214,1728.064%,1.501%
170,2002,Chicago Mercantile Exchange,LCZ7XYGSLJUHFXXNXD88,LEI,12/2025 JPM NQZ5 Index התחייבות,557001083,פנימי,"חו""ל","ארה""ב",CME,מניות לרבות מדדי מניות,לא,USD,-248750762.633398,3.306,100.0,-822370.02126,-1706.593%,-1.483%
170,2002,Eurex,3157006N403B4B9JLJ02,LEI,12/2025 JPM GXZ5 Index משתנה,DE000C7GEVL3,ISIN,"חו""ל",גרמניה,EUREX,מניות לרבות מדדי מניות,לא,EUR,35.436120327,3.8807,2401100.0,82547.98845,171.305%,0.149%
170,2002,Eurex,3157006N403B4B9JLJ02,LEI,12/2025 JPM GXZ5 Index התחייבות,557001085,פנימי,"חו""ל",גרמניה,EUREX,מניות לרבות מדדי מניות,לא,EUR,-21043740.0562164,3.8807,100.0,-81664.44203,-169.471%,-0.147%
170,2002,Eurex,3157006N403B4B9JLJ02,LEI,12/2025 JPM VGZ5 Index משתנה,DE000C7GEHQ1,ISIN,"חו""ל",גרמניה,EUREX,מניות לרבות מדדי מניות,לא,EUR,3623.403568951,3.8807,554100.0,779138.97296,1616.879%,1.405%
170,2002,Eurex,3157006N403B4B9JLJ02,LEI,12/2025 JPM VGZ5 Index התחייבות,557001087,פנימי,"חו""ל",גרמניה,EUREX,מניות לרבות מדדי מניות,לא,EUR,-196767047.890743,3.8807,100.0,-763593.88275,-1584.620%,-1.377%
170,2002,Chicago Board of Trade,549300EX04Q2QBFQTQ27,LEI,UXYZ5 Comdty,70235490,פנימי,"חו""ל","ארה""ב",אחר,"ריבית ואג""ח",לא,USD,10.045017822,3.306,11507.8125,35.28438,0.073%,0.000%
170,9654,Osaka Exchange,3538001249AILNPRUX57,LEI,12/2025 JPM NKZ5 Index משתנה,557001076,פנימי,"חו""ל",יפן,אחר,מניות לרבות מדדי מניות,לא,JPY,72.277383811,0.022332,4499000.0,72618.2931,170.472%,0.201%
170,9654,Osaka Exchange,3538001249AILNPRUX57,LEI,12/2025 JPM NKZ5 Index התחייבות,557001077,פנימי,"חו""ל",יפן,אחר,מניות לרבות מדדי מניות,לא,JPY,-3161205134.49786,0.022332,100.0,-70596.03306,-165.725%,-0.196%
170,9654,Osaka Exchange,3538001249AILNPRUX57,LEI,12/2025 JPM TPZ5 Index משתנה,557001078,פנימי,"חו""ל",יפן,אחר,מניות לרבות מדדי מניות,לא,JPY,364.049770039,0.022332,314100.0,255362.02678,599.466%,0.708%
170,9654,Osaka Exchange,3538001249AILNPRUX57,LEI,12/2025 JPM TPZ5 Index התחייבות,557001079,פנימי,"חו""ל",יפן,אחר,מניות לרבות מדדי מניות,לא,JPY,-11393633698.3186,0.022332,100.0,-254442.62775,-597.308%,-0.705%
170,9654,Chicago Mercantile Exchange,LCZ7XYGSLJUHFXXNXD88,LEI,12/2025 JPM ESZ5 Index משתנה,557001080,פנימי,"חו""ל","ארה""ב",CME,מניות לרבות מדדי מניות,לא,USD,1367.183775883,3.306,673875.0,1522927.02841,3575.092%,4.220%
170,9654,Chicago Mercantile Exchange,LCZ7XYGSLJUHFXXNXD88,LEI,12/2025 JPM ESZ5 Index התחייבות,557001081,פנימי,"חו""ל","ארה""ב",CME,מניות לרבות מדדי מניות,לא,USD,-456443190.273214,3.306,100.0,-1509001.18704,-3542.401%,-4.182%
170,9654,Chicago Mercantile Exchange,LCZ7XYGSLJUHFXXNXD88,LEI,12/2025 JPM NQZ5 Index משתנה,557001082,פנימי,"חו""ל","ארה""ב",CME,מניות לרבות מדדי מניות,לא,USD,399.047240095,3.306,2490175.0,657032.76128,1542.394%,1.821%
170,9654,Chicago Mercantile Exchange,LCZ7XYGSLJUHFXXNXD88,LEI,12/2025 JPM NQZ5 Index התחייבות,557001083,פנימי,"חו""ל","ארה""ב",CME,מניות לרבות מדדי מניות,לא,USD,-196270222.839449,3.306,100.0,-648869.35671,-1523.230%,-1.798%
170,9654,Chicago Mercantile Exchange,LCZ7XYGSLJUHFXXNXD88,LEI,ESZ5 Index,70232294,פנימי,"חו""ל","ארה""ב",CME,מניות לרבות מדדי מניות,לא,USD,299.0,3.306,673875.0,4603.23309,10.806%,0.013%
170,9654,Eurex,3157006N403B4B9JLJ02,LEI,12/2025 JPM GXZ5 Index משתנה,DE000C7GEVL3,ISIN,"חו""ל",גרמניה,EUREX,מניות לרבות מדדי מניות,לא,EUR,27.959935316,3.8807,2401100.0,65132.31122,152.899%,0.180%
170,9654,Eurex,3157006N403B4B9JLJ02,LEI,12/2025 JPM GXZ5 Index התחייבות,557001085,פנימי,"חו""ל",גרמניה,EUREX,מניות לרבות מדדי מניות,לא,EUR,-16604007.5876917,3.8807,100.0,-64435.17224,-151.262%,-0.179%
170,9654,Eurex,3157006N403B4B9JLJ02,LEI,12/2025 JPM VGZ5 Index משתנה,DE000C7GEHQ1,ISIN,"חו""ל",גרמניה,EUREX,מניות לרבות מדדי מניות,לא,EUR,2858.950937021,3.8807,554100.0,614759.03924,1443.155%,1.704%
170,9654,Eurex,3157006N403B4B9JLJ02,LEI,12/2025 JPM VGZ5 Index התחייבות,557001087,פנימי,"חו""ל",גרמניה,EUREX,מניות לרבות מדדי מניות,לא,EUR,-155253844.965665,3.8807,100.0,-602493.59616,-1414.362%,-1.670%
170,9654,Chicago Board of Trade,549300EX04Q2QBFQTQ27,LEI,UXYZ5 Comdty,70235490,פנימי,"חו""ל","ארה""ב",אחר,"ריבית ואג""ח",לא,USD,0.437145524,3.306,11507.8125,1.53553,0.004%,0.000%
170,13347,Chicago Mercantile Exchange,LCZ7XYGSLJUHFXXNXD88,LEI,12/2025 JPM ESZ5 Index משתנה,557001080,פנימי,"חו""ל","ארה""ב",CME,מניות לרבות מדדי מניות,לא,USD,2874.264845332,3.306,673875.0,3201687.80303,10935.979%,18.997%
170,13347,Chicago Mercantile Exchange,LCZ7XYGSLJUHFXXNXD88,LEI,12/2025 JPM ESZ5 Index התחייבות,557001081,פנימי,"חו""ל","ארה""ב",CME,מניות לרבות מדדי מניות,לא,USD,-959592001.335492,3.306,100.0,-3172411.15641,-10835.979%,-18.823%
170,9655,Osaka Exchange,3538001249AILNPRUX57,LEI,12/2025 JPM NKZ5 Index משתנה,557001076,פנימי,"חו""ל",יפן,אחר,מניות לרבות מדדי מניות,לא,JPY,29.110014099,0.022332,4499000.0,29247.31672,188.830%,0.177%
170,9655,Osaka Exchange,3538001249AILNPRUX57,LEI,12/2025 JPM NKZ5 Index התחייבות,557001077,פנימי,"חו""ל",יפן,אחר,מניות לרבות מדדי מניות,לא,JPY,-1273188391.49262,0.022332,100.0,-28432.84316,-183.572%,-0.172%
170,9655,Osaka Exchange,3538001249AILNPRUX57,LEI,12/2025 JPM TPZ5 Index משתנה,557001078,פנימי,"חו""ל",יפן,אחר,מניות לרבות מדדי מניות,לא,JPY,146.6225447,0.022332,314100.0,102848.10833,664.022%,0.621%
170,9655,Osaka Exchange,3538001249AILNPRUX57,LEI,12/2025 JPM TPZ5 Index התחייבות,557001079,פנימי,"חו""ל",יפן,אחר,מניות לרבות מדדי מניות,לא,JPY,-4588832911.63658,0.022332,100.0,-102477.81658,-661.631%,-0.619%
170,9655,Chicago Mercantile Exchange,LCZ7XYGSLJUHFXXNXD88,LEI,12/2025 JPM ESZ5 Index משתנה,557001080,פנימי,"חו""ל","ארה""ב",CME,מניות לרבות מדדי מניות,לא,USD,550.638898278,3.306,673875.0,613365.13487,3960.091%,3.705%
170,9655,Chicago Mercantile Exchange,LCZ7XYGSLJUHFXXNXD88,LEI,12/2025 JPM ESZ5 Index התחייבות,557001081,פנימי,"חו""ל","ארה""ב",CME,מניות לרבות מדדי מניות,לא,USD,-183834375.343068,3.306,100.0,-607756.44488,-3923.880%,-3.671%
170,9655,Chicago Mercantile Exchange,LCZ7XYGSLJUHFXXNXD88,LEI,12/2025 JPM NQZ5 Index משתנה,557001082,פנימי,"חו""ל","ארה""ב",CME,מניות לרבות מדדי מניות,לא,USD,160.717919948,3.306,2490175.0,264622.65146,1708.493%,1.599%
