מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,זירת מסחר,נכס בסיס (כתב אופציה),ענף מסחר,תאריך פקיעה,בעל עניין/צד קשור,מטבע פעילות,שער מימוש,יחס המרה,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
170,2002,"מפעלים פטרוכימיים בישראל בע""מ",520029315,ח.פ.,פטרוכימים אפ 1,IL0011903056,ISIN,ישראל,ישראל,סחיר,TASE,IL0007560159,אנרגיה,2026-10-25,לא,ILS,37.5,1.0,38822.685640562,1.0,134.3,52.13887,0.117%,0.000%
170,2002,"מפעלים פטרוכימיים בישראל בע""מ",520029315,ח.פ.,פטרוכימים אפ 2,IL0011903130,ISIN,ישראל,ישראל,סחיר,TASE,IL0007560159,אנרגיה,2026-10-25,לא,ILS,600.0,1.0,4309.194108417,1.0,8.1,0.34904,0.001%,0.000%
170,2002,זפירוס ווינג אנרגיס בעמ,516537560,ח.פ.,זפירוס אופ 1,IL0011947038,ISIN,ישראל,ישראל,סחיר,TASE,IL0011946956,אנרגיה מתחדשת,2026-06-30,לא,ILS,1650.0,1.0,406841.928084583,1.0,464.5,1889.78076,4.224%,0.003%
170,2002,מיטב טרייד השקעות בעמ,516854239,ח.פ.,מיטב טרייד אפ 1,IL0012031998,ISIN,ישראל,ישראל,סחיר,TASE,IL0012031816,שירותים פיננסיים,2028-01-18,לא,ILS,699.03,1.0,213037.227797018,1.0,1568.0,3340.42373,7.467%,0.006%
170,2002,"קיסטון אינפרא בע""מ",515983476,ח.פ.,קיסטון אינ אופ 2,IL0012039918,ISIN,ישראל,ישראל,סחיר,TASE,IL0011759342,השקעה ואחזקות,2026-02-11,לא,ILS,541.82,1.0,369856.298258712,1.0,403.0,1490.52088,3.332%,0.003%
170,2002,"אל על נתיבי אויר לישראל בע""מ",520017146,ח.פ.,אל על אפ 3,IL0012054677,ISIN,ישראל,ישראל,סחיר,TASE,IL0010878242,שירותים,2026-03-31,לא,ILS,510.4,1.0,3247339.96306483,1.0,1000.0,32473.39963,72.590%,0.059%
170,2002,רותם שני יזמות והשקעות בעמ,512287517,ח.פ.,רותם שני אופ 2,IL0012093030,ISIN,ישראל,ישראל,סחיר,TASE,IL0011715294,בנייה,2027-10-24,לא,ILS,2600.0,1.0,24185.68,1.0,1802.0,435.82595,0.974%,0.001%
170,2002,"ארי נדל""ן(ארנה) השקעות בעמ",520038332,ח.פ.,ארי נדלן אפ 1,IL0012123498,ISIN,ישראל,ישראל,סחיר,TASE,IL0003660136,"נדל""ן מניב בישראל",2027-09-27,לא,ILS,285.24,1.0,789513.56214981,1.0,59.6,470.55008,1.052%,0.001%
170,2002,פאי סיאם בעמ,513978635,ח.פ.,פאי סיאם אפ 1,IL0012162827,ISIN,ישראל,ישראל,סחיר,TASE,IL0011865271,מלונאות ותיירות,2028-01-12,לא,ILS,4900.0,1.0,105316.580929168,1.0,480.1,505.62491,1.130%,0.001%
170,2002,נאייקס בעמ דואלי,513639013,ח.פ.,נאייקס אפ 1,IL0012189812,ISIN,ישראל,ישראל,סחיר,TASE,IL0011751166,תוכנה ואינטרנט,2027-03-31,לא,ILS,16225.0,1.0,2488.987222256,1.0,2797.0,69.61697,0.156%,0.000%
