מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,ענף מסחר,נכס בסיס,תאריך פקיעה,בעל עניין/צד קשור,תאריך רכישה,מטבע פעילות,סוג גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,שער מימוש,יחס המרה,ערך נקוב (יחידות),שער נייר הערך,שער חליפין,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
170,2002,הרשת הלאומית לחדשנות טכנולוגית,500501960.0,ח.פ.,אופציה בגין תוכנית 43,999999055.0,פנימי,מניה,ישראל,ישראל,השקעות בהיי-טק,אחר,2029-05-31,לא,2021-12-30,ILS,אחר,אי-תלות,2025-09-30,100.0,1.0,21.12,27766637.66,1.0,5864.31387,75.582%,0.011%
170,2002,וויצק נדלן,516337441.0,ח.פ.,אופציה וויצק לא סחירה,999999099.0,פנימי,מניה,ישראל,ישראל,שירותים פיננסיים,אחר,2027-09-12,לא,2024-06-17,ILS,אחר,אי-תלות,2025-09-30,260.0,1.0,6275.312192877,15.57,1.0,97.70661,1.259%,0.000%
170,2002,Dolce Vita way of life LTD,514074723.0,ח.פ.,אופציה דולצה לא סחירה,99368063.0,פנימי,מניה,ישראל,ישראל,מסחר,אחר,2027-04-21,לא,2025-03-24,ILS,אחר,אי-תלות,2025-09-30,9594.1083,1.0,808.13,838.79,1.0,677.85136,8.736%,0.001%
170,2002,Finitifun Global LTD,516490802.0,ח.פ.,אופציה פיניטיפאן לא סחירה,99368064.0,פנימי,מניה,ישראל,ישראל,מסחר,אחר,2027-04-21,לא,2025-03-24,ILS,אחר,אי-תלות,2025-09-30,198.02,1.0,808.13,35.58,1.0,28.75326,0.371%,0.000%
170,2002,Nisko Group Ltd,510928237.0,ח.פ.,Nisko Group Option,99368088.0,פנימי,מניה,ישראל,ישראל,אחר,אחר,2027-07-05,לא,2025-07-07,ILS,אחר,אי-תלות,2025-09-30,28.8834,1.0,267225.67,4.08,1.0,1090.28073,14.052%,0.002%
170,9654,הרשת הלאומית לחדשנות טכנולוגית,500501960.0,ח.פ.,אופציה בגין תוכנית 43,999999055.0,פנימי,מניה,ישראל,ישראל,השקעות בהיי-טק,אחר,2029-05-31,לא,2021-12-30,ILS,אחר,אי-תלות,2025-09-30,100.0,1.0,7.52,27766637.66,1.0,2089.16181,59.203%,0.006%
170,9654,וויצק נדלן,516337441.0,ח.פ.,אופציה וויצק לא סחירה,999999099.0,פנימי,מניה,ישראל,ישראל,שירותים פיננסיים,אחר,2027-09-12,לא,2024-06-17,ILS,אחר,אי-תלות,2025-09-30,260.0,1.0,4525.69227184,15.57,1.0,70.46503,1.997%,0.000%
170,9654,Dolce Vita way of life LTD,514074723.0,ח.פ.,אופציה דולצה לא סחירה,99368063.0,פנימי,מניה,ישראל,ישראל,מסחר,אחר,2027-04-21,לא,2025-03-24,ILS,אחר,אי-תלות,2025-09-30,9594.1083,1.0,615.77,838.79,1.0,516.50171,14.637%,0.001%
170,9654,Finitifun Global LTD,516490802.0,ח.פ.,אופציה פיניטיפאן לא סחירה,99368064.0,פנימי,מניה,ישראל,ישראל,מסחר,אחר,2027-04-21,לא,2025-03-24,ILS,אחר,אי-תלות,2025-09-30,198.02,1.0,615.77,35.58,1.0,21.90909,0.621%,0.000%
170,9654,Nisko Group Ltd,510928237.0,ח.פ.,Nisko Group Option,99368088.0,פנימי,מניה,ישראל,ישראל,אחר,אחר,2027-07-05,לא,2025-07-07,ILS,אחר,אי-תלות,2025-09-30,28.8834,1.0,203619.67,4.08,1.0,830.76825,23.542%,0.002%
170,9655,הרשת הלאומית לחדשנות טכנולוגית,500501960.0,ח.פ.,אופציה בגין תוכנית 43,999999055.0,פנימי,מניה,ישראל,ישראל,השקעות בהיי-טק,אחר,2029-05-31,לא,2021-12-30,ILS,אחר,אי-תלות,2025-09-30,100.0,1.0,1.9,27766637.66,1.0,530.06511,47.356%,0.003%
170,9655,וויצק נדלן,516337441.0,ח.פ.,אופציה וויצק לא סחירה,999999099.0,פנימי,מניה,ישראל,ישראל,שירותים פיננסיים,אחר,2027-09-12,לא,2024-06-17,ILS,אחר,אי-תלות,2025-09-30,260.0,1.0,1935.165195544,15.57,1.0,30.13052,2.692%,0.000%
170,9655,Dolce Vita way of life LTD,514074723.0,ח.פ.,אופציה דולצה לא סחירה,99368063.0,פנימי,מניה,ישראל,ישראל,מסחר,אחר,2027-04-21,לא,2025-03-24,ILS,אחר,אי-תלות,2025-09-30,9594.1083,1.0,251.46,838.79,1.0,210.92213,18.844%,0.001%
170,9655,Finitifun Global LTD,516490802.0,ח.פ.,אופציה פיניטיפאן לא סחירה,99368064.0,פנימי,מניה,ישראל,ישראל,מסחר,אחר,2027-04-21,לא,2025-03-24,ILS,אחר,אי-תלות,2025-09-30,198.02,1.0,251.46,35.58,1.0,8.94694,0.799%,0.000%
170,9655,Nisko Group Ltd,510928237.0,ח.פ.,Nisko Group Option,99368088.0,פנימי,מניה,ישראל,ישראל,אחר,אחר,2027-07-05,לא,2025-07-07,ILS,אחר,אי-תלות,2025-09-30,28.8834,1.0,83150.53,4.08,1.0,339.25416,30.309%,0.002%
170,12177,הרשת הלאומית לחדשנות טכנולוגית,500501960.0,ח.פ.,אופציה בגין תוכנית 43,999999055.0,פנימי,מניה,ישראל,ישראל,השקעות בהיי-טק,אחר,2029-05-31,לא,2021-12-30,ILS,אחר,אי-תלות,2025-09-30,100.0,1.0,2.02,27766637.66,1.0,561.44141,59.330%,0.005%
170,12177,וויצק נדלן,516337441.0,ח.פ.,אופציה וויצק לא סחירה,999999099.0,פנימי,מניה,ישראל,ישראל,שירותים פיננסיים,אחר,2027-09-12,לא,2024-06-17,ILS,אחר,אי-תלות,2025-09-30,260.0,1.0,1292.758180236,15.57,1.0,20.12824,2.127%,0.000%
170,12177,Dolce Vita way of life LTD,514074723.0,ח.פ.,אופציה דולצה לא סחירה,99368063.0,פנימי,מניה,ישראל,ישראל,מסחר,אחר,2027-04-21,לא,2025-03-24,ILS,אחר,אי-תלות,2025-09-30,9594.1083,1.0,164.03,838.79,1.0,137.58672,14.539%,0.001%
170,12177,Finitifun Global LTD,516490802.0,ח.פ.,אופציה פיניטיפאן לא סחירה,99368064.0,פנימי,מניה,ישראל,ישראל,מסחר,אחר,2027-04-21,לא,2025-03-24,ILS,אחר,אי-תלות,2025-09-30,198.02,1.0,164.03,35.58,1.0,5.83618,0.617%,0.000%
170,12177,Nisko Group Ltd,510928237.0,ח.פ.,Nisko Group Option,99368088.0,פנימי,מניה,ישראל,ישראל,אחר,אחר,2027-07-05,לא,2025-07-07,ILS,אחר,אי-תלות,2025-09-30,28.8834,1.0,54241.5,4.08,1.0,221.30532,23.386%,0.002%
170,9656,הרשת הלאומית לחדשנות טכנולוגית,500501960.0,ח.פ.,אופציה בגין תוכנית 43,999999055.0,פנימי,מניה,ישראל,ישראל,השקעות בהיי-טק,אחר,2029-05-31,לא,2021-12-30,ILS,אחר,אי-תלות,2025-09-30,100.0,1.0,1.05,27766637.66,1.0,293.49336,55.506%,0.005%
170,9656,וויצק נדלן,516337441.0,ח.פ.,אופציה וויצק לא סחירה,999999099.0,פנימי,מניה,ישראל,ישראל,שירותים פיננסיים,אחר,2027-09-12,לא,2024-06-17,ILS,אחר,אי-תלות,2025-09-30,260.0,1.0,764.92563756,15.57,1.0,11.90989,2.252%,0.000%
170,9656,Dolce Vita way of life LTD,514074723.0,ח.פ.,אופציה דולצה לא סחירה,99368063.0,פנימי,מניה,ישראל,ישראל,מסחר,אחר,2027-04-21,לא,2025-03-24,ILS,אחר,אי-תלות,2025-09-30,9594.1083,1.0,100.45,838.79,1.0,84.25645,15.935%,0.001%
170,9656,Finitifun Global LTD,516490802.0,ח.פ.,אופציה פיניטיפאן לא סחירה,99368064.0,פנימי,מניה,ישראל,ישראל,מסחר,אחר,2027-04-21,לא,2025-03-24,ILS,אחר,אי-תלות,2025-09-30,198.02,1.0,100.45,35.58,1.0,3.57401,0.676%,0.000%
170,9656,Nisko Group Ltd,510928237.0,ח.פ.,Nisko Group Option,99368088.0,פנימי,מניה,ישראל,ישראל,אחר,אחר,2027-07-05,לא,2025-07-07,ILS,אחר,אי-תלות,2025-09-30,28.8834,1.0,33216.35,4.08,1.0,135.5227,25.630%,0.002%
170,9647,הרשת הלאומית לחדשנות טכנולוגית,500501960.0,ח.פ.,אופציה בגין תוכנית 43,999999055.0,פנימי,מניה,ישראל,ישראל,השקעות בהיי-טק,אחר,2029-05-31,לא,2021-12-30,ILS,אחר,אי-תלות,2025-09-30,100.0,1.0,0.68,27766637.66,1.0,190.20146,44.457%,0.002%
170,9647,Dolce Vita way of life LTD,514074723.0,ח.פ.,אופציה דולצה לא סחירה,99368063.0,פנימי,מניה,ישראל,ישראל,מסחר,אחר,2027-04-21,לא,2025-03-24,ILS,אחר,אי-תלות,2025-09-30,9594.1083,1.0,106.87,838.79,1.0,89.64148,20.952%,0.001%
170,9647,Finitifun Global LTD,516490802.0,ח.פ.,אופציה פיניטיפאן לא סחירה,99368064.0,פנימי,מניה,ישראל,ישראל,מסחר,אחר,2027-04-21,לא,2025-03-24,ILS,אחר,אי-תלות,2025-09-30,198.02,1.0,106.87,35.58,1.0,3.80243,0.889%,0.000%
170,9647,Nisko Group Ltd,510928237.0,ח.פ.,Nisko Group Option,99368088.0,פנימי,מניה,ישראל,ישראל,אחר,אחר,2027-07-05,לא,2025-07-07,ILS,אחר,אי-תלות,2025-09-30,28.8834,1.0,35340.07,4.08,1.0,144.18748,33.702%,0.002%
170,2205,וויצק נדלן,516337441.0,ח.פ.,אופציה וויצק לא סחירה,999999099.0,פנימי,מניה,ישראל,ישראל,שירותים פיננסיים,אחר,2027-09-12,לא,2024-06-17,ILS,אחר,אי-תלות,2025-09-30,260.0,1.0,187.17,15.57,1.0,2.91423,100.000%,0.000%
170,9648,וויצק נדלן,516337441.0,ח.פ.,אופציה וויצק לא סחירה,999999099.0,פנימי,מניה,ישראל,ישראל,שירותים פיננסיים,אחר,2027-09-12,לא,2024-06-17,ILS,אחר,אי-תלות,2025-09-30,260.0,1.0,33.27981508,15.57,1.0,0.51817,100.000%,0.000%
170,15433,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
170,15432,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
170,15092,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
170,14233,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
170,14232,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
170,13347,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
170,13213,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
170,12176,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
170,9650,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
170,2004,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
170,9649,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
667,2176,הרשת הלאומית לחדשנות טכנולוגית,500501960.0,ח.פ.,אופציה בגין תוכנית 43,999999055.0,פנימי,מניה,ישראל,ישראל,השקעות בהיי-טק,אחר,2029-05-31,לא,2021-12-30,ILS,אחר,אי-תלות,2025-09-30,100.0,1.0,0.67,27766637.66,1.0,188.2578,75.222%,0.011%
667,2176,וויצק נדלן,516337441.0,ח.פ.,אופציה וויצק לא סחירה,999999099.0,פנימי,מניה,ישראל,ישראל,שירותים פיננסיים,אחר,2027-09-12,לא,2024-06-17,ILS,אחר,אי-תלות,2025-09-30,260.0,1.0,206.585882061,15.57,1.0,3.21654,1.285%,0.000%
667,2176,Dolce Vita way of life LTD,514074723.0,ח.פ.,אופציה דולצה לא סחירה,99368063.0,פנימי,מניה,ישראל,ישראל,מסחר,אחר,2027-04-21,לא,2025-03-24,ILS,אחר,אי-תלות,2025-09-30,9594.1083,1.0,26.44,838.79,1.0,22.1776,8.861%,0.001%
667,2176,Finitifun Global LTD,516490802.0,ח.פ.,אופציה פיניטיפאן לא סחירה,99368064.0,פנימי,מניה,ישראל,ישראל,מסחר,אחר,2027-04-21,לא,2025-03-24,ILS,אחר,אי-תלות,2025-09-30,198.02,1.0,26.45,35.58,1.0,0.94109,0.376%,0.000%
667,2176,Nisko Group Ltd,510928237.0,ח.פ.,Nisko Group Option,99368088.0,פנימי,מניה,ישראל,ישראל,אחר,אחר,2027-07-05,לא,2025-07-07,ILS,אחר,אי-תלות,2025-09-30,28.8834,1.0,8744.55,4.08,1.0,35.67776,14.256%,0.002%
667,9633,הרשת הלאומית לחדשנות טכנולוגית,500501960.0,ח.פ.,אופציה בגין תוכנית 43,999999055.0,פנימי,מניה,ישראל,ישראל,השקעות בהיי-טק,אחר,2029-05-31,לא,2021-12-30,ILS,אחר,אי-תלות,2025-09-30,100.0,1.0,0.21,27766637.66,1.0,58.30993,43.247%,0.003%
667,9633,וויצק נדלן,516337441.0,ח.פ.,אופציה וויצק לא סחירה,999999099.0,פנימי,מניה,ישראל,ישראל,שירותים פיננסיים,אחר,2027-09-12,לא,2024-06-17,ILS,אחר,אי-תלות,2025-09-30,260.0,1.0,254.792119753,15.57,1.0,3.96711,2.942%,0.000%
667,9633,Dolce Vita way of life LTD,514074723.0,ח.פ.,אופציה דולצה לא סחירה,99368063.0,פנימי,מניה,ישראל,ישראל,מסחר,אחר,2027-04-21,לא,2025-03-24,ILS,אחר,אי-תלות,2025-09-30,9594.1083,1.0,32.63,838.79,1.0,27.36971,20.299%,0.002%
667,9633,Finitifun Global LTD,516490802.0,ח.פ.,אופציה פיניטיפאן לא סחירה,99368064.0,פנימי,מניה,ישראל,ישראל,מסחר,אחר,2027-04-21,לא,2025-03-24,ILS,אחר,אי-תלות,2025-09-30,198.02,1.0,32.63,35.58,1.0,1.16097,0.861%,0.000%
667,9633,Nisko Group Ltd,510928237.0,ח.פ.,Nisko Group Option,99368088.0,פנימי,מניה,ישראל,ישראל,אחר,אחר,2027-07-05,לא,2025-07-07,ILS,אחר,אי-תלות,2025-09-30,28.8834,1.0,10790.14,4.08,1.0,44.02377,32.651%,0.002%
667,9634,וויצק נדלן,516337441.0,ח.פ.,אופציה וויצק לא סחירה,999999099.0,פנימי,מניה,ישראל,ישראל,שירותים פיננסיים,אחר,2027-09-12,לא,2024-06-17,ILS,אחר,אי-תלות,2025-09-30,260.0,1.0,102.475747256,15.57,1.0,1.59555,5.137%,0.000%
667,9634,Dolce Vita way of life LTD,514074723.0,ח.פ.,אופציה דולצה לא סחירה,99368063.0,פנימי,מניה,ישראל,ישראל,מסחר,אחר,2027-04-21,לא,2025-03-24,ILS,אחר,אי-תלות,2025-09-30,9594.1083,1.0,13.25,838.79,1.0,11.11396,35.782%,0.001%
667,9634,Finitifun Global LTD,516490802.0,ח.פ.,אופציה פיניטיפאן לא סחירה,99368064.0,פנימי,מניה,ישראל,ישראל,מסחר,אחר,2027-04-21,לא,2025-03-24,ILS,אחר,אי-תלות,2025-09-30,198.02,1.0,13.25,35.58,1.0,0.47143,1.518%,0.000%
667,9634,Nisko Group Ltd,510928237.0,ח.פ.,Nisko Group Option,99368088.0,פנימי,מניה,ישראל,ישראל,אחר,אחר,2027-07-05,לא,2025-07-07,ILS,אחר,אי-תלות,2025-09-30,28.8834,1.0,4382.22,4.08,1.0,17.87945,57.564%,0.002%
667,12251,וויצק נדלן,516337441.0,ח.פ.,אופציה וויצק לא סחירה,999999099.0,פנימי,מניה,ישראל,ישראל,שירותים פיננסיים,אחר,2027-09-12,לא,2024-06-17,ILS,אחר,אי-תלות,2025-09-30,260.0,1.0,56.816776203,15.57,1.0,0.88464,5.181%,0.000%
667,12251,Dolce Vita way of life LTD,514074723.0,ח.פ.,אופציה דולצה לא סחירה,99368063.0,פנימי,מניה,ישראל,ישראל,מסחר,אחר,2027-04-21,לא,2025-03-24,ILS,אחר,אי-תלות,2025-09-30,9594.1083,1.0,7.28,838.79,1.0,6.10639,35.765%,0.001%
667,12251,Finitifun Global LTD,516490802.0,ח.פ.,אופציה פיניטיפאן לא סחירה,99368064.0,פנימי,מניה,ישראל,ישראל,מסחר,אחר,2027-04-21,לא,2025-03-24,ILS,אחר,אי-תלות,2025-09-30,198.02,1.0,7.28,35.58,1.0,0.25902,1.517%,0.000%
667,12251,Nisko Group Ltd,510928237.0,ח.פ.,Nisko Group Option,99368088.0,פנימי,מניה,ישראל,ישראל,אחר,אחר,2027-07-05,לא,2025-07-07,ILS,אחר,אי-תלות,2025-09-30,28.8834,1.0,2407.78,4.08,1.0,9.82374,57.537%,0.002%
667,9635,וויצק נדלן,516337441.0,ח.פ.,אופציה וויצק לא סחירה,999999099.0,פנימי,מניה,ישראל,ישראל,שירותים פיננסיים,אחר,2027-09-12,לא,2024-06-17,ILS,אחר,אי-תלות,2025-09-30,260.0,1.0,55.768315089,15.57,1.0,0.86831,5.297%,0.000%
667,9635,Dolce Vita way of life LTD,514074723.0,ח.פ.,אופציה דולצה לא סחירה,99368063.0,פנימי,מניה,ישראל,ישראל,מסחר,אחר,2027-04-21,לא,2025-03-24,ILS,אחר,אי-תלות,2025-09-30,9594.1083,1.0,6.98,838.79,1.0,5.85475,35.716%,0.001%
667,9635,Finitifun Global LTD,516490802.0,ח.פ.,אופציה פיניטיפאן לא סחירה,99368064.0,פנימי,מניה,ישראל,ישראל,מסחר,אחר,2027-04-21,לא,2025-03-24,ILS,אחר,אי-תלות,2025-09-30,198.02,1.0,6.98,35.58,1.0,0.24834,1.515%,0.000%
667,9635,Nisko Group Ltd,510928237.0,ח.פ.,Nisko Group Option,99368088.0,פנימי,מניה,ישראל,ישראל,אחר,אחר,2027-07-05,לא,2025-07-07,ILS,אחר,אי-תלות,2025-09-30,28.8834,1.0,2309.11,4.08,1.0,9.42116,57.472%,0.002%
667,2206,וויצק נדלן,516337441.0,ח.פ.,אופציה וויצק לא סחירה,999999099.0,פנימי,מניה,ישראל,ישראל,שירותים פיננסיים,אחר,2027-09-12,לא,2024-06-17,ILS,אחר,אי-תלות,2025-09-30,260.0,1.0,19.18,15.57,1.0,0.29863,100.000%,0.000%
667,15434,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
667,15435,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
667,15091,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
667,14231,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
