מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,מאפיין עיקרי,שם נייר ערך,מספר נייר ערך,תאריך רכישה,"מח""מ",סוג הצמדה,מועד פדיון,שיעור ריבית,תשואה לפדיון,ערך נקוב (יחידות),שער נייר הערך,"שווי הוגן (באלפי ש""ח)","עלות מופחתת (באלפי ש""ח)",השיטה שיושמה בדוח הכספי,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
170,2002,ערד בקרן פנסיה מקיפה חדשה,ערד 8787,71116420.0,2012-02-01,1.305,צמוד למדד המחירים לצרכן,2027-02-01,4.800%,4.840%,57663179.2210718,123.473,73754.084,71198.494,עלות מופחתת,0.469%,0.128%
170,2002,ערד בקרן פנסיה מקיפה חדשה,ערד 8786,71116487.0,2012-01-01,1.22,צמוד למדד המחירים לצרכן,2027-01-01,4.800%,4.840%,29087032.4118621,123.963,37267.82,36057.187,עלות מופחתת,0.237%,0.065%
170,2002,ערד בקרן פנסיה מקיפה חדשה,ערד 8783,71116503.0,2011-10-02,0.97,צמוד למדד המחירים לצרכן,2026-10-02,4.800%,4.860%,1588073.79566478,125.176,2041.894,1987.89,עלות מופחתת,0.013%,0.004%
170,2002,ערד בקרן פנסיה מקיפה חדשה,ערד 8782,71116511.0,2011-09-01,0.909,צמוד למדד המחירים לצרכן,2026-09-01,4.800%,4.850%,106571.130206701,123.339,134.771,131.444,עלות מופחתת,0.001%,0.000%
170,2002,ערד בקרן פנסיה מקיפה חדשה,ערד 8789,71116701.0,2012-04-01,1.434,צמוד למדד המחירים לצרכן,2027-04-01,4.800%,4.860%,44119792.0832344,125.433,57536.225,55340.873,עלות מופחתת,0.364%,0.100%
170,2002,ערד בקרן פנסיה מקיפה חדשה,ערד 8788,71116727.0,2012-03-01,1.382,צמוד למדד המחירים לצרכן,2027-03-01,4.800%,4.870%,36410928.3908365,122.983,46492.874,44779.262,עלות מופחתת,0.295%,0.081%
170,2002,ערד בקרן פנסיה מקיפה חדשה,ערד 8773,71116743.0,2010-12-01,0.17,צמוד למדד המחירים לצרכן,2025-12-01,4.800%,4.810%,12814112.6960537,127.746,16441.088,16369.472,עלות מופחתת,0.108%,0.030%
170,2002,ערד בקרן פנסיה מקיפה חדשה,ערד 8774,71116750.0,2011-01-02,0.255,צמוד למדד המחירים לצרכן,2026-01-01,4.800%,4.790%,33085581.2172175,127.124,42334.387,42059.844,עלות מופחתת,0.277%,0.076%
170,2002,ערד בקרן פנסיה מקיפה חדשה,ערד 8775,71116768.0,2011-02-01,0.34,צמוד למדד המחירים לצרכן,2026-02-01,4.800%,4.790%,23536480.0395273,126.153,29950.275,29691.946,עלות מופחתת,0.195%,0.054%
170,2002,ערד בקרן פנסיה מקיפה חדשה,ערד 8776,71116776.0,2011-03-01,0.416,צמוד למדד המחירים לצרכן,2026-03-01,4.800%,4.880%,25776196.9470656,125.394,32678.175,32321.921,עלות מופחתת,0.213%,0.058%
170,2002,ערד בקרן פנסיה מקיפה חדשה,ערד 8790,71117162.0,2012-05-01,1.516,צמוד למדד המחירים לצרכן,2027-05-01,4.800%,4.860%,34248026.3143953,124.464,44416.903,42626.624,עלות מופחתת,0.281%,0.077%
170,2002,ערד בקרן פנסיה מקיפה חדשה,ערד 8781,71118616.0,2011-08-01,0.824,צמוד למדד המחירים לצרכן,2026-08-01,4.800%,4.850%,20061933.283619,123.473,25331.773,24771.084,עלות מופחתת,0.163%,0.045%
170,2002,ערד בקרן פנסיה מקיפה חדשה,ערד 8777,71118822.0,2011-04-01,0.49,צמוד למדד המחירים לצרכן,2026-04-01,4.800%,4.870%,9239225.12216616,127.518,11933.802,11781.638,עלות מופחתת,0.078%,0.021%
170,2002,ערד בקרן פנסיה מקיפה חדשה,ערד 8778,71118830.0,2011-05-01,0.572,צמוד למדד המחירים לצרכן,2026-05-01,4.800%,4.870%,20997791.7624187,126.772,27021.267,26619.232,עלות מופחתת,0.175%,0.048%
170,2002,ערד בקרן פנסיה מקיפה חדשה,ערד 8779,71118848.0,2011-06-01,0.657,צמוד למדד המחירים לצרכן,2026-06-01,4.800%,4.850%,13023975.8447684,125.54,16644.859,16350.235,עלות מופחתת,0.108%,0.029%
170,2002,ערד בקרן פנסיה מקיפה חדשה,ערד 8780,71118855.0,2011-07-01,0.739,צמוד למדד המחירים לצרכן,2026-07-01,4.800%,4.860%,7953485.42511855,124.442,10098.81,9897.454,עלות מופחתת,0.065%,0.018%
170,2002,ערד בקרן פנסיה מקיפה חדשה,ערד 8784,71118905.0,2011-11-01,1.053,צמוד למדד המחירים לצרכן,2026-11-01,4.800%,4.850%,40649836.0837042,124.943,52281.332,50789.196,עלות מופחתת,0.334%,0.092%
170,2002,ערד בקרן פנסיה מקיפה חדשה,ערד 8785,71119127.0,2011-12-01,1.135,צמוד למדד המחירים לצרכן,2026-12-01,4.800%,4.850%,896181.227245887,124.334,1149.104,1114.254,עלות מופחתת,0.007%,0.002%
170,2002,ערד בקרן פנסיה מקיפה חדשה,ערד 8791,71119598.0,2012-06-01,1.599,צמוד למדד המחירים לצרכן,2027-06-01,4.800%,4.860%,298727.075748629,122.917,383.501,367.185,עלות מופחתת,0.002%,0.001%
170,2002,ערד בקרן פנסיה מקיפה חדשה,ערד 8792,71119747.0,2012-07-01,1.682,צמוד למדד המחירים לצרכן,2027-07-01,4.800%,4.860%,781740.228962384,122.433,1001.913,957.105,עלות מופחתת,0.006%,0.002%
170,2002,ערד בקרן פנסיה מקיפה חדשה,ערד 8793,71119846.0,2012-08-01,1.769,צמוד למדד המחירים לצרכן,2027-08-01,4.800%,4.850%,55421578.4638626,122.297,71111.153,67779.002,עלות מופחתת,0.446%,0.122%
170,2002,ערד בקרן פנסיה מקיפה חדשה,ערד 8794,71120232.0,2012-09-02,1.853,צמוד למדד המחירים לצרכן,2027-09-01,4.800%,4.850%,40114357.1433118,121.696,51351.631,48817.502,עלות מופחתת,0.321%,0.088%
170,2002,ערד בקרן פנסיה מקיפה חדשה,ערד 8795,71120356.0,2012-10-02,1.892,צמוד למדד המחירים לצרכן,2027-10-02,4.800%,4.860%,51817178.884687,122.835,67029.135,63649.495,עלות מופחתת,0.419%,0.115%
170,2002,ערד בקרן פנסיה מקיפה חדשה,ערד 8796,71120448.0,2012-11-01,1.977,צמוד למדד המחירים לצרכן,2027-11-01,4.800%,4.850%,52279861.545369,122.355,67512.392,63966.947,עלות מופחתת,0.421%,0.115%
170,2002,ערד בקרן פנסיה מקיפה חדשה,ערד 8797,71120570.0,2012-12-02,2.06,צמוד למדד המחירים לצרכן,2027-12-01,4.800%,4.850%,46247607.6644999,122.105,59761.59,56470.629,עלות מופחתת,0.372%,0.102%
170,2002,ערד בקרן פנסיה מקיפה חדשה,ערד 8798,71120596.0,2013-01-01,2.144,צמוד למדד המחירים לצרכן,2028-01-01,4.800%,4.850%,53604622.6716308,122.201,69479.281,65505.154,עלות מופחתת,0.431%,0.118%
170,2002,ערד בקרן פנסיה מקיפה חדשה,ערד 8799,71120612.0,2013-02-01,2.229,צמוד למדד המחירים לצרכן,2028-02-01,4.800%,4.850%,56250209.9901159,121.487,72647.477,68336.801,עלות מופחתת,0.450%,0.123%
170,2002,ערד בקרן פנסיה מקיפה חדשה,ערד 8806,71120687.0,2013-09-01,2.752,צמוד למדד המחירים לצרכן,2028-09-01,4.800%,4.850%,17774097.0514585,119.079,22856.031,21165.303,עלות מופחתת,0.139%,0.038%
170,2002,ערד בקרן פנסיה מקיפה חדשה,ערד 8800,71120851.0,2013-03-01,2.309,צמוד למדד המחירים לצרכן,2028-03-01,4.800%,4.860%,37968178.5365338,121.217,49062.411,46023.708,עלות מופחתת,0.303%,0.083%
170,2002,ערד בקרן פנסיה מקיפה חדשה,ערד 8807,71120950.0,2013-10-01,2.781,צמוד למדד המחירים לצרכן,2028-10-01,4.800%,4.850%,85038187.4150595,121.214,111378.953,103078.59,עלות מופחתת,0.679%,0.186%
170,2002,ערד בקרן פנסיה מקיפה חדשה,ערד 8802,71121016.0,2013-05-01,2.424,צמוד למדד המחירים לצרכן,2028-05-01,4.800%,4.860%,45274039.4011655,122.903,59501.244,55643.364,עלות מופחתת,0.366%,0.100%
170,2002,ערד בקרן פנסיה מקיפה חדשה,ערד 8803,71121057.0,2013-06-02,2.511,צמוד למדד המחירים לצרכן,2028-06-02,4.800%,4.850%,65803246.1018446,121.92,86018.281,80227.372,עלות מופחתת,0.528%,0.145%
170,2002,ערד בקרן פנסיה מקיפה חדשה,ערד 8804,71121107.0,2013-07-01,2.583,צמוד למדד המחירים לצרכן,2028-07-01,4.800%,4.850%,977503.197372847,121.336,1274.536,1186.06,עלות מופחתת,0.008%,0.002%
170,2002,ערד בקרן פנסיה מקיפה חדשה,ערד 8805,71121206.0,2013-08-01,2.676,צמוד למדד המחירים לצרכן,2028-08-01,4.800%,4.850%,49596892.3535191,119.906,64052.713,59469.794,עלות מופחתת,0.392%,0.107%
170,2002,ערד בקרן פנסיה מקיפה חדשה,ערד 8808,71121297.0,2013-11-01,2.866,צמוד למדד המחירים לצרכן,2028-11-01,4.800%,4.850%,68147810.966392,120.741,89108.817,82282.291,עלות מופחתת,0.542%,0.148%
170,2002,ערד בקרן פנסיה מקיפה חדשה,ערד 8809,71121305.0,2013-12-01,2.948,צמוד למדד המחירים לצרכן,2028-12-01,4.800%,4.850%,60251709.9960001,119.916,78447.898,72251.258,עלות מופחתת,0.476%,0.130%
170,2002,ערד בקרן פנסיה מקיפה חדשה,ערד 8810,71121438.0,2014-01-01,3.033,צמוד למדד המחירים לצרכן,2029-01-01,4.800%,4.850%,41363370.7893343,119.911,53976.845,49599.225,עלות מופחתת,0.327%,0.089%
170,2002,ערד בקרן פנסיה מקיפה חדשה,ערד 8811,71121578.0,2014-02-01,3.118,צמוד למדד המחירים לצרכן,2029-02-01,4.800%,4.850%,15866309.8651736,119.32,20650.219,18931.72,עלות מופחתת,0.125%,0.034%
170,2002,ערד בקרן פנסיה מקיפה חדשה,ערד 8812,71121651.0,2014-03-02,3.198,צמוד למדד המחירים לצרכן,2029-03-02,4.800%,4.860%,95503800.3125274,119.532,124868.028,114157.587,עלות מופחתת,0.752%,0.206%
170,2002,ערד בקרן פנסיה מקיפה חדשה,ערד 8813,71121669.0,2014-04-01,3.21,צמוד למדד המחירים לצרכן,2029-04-01,4.800%,4.860%,46028890.9141988,122.17,61522.033,56233.427,עלות מופחתת,0.370%,0.101%
170,2002,ערד בקרן פנסיה מקיפה חדשה,ערד 8814,71121677.0,2014-05-01,3.292,צמוד למדד המחירים לצרכן,2029-05-01,4.800%,4.860%,32395656.1158179,121.334,43103.194,39306.924,עלות מופחתת,0.259%,0.071%
170,2002,ערד בקרן פנסיה מקיפה חדשה,ערד 8815,71121685.0,2014-06-01,3.377,צמוד למדד המחירים לצרכן,2029-06-01,4.800%,4.850%,62192616.2104416,120.739,82549.474,75091.01,עלות מופחתת,0.494%,0.135%
170,2002,ערד בקרן פנסיה מקיפה חדשה,ערד 8816,71121693.0,2014-07-01,3.459,צמוד למדד המחירים לצרכן,2029-07-01,4.800%,4.850%,41682100.4464448,120.146,55183.114,50079.436,עלות מופחתת,0.330%,0.090%
170,2002,ערד בקרן פנסיה מקיפה חדשה,ערד 8817,71121701.0,2014-08-01,3.544,צמוד למדד המחירים לצרכן,2029-08-01,4.800%,4.850%,33046559.7880034,119.32,43550.519,39431.237,עלות מופחתת,0.260%,0.071%
170,2002,ערד בקרן פנסיה מקיפה חדשה,ערד 8818,71121750.0,2014-09-01,3.628,צמוד למדד המחירים לצרכן,2029-09-01,4.800%,4.850%,70010674.3224051,118.731,92041.551,83124.103,עלות מופחתת,0.547%,0.150%
170,2002,ערד בקרן פנסיה מקיפה חדשה,ערד 8819,71121768.0,2014-10-01,3.632,צמוד למדד המחירים לצרכן,2029-10-01,4.800%,4.850%,53086523.0232413,121.214,71257.179,64348.548,עלות מופחתת,0.424%,0.116%
170,2002,ערד בקרן פנסיה מקיפה חדשה,ערד 8820,71121776.0,2014-11-01,3.717,צמוד למדד המחירים לצרכן,2029-11-01,4.800%,4.850%,39319828.3787246,121.096,52846.95,47614.755,עלות מופחתת,0.313%,0.086%
170,2002,ערד בקרן פנסיה מקיפה חדשה,ערד 8821,71121784.0,2014-12-01,3.8,צמוד למדד המחירים לצרכן,2029-12-01,4.800%,4.850%,89685016.6032416,120.267,120015.753,107861.802,עלות מופחתת,0.710%,0.194%
170,2002,ערד בקרן פנסיה מקיפה חדשה,ערד 8822,71122402.0,2015-01-01,3.884,צמוד למדד המחירים לצרכן,2030-01-01,4.800%,4.850%,7202568.84612364,120.028,9641.539,8645.132,עלות מופחתת,0.057%,0.016%
170,2002,ערד בקרן פנסיה מקיפה חדשה,ערד 8823,71122410.0,2015-02-01,3.969,צמוד למדד המחירים לצרכן,2030-02-01,4.800%,4.850%,60674715.4051283,119.554,81087.795,72539.029,עלות מופחתת,0.478%,0.131%
170,2002,ערד בקרן פנסיה מקיפה חדשה,ערד 8824,71122428.0,2015-03-01,4.047,צמוד למדד המחירים לצרכן,2030-03-01,4.800%,4.860%,135279097.306197,120.157,182185.775,162547.98,עלות מופחתת,1.070%,0.293%
170,2002,ערד בקרן פנסיה מקיפה חדשה,ערד 8825,71122501.0,2015-04-01,4.045,צמוד למדד המחירים לצרכן,2030-04-01,4.800%,4.860%,89956854.9630611,123.422,124413.205,111026.846,עלות מופחתת,0.731%,0.200%
170,2002,ערד בקרן פנסיה מקיפה חדשה,ערד 8826,71122535.0,2015-05-01,4.128,צמוד למדד המחירים לצרכן,2030-05-01,4.800%,4.860%,57598580.7206081,122.567,79292.586,70596.739,עלות מופחתת,0.465%,0.127%
170,2002,ערד בקרן פנסיה מקיפה חדשה,ערד 8827,71122543.0,2015-06-01,4.175,צמוד למדד המחירים לצרכן,2030-06-01,4.800%,4.850%,44435898.450986,121.349,60712.953,53922.593,עלות מופחתת,0.355%,0.097%
170,2002,ערד בקרן פנסיה מקיפה חדשה,ערד 8829,71122626.0,2015-08-01,4.343,צמוד למדד המחירים לצרכן,2030-08-01,4.800%,4.850%,36807700.9063753,119.791,49878.003,44092.3,עלות מופחתת,0.290%,0.079%
170,2002,ערד בקרן פנסיה מקיפה חדשה,ערד 8830,71122717.0,2015-09-01,4.464,צמוד למדד המחירים לצרכן,2030-09-01,4.800%,4.850%,1040462.14198727,119.077,1405.025,1238.953,עלות מופחתת,0.008%,0.002%
170,2002,ערד בקרן פנסיה מקיפה חדשה,ערד 8832,71122741.0,2015-11-01,4.537,צמוד למדד המחירים לצרכן,2030-11-01,4.800%,4.850%,98829475.3973162,121.705,136657.992,120279.984,עלות מופחתת,0.792%,0.217%
170,2002,ערד בקרן פנסיה מקיפה חדשה,ערד 8833,71122774.0,2015-12-01,4.62,צמוד למדד המחירים לצרכן,2030-12-01,4.800%,4.850%,67568391.9292374,121.105,93200.893,81829.027,עלות מופחתת,0.539%,0.148%
170,2002,ערד בקרן פנסיה מקיפה חדשה,ערד 8834,71122931.0,2016-01-01,4.703,צמוד למדד המחירים לצרכן,2031-01-01,4.800%,4.850%,11933343.2937916,121.115,16500.301,14453.075,עלות מופחתת,0.095%,0.026%
