מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,ענף מסחר,בעל עניין/צד קשור,תאריך רכישה,מטבע פעילות,סוג גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,תאריך אחרון בו נבחנה בפועל ירידת ערך,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
170,2002,שיכון ובינוי נדלן - שיכון עובדים לשעבר,520021171.0,ח.פ.,שיכון ובינוי נדלן,999999382.0,פנימי,מניות לא סחירות,ישראל,ישראל,לא סחיר,"נדל""ן מניב בישראל",לא,2009-12-31,ILS,מומחה בלתי תלוי,אי-תלות,2025-06-30,,5193362.56,1.0,1804.244196,93700.94256,7.299%,0.169%
170,2002,IDE,550275648.0,מספר שותפות,IDE Purchase 1,999999388.0,פנימי,מניות לא סחירות,ישראל,ישראל,לא סחיר,קלינטק,לא,2017-12-06,ILS,מומחה בלתי תלוי,אי-תלות,2025-04-07,,68272402.43,1.0,140.294596,95782.49164,7.461%,0.173%
170,2002,קבוצת א.דרייב בעמ,512762543.0,ח.פ.,ישראל קנדה כבישים מהירים,999999442.0,פנימי,מניות לא סחירות,ישראל,ישראל,לא סחיר,שירותים,לא,2020-02-25,ILS,מומחה בלתי תלוי,אי-תלות,2025-03-11,,1234.6,1.0,1230379.026465,15190.25946,1.183%,0.027%
170,2002,IDE,550275648.0,מספר שותפות,IDE Purchase 3,999999438.0,פנימי,מניות לא סחירות,ישראל,ישראל,לא סחיר,קלינטק,לא,2020-03-24,ILS,מומחה בלתי תלוי,אי-תלות,2025-04-07,,5643009.0,1.0,175.773039,9918.88841,0.773%,0.018%
170,2002,Zabar Solar Ltd,514363787.0,ח.פ.,Zabar Solar,999999597.0,פנימי,מניות לא סחירות,ישראל,ישראל,לא סחיר,חשמל,לא,2021-07-19,ILS,מומחה בלתי תלוי,אי-תלות,2025-07-29,,335582.65,1.0,3576.4226,12001.85397,0.935%,0.022%
170,2002,New Lineo Cinema 2016 Ltd. Cinema City,513910265.0,ח.פ.,New Lineo Cinema City,89333.0,פנימי,מניות לא סחירות,ישראל,ישראל,לא סחיר,תקשורת ומדיה,לא,2021-12-28,ILS,מומחה בלתי תלוי,אי-תלות,2024-12-17,,47196.79,1.0,36339.9646,17151.29859,1.336%,0.031%
170,2002,Pocketful IL Ltd,515666675.0,ח.פ.,Pocketful IL,89418.0,פנימי,מניות לא סחירות,ישראל,ישראל,לא סחיר,בנקים,לא,2023-03-13,ILS,מומחה בלתי תלוי,אי-תלות,2025-01-28,,22528.99,1.0,35913.5644,8090.96334,0.630%,0.015%
170,2002,Mayers cars and trucks company limited,510485261.0,ח.פ.,Mayers cars and trucks company limited,89430.0,פנימי,מניות לא סחירות,ישראל,ישראל,לא סחיר,אחר,לא,2023-05-16,ILS,מומחה בלתי תלוי,אי-תלות,2025-08-05,,81890.02,1.0,48605.195,39802.80392,3.100%,0.072%
170,2002,Africa Urban Renewal Ltd,516908266.0,ח.פ.,Africa Urban Renewal,89465.0,פנימי,מניות לא סחירות,ישראל,ישראל,לא סחיר,בנייה,לא,2024-01-09,ILS,מומחה בלתי תלוי,אי-תלות,2025-02-13,,131.99,1.0,27325568.0,36067.0172,2.809%,0.065%
170,2002,Shamir Energy Group (2023) LTD,516850237.0,ח.פ.,Shamir Energy Group,89472.0,פנימי,מניות לא סחירות,ישראל,ישראל,לא סחיר,אנרגיה,לא,2024-03-20,ILS,מומחה בלתי תלוי,אי-תלות,2025-06-30,,43517978.59,1.0,134.381,58479.92145,4.555%,0.105%
