מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,מאפיין עיקרי,מספר עסקה (רגל 1),מטבע פעילות (רגל 1),שער חליפין,ערך נקוב (רגל 1),שווי הוגן במטבע הנסחר (רגל 1),שיעור מנכסי אפיק ההשקעה (רגל 1),שיעור מסך נכסי ההשקעה (רגל 1),מספר עסקה (רגל 2),מטבע פעילות (רגל 2),שער חליפין2,ערך נקוב (רגל 2),שווי הוגן במטבע הנסחר (רגל 2),שיעור מנכסי ההשקעה (רגל 2),שיעור מסך אפיק ההשקעה (רגל 2),"שווי הוגן (נטו  באלפי ש""ח)","ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סוג הנכס,פקטור מוביל,פקטור נוסף,טיקר,בעל עניין/צד קשור,מועד ההתקשרות בעסקה,מועד סיום חוזי,תדירות Reset,סוג הסליקה,נספח התחשבנות בטחונות - CSA,גורם מצטט,ריבית עוגן,תקופת ריבית עוגן,שיעור ריבית עוגן,שער נכס הבסיס במועד ההתקשרות בעסקה,שער הנגזר במועד ההתקשרות בעסקה,האם קיים קנס בגין יציאה מוקדמת,שיעור הקנס בגין יציאה מוקדמת,צד נגדי - Counterparty,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
170,2002,Unfunded Total Return/Equity Swap,880000522.0,ILS,1.0,1386961.11847017,171983.179,0.009%,0.000%,880000523.0,ILS,1.0,-1386961.11847017,-64787.46,-0.054%,-0.117%,107195.719,ישראל,ישראל,מניות לרבות מדדי מניות,מניות,אחר,PHOE IT Equity,לא,2024-12-01,2025-12-02,רבעוני,No-delivery,קיים חוזה,גורם אחר,ריבית בנק ישראל,שנתי,,46.38,,,,POALILIT,0.009%,0.000%
170,2002,Unfunded Total Return/Equity Swap,880000628.0,ILS,1.0,129449.704390549,9888.663,0.000%,0.000%,880000629.0,ILS,1.0,-129449.704390549,-7952.849,-0.007%,-0.014%,1935.813,ישראל,ישראל,מניות לרבות מדדי מניות,מניות,אחר,TASE IT Equity,לא,2025-06-30,2026-07-01,רבעוני,No-delivery,קיים חוזה,גורם אחר,ריבית בנק ישראל,שנתי,,62.23,,,,POALILIT,0.000%,0.000%
170,2002,Unfunded Total Return/Equity Swap,880000632.0,ILS,1.0,126675.782153609,9676.763,0.000%,0.000%,880000633.0,ILS,1.0,-126675.782153609,-7945.759,-0.007%,-0.014%,1731.004,ישראל,ישראל,מניות לרבות מדדי מניות,מניות,אחר,TASE IT Equity,לא,2025-07-02,2026-07-01,רבעוני,No-delivery,קיים חוזה,גורם אחר,ללא,ללא,,62.95,,,,POALILIT,0.000%,0.000%
170,2002,Unfunded Total Return/Equity Swap,880000662.0,ILS,1.0,240406.593868163,18364.66,0.000%,0.000%,880000663.0,ILS,1.0,-240406.593868163,-18215.644,-0.015%,-0.033%,149.016,ישראל,ישראל,מניות לרבות מדדי מניות,מניות,אחר,TASE IT Equity,לא,2025-09-21,2026-09-17,רבעוני,No-delivery,קיים חוזה,גורם אחר,ללא,ללא,,75.57,,,,IDBLILIT,0.000%,0.000%
170,2002,Unfunded Interest Rate Swap,880000513.0,ILS,1.0,528685.148545146,543.255,0.000%,0.000%,880000514.0,ILS,1.0,-528685.148545146,-529.0,-0.000%,-0.001%,14.255,ישראל,ישראל,"ריבית ואג""ח",אחר,ריביות,IRS,לא,2024-08-05,2035-03-30,רבעוני,No-delivery,קיים חוזה,גורם אחר,ללא,ללא,,4.3,,,,LUMIILIT,0.000%,0.000%
170,2002,Unfunded Interest Rate Swap,880000560.0,ILS,1.0,528685.148545146,530.554,-0.000%,-0.000%,880000561.0,ILS,1.0,-528685.148545146,-531.0,-0.000%,-0.001%,-0.446,ישראל,ישראל,"ריבית ואג""ח",אחר,ריביות,IRS,לא,2025-03-17,2026-02-26,רבעוני,No-delivery,קיים חוזה,גורם אחר,ללא,ללא,,4.24,,,,IDBLILIT,-0.000%,-0.000%
170,2002,Unfunded Interest Rate Swap,880000562.0,ILS,1.0,528685.148545146,540.246,0.000%,0.000%,880000563.0,ILS,1.0,-528685.148545146,-531.0,-0.000%,-0.001%,9.245,ישראל,ישראל,"ריבית ואג""ח",אחר,ריביות,IRS,לא,2025-03-18,2026-02-27,רבעוני,No-delivery,קיים חוזה,גורם אחר,ללא,ללא,,4.25,,,,MIZBILIT,0.000%,0.000%
170,2002,Unfunded Interest Rate Swap,880000564.0,ILS,1.0,528685.148545146,540.221,0.000%,0.000%,880000565.0,ILS,1.0,-528685.148545146,-531.0,-0.000%,-0.001%,9.221,ישראל,ישראל,"ריבית ואג""ח",אחר,ריביות,IRS,לא,2025-03-18,2026-02-27,רבעוני,No-delivery,קיים חוזה,גורם אחר,ללא,ללא,,4.24,,,,POALILIT,0.000%,0.000%
170,2002,Unfunded Interest Rate Swap,880000578.0,ILS,1.0,528685.148545146,553.569,0.000%,0.000%,880000579.0,ILS,1.0,-528685.148545146,-529.0,-0.000%,-0.001%,24.57,ישראל,ישראל,"ריבית ואג""ח",אחר,ריביות,IRS,לא,2025-03-31,2035-03-30,רבעוני,No-delivery,קיים חוזה,גורם אחר,ללא,ללא,,4.34,,,,POALILIT,0.000%,0.000%
170,2002,Unfunded Interest Rate Swap,880000596.0,ILS,1.0,528685.148545146,549.508,0.000%,0.000%,880000597.0,ILS,1.0,-528685.148545146,-537.087,-0.000%,-0.001%,12.421,ישראל,ישראל,"ריבית ואג""ח",אחר,ריביות,IRS,לא,2025-05-29,2035-03-30,רבעוני,No-delivery,קיים חוזה,גורם אחר,ללא,ללא,,4.33,,,,IDBLILIT,0.000%,0.000%
