מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,ענף מסחר,בעל עניין/צד קשור,תאריך רכישה,דירוג,שם מדרג,דירוג נייר הערך/המנפיק,מטבע פעילות,"מח""מ",סוג הצמדה,ריבית עוגן,מועד פדיון,שיעור ריבית,תשואה לפדיון,נחיתות חוזית,האם סווג כחוב בעייתי,סוג גורם משערך,תלות/אי-תלות המשערך,שם גורם משערך,תאריך שערוך אחרון,תאריך אחרון בו נבחנה בפועל ירידת ערך,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)","עלות מופחתת (באלפי ש""ח)",עלות מופחתת (במטבע הפעילות),השיטה שיושמה בדוח הכספי,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
170,13213,"אזורים בנין (1965) בע""מ",520031089.0,ח.פ.,"נע""מ אזורים בנין",99999954.0,פנימי,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,בנייה,לא,2024-12-02,A2,מידרוג Moodys,נייר ערך,ILS,0.173,לא צמוד,ריבית בנק ישראל,2025-12-02,6.400%,2.900%,החוב לא נחות,,חברת ציטוט,אי-תלות,מרווח הוגן,2025-09-30,,3272108.385,1.0,102.7,3360.45531,,,,35.733%,2.580%
170,13213,"קבוצת מנרב בע""מ",520034505.0,ח.פ.,"נע""מ מנרב",99999956.0,פנימי,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,בנייה,לא,2025-02-23,Baa1,מידרוג Moodys,נייר ערך,ILS,0.396,לא צמוד,ריבית בנק ישראל,2026-02-23,6.700%,7.070%,החוב לא נחות,,חברת ציטוט,אי-תלות,מרווח הוגן,2025-09-30,,2726756.987,1.0,100.62,2743.66288,,,,29.174%,2.106%
170,13213,רוטשטיין,520039959.0,ח.פ.,"נע""מ רוטשטיין",99999957.0,פנימי,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,בנייה,לא,2025-05-05,Baa1,מידרוג Moodys,נייר ערך,ILS,3.971,לא צמוד,ריבית בנק ישראל,2030-05-05,6.500%,6.690%,החוב לא נחות,,חברת ציטוט,אי-תלות,מרווח הוגן,2025-09-30,,3272108.385,1.0,100.86,3300.24852,,,,35.093%,2.534%
170,15433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
170,15432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
170,15092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
170,14233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
170,14232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
170,13347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
170,12176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
170,12177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
170,9656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
170,9655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
170,9654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
170,9648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
170,9647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
170,9650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
170,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
170,2205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
170,9649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
170,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
667,13214,"אזורים בנין (1965) בע""מ",520031089.0,ח.פ.,"נע""מ אזורים בנין",99999954.0,פנימי,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,בנייה,לא,2024-12-02,A2,מידרוג Moodys,נייר ערך,ILS,0.173,לא צמוד,ריבית בנק ישראל,2025-12-02,6.400%,2.900%,החוב לא נחות,,חברת ציטוט,אי-תלות,מרווח הוגן,2025-09-30,,427080.396,1.0,102.7,438.61157,,,,35.733%,3.526%
667,13214,"קבוצת מנרב בע""מ",520034505.0,ח.פ.,"נע""מ מנרב",99999956.0,פנימי,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,בנייה,לא,2025-02-23,Baa1,מידרוג Moodys,נייר ערך,ILS,0.396,לא צמוד,ריבית בנק ישראל,2026-02-23,6.700%,7.070%,החוב לא נחות,,חברת ציטוט,אי-תלות,מרווח הוגן,2025-09-30,,355900.33,1.0,100.62,358.10691,,,,29.174%,2.879%
667,13214,רוטשטיין,520039959.0,ח.פ.,"נע""מ רוטשטיין",99999957.0,פנימי,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,בנייה,לא,2025-05-05,Baa1,מידרוג Moodys,נייר ערך,ILS,3.971,לא צמוד,ריבית בנק ישראל,2030-05-05,6.500%,6.690%,החוב לא נחות,,חברת ציטוט,אי-תלות,מרווח הוגן,2025-09-30,,427080.396,1.0,100.86,430.75329,,,,35.093%,3.463%
667,15434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
667,15435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
667,15091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
667,14231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
667,14238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
667,13698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
667,14795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
667,12251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
667,9635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
667,9634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
667,9633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
667,2206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
667,2176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
