מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,זירת מסחר,נכס בסיס,בעל עניין/צד קשור,"מח""מ",שיעור ריבית,תשואה לפדיון,דירוג,שם מדרג,דירוג נייר הערך/המנפיק,מטבע פעילות,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
170,2002,Societe Generale,969500E0BD5PO8N2HS42,LEI,SGBENRGY Index,XS2059575709,ISIN,קרן מובטחת,"חו""ל",צרפת,סחיר,אחר,מניות לרבות מדדי מניות,לא,0.0,0.000%,0.000%,A,S&P,נייר ערך,EUR,8373338.2774423,3.8807,176.49,57349.39101,46.458%,0.103%
170,2002,Societe Generale,969500E0BD5PO8N2HS42,LEI,SGBCLARI US Equity,XS2746158851,ISIN,קרן מובטחת,"חו""ל","ארה""ב",סחיר,אחר,מניות לרבות מדדי מניות,לא,0.0,0.000%,0.000%,A,S&P,נייר ערך,USD,17224847.223461,3.306,116.068,66095.32294,53.542%,0.119%
170,9654,Societe Generale,969500E0BD5PO8N2HS42,LEI,SGBENRGY Index,XS2059575709,ISIN,קרן מובטחת,"חו""ל",צרפת,סחיר,אחר,מניות לרבות מדדי מניות,לא,0.0,0.000%,0.000%,A,S&P,נייר ערך,EUR,6606761.53200679,3.8807,176.49,45250.02309,46.458%,0.125%
170,9654,Societe Generale,969500E0BD5PO8N2HS42,LEI,SGBCLARI US Equity,XS2746158851,ISIN,קרן מובטחת,"חו""ל","ארה""ב",סחיר,אחר,מניות לרבות מדדי מניות,לא,0.0,0.000%,0.000%,A,S&P,נייר ערך,USD,13590811.0075086,3.306,116.068,52150.76981,53.542%,0.145%
170,9655,Societe Generale,969500E0BD5PO8N2HS42,LEI,SGBENRGY Index,XS2059575709,ISIN,קרן מובטחת,"חו""ל",צרפת,סחיר,אחר,מניות לרבות מדדי מניות,לא,0.0,0.000%,0.000%,A,S&P,נייר ערך,EUR,2660900.42563694,3.8807,176.49,18224.63322,46.458%,0.110%
170,9655,Societe Generale,969500E0BD5PO8N2HS42,LEI,SGBCLARI US Equity,XS2746158851,ISIN,קרן מובטחת,"חו""ל","ארה""ב",סחיר,אחר,מניות לרבות מדדי מניות,לא,0.0,0.000%,0.000%,A,S&P,נייר ערך,USD,5473755.12487223,3.306,116.068,21003.93739,53.542%,0.127%
170,9647,Societe Generale,969500E0BD5PO8N2HS42,LEI,SGBENRGY Index,XS2059575709,ISIN,קרן מובטחת,"חו""ל",צרפת,סחיר,אחר,מניות לרבות מדדי מניות,לא,0.0,0.000%,0.000%,A,S&P,נייר ערך,EUR,2297834.54674491,3.8807,176.49,15737.9778,46.458%,0.181%
170,9647,Societe Generale,969500E0BD5PO8N2HS42,LEI,SGBCLARI US Equity,XS2746158851,ISIN,קרן מובטחת,"חו""ל","ארה""ב",סחיר,אחר,מניות לרבות מדדי מניות,לא,0.0,0.000%,0.000%,A,S&P,נייר ערך,USD,4726890.0050413,3.306,116.068,18138.06052,53.542%,0.209%
170,9656,Societe Generale,969500E0BD5PO8N2HS42,LEI,SGBENRGY Index,XS2059575709,ISIN,קרן מובטחת,"חו""ל",צרפת,סחיר,אחר,מניות לרבות מדדי מניות,לא,0.0,0.000%,0.000%,A,S&P,נייר ערך,EUR,639274.493194437,3.8807,176.49,4378.42132,46.458%,0.067%
170,9656,Societe Generale,969500E0BD5PO8N2HS42,LEI,SGBCLARI US Equity,XS2746158851,ISIN,קרן מובטחת,"חו""ל","ארה""ב",סחיר,אחר,מניות לרבות מדדי מניות,לא,0.0,0.000%,0.000%,A,S&P,נייר ערך,USD,1315055.61035248,3.306,116.068,5046.14201,53.542%,0.077%
