מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם הבנק,מספר מזהה בנק,סוג מספר מזהה בנק,מאפיין עיקרי,"ישראל/חו""ל",בעל עניין/צד קשור,דירוג הבנק,שם מדרג,מטבע פעילות,שווי מטבעי,שער חליפין,שיעור ריבית,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
170,13347,"בנק לאומי לישראל בע""מ",10-800,סימול בנק,"מזומן ועו""ש בש""ח",ישראל,לא,AAA,S&P מעלות,ILS,111.858,1.0,,111.8584791,0.003%,0.001%
170,13347,"בנק לאומי לישראל בע""מ",10-800,סימול בנק,"מזומן ועו""ש בש""ח",ישראל,לא,AAA,S&P מעלות,ILS,38.547,1.0,,38.54703,0.001%,0.000%
170,13347,"בנק לאומי לישראל בע""מ",10-800,סימול בנק,"מזומן ועו""ש בש""ח",ישראל,לא,AAA,S&P מעלות,ILS,0.053,1.0,,0.0529,0.000%,0.000%
170,13347,"בנק לאומי לישראל בע""מ",10-800,סימול בנק,"מזומן ועו""ש בש""ח",ישראל,לא,AAA,S&P מעלות,ILS,18.721,1.0,,18.72139,0.000%,0.000%
170,13347,"בנק הפועלים בע""מ",12-600,סימול בנק,"מזומן ועו""ש בש""ח",ישראל,לא,AAA,S&P מעלות,ILS,0.09,1.0,,0.08997,0.000%,0.000%
170,13347,"בנק הפועלים בע""מ",12-600,סימול בנק,"מזומן ועו""ש בש""ח",ישראל,לא,AAA,S&P מעלות,ILS,1.352,1.0,,1.35233,0.000%,0.000%
170,13347,"בנק מזרחי טפחות בע""מ",20-061,סימול בנק,"מזומן ועו""ש בש""ח",ישראל,לא,AAA,S&P מעלות,ILS,0.085,1.0,,0.08524,0.000%,0.000%
170,13347,"בנק מזרחי טפחות בע""מ",20-061,סימול בנק,"מזומן ועו""ש בש""ח",ישראל,לא,AAA,S&P מעלות,ILS,0.007,1.0,,0.0075,0.000%,0.000%
170,13347,"בנק דיסקונט לישראל בע""מ",11-010,סימול בנק,"מזומן ועו""ש בש""ח",ישראל,לא,AAA,S&P מעלות,ILS,0.105,1.0,,0.1053,0.000%,0.000%
170,13347,"בנק דיסקונט לישראל בע""מ",11-010,סימול בנק,"מזומן ועו""ש בש""ח",ישראל,לא,AAA,S&P מעלות,ILS,14.495,1.0,,14.4951,0.000%,0.000%
170,13347,"בנק לאומי לישראל בע""מ",10-800,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,AAA,S&P מעלות,USD,0.0,3.306,,0.00122,0.000%,0.000%
170,13347,"בנק לאומי לישראל בע""מ",10-800,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,AAA,S&P מעלות,USD,30624.288,3.306,,101243.8956,2.642%,0.601%
170,13347,"בנק לאומי לישראל בע""מ",10-800,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,AAA,S&P מעלות,USD,32.279,3.306,,106.71377,0.003%,0.001%
170,13347,"בנק הפועלים בע""מ",12-600,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,AAA,S&P מעלות,USD,530.624,3.306,,1754.24376,0.046%,0.010%
170,13347,"בנק הפועלים בע""מ",12-600,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,AAA,S&P מעלות,USD,-0.001,3.306,,-0.00179,-0.000%,-0.000%
170,13347,"בנק מזרחי טפחות בע""מ",20-061,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,AAA,S&P מעלות,USD,65.351,3.306,,216.05104,0.006%,0.001%
170,13347,"בנק מזרחי טפחות בע""מ",20-061,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,AAA,S&P מעלות,USD,2517.579,3.306,,8323.11612,0.217%,0.049%
170,13347,"בנק דיסקונט לישראל בע""מ",11-010,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,AAA,S&P מעלות,USD,78.554,3.306,,259.70106,0.007%,0.002%
170,13347,"בנק דיסקונט לישראל בע""מ",11-010,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,AAA,S&P מעלות,USD,3046.493,3.306,,10071.70486,0.263%,0.060%
170,13347,"בנק דיסקונט לישראל בע""מ",11-010,סימול בנק,"פק""מ לתקופה של עד שלושה חודשים",ישראל,לא,AAA,S&P מעלות,ILS,61096.291,1.0,,61096.29056,1.595%,0.363%
170,13347,"בנק לאומי לישראל בע""מ",10-800,סימול בנק,"פק""מ לתקופה של עד שלושה חודשים",ישראל,לא,AAA,S&P מעלות,ILS,750.877,1.0,,750.8768,0.020%,0.004%
170,13347,"בנק לאומי לישראל בע""מ",10-800,סימול בנק,בטחונות שוטפים,ישראל,לא,AAA,S&P מעלות,USD,-10257.159,3.306,,-33910.16873,-0.885%,-0.201%
170,13347,"בנק הפועלים בע""מ",12-600,סימול בנק,בטחונות שוטפים,ישראל,לא,AAA,S&P מעלות,USD,-5.382,3.306,,-17.79127,-0.000%,-0.000%
170,13347,"בנק מזרחי טפחות בע""מ",20-061,סימול בנק,בטחונות שוטפים,ישראל,לא,AAA,S&P מעלות,USD,299211.993,3.306,,989194.84848,25.818%,5.869%
