מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,זירת מסחר,ענף מסחר,בעל עניין/צד קשור,מטבע פעילות,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,סכום לקבל (במטבע הפעילות),"שווי הוגן (באלפי ש""ח)",שיעור מערך נקוב מונפק,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
170,2002,"בזק החברה הישראלית לתקשורת בע""מ",520031931,ח.פ.,בזק,IL0002300114,ISIN,מניות,ישראל,ישראל,סחיר,TASE,תקשורת ומדיה,לא,ILS,33512971.708,1.0,634.7,7104.195,219811.02636,1.209%,1.799%,0.396%
170,2002,"נייס בע""מ (דואלי)",520036872,ח.פ.,נייס,IL0002730112,ISIN,מניות,ישראל,ישראל,סחיר,TASE,תוכנה ואינטרנט,לא,ILS,166599.92,1.0,48800.0,0.0,81300.76109,0.270%,0.666%,0.147%
170,2002,"איי.סי.אל גרופ בע""מ (דואלי)",520027830,ח.פ.,איי.סי.אל,IL0002810146,ISIN,מניות,ישראל,ישראל,סחיר,TASE,"כימיה, גומי ופלסטיק",לא,ILS,2095480.488,1.0,2070.0,0.0,43376.4461,0.162%,0.355%,0.078%
170,2002,טבע תעשיות פרמצבטיות בעמ,520013954,ח.פ.,טבע,IL0006290147,ISIN,מניות,ישראל,ישראל,סחיר,TASE,פארמה,לא,ILS,599932.806,1.0,6440.0,0.0,38635.67269,0.052%,0.316%,0.070%
170,2002,"בנק דיסקונט לישראל בע""מ",520007030,ח.פ.,דיסקונט א,IL0006912120,ISIN,מניות,ישראל,ישראל,סחיר,TASE,בנקים,לא,ILS,16161028.979,1.0,3274.0,0.0,529112.08877,1.321%,4.331%,0.954%
170,2002,"שטראוס גרופ בע""מ",520003781,ח.פ.,שטראוס,IL0007460160,ISIN,מניות,ישראל,ישראל,סחיר,TASE,מזון,לא,ILS,1190207.961,1.0,9361.0,0.0,111415.36721,1.020%,0.912%,0.201%
170,2002,"אלביט מערכות בע""מ (דואלי",520043027,ח.פ.,אלביט מערכות,IL0010811243,ISIN,מניות,ישראל,ישראל,סחיר,TASE,ביטחוניות,לא,ILS,180706.143,1.0,167700.0,0.0,303044.20235,0.390%,2.481%,0.546%
170,2002,"בנק לאומי לישראל בע""מ",520018078,ח.פ.,לאומי,IL0006046119,ISIN,מניות,ישראל,ישראל,סחיר,TASE,בנקים,לא,ILS,10017871.658,1.0,6529.0,0.0,654066.84053,0.672%,5.354%,1.179%
170,2002,"בנק הפועלים בע""מ",520000118,ח.פ.,פועלים,IL0006625771,ISIN,מניות,ישראל,ישראל,סחיר,TASE,בנקים,לא,ILS,12846472.344,1.0,6732.0,0.0,864824.51819,0.976%,7.079%,1.559%
170,2002,"בנק מזרחי טפחות בע""מ",520000522,ח.פ.,מזרחי טפחות,IL0006954379,ISIN,מניות,ישראל,ישראל,סחיר,TASE,בנקים,לא,ILS,2283158.001,1.0,21790.0,0.0,497500.12837,0.878%,4.073%,0.897%
170,2002,קבוצת עזריאלי,510960719,ח.פ.,עזריאלי קבוצה,IL0011194789,ISIN,מניות,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",לא,ILS,492891.4,1.0,32870.0,0.0,162013.40316,0.406%,1.326%,0.292%
170,2002,"הבנק הבינלאומי הראשון לישראל בע""מ",520029083,ח.פ.,בינלאומי,IL0005930388,ISIN,מניות,ישראל,ישראל,סחיר,TASE,בנקים,לא,ILS,429303.301,1.0,23710.0,0.0,101787.81269,0.428%,0.833%,0.184%
170,2002,"מליסרון בע""מ",520037789,ח.פ.,מליסרון,IL0003230146,ISIN,מניות,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",לא,ILS,352973.098,1.0,40000.0,0.0,141189.23918,0.741%,1.156%,0.255%
170,2002,אורמת טכנולוגיות דואלי,880326081,מספר שותפות,אורמת טכנו,US6866881021,ISIN,מניות,ישראל,ישראל,סחיר,TASE,אנרגיה מתחדשת,לא,ILS,41531.164,1.0,31800.0,0.0,13206.91007,0.073%,0.108%,0.024%
