Unnamed: 0,Unnamed: 1,ידווח בקבצי נכסי הנוסטרו בלבד,Unnamed: 3,Unnamed: 4
.,שווי הוגן,עלות מופחתת,השיטה שיושמה בדוח הכספי,שיעור מסך נכסי השקעה
מזומנים ושווי מזומנים,8391191.8018518,,,0.051335027
איגרות חוב ממשלתיות,4005693.7472145,,,0.024505744
ניירות ערך מסחריים,1.75e-05,,,0
איגרות חוב,7867196.165831,,,0.048129365
"מניות, מניות בכורה ויחידות השתתפות",29421286.1009645,,,0.179991419
קרנות סל,29514381.847165,,,0.180560954
קרנות נאמנות,6721186.476028,,,0.041118389
כתבי אופציה,107347.534007,,,0.000656723
אופציות,17553.2973815,,,0.000107386
חוזים עתידיים,181358.348977001,,,0.001109501
מוצרים מובנים,326605.216272,,,0.001998082
לא סחיר איגרות חוב ממשלתיות,0,,,0
לא סחיר איגרות חוב מיועדות,29645869.5203245,,,0.18136536
אפיק השקעה מובטח תשואה,16723096.94091,,,0.102307355
לא סחיר ניירות ערך מסחריים,10631.838501,,,6.5043e-05
לא סחיר איגרות חוב,1165632.760941,,,0.007131024
"לא סחיר מניות, מניות בכורה ויחידות השתתפות",2585303.8519805,,,0.015816185
קרנות השקעה,14593825.838368,,,0.089281054
לא סחיר כתבי אופציה,68102.519307,,,0.000416633
לא סחיר אופציות,14763.277795,,,9.0318e-05
לא סחיר נגזרים אחרים,2856759.3186315,,,0.017476876
הלוואות,6639805.0756255,,,0.04062052
לא סחיר מוצרים מובנים,1425317.733792,,,0.008719706
פיקדונות מעל 3 חודשים,167192.700021,,,0.001022839
זכויות מקרקעין,990876.118213999,,,0.00606191
השקעה בחברות מוחזקות,7e-06,,,0
נכסים אחרים,18403.635838832,,,0.000112588
סך הכל נכסים,163459381.66596663,0,0,1.000000001
מסגרות אשראי,1744789.8001363508,,,
יתרות התחייבויות להשקעה,4573818.02019981,,,
