מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם הבנק,מספר מזהה בנק,סוג מספר מזהה בנק,מאפיין עיקרי,תאריך פקיעת פיקדון,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,בעל עניין/צד קשור,דירוג הבנק,שם מדרג,מטבע פעילות,"מח""מ",שיעור ריבית,תשואה לפדיון,שווי מטבעי,שער חליפין,שער פיקדון,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
170,2002,"בנק הפועלים בע""מ",12-600,סימול בנק,צמוד למדד המחירים לצרכן,2025-10-14,ישראל,ישראל,לא,AAA,S&P מעלות,ILS,0.04,,2.410%,39262.0,1.0,196.31,39262.0,59.955%,0.071%
170,2002,"בנק מזרחי טפחות בע""מ",20-061,סימול בנק,צמוד למדד המחירים לצרכן,2027-05-23,ישראל,ישראל,לא,Aaa,מידרוג Moodys,ILS,1.61,,2.310%,26223.6,1.0,127.92,26223.6,40.045%,0.047%
170,2205,"בנק הפועלים בע""מ",12-600,סימול בנק,צמוד למדד המחירים לצרכן,2025-10-14,ישראל,ישראל,לא,AAA,S&P מעלות,ILS,0.04,,2.410%,7852.4,1.0,196.31,7852.4,17.011%,0.348%
170,2205,"בנק הפועלים בע""מ",12-600,סימול בנק,צמוד למדד המחירים לצרכן,2026-01-23,ישראל,ישראל,לא,Aaa,מידרוג Moodys,ILS,0.32,,2.640%,35751.0,1.0,119.17,35751.0,77.447%,1.585%
170,2205,"בנק מזרחי טפחות בע""מ",20-061,סימול בנק,צמוד למדד המחירים לצרכן,2027-05-23,ישראל,ישראל,לא,Aaa,מידרוג Moodys,ILS,1.61,,2.310%,2558.4,1.0,127.92,2558.4,5.542%,0.113%
170,9654,"בנק הפועלים בע""מ",12-600,סימול בנק,צמוד למדד המחירים לצרכן,2026-01-23,ישראל,ישראל,לא,Aaa,מידרוג Moodys,ILS,0.32,,2.640%,41709.5,1.0,119.17,41709.5,100.000%,0.116%
170,9655,"בנק הפועלים בע""מ",12-600,סימול בנק,צמוד למדד המחירים לצרכן,2026-01-23,ישראל,ישראל,לא,Aaa,מידרוג Moodys,ILS,0.32,,2.640%,8341.9,1.0,119.17,8341.9,100.000%,0.050%
170,9656,"בנק הפועלים בע""מ",12-600,סימול בנק,צמוד למדד המחירים לצרכן,2026-01-23,ישראל,ישראל,לא,Aaa,מידרוג Moodys,ILS,0.32,,2.640%,3575.1,1.0,119.17,3575.1,100.000%,0.055%
170,15433,,,,,,,,,,,,,,,,,,0.0,,
170,15432,,,,,,,,,,,,,,,,,,0.0,,
170,15092,,,,,,,,,,,,,,,,,,0.0,,
170,14233,,,,,,,,,,,,,,,,,,0.0,,
170,14232,,,,,,,,,,,,,,,,,,0.0,,
170,13347,,,,,,,,,,,,,,,,,,0.0,,
170,13213,,,,,,,,,,,,,,,,,,0.0,,
170,12176,,,,,,,,,,,,,,,,,,0.0,,
170,12177,,,,,,,,,,,,,,,,,,0.0,,
170,9648,,,,,,,,,,,,,,,,,,0.0,,
170,9647,,,,,,,,,,,,,,,,,,0.0,,
170,9650,,,,,,,,,,,,,,,,,,0.0,,
170,2004,,,,,,,,,,,,,,,,,,0.0,,
170,9649,,,,,,,,,,,,,,,,,,0.0,,
667,2176,"בנק מזרחי טפחות בע""מ",20-061,סימול בנק,צמוד למדד המחירים לצרכן,2027-05-23,ישראל,ישראל,לא,Aaa,מידרוג Moodys,ILS,1.61,,2.310%,1637.696,1.0,127.92,1637.6958,100.000%,0.094%
667,2206,"בנק מזרחי טפחות בע""מ",20-061,סימול בנק,צמוד למדד המחירים לצרכן,2027-05-23,ישראל,ישראל,לא,Aaa,מידרוג Moodys,ILS,1.61,,2.310%,281.104,1.0,127.92,281.1042,100.000%,0.206%
667,15434,,,,,,,,,,,,,,,,,,0.0,,
667,15435,,,,,,,,,,,,,,,,,,0.0,,
667,15091,,,,,,,,,,,,,,,,,,0.0,,
667,14231,,,,,,,,,,,,,,,,,,0.0,,
667,14238,,,,,,,,,,,,,,,,,,0.0,,
667,13698,,,,,,,,,,,,,,,,,,0.0,,
667,14795,,,,,,,,,,,,,,,,,,0.0,,
667,13214,,,,,,,,,,,,,,,,,,0.0,,
667,12251,,,,,,,,,,,,,,,,,,0.0,,
667,9635,,,,,,,,,,,,,,,,,,0.0,,
667,9634,,,,,,,,,,,,,,,,,,0.0,,
667,9633,,,,,,,,,,,,,,,,,,0.0,,
