מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך ,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,זירת מסחר,סיווג הקרן,בעל עניין/צד קשור,מטבע פעילות,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)",שיעור מערך נקוב מונפק,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
170,2002,Nomura Asset Management UK Ltd,5493000T0Y0IDUR33L28,LEI,NOMURA-US HIGH YLD BD-I USD,IE00B3RW8498,ISIN,"אג""ח קונצרני","חו""ל","ארה""ב",סחיר,אחר,Bond/Fixed Income Funds,לא,USD,67171.077791086,3.306,43065.06,95633.53793,0.620%,3.383%,0.172%
170,2002,UBAM,222100EBRBRHM6KWLU25,LEI,UBAM-GLB HI YLD SO EX DU-ICU,LU2051741416,ISIN,"אג""ח קונצרני","חו""ל","ארה""ב",סחיר,אחר,Bond/Fixed Income Funds,לא,USD,158386.348200572,3.306,12321.0,64515.86917,1.475%,2.282%,0.116%
170,2002,Schroder Investment Management,FDQ3U0BX0ZTSLH0GBR19,LEI,SCHRODER ISF EU HIGH YD-IZEU,LU1496798478,ISIN,"אג""ח קונצרני","חו""ל","ארה""ב",סחיר,אחר,Bond/Fixed Income Funds,לא,EUR,62972.885429143,3.8807,19648.95,48017.88325,0.440%,1.699%,0.087%
170,2002,Invesco,549300HQ8IBAX0TXDL49,LEI,INVESCO US SENIOR LOAN-G,LU0564079282,ISIN,"אג""ח קונצרני","חו""ל","ארה""ב",סחיר,אחר,Bond/Fixed Income Funds,לא,USD,54385.673779714,3.306,19478.0,35021.25653,0.181%,1.239%,0.063%
170,2002,Credit Suisse,54930077MN2BBHNFZQ03,LEI,UBSNV LX GBL SEN LN FN-MBUSD,LU0635707705,ISIN,"אג""ח קונצרני","חו""ל","ארה""ב",סחיר,אחר,Bond/Fixed Income Funds,לא,USD,12785.404011371,3.306,188977.0,79877.82953,0.726%,2.826%,0.144%
170,2002,CIFC Asset Management,549300NEMRCSGL23FU27,LEI,CIFCLF5 KY Equity,KYG2139S1194,ISIN,"אג""ח קונצרני","חו""ל","ארה""ב",סחיר,אחר,Bond/Fixed Income Funds,לא,USD,8587.211649429,3.306,177135.055,50287.44063,0.001%,1.779%,0.091%
170,2002,Neuberger,54930003X66WAS12MV11,LEI,NB CLO INCOME-USDI4ACC,IE000VVY08O6,ISIN,"אג""ח קונצרני","חו""ל","ארה""ב",סחיר,אחר,Bond/Fixed Income Funds,לא,USD,896886.55005143,3.306,1180.0,34988.26183,0.688%,1.238%,0.063%
170,2002,ICG EUROPN SENIOR LOAN-AEURA,549300OGASR5WRKJ8R68,LEI,ICG EUROPN SENIOR LOAN-AEURA,IE00BYXGJT42,ISIN,"אג""ח קונצרני","חו""ל",אירלנד,סחיר,אחר,Bond/Fixed Income Funds,לא,EUR,91596.924260572,3.8807,13688.0,48655.38998,1.703%,1.721%,0.088%
170,2002,Pimco,51AMXMBYJTZWXA4L4L83,LEI,PIMCO GIS-EMERGING MKT INS A,IE0030759645,ISIN,"אג""ח קונצרני","חו""ל",Emerging Markets - Asia,סחיר,אחר,Bond/Fixed Income Funds,לא,USD,351121.542998858,3.306,6152.0,71412.89716,0.389%,2.526%,0.129%
170,2002,MONEDA,549300H8QJOIP08BIM28,LEI,MON LUX SIC-LAT CORP CF-IUA,LU2240476817,ISIN,"אג""ח קונצרני","חו""ל",לוכסמבורג,סחיר,אחר,Bond/Fixed Income Funds,לא,USD,52095.7506732,3.306,12139.0,20906.82389,2.111%,0.740%,0.038%
170,2002,Marketfield Gerge Town SPC,549300TUMDQAY0LJ6X75,LEI,ION GEORG TOWN FND OFFS SP-I,KYG582251891,ISIN,מניות,"חו""ל","ארה""ב",סחיר,אחר,Equity Funds,לא,USD,809.146443051,3.306,153831.0,4115.03792,2.380%,0.146%,0.007%
170,2002,KBI Global Energy Transition Fund,635400UCQYVGO94KDT51,LEI,KBI GLB ENRG TRANS FUND-AUSA,IE00BNGJJ156,ISIN,מניות,"חו""ל","ארה""ב",סחיר,אחר,Equity Funds,לא,USD,798686.761003876,3.306,1118.6,29536.16802,0.905%,1.045%,0.053%
170,2002,TRIGON,529900TCN22XTOQUBM95,LEI,TRIGON-NEW EUROPE-A EUR,LU1687402393,ISIN,מניות,"חו""ל","Emerging Markets - Euope, Middle East & Africa",סחיר,אחר,Equity Funds,לא,EUR,23725.085214065,3.8807,24269.0,22344.4533,1.184%,0.791%,0.040%
170,2002,BlackRock Asset Management Ireland Ltd,549300KVUUD24TDB4E13,LEI,ISHR EU EX-UK IND-D ACC E,IE00BD0NCR01,ISIN,מניות,"חו""ל",אירופה,סחיר,אחר,Equity Funds,לא,EUR,4686102.68480398,3.8807,1869.7,340011.65141,3.033%,12.029%,0.613%
170,2002,Artemis,QXLNS35572JXFT415E26,LEI,ARTEMIS UK SELECT FUND-INS A,GB00B2PLJG05,ISIN,מניות,"חו""ל",בריטניה,סחיר,אחר,Equity Funds,לא,GBP,599475.499255115,4.4409,1310.29,34882.68116,0.201%,1.234%,0.063%
170,2002,Tokio Marine Asset Management,5299009QN2NZ191KLS29,LEI,TOKIO MARINE-JPN EQ FOCUS-G,IE00B4100S42,ISIN,מניות,"חו""ל",יפן,סחיר,אחר,Equity Funds,לא,USD,19549.714653301,3.306,25961.58,16779.32136,2.749%,0.594%,0.030%
170,2002,Sparx,635400BTSWMY84SXPB33,LEI,SPARX JAPAN FUND PLC-JPYIE,IE00BF29SZ08,ISIN,מניות,"חו""ל",יפן,סחיר,אחר,Equity Funds,לא,JPY,77429.540440905,0.022332,2172400.0,37564.19574,0.915%,1.329%,0.068%
170,2002,AMUNDI,529900SQFJZNLOBO8Z15,LEI,AMUNDI-EMER MKT EQ F-QI8USD,LU0906530919,ISIN,מניות,"חו""ל",Emerging Markets - Asia,סחיר,אחר,Equity Funds,לא,USD,8128.371029304,3.306,157890.0,42428.82387,0.396%,1.501%,0.076%
170,2002,ASHOKA INDIA OPPORT FD-D USD,213800M3HXZ3RG189568,LEI,AWI-ASH WO INDIA OPP FD-DUSD,IE00BH3N4915,ISIN,מניות,"חו""ל",הודו,סחיר,אחר,Equity Funds,לא,USD,22581.727943921,3.306,26009.0,19417.06904,0.273%,0.687%,0.035%
170,2002,JO Hambro Capital Management,549300Z6XIGO3AQS2G83,LEI,PP IN SEICAV-JOHCM GLMKO-AGB,IE00B4M6CN00,ISIN,מניות,"חו""ל",Emerging Markets - Asia,סחיר,אחר,Equity Funds,לא,USD,3565495.6449719,3.306,153.5,18093.8564,1.611%,0.640%,0.033%
