שורה זו ריקה,Unnamed: 1
סוג קובץ,
נכסי מבוטחים - חברת ביטוח,in
נכסי עמיתים - קופות גמל,gm
נכסי עמיתים - קרנות פנסיה,pn
נכסי אפיק השקעה מובטח תשואה,ca
נכסי נוסטרו - חברת ביטוח,ni
נכסי נוסטרו - חברה מנהלת,nf
שורה זו ריקה,
יעוד הקובץ,
לממונה,
לציבור,p
שורה זו ריקה,
שורה זו ריקה,
רבעון,
01,
02,
03,
04,
שורה זו ריקה,
שנה,
2022,22
2023,23
2024,24
2025,25
2026,26
2027,27
2028,28
2029,29
2030,30
2031,31
שורה זו ריקה,
שורה זו ריקה,
שם גוף מוסדי,ח.פ.
"הפניקס חברה לביטוח בע""מ",520023185
"כלל חברה לביטוח בע""מ",520024647
"מגדל חברה לביטוח בע""מ",520004896
"מנורה מבטחים ביטוח בע""מ",520042540
"אשרא החברה הישראלית לביטוח סיכוני סחר חוץ בע""מ",520021916
"שומרה חברה לביטוח בע""מ",510015951
"כלל ביטוח אשראי בע""מ",510888985
"הכשרה חברה לביטוח בע""מ",520042177
"ענבל חברה לביטוח בע""מ",520031030
"איילון חברה לביטוח בע""מ",520030677
"ש. שלמה חברה לביטוח בע""מ",513879189
קנט - קרן לביטוח נזקי טבע בחקלאות,520027848
"ביטוח חקלאי - אגודה שיתופית מרכזית בע""מ",570003152
"איי. די. איי. חברה לביטוח בע""מ",513910703
"איי אי ג'י ישראל חברה לביטוח בע""מ",512304882
"אי. אם. איי-עזר חברה לביטוח משכנתאות בע""מ",512310509
"שירביט חברה לביטוח בע""מ",512904608
קרנית-קרן לפיצוי נפגעי  תאונות דרכים,500500376
"ב.ס.ס.ח. - החברה הישראלית לביטוח אשראי בע""מ",520044025
"התאגיד המנהל של המאגר לביטוח רכב חובה (""הפול"") בע""מ",513136895
"הראל חברה לביטוח בע""מ",520004078
"ליברה חברה לביטוח בע""מ",515761625
"ווישור חברה לביטוח בע""מ",515764868
"דיויד שילד חברה לביטוח בע""מ",515859379
"אנקור חברה לביטוח בע""מ",516687407
"סקוריטס חברה לביטוח בע""מ",516885639
"עוצ""מ - אגודה שיתופית לניהול קופות גמל בע""מ",570009449
"החברה לניהול קרן השתלמות לאקדמאים במדעי החברה והרוח בע""מ",520027954
"מחוג - מינהל גמל לעובדי חברת חשמל לישראל בע""מ",512362914
"אנליסט קופות גמל בע""מ",511880460
"קרן החסכון לצבא הקבע - חברה לניהול קופות גמל בע""מ",511033060
"קרן הביטוח והפנסיה של פועלי בנין ועבודות ציבוריות אגודה שיתופית בע""מ",570005850
"לאומי קמ""פ בע""מ",510694821
"הגומל חברה לניהול קופות גמל  בע""מ",520027624
"מנורה מבטחים והסתדרות המהנדסים ניהול קופות גמל בע""מ",520027715
