מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,זירת מסחר,ענף מסחר,נכס בסיס,תאריך פקיעה,בעל עניין/צד קשור,מטבע פעילות,שער מימוש,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
214,12027,"מסלקת מעו""ף בע""מ",35-2582225,ח.פ.,C017500M510-כלל,IL0858770741,ISIN,מניה,ישראל,ישראל,TASE,Capital Markets,מניות לרבות מדדי מניות,2025-10-30,לא,ILS,17500.0,34.01,1.0,68900.0,23.43465,-0.187745,1e-06
214,12027,"מסלקת מעו""ף בע""מ",35-2582225,ח.פ.,C017000M511-כלל,IL0859482718,ISIN,מניה,ישראל,ישראל,TASE,Capital Markets,מניות לרבות מדדי מניות,2025-11-27,לא,ILS,17000.0,43.4,1.0,127900.0,55.50848,-0.444704,4e-06
214,12027,"מסלקת מעו""ף בע""מ",35-2582225,ח.פ.,P003000M510-ת35,IL0858510048,ISIN,מניה,ישראל,ישראל,TASE,Capital Markets,מניות לרבות מדדי מניות,2025-10-30,לא,ILS,3000.0,-1.47,1.0,50000.0,-0.73684,0.005903,0.0
214,12027,"מסלקת מעו""ף בע""מ",35-2582225,ח.פ.,P7700.0M511-ברס,IL0860002133,ISIN,מניה,ישראל,ישראל,TASE,Capital Markets,מניות לרבות מדדי מניות,2025-11-27,לא,ILS,7700.0,-7.66,1.0,514900.0,-39.45752,0.316112,-3e-06
214,12027,"מסלקת מעו""ף בע""מ",35-2582225,ח.פ.,P017500M510-כלל,IL0858773224,ISIN,מניה,ישראל,ישראל,TASE,Capital Markets,מניות לרבות מדדי מניות,2025-10-30,לא,ILS,17500.0,-34.01,1.0,115900.0,-39.42056,0.315816,-3e-06
214,12027,"מסלקת מעו""ף בע""מ",35-2582225,ח.פ.,C7700.0M511-ברס,IL0859999448,ISIN,מניה,ישראל,ישראל,TASE,Capital Markets,מניות לרבות מדדי מניות,2025-11-27,לא,ILS,7700.0,7.66,1.0,505100.0,38.70653,-0.310096,3e-06
214,12027,"מסלקת מעו""ף בע""מ",35-2582225,ח.פ.,P017000M511-כלל,IL0859485117,ISIN,מניה,ישראל,ישראל,TASE,Capital Markets,מניות לרבות מדדי מניות,2025-11-27,לא,ILS,17000.0,-43.4,1.0,119600.0,-51.90629,0.415845,-4e-06
214,12027,"מסלקת מעו""ף בע""מ",35-2582225,ח.פ.,C003000M510-ת35,IL0858497501,ISIN,מניה,ישראל,ישראל,TASE,Capital Markets,מניות לרבות מדדי מניות,2025-10-30,לא,ILS,3000.0,1.47,1.0,1057300.0,15.58123,-0.124828,1e-06
214,12027,SPDR S&P 500 ETF Trust,549300NZAMSJ8FXPQQ63,LEI,SPY US 10/31/25 P610,70142243,פנימי,מניה,"חו""ל","ארה""ב",NYSE,Other,מניות לרבות מדדי מניות,2025-10-31,לא,USD,610.0,-50.79,3.306,14400.0,-24.17962,0.193714,-1e-06
214,12027,SPDR S&P 500 ETF Trust,549300NZAMSJ8FXPQQ63,LEI,SPY US 10/31/25 P595,70142244,פנימי,מניה,"חו""ל","ארה""ב",NYSE,Other,מניות לרבות מדדי מניות,2025-10-31,לא,USD,595.0,-50.79,3.306,9900.0,-16.62349,0.133178,-1e-06
214,12027,SolarEdge Technologies Inc,5493000K6Y58XXPDF853,LEI,SEDG US 03/20/26 C35,70142233,פנימי,מניה,"חו""ל","ארה""ב",CBOE,Semiconductors & Semiconductor Equipment,מניות לרבות מדדי מניות,2026-03-20,לא,USD,35.0,-51.52,3.306,102300.0,-174.24223,1.395935,-1.4e-05
214,12027,"נייס בע""מ",520036872,ח.פ.,NICE US 10/17/25 C200,70220307,פנימי,מניה,"חו""ל","ארה""ב",CME,תוכנה ואינטרנט,מניות לרבות מדדי מניות,2025-10-17,לא,USD,200.0,-29.03,3.306,500.0,-0.47989,0.003844,0.0
214,12027,SPDR S&P 500 ETF Trust,549300NZAMSJ8FXPQQ63,LEI,SPY US 10/31/25 P650,70142237,פנימי,מניה,"חו""ל","ארה""ב",NYSE,Other,מניות לרבות מדדי מניות,2025-10-31,לא,USD,650.0,50.79,3.306,53000.0,88.99445,-0.712976,7e-06
