מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,זירת מסחר,ענף מסחר,בעל עניין/צד קשור,דירוג,שם מדרג,דירוג נייר הערך/המנפיק,מטבע פעילות,"מח""מ",מועד פדיון,שיעור ריבית,תשואה לפדיון,נחיתות חוזית,האם סווג כחוב בעייתי,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,סכום לקבל (במטבע הפעילות),"שווי הוגן (באלפי ש""ח)","עלות מופחתת (באלפי ש""ח)",עלות מופחתת (במטבע הפעילות),השיטה שיושמה בדוח הכספי,שיעור מערך נקוב מונפק,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
214,12027,SILVERSTEIN PROPERTIES,1970336,"מספר תאגיד או שותפות בחו""ל",סילברסטין אגח ב,IL0011605974,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,"ארה""ב",סחיר,TASE,"נדל""ן מניב בחו""ל",לא,ilAA,S&P מעלות,נייר ערך,ILS,1.2,2027-12-31,0.0349,0.0544,החוב לא נחות,"תא ללא תוכן, המשך בתא הבא",658758.13,1.0,98.69,"תא ללא תוכן, המשך בתא הבא",650.1284,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",0.000696,0.001223,5.2e-05
214,12027,"הבינלאומי הראשון הנפקות בע""מ",513141879,ח.פ.,בינל הנפק התח כו,IL0011855371,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,בנקים,כן,Aa3.il,מידרוג Moodys,נייר ערך,ILS,2.46,2028-03-31,0.0109,0.0285,החוב נחות,"תא ללא תוכן, המשך בתא הבא",1565695.11,1.0,110.35,"תא ללא תוכן, המשך בתא הבא",1727.74455,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",0.001724,0.003253,0.000141
214,12027,"מגה אור החזקות בע""מ",513257873,ח.פ.,מגה אור אגח ו,IL0011386682,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",כן,ilA+,S&P מעלות,נייר ערך,ILS,0.73,2026-06-30,0.0205,0.0371,החוב לא נחות,"תא ללא תוכן, המשך בתא הבא",98470.71,1.0,119.4,"תא ללא תוכן, המשך בתא הבא",117.57404,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",0.000798,0.000221,9e-06
214,12027,"חברת השקעות דיסקונט בע""מ",520023896,ח.פ.,דיסקונט השקעות אגח 6,IL0063902071,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",לא,ilBBB,S&P מעלות,נייר ערך,ILS,0.24,2025-12-31,0.0495,0.065,החוב לא נחות,"תא ללא תוכן, המשך בתא הבא",165721.34,1.0,148.12,"תא ללא תוכן, המשך בתא הבא",245.46645,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",0.000903,0.000461,1.9e-05
214,12027,"חברת החשמל לישראל בע""מ",520000472,ח.פ.,חשמל אגח 33,IL0060003923,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,אנרגיה,לא,ilAAA,S&P מעלות,נייר ערך,ILS,9.94,2036-05-30,0.0125,0.0278,החוב לא נחות,"תא ללא תוכן, המשך בתא הבא",20743000.0,1.0,101.02,"תא ללא תוכן, המשך בתא הבא",20954.5786,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",0.004833,0.039461,0.001713
214,12027,"קבוצת מנרב בע""מ",520034505,ח.פ.,מנרב אגח ד,IL0015501690,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,בנייה,לא,Baa1.il,מידרוג Moodys,נייר ערך,ILS,3.28,2032-04-15,0.0207,0.0411,החוב לא נחות,"תא ללא תוכן, המשך בתא הבא",742933.46,1.0,109.03,"תא ללא תוכן, המשך בתא הבא",810.02036,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",0.00178,0.001525,6.6e-05
214,12027,"בזק החברה הישראלית לתקשורת בע""מ",520031931,ח.פ.,בזק אגח 14,IL0023003176,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,תקשורת ומדיה,כן,Aa2.il,מידרוג Moodys,נייר ערך,ILS,7.43,2035-06-01,0.0058,0.0274,החוב לא נחות,"תא ללא תוכן, המשך בתא הבא",15166099.37,1.0,99.05,"תא ללא תוכן, המשך בתא הבא",15022.02142,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",0.02487,0.028288,0.001228
214,12027,"אלדן תחבורה בע""מ",510454333,ח.פ.,אלדן תחבורה אגח ח,IL0011924425,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,שירותים,לא,ilA+,S&P מעלות,נייר ערך,ILS,2.4,2029-09-30,0.0323,0.0294,החוב לא נחות,"תא ללא תוכן, המשך בתא הבא",528830.88,1.0,110.84,"תא ללא תוכן, המשך בתא הבא",586.15614,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",0.001265,0.001103,4.7e-05
214,12027,"כלל ביטוח גיוסי הון בע""מ",513754069,ח.פ.,כלל הון אגח יב,IL0011799280,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,ביטוח,כן,ilAA-,S&P מעלות,נייר ערך,ILS,6.0,2032-03-31,0.025,0.0471,החוב נחות,"תא ללא תוכן, המשך בתא הבא",11240733.86,1.0,88.03,"תא ללא תוכן, המשך בתא הבא",9895.21802,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",0.008428,0.018632,0.000808
214,12027,"רבוע כחול נדל""ן בע""מ",513765859,ח.פ.,רבוע כחול נדלן ו',IL0011406076,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",לא,ilAA-,S&P מעלות,נייר ערך,ILS,0.65,2026-11-30,0.0215,0.0354,החוב לא נחות,"תא ללא תוכן, המשך בתא הבא",2391123.69,1.0,120.13,"תא ללא תוכן, המשך בתא הבא",2872.45688,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",0.001706,0.005408,0.000234
214,12027,"מליסרון בע""מ",520037789,ח.פ.,מליסרון אגח יט,IL0032303989,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",כן,ilAA,S&P מעלות,נייר ערך,ILS,3.49,2029-07-01,0.0143,0.0281,החוב לא נחות,"תא ללא תוכן, המשך בתא הבא",97718.16,1.0,113.61,"תא ללא תוכן, המשך בתא הבא",111.0176,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",5e-05,0.000208,8e-06
214,12027,"קבוצת דלק בע""מ",520044322,ח.פ.,דלק קבוצה אגח לט,IL0012057720,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,חיפושי נפט וגז,לא,ilA-,S&P מעלות,נייר ערך,ILS,4.71,2032-12-31,0.0638,0.0511,החוב לא נחות,"תא ללא תוכן, המשך בתא הבא",899679.69,1.0,107.94,"תא ללא תוכן, המשך בתא הבא",971.11425,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",0.000899,0.001828,7.9e-05
214,12027,"איירפורט סיטי בע""מ",511659401,ח.פ.,ארפורט אגח יא,IL0011959991,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",כן,ilAA,S&P מעלות,נייר ערך,ILS,7.28,2039-04-30,0.0264,0.0269,החוב לא נחות,"תא ללא תוכן, המשך בתא הבא",5819773.0,1.0,109.4,"תא ללא תוכן, המשך בתא הבא",6366.83166,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",0.019399,0.011989,0.00052
214,12027,"תמר פטרוליום בע""מ",515334662,ח.פ.,תמר פטרוליום אגח א,IL0011413320,ISIN,"צמוד למט""ח",ישראל,ישראל,סחיר,TASE,חיפושי נפט וגז,לא,A1.il,מידרוג Moodys,נייר ערך,ILS,2.35,2028-08-30,0.0469,0.0609,החוב לא נחות,"תא ללא תוכן, המשך בתא הבא",1824797.76,1.0,91.73,"תא ללא תוכן, המשך בתא הבא",1673.88698,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",0.001482,0.003152,0.000136
214,12027,"מזרחי טפחות חברה להנפקות בע""מ",520032046,ח.פ.,מזרחי טפחות הנפקות 67,IL0011968075,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,בנקים,כן,Aaa.il,מידרוג Moodys,נייר ערך,ILS,3.96,2033-06-12,0.0206,0.0252,החוב לא נחות,"תא ללא תוכן, המשך בתא הבא",795273.72,1.0,106.36,"תא ללא תוכן, המשך בתא הבא",845.85312,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",0.000497,0.001592,6.9e-05
214,12027,נאוויטס פטרוליום שותפות מוגבלת,550263107,מספר שותפות,נאוויטס פטרו אגח ו,IL0012048257,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,"ארה""ב",סחיר,TASE,חיפושי נפט וגז,כן,ilA-,S&P מעלות,נייר ערך,ILS,2.97,2029-09-30,0.067,0.0512,החוב לא נחות,"תא ללא תוכן, המשך בתא הבא",374438.54,1.0,104.89,"תא ללא תוכן, המשך בתא הבא",392.74859,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",0.000411,0.000739,3.2e-05
214,12027,"הכשרת הישוב מקבוצת נמרודי בע""מ",520020116,ח.פ.,הכשרת ישוב 21,IL0061202243,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",לא,ilA,S&P מעלות,נייר ערך,ILS,2.0,2027-12-31,0.018,0.0301,החוב לא נחות,"תא ללא תוכן, המשך בתא הבא",501606.35,1.0,116.94,"תא ללא תוכן, המשך בתא הבא",586.57846,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",0.000678,0.001103,4.7e-05
214,12027,"קבוצת עזריאלי בע""מ",510960719,ח.פ.,עזריאלי אגח ז,IL0011786725,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",לא,ilAA+,S&P מעלות,נייר ערך,ILS,6.17,2036-07-02,0.009,0.0278,החוב לא נחות,"תא ללא תוכן, המשך בתא הבא",10590855.36,1.0,104.46,"תא ללא תוכן, המשך בתא הבא",11063.2075,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",0.003928,0.020833,0.000903
214,12027,SILVERSTEIN PROPERTIES,1970336,"מספר תאגיד או שותפות בחו""ל",סילברסטין אגח ג,IL0012116484,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,"ארה""ב",סחיר,TASE,"נדל""ן מניב בחו""ל",לא,ilAA,S&P מעלות,נייר ערך,ILS,3.7,2030-12-31,0.0674,0.0568,החוב לא נחות,"תא ללא תוכן, המשך בתא הבא",372323.08,1.0,105.95,"תא ללא תוכן, המשך בתא הבא",394.4763,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",0.001306,0.000742,3.2e-05
