"שם גיליון
(רלוונטי לגיליונות עם עמודה ""מאפיין עיקרי"")",שם עמודה,אפשרות בחירה,הערות והסברים,Unnamed: 4
"תא ללא תוכן, המשך בתא הבא","ישראל/חו""ל ",ישראל,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","חו""ל",הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","מדינה לפי חשיפה כלכלית; מדינת התאגדות קרן השקעה, מיקום משרד השותף הכללי, מדינת מיקום נדל""ן",ישראל,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",אוסטריה,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",אוסטרליה,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",אזור תעלת פנמה,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",אזרביג'אן,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",איחוד האמירויות הערביות,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",איטליה,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",איי הבתולה הבריטיים,"תא ללא תוכן, המשך בתא הבא",נוסף במסגרת עדכון הרשימה
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",איי הבתולה של ארצות הברית,"תא ללא תוכן, המשך בתא הבא",נוסף במסגרת עדכון הרשימה
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",איי סיישל,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",איי קיימן,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",איי שלמה הבריטיים,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",איסלנד,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",אירלנד,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",אנדורה,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",אסטוניה,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",ארגנטינה,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","ארה""ב",הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",אתיופיה,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",בהמס,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",בולגריה,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",בוליביה,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",בחריין,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",בלגיה,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",בליז,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",ברזיל,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",בריטניה,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",ברמודה,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",גאורגיה,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",גיברלטר,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",גמייקה,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",גרמניה,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",ג'רזי (Jersey),"תא ללא תוכן, המשך בתא הבא",נוסף במסגרת עדכון הרשימה
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",גרנזי (Guernsey),"תא ללא תוכן, המשך בתא הבא",נוסף במסגרת עדכון הרשימה
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",דנמרק,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",דרום אפריקה,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",דרום קוריאה,"תא ללא תוכן, המשך בתא הבא",נוסף במסגרת עדכון הרשימה
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",הודו,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",הולנד,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",הונג קונג,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",הונגריה,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",הונדורס,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",טייוואן,"תא ללא תוכן, המשך בתא הבא",נוסף במסגרת עדכון הרשימה
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",יוון,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",יפן,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",ירדן,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",לוכסמבורג,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",לטביה,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",ליטא,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",ליכטנשטיין,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",מאוריציוס,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",מולדובה,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",מונקו,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",מלדיבים,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",מלטה,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",מלזיה,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",מצרים,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",מקסיקו,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",מרוקו,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",נורבגיה,"תא ללא תוכן, המשך בתא הבא",נוסף במסגרת עדכון הרשימה
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",ניו זילנד,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",סין,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",סינגפור,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",סלובניה,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",סלובקיה,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",ספרד,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",סרביה,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",ערב הסעודית,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",פולין,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",פורטוגל,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",פינלנד,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",פנמה,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",צילה,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",צכיה,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",צרפת,הגעת לשדה האחרון בשורה זו,
"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",קנדה,הגעת לשדה האחרון בשורה זו,
