מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,מאפיין עיקרי,שם נייר ערך,מספר נייר ערך,תאריך רכישה,"מח""מ",סוג הצמדה,מועד פדיון,שיעור ריבית,תשואה לפדיון,ערך נקוב (יחידות),שער נייר הערך,"שווי הוגן (באלפי ש""ח)","עלות מופחתת (באלפי ש""ח)",השיטה שיושמה בדוח הכספי,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
214,12027,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8785,9878500.0,2011-12-01,1.1349,צמוד למדד המחירים לצרכן,2026-12-01,0.048,0.0485,1130547.54,124.333595,1449.6147,1405.6504,עלות מופחתת,0.000303,0.000114
214,12027,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8905,9890800.0,2022-04-01,8.7667,צמוד למדד המחירים לצרכן,2037-04-01,0.048,0.0485,11148343.43,117.238685,16840.6816,13070.17128,עלות מופחתת,0.002819,0.001068
214,12027,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8873,9887300.0,2019-04-01,6.9187,צמוד למדד המחירים לצרכן,2034-04-01,0.048,0.0486,26501403.64,121.463119,39280.41812,32189.43163,עלות מופחתת,0.006944,0.002631
214,12027,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8856,9885600.0,2017-11-01,5.9776,צמוד למדד המחירים לצרכן,2032-11-01,0.048,0.0485,47522981.58,122.076659,68848.95828,58014.4683,עלות מופחתת,0.012516,0.004743
214,12027,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8882,9888200.0,2020-01-01,7.4975,צמוד למדד המחירים לצרכן,2035-01-01,0.048,0.0485,78852949.2,119.325057,116731.42048,94091.32673,עלות מופחתת,0.0203,0.007692
214,12027,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8899,9889900.0,2021-07-01,8.4303,צמוד למדד המחירים לצרכן,2036-07-01,0.048,0.0485,23291231.69,118.380928,35160.05624,27572.37643,עלות מופחתת,0.005948,0.002254
214,12027,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8852,9885200.0,2017-07-02,5.7859,צמוד למדד המחירים לצרכן,2032-07-02,0.048,0.0485,10958715.28,120.62211,15598.85535,13218.63363,עלות מופחתת,0.002851,0.00108
214,12027,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8777,9877700.0,2011-04-01,0.4896,צמוד למדד המחירים לצרכן,2026-04-01,0.048,0.0487,10044675.48,127.517673,12974.16612,12808.73646,עלות מופחתת,0.002763,0.001047
214,12027,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8858,9885800.0,2018-01-01,6.1447,צמוד למדד המחירים לצרכן,2033-01-01,0.048,0.0485,43471919.78,121.11907,62781.0644,52652.78499,עלות מופחתת,0.011359,0.004304
214,12027,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8893,9889300.0,2021-01-01,8.1271,צמוד למדד המחירים לצרכן,2036-01-01,0.048,0.0485,54605018.07,120.039577,82840.54994,65547.6328,עלות מופחתת,0.014141,0.005358
214,12027,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8825,9882500.0,2015-04-01,4.0082,צמוד למדד המחירים לצרכן,2030-04-01,0.048,0.0486,33425907.0,123.422279,46229.07877,41255.01625,עלות מופחתת,0.0089,0.003372
214,12027,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8902,9890200.0,2021-10-01,8.4778,צמוד למדד המחירים לצרכן,2036-10-01,0.048,0.0485,24312656.12,118.846323,36913.26737,28894.69784,עלות מופחתת,0.006234,0.002362
214,12027,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8805,9880500.0,2013-08-01,2.6679,צמוד למדד המחירים לצרכן,2028-08-01,0.048,0.0485,24894512.32,119.906269,32150.41699,29850.08098,עלות מופחתת,0.00644,0.00244
214,12027,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8786,9878600.0,2012-01-01,1.2198,צמוד למדד המחירים לצרכן,2027-01-01,0.048,0.0484,12838815.56,123.963059,16449.75333,15915.38856,עלות מופחתת,0.003433,0.001301
214,12027,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8787,9878700.0,2012-02-01,1.3047,צמוד למדד המחירים לצרכן,2027-02-01,0.048,0.0484,24000665.65,123.473022,30698.03883,29634.34724,עלות מופחתת,0.006393,0.002422
214,12027,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8780,9878000.0,2011-07-01,0.739,צמוד למדד המחירים לצרכן,2026-07-01,0.048,0.0486,3795772.57,124.441687,4819.61986,4723.52342,עלות מופחתת,0.001019,0.000386
214,12027,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8783,9878300.0,2011-09-01,0.9678,צמוד למדד המחירים לצרכן,2026-10-01,0.048,0.0486,745808.33,125.192413,958.98803,933.69544,עלות מופחתת,0.000201,7.6e-05
