מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,נכס בסיס (כתב אופציה),ענף מסחר,תאריך פקיעה,בעל עניין/צד קשור,תאריך רכישה,מטבע פעילות,סוג גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,שער מימוש,יחס המרה,ערך נקוב (יחידות),שער נייר הערך,שער חליפין,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
214,12027,"פז קמעונאות ואנרגיה בע""מ",510216054.0,ח.פ.,פז אנרגיה אופציה לס 31.01.26,11000071.0,פנימי,ישראל,ישראל,לא סחיר,IL0011000077,אנרגיה,2026-01-31,כן,2025-07-24,ILS,אחר,אי-תלות,2025-09-30,67000.0,1.0,710.77,6042.74,1.0,42.95005,0.08457,3e-06
214,12027,"י.ח דמרי בניה ופיתוח בע""ם",511399388.0,ח.פ.,דמרי אופציה לס 14.12.25,10903152.0,פנימי,ישראל,ישראל,לא סחיר,IL0010903156,בנייה,2025-12-14,לא,2024-10-13,ILS,אחר,אי-תלות,2025-09-30,36000.0,1.0,3978.94,4021.115,1.0,159.99771,0.315042,1.3e-05
214,12027,"אחים דוניץ בע""מ",520038605.0,ח.פ.,דוניץ אופציה לס 31.12.25,4000101.0,פנימי,ישראל,ישראל,לא סחיר,IL0004000100,בנייה,2025-12-31,לא,2025-01-23,ILS,אחר,אי-תלות,2025-09-30,27250.0,1.0,1547.37,1010.892,1.0,15.64219,0.0308,1e-06
214,12027,"אפי נכסים בע""מ",510560188.0,ח.פ.,אפי נכסים אופציה לס 20.11.25,10913541.0,פנימי,ישראל,ישראל,לא סחיר,IL0010913544,"נדל""ן מניב בחו""ל",2025-11-20,כן,2025-07-03,ILS,אחר,אי-תלות,2025-09-30,18600.0,1.0,11048.19,2618.27,1.0,289.27137,0.569587,2.3e-05
214,15277,"אפי נכסים בע""מ",510560188.0,ח.פ.,אפי נכסים אופציה לס 20.11.25,10913541.0,פנימי,ישראל,ישראל,לא סחיר,IL0010913544,"נדל""ן מניב בחו""ל",2025-11-20,כן,2025-07-03,ILS,אחר,אי-תלות,2025-09-30,18600.0,1.0,8877.18,2618.27,1.0,232.42855,0.569587,0.000235
214,15277,"אחים דוניץ בע""מ",520038605.0,ח.פ.,דוניץ אופציה לס 31.12.25,4000101.0,פנימי,ישראל,ישראל,לא סחיר,IL0004000100,בנייה,2025-12-31,לא,2025-01-23,ILS,אחר,אי-תלות,2025-09-30,27250.0,1.0,1243.3,1010.892,1.0,12.56845,0.0308,1.2e-05
214,15277,"פז קמעונאות ואנרגיה בע""מ",510216054.0,ח.פ.,פז אנרגיה אופציה לס 31.01.26,11000071.0,פנימי,ישראל,ישראל,לא סחיר,IL0011000077,אנרגיה,2026-01-31,כן,2025-07-24,ILS,אחר,אי-תלות,2025-09-30,67000.0,1.0,571.1,6042.74,1.0,34.51022,0.08457,3.4e-05
214,15277,"י.ח דמרי בניה ופיתוח בע""ם",511399388.0,ח.פ.,דמרי אופציה לס 14.12.25,10903152.0,פנימי,ישראל,ישראל,לא סחיר,IL0010903156,בנייה,2025-12-14,לא,2024-10-13,ILS,אחר,אי-תלות,2025-09-30,36000.0,1.0,3197.06,4021.115,1.0,128.55761,0.315042,0.00013
214,2172,"אחים דוניץ בע""מ",520038605.0,ח.פ.,דוניץ אופציה לס 31.12.25,4000101.0,פנימי,ישראל,ישראל,לא סחיר,IL0004000100,בנייה,2025-12-31,לא,2025-01-23,ILS,אחר,אי-תלות,2025-09-30,27250.0,1.0,15205.4,1010.892,1.0,153.71022,0.0308,3e-06
214,2172,"פז קמעונאות ואנרגיה בע""מ",510216054.0,ח.פ.,פז אנרגיה אופציה לס 31.01.26,11000071.0,פנימי,ישראל,ישראל,לא סחיר,IL0011000077,אנרגיה,2026-01-31,כן,2025-07-24,ILS,אחר,אי-תלות,2025-09-30,67000.0,1.0,6984.49,6042.74,1.0,422.05481,0.08457,8e-06
