מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,מאפיין עיקרי,מספר עסקה (רגל 1),מטבע פעילות (רגל 1),שער חליפין,ערך נקוב (רגל 1),שווי הוגן במטבע הנסחר (רגל 1),שיעור מנכסי אפיק ההשקעה (רגל 1),שיעור מסך נכסי ההשקעה (רגל 1),מספר עסקה (רגל 2),מטבע פעילות (רגל 2),שער חליפין.1,ערך נקוב (רגל 2),שווי הוגן במטבע הנסחר (רגל 2),שיעור מנכסי ההשקעה (רגל 2),שיעור מסך אפיק ההשקעה (רגל 2),"שווי הוגן (נטו  באלפי ש""ח)","ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סוג הנכס,פקטור מוביל,פקטור נוסף,טיקר,בעל עניין/צד קשור,מועד ההתקשרות בעסקה,מועד סיום חוזי,תדירות Reset,סוג הסליקה,נספח התחשבנות בטחונות - CSA,גורם מצטט,ריבית עוגן,תקופת ריבית עוגן,שיעור ריבית עוגן,שער נכס הבסיס במועד ההתקשרות בעסקה,שער הנגזר במועד ההתקשרות בעסקה,האם קיים קנס בגין יציאה מוקדמת,שיעור הקנס בגין יציאה מוקדמת,צד נגדי - Counterparty,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
214,12027,Unfunded Forward,180014812.0,USD,3.306,-754942.8,-752.84633,-0.134197,-0.000203,180014813.0,ILS,1.0,2655888.79,2648.52402,0.000215,0.142804,159.61405,ישראל,ישראל,"מט""ח",אחר,"מט""ח/₪",USDILS,כן,2025-06-03,2025-10-22,ללא,Delivery,קיים חוזה,גורם אחר,ללא,ללא,"תא ללא תוכן, המשך בתא הבא",3.526,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",POALILIT,0.008606,1.3e-05
214,12027,Unfunded Forward,180016444.0,USD,3.306,-1526688.43,-1497.10884,-0.266866,-0.000404,180016445.0,ILS,1.0,5111352.86,5018.34157,0.00041,0.270581,68.89974,ישראל,ישראל,"מט""ח",אחר,"מט""ח/₪",USDILS,כן,2025-08-27,2026-02-27,ללא,Delivery,קיים חוזה,גורם אחר,ללא,ללא,"תא ללא תוכן, המשך בתא הבא",3.346,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",MIZBILIT,0.003714,5e-06
214,12027,Unfunded Total Return/Equity Swap,12535290.0,ILS,1.0,110526.08,1667.83859,0.089927,0.000136,12535289.0,ILS,1.0,-1484365.3,-1511.54551,-0.000123,-0.0815,156.29308,ישראל,ישראל,מניות לרבות מדדי מניות,מדדי מניות,תעופה,ELAL IT,כן,2025-06-09,2026-06-08,שנתי,No-delivery,קיים חוזה,גורם אחר,ריבית בנק ישראל,יומי,"תא ללא תוכן, המשך בתא הבא",1343.0,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",LUMIILIT,0.008427,1.2e-05
214,12027,Unfunded Forward,180016414.0,USD,3.306,-421848.12,-400.25371,-0.071347,-0.000108,180016415.0,ILS,1.0,1414878.59,1350.62329,0.00011,0.072823,27.38451,ישראל,ישראל,"מט""ח",אחר,"מט""ח/₪",USDILS,כן,2025-08-25,2026-11-27,ללא,Delivery,קיים חוזה,גורם אחר,ללא,ללא,"תא ללא תוכן, המשך בתא הבא",3.378,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",IDBLILIT,0.001476,2e-06
214,12027,Unfunded Forward,180015842.0,USD,3.306,12525.38,12.48737,0.002225,3e-06,180015843.0,ILS,1.0,-41847.3,-41.72071,-3e-06,-0.002249,-0.43747,ישראל,ישראל,"מט""ח",אחר,"מט""ח/₪",USDILS,כן,2025-07-22,2025-10-24,ללא,Delivery,קיים חוזה,גורם אחר,ללא,ללא,"תא ללא תוכן, המשך בתא הבא",3.354,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",LUMIILIT,-2.3e-05,0.0
214,12027,Unfunded Forward,180016398.0,USD,3.306,-8000000.0,-7662.376,-1.365854,-0.002071,180016399.0,ILS,1.0,26880000.0,25860.28032,0.002114,1.394348,528.46527,ישראל,ישראל,"מט""ח",אחר,"מט""ח/₪",USDILS,כן,2025-08-25,2026-08-27,ללא,Delivery,קיים חוזה,גורם אחר,ללא,ללא,"תא ללא תוכן, המשך בתא הבא",3.378,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",LUMIILIT,0.028494,4.3e-05
214,12027,Unfunded Interest Rate Swap,12536090.0,ILS,1.0,-5279492.04,-5285.79047,-0.285002,-0.000432,12537090.0,ILS,1.0,5279492.04,5322.30872,0.000435,0.286971,36.51825,ישראל,ישראל,"ריבית ואג""ח",אחר,ריביות,SHIR,כן,2025-07-16,2035-07-18,שנתי,Delivery,קיים חוזה,גורם אחר,Shekel Overnight Risk Free Rate,יומי,"תא ללא תוכן, המשך בתא הבא",0.045,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",LUMIILIT,0.001969,2e-06
214,12027,Unfunded Forward,180016926.0,USD,3.306,-1680068.37,-1536.82406,-0.273945,-0.000414,180016927.0,ILS,1.0,5563042.37,5147.33847,0.00042,0.277536,66.59814,ישראל,ישראל,"מט""ח",אחר,"מט""ח/₪",USDILS,כן,2025-09-16,2027-09-20,ללא,Delivery,קיים חוזה,גורם אחר,ללא,ללא,"תא ללא תוכן, המשך בתא הבא",3.343,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",LUMIILIT,0.00359,5e-06
214,12027,Unfunded Interest Rate Swap,12536091.0,ILS,1.0,-5279492.04,-5284.85073,-0.284951,-0.000432,12537091.0,ILS,1.0,5279492.04,5320.12829,0.000434,0.286853,35.27756,ישראל,ישראל,"ריבית ואג""ח",אחר,ריביות,SHIR,כן,2025-07-21,2035-07-23,שנתי,Delivery,קיים חוזה,גורם אחר,Shekel Overnight Risk Free Rate,יומי,"תא ללא תוכן, המשך בתא הבא",0.045,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",LUMIILIT,0.001902,2e-06
214,12027,Unfunded Forward,180016382.0,USD,3.306,1511627.98,1479.64647,0.263753,0.000399,180016383.0,ILS,1.0,-5098721.18,-4997.7818,-0.000408,-0.269473,-106.07058,ישראל,ישראל,"מט""ח",אחר,"מט""ח/₪",USDILS,כן,2025-08-25,2026-03-13,ללא,Delivery,קיים חוזה,גורם אחר,ללא,ללא,"תא ללא תוכן, המשך בתא הבא",3.378,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",IDBLILIT,-0.005719,-8e-06
