מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם הבנק,מספר מזהה בנק,סוג מספר מזהה בנק,מאפיין עיקרי,"ישראל/חו""ל",בעל עניין/צד קשור,דירוג הבנק,שם מדרג,מטבע פעילות,שווי מטבעי,שער חליפין,שיעור ריבית,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
214,12027,בנק הפועלים,12-600,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,כן,ilAAA,S&P מעלות,CHF,0.27273,4.1427,"תא ללא תוכן, המשך בתא הבא",1.12985,2e-06,0.0
214,12027,בנק הפועלים,12-509,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,כן,ilAAA,S&P מעלות,USD,4.58352,3.306,"תא ללא תוכן, המשך בתא הבא",15.15311,3e-05,1e-06
214,12027,בנק הפועלים,12-600,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,כן,ilAAA,S&P מעלות,JPY,3576.86648,0.022332,"תא ללא תוכן, המשך בתא הבא",79.87858,0.000159,6e-06
214,12027,בנק מזרחי,20-61,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,כן,ilAAA,S&P מעלות,CAD,0.15634,2.3745,"תא ללא תוכן, המשך בתא הבא",0.37122,0.0,0.0
214,12027,בנק לאומי,10-800,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,כן,ilAAA,S&P מעלות,JPY,4630.74039,0.022332,"תא ללא תוכן, המשך בתא הבא",103.41369,0.000206,8e-06
214,12027,בנק הפועלים,12-600,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,כן,ilAAA,S&P מעלות,GBP,36.24256,4.4409,"תא ללא תוכן, המשך בתא הבא",160.94963,0.000319,1.2e-05
214,12027,בנק לאומי,10-800,סימול בנק,"מזומן ועו""ש בש""ח",ישראל,כן,ilAAA,S&P מעלות,ILS,361978.49417,1.0,"תא ללא תוכן, המשך בתא הבא",361978.49417,0.72223,0.029585
214,12027,בנק לאומי,10-800,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,כן,ilAAA,S&P מעלות,AUD,256.42105,2.1849,"תא ללא תוכן, המשך בתא הבא",560.25436,0.001116,4.5e-05
214,12027,בנק מזרחי,20-61,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,כן,ilAAA,S&P מעלות,JPY,3733.26786,0.022332,"תא ללא תוכן, המשך בתא הבא",83.37134,0.000166,6e-06
214,12027,בנק לאומי,10-800,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,כן,ilAAA,S&P מעלות,USD,11233.10673,3.306,"תא ללא תוכן, המשך בתא הבא",37136.65087,0.074092,0.003031
214,12027,בנק מזרחי,20-61,סימול בנק,"פק""מ לתקופה של עד שלושה חודשים",ישראל,כן,ilAAA,S&P מעלות,ILS,4139.41404,1.0,"תא ללא תוכן, המשך בתא הבא",4139.41404,0.008258,0.000337
214,12027,בנק הפועלים,12-600,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,כן,ilAAA,S&P מעלות,HKD,0.9971,0.4242,"תא ללא תוכן, המשך בתא הבא",0.42297,0.0,0.0
214,12027,בנק לאומי,10-800,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,כן,ilAAA,S&P מעלות,CAD,19.91777,2.3745,"תא ללא תוכן, המשך בתא הבא",47.29475,9.3e-05,3e-06
214,12027,בנק הבינלאומי,31-46,סימול בנק,"פק""מ לתקופה של עד שלושה חודשים",ישראל,כן,ilAAA,S&P מעלות,ILS,15616.89155,1.0,"תא ללא תוכן, המשך בתא הבא",15616.89155,0.031157,0.001274
214,12027,בנק דיסקונט,11-10,סימול בנק,"פק""מ לתקופה של עד שלושה חודשים",ישראל,כן,ilAAA,S&P מעלות,ILS,2060.9879,1.0,"תא ללא תוכן, המשך בתא הבא",2060.9879,0.004111,0.000168
214,12027,בנק הפועלים,12-600,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,כן,ilAAA,S&P מעלות,CAD,0.9896,2.3745,"תא ללא תוכן, המשך בתא הבא",2.34981,4e-06,0.0
214,12027,בנק הפועלים,12-509,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,כן,ilAAA,S&P מעלות,EUR,0.37412,3.8807,"תא ללא תוכן, המשך בתא הבא",1.45184,2e-06,0.0
214,12027,בנק מזרחי,20-61,סימול בנק,"פק""מ לתקופה של עד שלושה חודשים",ישראל,כן,ilAAA,S&P מעלות,ILS,4833.90628,1.0,"תא ללא תוכן, המשך בתא הבא",4833.90628,0.009644,0.000395
214,12027,בנק הפועלים,12-600,סימול בנק,"פק""מ לתקופה של עד שלושה חודשים",ישראל,כן,ilAAA,S&P מעלות,ILS,3964.22083,1.0,"תא ללא תוכן, המשך בתא הבא",3964.22083,0.007909,0.000324
214,12027,בנק הפועלים,12-600,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,כן,ilAAA,S&P מעלות,USD,2237.84924,3.306,"תא ללא תוכן, המשך בתא הבא",7398.32957,0.01476,0.000602
214,12027,JPM,CHASUS33XXX,SWIFT,"מזומן ועו""ש נקוב במט""ח","חו""ל",לא,A,S&P,EUR,422.61104,3.8807,"תא ללא תוכן, המשך בתא הבא",1640.02668,0.003272,0.000134
214,12027,בנק לאומי,10-800,סימול בנק,"פח""ק/פר""י",ישראל,כן,ilAAA,S&P מעלות,ILS,0.12381,1.0,"תא ללא תוכן, המשך בתא הבא",0.12381,0.0,0.0
214,12027,בנק לאומי,10-800,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,כן,ilAAA,S&P מעלות,GBP,262.65968,4.4409,"תא ללא תוכן, המשך בתא הבא",1166.4454,0.002324,9.1e-05
214,12027,בנק הפועלים,12-600,סימול בנק,"מזומן ועו""ש בש""ח",ישראל,כן,ilAAA,S&P מעלות,ILS,1118.94475,1.0,"תא ללא תוכן, המשך בתא הבא",1118.94475,0.00223,9e-05
