מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם הנכס האחר,מספר הנכס האחר,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,בעל עניין/צד קשור,תאריך עסקה,מטבע פעילות,תאריך שערוך אחרון,שווי מטבעי,שער חליפין,"שווי הוגן (באלפי ש""ח)","עלות מופחתת (באלפי ש""ח)",השיטה שיושמה בדוח הכספי,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
214,12027,פז אנרגיה,IL0011000077,דיבידנד לקבל,ישראל,ישראל,כן,,ILS,2025-09-30,118.58245,1.0,118.58245,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",0.002215,9e-06
214,12027,הלוואה למגורים לציבור בנק דיסקונט לישראל בעמ,48077000,חוב בפיגור,ישראל,ישראל,לא,,ILS,2025-09-30,0.59482,1.0,0.59482,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",1.1e-05,0.0
214,12027,הלוואה למגורים לציבור בנק לאומי לישראל בעמ,48068001,חוב בפיגור,ישראל,ישראל,לא,,ILS,2025-09-30,0.00024,1.0,0.00024,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",0.0,0.0
214,12027,הלוואה למגורים לציבור בנק לאומי לישראל בעמ,48068000,חוב בפיגור,ישראל,ישראל,לא,,ILS,2025-09-30,0.00011,1.0,0.00011,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",0.0,0.0
214,12027,הלוואה למגורים לציבור בנק לאומי לישראל בעמ,48067001,חוב בפיגור,ישראל,ישראל,לא,,ILS,2025-09-30,0.0,1.0,0.0,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",0.0,0.0
214,12027,הלוואה למגורים לציבור בנק מזרחי טפחות בעמ,48044301,חוב בפיגור,ישראל,ישראל,לא,,ILS,2025-09-30,0.18718,1.0,0.18718,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",3e-06,0.0
214,12027,הלוואה למגורים לציבור בנק מזרחי טפחות בעמ,48044300,חוב בפיגור,ישראל,ישראל,לא,,ILS,2025-09-30,0.00031,1.0,0.00031,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",0.0,0.0
214,12027,הלוואה למגורים לציבור בנק מזרחי טפחות בעמ,48041304,חוב בפיגור,ישראל,ישראל,לא,,ILS,2025-09-30,0.0,1.0,0.0,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",0.0,0.0
214,12027,הלוואה למגורים לציבור בנק מזרחי טפחות בעמ,48041302,חוב בפיגור,ישראל,ישראל,לא,,ILS,2025-09-30,0.06175,1.0,0.06175,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",1e-06,0.0
214,12027,הלוואה למגורים לציבור בנק מזרחי טפחות בעמ,48041301,חוב בפיגור,ישראל,ישראל,לא,,ILS,2025-09-30,0.04707,1.0,0.04707,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",0.0,0.0
214,12027,הלוואה למגורים לציבור בנק מזרחי טפחות בעמ,48034302,חוב בפיגור,ישראל,ישראל,לא,,ILS,2025-09-30,0.17551,1.0,0.17551,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",3e-06,0.0
214,12027,הלוואה למגורים לציבור בנק מזרחי טפחות בעמ,48034301,חוב בפיגור,ישראל,ישראל,לא,,ILS,2025-09-30,0.15605,1.0,0.15605,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",2e-06,0.0
214,12027,הלוואה למגורים לציבור בנק מזרחי טפחות בעמ,48034300,חוב בפיגור,ישראל,ישראל,לא,,ILS,2025-09-30,0.04254,1.0,0.04254,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",0.0,0.0
214,12027,הלוואה למגורים לציבור בנק מזרחי טפחות בעמ,48031304,חוב בפיגור,ישראל,ישראל,לא,,ILS,2025-09-30,0.05066,1.0,0.05066,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",0.0,0.0
214,12027,הלוואה למגורים לציבור בנק מזרחי טפחות בעמ,48031302,חוב בפיגור,ישראל,ישראל,לא,,ILS,2025-09-30,0.0,1.0,0.0,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",0.0,0.0
214,12027,הלוואה למגורים לציבור בנק מזרחי טפחות בעמ,48031301,חוב בפיגור,ישראל,ישראל,לא,,ILS,2025-09-30,0.13696,1.0,0.13696,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",2e-06,0.0
214,12027,הלוואה למגורים לציבור בנק מזרחי טפחות בעמ,48031300,חוב בפיגור,ישראל,ישראל,לא,,ILS,2025-09-30,0.10594,1.0,0.10594,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",1e-06,0.0
214,12027,הלוואה למגורים לציבור בנק מזרחי טפחות בעמ,48024302,חוב בפיגור,ישראל,ישראל,לא,,ILS,2025-09-30,0.0,1.0,0.0,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",0.0,0.0
214,12027,הלוואה למגורים לציבור בנק דיסקונט לישראל בעמ,48077001,חוב בפיגור,ישראל,ישראל,לא,,ILS,2025-09-30,0.61346,1.0,0.61346,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",1.1e-05,0.0
214,12027,הלוואה למגורים לציבור בנק דיסקונט לישראל בעמ,48077002,חוב בפיגור,ישראל,ישראל,לא,,ILS,2025-09-30,0.48556,1.0,0.48556,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",9e-06,0.0
214,12027,הלוואה למגורים לציבור בנק הפועלים בעמ,56600744,חייבים וזכאים,ישראל,ישראל,לא,,ILS,2025-09-30,-48.38099,1.0,-48.38099,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",-0.000904,-3e-06
214,12027,הלוואה למגורים לציבור בנק מזרחי טפחות בעמ,56600757,חייבים וזכאים,ישראל,ישראל,לא,,ILS,2025-09-30,-84.6482,1.0,-84.6482,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",-0.001581,-6e-06
214,12027,ביטחונות CSA לאומי במטבע 20001,88820001,חייבים בגין עסקה עתידית,ישראל,ישראל,לא,,USD,2025-09-30,8719.61792,3.306,28827.05684,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",0.538804,0.002355
214,12027,בטחונות נגזרים  לס דולר מזרחי,78800001,חייבים בגין עסקה עתידית,ישראל,ישראל,כן,,USD,2025-09-30,-151.0618,3.306,-499.41032,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",-0.009334,-4e-05
214,12027,בטחונות נגזרים  לס דולר דיסקונט,77800001,חייבים בגין עסקה עתידית,ישראל,ישראל,כן,,USD,2025-09-30,-440.98401,3.306,-1457.89314,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",-0.027248,-0.000118
214,12027,ביטחונות CSA במטבע 20001 (OTC) לאומי,77720001,חייבים בגין עסקה עתידית,ישראל,ישראל,כן,,USD,2025-09-30,-789.906,3.306,-2611.42924,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",-0.048809,-0.000213
214,12027,שופרסל,IL0007770378,דיבידנד לקבל,ישראל,ישראל,כן,,ILS,2025-09-30,143.35362,1.0,143.35362,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",0.002678,1e-05
214,12027,"ביטחונות CSA במטבע ש""ח לאומי_x000D_
",77700080,חייבים בגין עסקה עתידית,ישראל,ישראל,כן,,ILS,2025-09-30,-1679.22837,1.0,-1679.22837,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",-0.031386,-0.000136
214,12027,"ביטחונות CSA במטבע דולר(OTC) פועלים_x000D_
",77700019,חייבים בגין עסקה עתידית,ישראל,ישראל,כן,,USD,2025-09-30,-949.39637,3.306,-3138.7044,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",-0.058665,-0.000256
