מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם שותף כללי קרן השקעות,מספר מזהה שותף כללי קרן השקעות,סוג מספר מזהה שותף כללי קרן השקעות,שם קרן השקעה,מספר מזהה קרן השקעה,סוג מספר מזהה קרן השקעות,מאפיין עיקרי,אסטרטגיית קרן ההשקעה,"ישראל/חו""ל",מדינת התאגדות קרן השקעה,מיקום משרד השותף הכללי,מדינה לפי חשיפה כלכלית,בעל עניין/צד קשור,תאריך רכישה,מטבע פעילות,סוג גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,שער חליפין,NAV (במטבע הדיווח של קרן ההשקעה),"שווי הוגן (באלפי ש""ח)",שיעור החזקה בקרן השקעה,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
214,12027,i3 Partners II LP,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",i3 Partners II LP,12551510.0,פנימי,פרייבט אקוויטי,"תא ללא תוכן, המשך בתא הבא",ישראל,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",ישראל,לא,2023-07-06,USD,דיווח מנהל הקרן,אי-תלות,2025-08-14,3.306,10.0943,33.37177,0.004062,6e-05,2e-06
214,12027,FIMI 6 2016 Ltd.,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",FIMI OPPORTUNITY FUND VI LP,12593006.0,פנימי,פרייבט אקוויטי,"תא ללא תוכן, המשך בתא הבא",ישראל,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",ישראל,לא,2016-07-20,USD,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.306,21.77195,71.97807,2.4e-05,0.000129,5e-06
214,12027,"נוקד אקוויטי השקעות בע""מ","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",נוקד אקוויטי,122412142.0,פנימי,קרן גידור (Hedge Fund),"תא ללא תוכן, המשך בתא הבא",ישראל,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",ישראל,לא,2025-02-09,ILS,דיווח מנהל הקרן,אי-תלות,2025-09-28,1.0,335.69358,335.69358,8.5e-05,0.000604,2.7e-05
214,12027,Cerca VC Group Funds,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",Cerca Opportunities Fund LP,12551520.0,פנימי,קרן השקעה אחרת,"תא ללא תוכן, המשך בתא הבא",ישראל,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",ישראל,לא,2024-04-16,USD,דיווח מנהל הקרן,אי-תלות,2025-08-13,3.306,37.1862,122.9376,0.00664,0.000221,1e-05
214,12027,ארבל  II פאנד ג'י פי  שותפות מוגבלת,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",ארבל 2,12751046.0,פנימי,קרן חוב,"תא ללא תוכן, המשך בתא הבא",ישראל,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",ישראל,לא,2021-09-29,ILS,דיווח מנהל הקרן,אי-תלות,2025-08-27,1.0,5085.41713,5085.41713,0.004278,0.009164,0.000415
214,12027,"Viola Credit GL II General Partner, L.P.","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",Viola Credit GL II,12551479.0,פנימי,קרן חוב,"תא ללא תוכן, המשך בתא הבא",ישראל,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",ישראל,לא,2022-10-24,USD,דיווח מנהל הקרן,אי-תלות,2025-09-10,3.306,343.29327,1134.92756,0.006335,0.002045,9.2e-05
214,12027,Exodus Management Israel Ltd.,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",ברוש אקוויטי פרטנרס,12241216.0,פנימי,קרן גידור (Hedge Fund),"תא ללא תוכן, המשך בתא הבא",ישראל,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",ישראל,לא,2023-01-24,ILS,דיווח מנהל הקרן,אי-תלות,2025-09-30,1.0,992.53885,992.53885,0.001793,0.001788,8.1e-05
214,12027,ION Asset Management Ltd.,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",קרן גידור ION,12241212.0,פנימי,קרן גידור (Hedge Fund),"תא ללא תוכן, המשך בתא הבא",ישראל,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",ישראל,לא,2018-05-31,ILS,דיווח מנהל הקרן,אי-תלות,2025-09-25,1.0,39.5699,39.5699,1.8e-05,7.1e-05,3e-06
214,12027,AURICK AVIATION MANAGEMENT LP,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",אאוריק 2 שותפות מוגבלת,12551547.0,פנימי,קרן חוב,"תא ללא תוכן, המשך בתא הבא",ישראל,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",אירופה,לא,2025-07-15,USD,גורם תלוי/פנימי,קיימת תלות,2025-09-18,3.306,269.09824,889.63878,0.041136,0.001603,7.2e-05
214,12027,FIMI 7 2020 Ltd.,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",Fimi opportunity VII fund l.p,12551420.0,פנימי,פרייבט אקוויטי,"תא ללא תוכן, המשך בתא הבא",ישראל,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",ישראל,לא,2021-06-02,USD,דיווח מנהל הקרן,אי-תלות,2025-09-29,3.306,773.71365,2557.89732,0.001186,0.004609,0.000209
214,12027,PONTIFAX VI GP LIMITED PARTNERSHIP,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",Pontifax (Israel) VI,12551428.0,פנימי,פרייבט אקוויטי,"תא ללא תוכן, המשך בתא הבא",ישראל,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",ישראל,לא,2021-01-04,USD,דיווח מנהל הקרן,אי-תלות,2025-08-24,3.306,300.04114,991.936,0.001512,0.001787,8.1e-05
214,12027,"MENSCH CAPITAL PARTNERS I GP, LIMITED PARTNERSHIP","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",HAREL MCP ANNEX I LP,12551480.0,פנימי,קרן השקעה אחרת,"תא ללא תוכן, המשך בתא הבא",ישראל,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",ישראל,לא,2022-07-28,USD,דיווח מנהל הקרן,אי-תלות,2025-08-25,3.306,567.53306,1876.26431,0.029435,0.003381,0.000153
214,12027,"טנא ניהול השקעה בגדות בע""מ (שותף כללי בעל זכויות ניהול)","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",Tene Investment in Gadot  LP,12751023.0,פנימי,פרייבט אקוויטי,"תא ללא תוכן, המשך בתא הבא",ישראל,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",ישראל,לא,2014-04-23,USD,דיווח מנהל הקרן,אי-תלות,2025-09-21,3.306,398.93468,1318.87805,0.001702,0.002376,0.000107
214,12027,GP Desert Wind Ltd.,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",CRB HRL 2021 SPV L.P,12551460.0,פנימי,פרייבט אקוויטי,"תא ללא תוכן, המשך בתא הבא",ישראל,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","ארה""ב",לא,2022-01-18,USD,דיווח מנהל הקרן,אי-תלות,2025-08-31,3.306,431.7466,1427.35425,0.000144,0.002572,0.000116
214,12027,HAZAVIM FUNDS LTD,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",קרן גידור חצבים לונג,12241218.0,פנימי,קרן גידור (Hedge Fund),"תא ללא תוכן, המשך בתא הבא",ישראל,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",ישראל,לא,2025-03-30,ILS,דיווח מנהל הקרן,אי-תלות,2025-09-28,1.0,1646.85159,1646.85159,0.001093,0.002967,0.000134
214,12027,טנא הון צמיחה 4 (ג'.פי) שותפות מוגבלת,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",Tene Growth Capital IV,12751033.0,פנימי,פרייבט אקוויטי,"תא ללא תוכן, המשך בתא הבא",ישראל,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",ישראל,לא,2018-01-11,USD,דיווח מנהל הקרן,אי-תלות,2025-09-21,3.306,730.56651,2415.25289,0.00141,0.004352,0.000197
214,12027,"Pitango V.C. Fund VII, L.P.","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",Pitango SPV7,12551444.0,פנימי,קרן השקעה אחרת,"תא ללא תוכן, המשך בתא הבא",ישראל,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",ישראל,לא,2021-09-09,USD,דיווח מנהל הקרן,אי-תלות,2025-09-14,3.306,215.78268,713.37754,0.029435,0.001285,5.8e-05
214,12027,"אלפא לונג ביאס ג'י פי בע""מ","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",אלפא הזדמנויות שותפות מוגבלת,12241215.0,פנימי,קרן גידור (Hedge Fund),"תא ללא תוכן, המשך בתא הבא",ישראל,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",ישראל,לא,2022-01-02,ILS,דיווח מנהל הקרן,אי-תלות,2025-09-30,1.0,1138.26623,1138.26623,0.000676,0.002051,9.3e-05
214,12027,TC GP INVESTMENTS LIMITED PARTNERSHIP,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",TC RPD HOLDINGS LP,12551433.0,פנימי,פרייבט אקוויטי,"תא ללא תוכן, המשך בתא הבא",ישראל,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",בריטניה,לא,2021-03-09,USD,דיווח מנהל הקרן,אי-תלות,2025-09-02,3.306,376.78824,1245.66191,0.009762,0.002244,0.000101
214,12027,Exodus Management Israel Ltd.,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",C1 ברוש אקוויטי 08-25,12241219.0,פנימי,קרן גידור (Hedge Fund),"תא ללא תוכן, המשך בתא הבא",ישראל,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",ישראל,לא,2025-07-29,ILS,דיווח מנהל הקרן,אי-תלות,2025-09-30,1.0,945.98862,945.98862,0.001464,0.001704,7.7e-05
214,12027,S.H. SKY 4 Management L.P.,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",SKY IV,12551465.0,פנימי,פרייבט אקוויטי,"תא ללא תוכן, המשך בתא הבא",ישראל,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",ישראל,לא,2022-03-16,USD,דיווח מנהל הקרן,אי-תלות,2025-08-31,3.306,343.80142,1136.60749,0.001824,0.002048,9.2e-05
214,12027,"ISRAEL BIOTECH FUND GP PARTNERS II, L.P.","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",Israel Biotech Fund II lp,12551326.0,פנימי,פרייבט אקוויטי,"תא ללא תוכן, המשך בתא הבא",ישראל,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",ישראל,לא,2020-01-08,USD,דיווח מנהל הקרן,אי-תלות,2025-08-19,3.306,160.7295,531.37173,0.00366,0.000957,4.3e-05
214,12027,"MENSCH CAPITAL PARTNERS I GP, LIMITED PARTNERSHIP","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",Mensch Capital Partners II LP,12551532.0,פנימי,פרייבט אקוויטי,"תא ללא תוכן, המשך בתא הבא",ישראל,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",ישראל,לא,2024-12-02,USD,דיווח מנהל הקרן,אי-תלות,2025-09-17,3.306,182.37218,602.92244,0.019038,0.001086,4.9e-05
214,12027,FIMI 6 2016 Ltd.,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",FIMI Israel Oport. VI l.p,12551287.0,פנימי,פרייבט אקוויטי,"תא ללא תוכן, המשך בתא הבא",ישראל,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",ישראל,לא,2016-07-20,USD,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.306,1071.89905,3543.69827,0.001225,0.006385,0.000289
214,12027,Red Dot III General Partner L.P,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",Red Dot 3 Capital Partners Israel LP,12551536.0,פנימי,פרייבט אקוויטי,"תא ללא תוכן, המשך בתא הבא",ישראל,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",ישראל,לא,2025-01-16,USD,מומחה בלתי תלוי,אי-תלות,2025-08-21,3.306,229.91565,760.10113,0.003213,0.001369,6.2e-05
214,12027,FINTLV SECOND FUND GP LIMITED PARTNERSHIP,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",Fintlv  II,12551446.0,פנימי,פרייבט אקוויטי,"תא ללא תוכן, המשך בתא הבא",ישראל,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","ארה""ב",לא,2021-09-29,USD,דיווח מנהל הקרן,אי-תלות,2025-09-04,3.306,184.42047,609.69407,0.002002,0.001098,4.9e-05
214,12027,S.H. SKY 3 Investment Management L.P.,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",S.H. SKY III L.P,12551294.0,פנימי,פרייבט אקוויטי,"תא ללא תוכן, המשך בתא הבא",ישראל,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",ישראל,לא,2017-01-11,USD,דיווח מנהל הקרן,אי-תלות,2025-08-26,3.306,548.10748,1812.04333,0.003377,0.003265,0.000148
214,12027,FINTLV SECOND FUND GP LIMITED PARTNERSHIP,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",FinTLV II,12595008.0,פנימי,פרייבט אקוויטי,"תא ללא תוכן, המשך בתא הבא",ישראל,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","ארה""ב",לא,2021-09-29,USD,דיווח מנהל הקרן,אי-תלות,2025-09-04,3.306,31.65257,104.6434,0.000343,0.000188,8e-06
