מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,זירת מסחר,סיווג הקרן,בעל עניין/צד קשור,מטבע פעילות,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,סכום לקבל (במטבע הפעילות),"שווי הוגן (באלפי ש""ח)",שיעור מערך נקוב מונפק,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
214,12027,"אי.בי.אי קרנות נאמנות בע""מ",513765339,ח.פ.,איביאי סל תא ביטוח,IL0012157710,ISIN,עוקב אחר מדדי מניות בישראל,ישראל,ישראל,TASE,"מניות בארץ - מניות לפי ענפים-ת""א פיננסים",כן,ILS,69852.48,1.0,9609.0,"תא ללא תוכן, המשך בתא הבא",6712.12524,0.003836,0.010706,0.000548
214,12027,"אי.בי.אי קרנות נאמנות בע""מ",513765339,ח.פ.,"IBI.ת""א-90",IL0012094442,ISIN,עוקב אחר מדדי מניות בישראל,ישראל,ישראל,TASE,Large & Mid Cap מניות בארץ - מניות לפי שווי שוק-מניות,כן,ILS,29607.29,1.0,8268.0,"תא ללא תוכן, המשך בתא הבא",2447.93033,0.002457,0.003904,0.0002
214,12027,"מיטב קרנות נאמנות בע""מ",513534974,ח.פ.,תכלית סל תל בונד תשואות,IL0011452591,ISIN,עוקב אחר מדדים אחרים בישראל,ישראל,ישראל,TASE,"אג""ח בארץ - חברות והמרה-תל בונד צמוד מדד-תל בונד- תשואות",לא,ILS,16813.92,1.0,4414.26,"תא ללא תוכן, המשך בתא הבא",742.21023,0.001665,0.001183,6e-05
214,12027,"מיטב קרנות נאמנות בע""מ",513534974,ח.פ.,תכלית סל תל בונד גלובל,IL0011443772,ISIN,עוקב אחר מדדים אחרים בישראל,ישראל,ישראל,TASE,"אג""ח בארץ - חברות והמרה-תל בונד שקלי-תל בונד שקלי- אחר",לא,ILS,7702.02,1.0,4609.18,"תא ללא תוכן, המשך בתא הבא",355.00005,0.00238,0.000565,2.9e-05
214,12027,"מגדל קרנות נאמנות בע""מ",511303661,ח.פ.,MTF מגדל תל בונד שקלי,IL0011500027,ISIN,עוקב אחר מדדים אחרים בישראל,ישראל,ישראל,TASE,"אג""ח בארץ - חברות והמרה-תל בונד שקלי-תל בונד- שקלי",לא,ILS,70987.35,1.0,487.71,"תא ללא תוכן, המשך בתא הבא",346.21242,0.000485,0.000551,2.7e-05
214,12027,"קסם קרנות נאמנות בע""מ",510938608,ח.פ.,קסם סל תל בונד גלובל,IL0011507709,ISIN,עוקב אחר מדדים אחרים בישראל,ישראל,ישראל,TASE,"אג""ח בארץ - חברות והמרה-תל בונד שקלי-תל בונד שקלי- אחר",לא,ILS,14453.09,1.0,4608.0,"תא ללא תוכן, המשך בתא הבא",665.99818,0.003703,0.001061,5.3e-05
214,12027,"מגדל קרנות נאמנות בע""מ",511303661,ח.פ.,MTF סל תל בונד-מאגר,IL0011933178,ISIN,עוקב אחר מדדים אחרים בישראל,ישראל,ישראל,TASE,"אג""ח בארץ - חברות והמרה-תל בונד אחר-תל בונד מאגר",לא,ILS,1525295.12,1.0,423.02,"תא ללא תוכן, המשך בתא הבא",6452.30341,0.007999,0.010292,0.000527
214,12027,"קסם קרנות נאמנות בע""מ",510938608,ח.פ.,קסם סל תא 125,IL0011463564,ISIN,עוקב אחר מדדי מניות בישראל,ישראל,ישראל,TASE,"125 מניות בארץ - מניות כללי-ת""א",לא,ILS,32297.25,1.0,31750.0,"תא ללא תוכן, המשך בתא הבא",10254.37818,0.001161,0.016356,0.000837
214,12027,"קסם קרנות נאמנות בע""מ",510938608,ח.פ.,קסם ETFי (00) תל בונד שקלי,IL0011464141,ISIN,עוקב אחר מדדים אחרים בישראל,ישראל,ישראל,TASE,"אג""ח בארץ - חברות והמרה-תל בונד שקלי-תל בונד- שקלי",לא,ILS,12858.98,1.0,4185.19,"תא ללא תוכן, המשך בתא הבא",538.17277,0.000399,0.000858,4.3e-05
214,12027,"מגדל קרנות נאמנות בע""מ",511303661,ח.פ.,MTF סל תל בונד תשואות,IL0011501199,ISIN,עוקב אחר מדדים אחרים בישראל,ישראל,ישראל,TASE,"אג""ח בארץ - חברות והמרה-תל בונד צמוד מדד-תל בונד- תשואות",לא,ILS,76012.68,1.0,453.4,"תא ללא תוכן, המשך בתא הבא",344.6415,0.001107,0.000549,2.7e-05
