מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,זירת מסחר,ענף מסחר,נכס בסיס,תאריך פקיעה,בעל עניין/צד קשור,מטבע פעילות,שער מימוש,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
163,2104,KraneShares ETFs/USA,549300URDNVSGEWBN526,LEI,KWEB 16/01/26 C36,KWEB 16/01/26 C36,טיקר,מניה,"חו""ל",סין,AMEX,IT Services,מניות לרבות מדדי מניות,16/01/2026,לא,USD,36,18.255,3.306,675,0.407,-0.03201,0
163,2104,KraneShares ETFs/USA,549300URDNVSGEWBN526,LEI,KWEB 16/01/26 C43,KWEB 16/01/26 C43,טיקר,מניה,"חו""ל",סין,AMEX,IT Services,מניות לרבות מדדי מניות,16/01/2026,לא,USD,43,-18.255,3.306,237,-0.143,0.01124,0
163,2104,KraneShares ETFs/USA,549300URDNVSGEWBN526,LEI,KWEB 16/01/26 P34,KWEB 16/01/26 P34,טיקר,מניה,"חו""ל",סין,AMEX,IT Services,מניות לרבות מדדי מניות,16/01/2026,לא,USD,34,-9.128,3.306,54,-0.016,0.00128,0
163,2104,WIX.COM LTD,5493008P6N29Q1AG9464,LEI,WIX 16/01/26 P110,WIX 16/01/26 P110,טיקר,מניה,"חו""ל","ארה""ב",AMEX,IT Services,מניות לרבות מדדי מניות,16/01/2026,לא,USD,110,-5.701,3.306,130,-0.025,0.00192,0
163,2104,TEVA PHARMACEUTICAL INDUSTRIES LIMITED,549300BAFGM4RC74ZJ94,LEI,TEVA-US 19/12/25 C20,TEVA-US 19/12/25 C20,טיקר,מניה,"חו""ל","ארה""ב",AMEX,Pharmaceuticals,מניות לרבות מדדי מניות,19/12/2025,לא,USD,20,-45.611,3.306,185,-0.279,0.02192,0
163,2104,TSMC,549300KB6NK5SBD14S87,LEI,TSM 17/10/25 C 270,TSM 17/10/25 C 270,טיקר,מניה,"חו""ל",גלובלי,AMEX,Semiconductors & Semiconductor Equipment,מניות לרבות מדדי מניות,17/10/2025,לא,USD,270,-1.919,3.306,1535,-0.097,0.00765,0
163,2104,Constellation Energy Corporation,549300F8Y20RYGNGV346,LEI,CEG 16/01/26 C350,CEG 16/01/26 C350,טיקר,מניה,"חו""ל","ארה""ב",AMEX,Energy Equipment & Services,מניות לרבות מדדי מניות,16/01/2026,לא,USD,350,-481.828,3.306,2545,-40.54,3.18515,-0.00022
163,2104,Constellation Energy Corporation,549300F8Y20RYGNGV346,LEI,CEG 16/01/26 P300,CEG 16/01/26 P300,טיקר,מניה,"חו""ל","ארה""ב",AMEX,Energy Equipment & Services,מניות לרבות מדדי מניות,16/01/2026,לא,USD,300,481.828,3.306,1780,28.354,-2.22773,0.00015
163,2104,NICE LTD,254900YTY4EF5Z4W0A51,LEI,NICE 20/02/26 C160,NICE 20/02/26 C160,טיקר,מניה,"חו""ל","ארה""ב",AMEX,Software,מניות לרבות מדדי מניות,20/02/2026,לא,USD,160,8.552,3.306,1070,0.303,-0.02377,0
163,2104,NICE LTD,254900YTY4EF5Z4W0A51,LEI,NICE 20/02/26 C200,NICE 20/02/26 C200,טיקר,מניה,"חו""ל","ארה""ב",AMEX,Software,מניות לרבות מדדי מניות,20/02/2026,לא,USD,200,-8.552,3.306,196.57,-0.056,0.00437,0
