מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,זירת מסחר,ענף מסחר,בעל עניין/צד קשור,דירוג,שם מדרג,דירוג נייר הערך/המנפיק,מטבע פעילות,"מח""מ",מועד פדיון,שיעור ריבית,תשואה לפדיון,נחיתות חוזית,האם סווג כחוב בעייתי,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,סכום לקבל (במטבע הפעילות),"שווי הוגן (באלפי ש""ח)","עלות מופחתת (באלפי ש""ח)",עלות מופחתת (במטבע הפעילות),השיטה שיושמה בדוח הכספי,שיעור מערך נקוב מונפק,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
163,2104,אאורה השקעות בעמ,520038274,ח.פ.,אאורה אגח יח,IL0012034059,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,בנייה,לא,A2.il,מידרוג Moodys,נייר ערך,ILS,2.66,31/12/2029,0.0615,0.0526,החוב לא נחות,ריק במקור,42377.504,1,104.06,0,44.098,ריק במקור,ריק במקור,שווי הוגן,0.00014,0.00096,0.00024
163,2104,אבגול תעשיות 1953 בעמ,510119068,ח.פ.,אבגול אגח ד,IL0011404170,ISIN,"צמוד למט""ח",ישראל,ישראל,סחיר,TASE,"עץ, נייר ודפוס",לא,ilA+,מעלות S&P,נייר ערך,ILS,0.25,31/12/2025,0.039,0.0498,החוב לא נחות,ריק במקור,9322.177,1,91.08,0,8.491,ריק במקור,ריק במקור,שווי הוגן,0.00024,0.00019,5e-05
163,2104,אג'לן קומרשייל ריט הולדינגס אינק,2482,מספר מנפיק,אג'לן אגח א,IL0012232398,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בחו""ל",לא,ilA-,מעלות S&P,נייר ערך,ILS,2.53,30/06/2028,0.0592,0.0559,החוב לא נחות,ריק במקור,41557.258,1,102.83,0,42.733,ריק במקור,ריק במקור,שווי הוגן,7e-05,0.00093,0.00023
163,2104,איירפורט סיטי בעמ,511659401,ח.פ.,ארפורט אגח י,IL0011959819,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",לא,ilAA,מעלות S&P,נייר ערך,ILS,2.13,30/04/2029,0.05,0.0456,החוב לא נחות,ריק במקור,259410.972,1,103.14,0,267.556,ריק במקור,ריק במקור,שווי הוגן,0.00053,0.00585,0.00145
163,2104,איירפורט סיטי בעמ,511659401,ח.פ.,ארפורט אגח יא,IL0011959991,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",לא,ilAA,מעלות S&P,נייר ערך,ILS,7.29,30/04/2039,0.0264,0.0269,החוב לא נחות,ריק במקור,73806.935,1,109.4,0,80.745,ריק במקור,ריק במקור,שווי הוגן,0.00025,0.00177,0.00044
163,2104,איירפורט סיטי בעמ,511659401,ח.פ.,ארפורט אגח יב,IL0012115643,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",לא,ilAA,מעלות S&P,נייר ערך,ILS,6.97,30/04/2037,0.036,0.0298,החוב לא נחות,ריק במקור,53566.501,1,109.05,0,58.414,ריק במקור,ריק במקור,שווי הוגן,6e-05,0.00128,0.00032
163,2104,אלביט מערכות בעמ,520043027,ח.פ.,אלביט מע' אגח ב,IL0011782351,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,ביטחוניות,לא,ilAA+,מעלות S&P,נייר ערך,ILS,2.17,30/06/2029,0.0108,0.0448,החוב לא נחות,ריק במקור,43023.136,1,93.26,0,40.123,ריק במקור,ריק במקור,שווי הוגן,6e-05,0.00088,0.00022
163,2104,אלון רבוע כחול ישראל בעמ,520042847,ח.פ.,אלון רבוע אגח ח,IL0011972762,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,השקעה ואחזקות,לא,ilAA-,מעלות S&P,נייר ערך,ILS,3.03,30/06/2030,0.055,0.0493,החוב לא נחות,ריק במקור,42212.554,1,103.26,0,43.589,ריק במקור,ריק במקור,שווי הוגן,5e-05,0.00095,0.00024
163,2104,אלון רבוע כחול ישראל בעמ,520042847,ח.פ.,אלון רבוע אגח ט,IL0011972846,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,השקעה ואחזקות,לא,ilAA-,מעלות S&P,נייר ערך,ILS,3.15,30/06/2030,0.03,0.0302,החוב לא נחות,ריק במקור,117858.243,1,108.22,0,127.546,ריק במקור,ריק במקור,שווי הוגן,0.00014,0.00279,0.00069
163,2104,אלוני-חץ נכסים והשקעות בעמ,520038506,ח.פ.,אלוני חץ אגח טו,IL0011894149,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",לא,ilAA-,מעלות S&P,נייר ערך,ILS,6.19,28/02/2037,0.0256,0.0319,החוב לא נחות,ריק במקור,37100.706,1,108.14,0,40.121,ריק במקור,ריק במקור,שווי הוגן,4e-05,0.00088,0.00022
163,2104,אלטיטיוד השקעות לימיטד,1729,מספר מנפיק,אלטיטיוד אגח ב,IL0012076043,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בחו""ל",לא,ilA,מעלות S&P,נייר ערך,ILS,2.74,31/12/2028,0.0788,0.0733,החוב לא נחות,ריק במקור,16690.553,1,102,0,17.024,ריק במקור,ריק במקור,שווי הוגן,5e-05,0.00037,9e-05
163,2104,אלקו בעמ,520025370,ח.פ.,אלקו אגח יג,IL0069402332,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,השקעה ואחזקות,לא,ilAA-,מעלות S&P,נייר ערך,ILS,2.36,15/09/2029,0.0204,0.0487,החוב לא נחות,ריק במקור,34299.022,1,93.81,0,32.176,ריק במקור,ריק במקור,שווי הוגן,0.00011,0.0007,0.00017
163,2104,אלקטרה בעמ,520028911,ח.פ.,אלקטרה אגח ו,IL0073902632,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,השקעה ואחזקות,לא,ilA+,מעלות S&P,נייר ערך,ILS,4.52,10/12/2035,0.0207,0.0495,החוב לא נחות,ריק במקור,49561.52,1,88.43,0,43.827,ריק במקור,ריק במקור,שווי הוגן,7e-05,0.00096,0.00024
163,2104,אלקטרה נדלן בעמ,510607328,ח.פ.,אלקטרהנדלן אגחז,IL0012035536,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בחו""ל",לא,A3.il,מידרוג Moodys,נייר ערך,ILS,3.79,30/11/2034,0.0607,0.0545,החוב לא נחות,ריק במקור,57873.816,1,104.65,0,60.565,ריק במקור,ריק במקור,שווי הוגן,0.00014,0.00132,0.00033
163,2104,אמ.די.גי. ריאל אסטייט גלובל לימיטד,1840550,ח.פ.,אמ.די.ג'י אגח ז,IL0012091703,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בחו""ל",לא,A3.il,מידרוג Moodys,נייר ערך,ILS,1.99,31/12/2027,0.0795,0.0548,החוב לא נחות,ריק במקור,1071.845,1,107.1,0,1.148,ריק במקור,ריק במקור,שווי הוגן,1e-05,3e-05,1e-05
163,2104,אמ.די.גי. ריאל אסטייט גלובל לימיטד,1840550,ח.פ.,אמ.די.ג'י אגח י,IL0012180233,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בחו""ל",לא,A3.il,מידרוג Moodys,נייר ערך,ILS,2.27,28/02/2028,0.06,0.0589,החוב לא נחות,ריק במקור,29049.046,1,100.95,0,29.325,ריק במקור,ריק במקור,שווי הוגן,0.00011,0.00064,0.00016
163,2104,אמות השקעות בעמ,520026683,ח.פ.,אמות אגח י,IL0012050048,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",לא,ilAA,מעלות S&P,נייר ערך,ILS,7.18,5/01/2037,0.0579,0.0498,החוב לא נחות,ריק במקור,94988.52,1,110.08,0,104.563,ריק במקור,ריק במקור,שווי הוגן,0.00011,0.00229,0.00057
163,2104,אמות השקעות בעמ,520026683,ח.פ.,אמות אגח ט,IL0012049990,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",לא,ilAA,מעלות S&P,נייר ערך,ILS,7.97,5/01/2037,0.032,0.0304,החוב לא נחות,ריק במקור,139874.725,1,109.97,0,153.82,ריק במקור,ריק במקור,שווי הוגן,0.00017,0.00336,0.00083
163,2104,אמות השקעות בעמ,520026683,ח.פ.,אמות אגח ו,IL0011586091,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",לא,ilAA,מעלות S&P,נייר ערך,ILS,2.63,3/10/2029,0.0114,0.0288,החוב לא נחות,ריק במקור,192022.799,1,111.73,25.04,239.591,ריק במקור,ריק במקור,שווי הוגן,9e-05,0.00524,0.0013
163,2104,אמטראסט אר.אי. לימיטד,2177996,ח.פ.,אמטראסט אגח א,IL0012291295,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בחו""ל",לא,ilA+,מעלות S&P,נייר ערך,ILS,4.62,30/09/2033,0.066,0.0668,החוב לא נחות,ריק במקור,109864.063,1,100.37,0,110.271,ריק במקור,ריק במקור,שווי הוגן,0.00014,0.00241,0.0006
