מספר קרן,מספר מסלול,מאפיין עיקרי,חודש הנפקת שכבה,חודש הבדיקה,"שווי הנכסים באפיק (באלפי ש""ח)",שיעור מסך נכסי ההשקעה
163,1589,החזקה באפיק השקעה מובטח תשואה,ריק במקור,ריק במקור,496579.619,0.14508
163,2104,החזקה באפיק השקעה מובטח תשואה,ריק במקור,ריק במקור,28424.512,0.15393
163,2105,החזקה באפיק השקעה מובטח תשואה,ריק במקור,ריק במקור,430962.679,0.14139
163,2155,החזקה באפיק השקעה מובטח תשואה,ריק במקור,ריק במקור,4299507.903,0.15292
163,2156,החזקה באפיק השקעה מובטח תשואה,ריק במקור,ריק במקור,200423.877,0.15242
163,2157,החזקה באפיק השקעה מובטח תשואה,ריק במקור,ריק במקור,73904.96,0.31246
163,8645,החזקה באפיק השקעה מובטח תשואה,ריק במקור,ריק במקור,3407.455,0.34996
163,9967,החזקה באפיק השקעה מובטח תשואה,ריק במקור,ריק במקור,1791826.311,0.1519
163,9968,החזקה באפיק השקעה מובטח תשואה,ריק במקור,ריק במקור,808199.396,0.15163
163,12157,החזקה באפיק השקעה מובטח תשואה,ריק במקור,ריק במקור,1159679.963,0.29669
163,12966,החזקה באפיק השקעה מובטח תשואה,ריק במקור,ריק במקור,25328.62,0.29858
163,13260,החזקה באפיק השקעה מובטח תשואה,ריק במקור,ריק במקור,1318050.392,0.15206
163,14259,החזקה באפיק השקעה מובטח תשואה,ריק במקור,ריק במקור,100036.672,0.13331
163,14260,החזקה באפיק השקעה מובטח תשואה,ריק במקור,ריק במקור,29263.481,0.15286
163,14261,החזקה באפיק השקעה מובטח תשואה,ריק במקור,ריק במקור,18495.419,0.13824
163,15359,החזקה באפיק השקעה מובטח תשואה,ריק במקור,ריק במקור,3653.901,0.1318
163,15360,החזקה באפיק השקעה מובטח תשואה,ריק במקור,ריק במקור,44776.92,0.14553
163,15666,החזקה באפיק השקעה מובטח תשואה,ריק במקור,ריק במקור,2659.643,0.17523
660,2108,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור
660,2109,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור
660,2158,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור
660,2159,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור
660,2160,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור
660,9972,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור
660,9973,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור
660,12158,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור
660,13286,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור
660,13285,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור
660,14267,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור
660,14268,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור
660,14269,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור
660,15361,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור
660,15362,,,,,
660,15665,,,,,
