מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,ענף מסחר,בעל עניין/צד קשור,מטבע פעילות,סוג גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,תאריך אחרון בו נבחנה בפועל ירידת ערך,שיעור אחזקה באמצעי שליטה,"שווי מאזני (באלפי ש""ח)","שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
163,1589,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור
163,2104,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור
163,2105,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור
163,2155,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור
163,2156,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור
163,2157,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור
163,8645,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור
163,9967,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור
163,9968,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור
660,2108,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור
660,2109,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור
660,2158,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור
660,2159,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור
660,2160,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור
660,9972,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור
660,9973,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור
163,12157,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור
660,12158,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור
163,12966,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור
660,13286,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור
163,13260,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור
660,13285,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור
163,14259,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור
163,14260,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור
163,14261,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור
660,14267,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור
660,14268,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור
660,14269,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור
163,15359,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור
163,15360,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור
660,15361,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור
660,15362,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור
163,15666,,,,,,,,,,,,,,,,,,,,,
660,15665,,,,,,,,,,,,,,,,,,,,,
