מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,זירת מסחר,נכס בסיס (כתב אופציה),ענף מסחר,תאריך פקיעה,בעל עניין/צד קשור,מטבע פעילות,שער מימוש,יחס המרה,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
163,2104,אפי נכסים בעמ,510560188,ח.פ.,אפי נכס אופ 3,IL0012137191,ISIN,ישראל,ישראל,סחיר,TASE,IL0010913544,"נדל""ן מניב בחו""ל",20/11/2025,לא,ILS,17000,1,21.922,1,3900,0.855,0.06695,0
163,2104,אפי קפיטל נדלן בעמ,513948216,ח.פ.,אפי קפיטל אופציה 1,IL0012042136,ISIN,ישראל,ישראל,סחיר,TASE,IL0011814378,בנייה,15/02/2026,לא,ILS,1157.91,1,54.498,1,530.8,0.289,0.02265,0
163,2104,ארי נדלן (ארנה) השקעות בעמ,520038332,ח.פ.,ארי נדלן אפ 1,IL0012123498,ISIN,ישראל,ישראל,סחיר,TASE,IL0003660136,"נדל""ן מניב בישראל",27/09/2027,לא,ILS,285.24,1,169.236,1,59.6,0.101,0.0079,0
163,2104,קבוצת חגג ייזום נדלן בעמ,520033309,ח.פ.,חגג אופ 1,IL0012166547,ISIN,ישראל,ישראל,סחיר,TASE,IL0008230133,בנייה,30/07/2027,לא,ILS,3230,1,27.119,1,158.2,0.043,0.00336,0
163,2104,"מגידו י.ק. בע""מ",510542855,ח.פ.,מגידו      אפ 1,IL0012251844,ISIN,ישראל,ישראל,סחיר,TASE,IL0012166059,בנייה,12/07/2029,לא,ILS,850,1,52.262,1,215.8,0.113,0.00883,0
163,2104,"נאוויטס פטרוליום, שותפות מוגבלת",550263107,ח.פ.,נאוויטס פט אפ 6,IL0012288242,ISIN,ישראל,ישראל,סחיר,TASE,IL0011419699,חיפושי נפט וגז,31/08/2026,לא,ILS,12000,1,8.663,1,1609,0.139,0.01091,0
163,2104,"נאייקס בע""מ",513639013,ח.פ.,נאייקס אפ 1,IL0012189812,ISIN,ישראל,ישראל,סחיר,TASE,IL0011751166,תוכנה ואינטרנט,31/03/2027,לא,ILS,17780,1,379.845,1,2797,10.624,0.83192,6e-05
163,2104,"פאי סיאם בע""מ",513978635,ח.פ.,פאי סיאם אופ 1,IL0012162827,ISIN,ישראל,ישראל,סחיר,TASE,IL0011865271,מלונאות ותיירות,12/01/2028,לא,ILS,4900,1,32.469,1,480.1,0.156,0.01221,0
163,2104,מפעלים פטרוכימיים בישראל בעמ,520029315,ח.פ.,פטרוכימים אופציה 1,IL0011903056,ISIN,ישראל,ישראל,סחיר,TASE,IL0007560159,אנרגיה,25/10/2026,לא,ILS,37.5,1,45.737,1,134.3,0.061,0.00481,0
163,2104,רותם שני,512287517,ח.פ.,רותם שני   אפ 2,IL0012093030,ISIN,ישראל,ישראל,סחיר,TASE,IL0011715294 ,בנייה,23/10/2027,לא,ILS,2600,1,21.358,1,1802,0.385,0.03014,0
163,2104,SCAGE FUTURE -,21380033k525e5jlia77,LEI,SCAGE FUTURE -A,KYG7840J1186,ISIN,"חו""ל",גלובלי,סחיר,NASDAQ,US80590A1051,Industrial Conglomerates,2023-06-24 00:00:00,לא,USD,2,1,21.782,3.306,4.76,0.003,0.00027,0
163,2104,Taboola.com Ltd,984500F5945AFAFFCB30,LEI,TABOOLA.COM LTD,IL0011754210,ISIN,"חו""ל","ארה""ב",סחיר,NASDAQ,IL0011754137,Software,2026-06-29 00:00:00,לא,USD,0,1,2.477,3.306,8.5,0.001,5e-05,0
163,2105,אפי נכסים בעמ,510560188,ח.פ.,אפי נכס אופ 3,IL0012137191,ISIN,ישראל,ישראל,סחיר,TASE,IL0010913544,"נדל""ן מניב בחו""ל",20/11/2025,לא,ILS,17000,1,10837.811,1,3900,422.675,0.39686,0.00014
163,2105,אפי קפיטל נדלן בעמ,513948216,ח.פ.,אפי קפיטל אופציה 1,IL0012042136,ISIN,ישראל,ישראל,סחיר,TASE,IL0011814378,בנייה,15/02/2026,לא,ILS,1157.91,1,26942.743,1,530.8,143.012,0.13428,5e-05
163,2105,ארי נדלן (ארנה) השקעות בעמ,520038332,ח.פ.,ארי נדלן אפ 1,IL0012123498,ISIN,ישראל,ישראל,סחיר,TASE,IL0003660136,"נדל""ן מניב בישראל",27/09/2027,לא,ILS,285.24,1,83666.607,1,59.6,49.865,0.04682,2e-05
163,2105,קבוצת חגג ייזום נדלן בעמ,520033309,ח.פ.,חגג אופ 1,IL0012166547,ISIN,ישראל,ישראל,סחיר,TASE,IL0008230133,בנייה,30/07/2027,לא,ILS,3230,1,13406.839,1,158.2,21.21,0.01991,1e-05
163,2105,"מגידו י.ק. בע""מ",510542855,ח.פ.,מגידו      אפ 1,IL0012251844,ISIN,ישראל,ישראל,סחיר,TASE,IL0012166059,בנייה,12/07/2029,לא,ILS,850,1,25837.185,1,215.8,55.757,0.05235,2e-05
163,2105,"נאוויטס פטרוליום, שותפות מוגבלת",550263107,ח.פ.,נאוויטס פט אפ 6,IL0012288242,ISIN,ישראל,ישראל,סחיר,TASE,IL0011419699,חיפושי נפט וגז,31/08/2026,לא,ILS,12000,1,4282.822,1,1609,68.911,0.0647,2e-05
163,2105,"נאייקס בע""מ",513639013,ח.פ.,נאייקס אפ 1,IL0012189812,ISIN,ישראל,ישראל,סחיר,TASE,IL0011751166,תוכנה ואינטרנט,31/03/2027,לא,ILS,17780,1,29.921,1,2797,0.837,0.00079,0
163,2105,"פאי סיאם בע""מ",513978635,ח.פ.,פאי סיאם אופ 1,IL0012162827,ISIN,ישראל,ישראל,סחיר,TASE,IL0011865271,מלונאות ותיירות,12/01/2028,לא,ILS,4900,1,16052.195,1,480.1,77.067,0.07236,3e-05
163,2105,מפעלים פטרוכימיים בישראל בעמ,520029315,ח.פ.,פטרוכימים אופציה 1,IL0011903056,ISIN,ישראל,ישראל,סחיר,TASE,IL0007560159,אנרגיה,25/10/2026,לא,ILS,37.5,1,22611.626,1,134.3,30.367,0.02851,1e-05
163,2105,רותם שני,512287517,ח.פ.,רותם שני   אפ 2,IL0012093030,ISIN,ישראל,ישראל,סחיר,TASE,IL0011715294 ,בנייה,23/10/2027,לא,ILS,2600,1,10559.047,1,1802,190.274,0.17865,6e-05
163,2105,SCAGE FUTURE -,21380033k525e5jlia77,LEI,SCAGE FUTURE -A,KYG7840J1186,ISIN,"חו""ל",גלובלי,סחיר,NASDAQ,US80590A1051,Industrial Conglomerates,2023-06-24 00:00:00,לא,USD,2,1,30101.075,3.306,4.76,4.737,0.00445,0
163,2105,Taboola.com Ltd,984500F5945AFAFFCB30,LEI,TABOOLA.COM LTD,IL0011754210,ISIN,"חו""ל","ארה""ב",סחיר,NASDAQ,IL0011754137,Software,2026-06-29 00:00:00,לא,USD,0,1,1224.42,3.306,8.5,0.344,0.00032,0
163,2155,אפי נכסים בעמ,510560188,ח.פ.,אפי נכס אופ 3,IL0012137191,ISIN,ישראל,ישראל,סחיר,TASE,IL0010913544,"נדל""ן מניב בחו""ל",20/11/2025,לא,ILS,17000,1,75992.642,1,3900,2963.713,0.37116,0.00011
163,2155,אפי קפיטל נדלן בעמ,513948216,ח.פ.,אפי קפיטל אופציה 1,IL0012042136,ISIN,ישראל,ישראל,סחיר,TASE,IL0011814378,בנייה,15/02/2026,לא,ILS,1157.91,1,188917.323,1,530.8,1002.773,0.12558,4e-05
163,2155,ארי נדלן (ארנה) השקעות בעמ,520038332,ח.פ.,ארי נדלן אפ 1,IL0012123498,ISIN,ישראל,ישראל,סחיר,TASE,IL0003660136,"נדל""ן מניב בישראל",27/09/2027,לא,ILS,285.24,1,586654.126,1,59.6,349.646,0.04379,1e-05
163,2155,קבוצת חגג ייזום נדלן בעמ,520033309,ח.פ.,חגג אופ 1,IL0012166547,ISIN,ישראל,ישראל,סחיר,TASE,IL0008230133,בנייה,30/07/2027,לא,ILS,3230,1,94006.169,1,158.2,148.718,0.01862,1e-05
163,2155,"מגידו י.ק. בע""מ",510542855,ח.פ.,מגידו      אפ 1,IL0012251844,ISIN,ישראל,ישראל,סחיר,TASE,IL0012166059,בנייה,12/07/2029,לא,ILS,850,1,181165.364,1,215.8,390.955,0.04896,1e-05
163,2155,"נאוויטס פטרוליום, שותפות מוגבלת",550263107,ח.פ.,נאוויטס פט אפ 6,IL0012288242,ISIN,ישראל,ישראל,סחיר,TASE,IL0011419699,חיפושי נפט וגז,31/08/2026,לא,ILS,12000,1,30030.319,1,1609,483.188,0.06051,2e-05
163,2155,"נאייקס בע""מ",513639013,ח.פ.,נאייקס אפ 1,IL0012189812,ISIN,ישראל,ישראל,סחיר,TASE,IL0011751166,תוכנה ואינטרנט,31/03/2027,לא,ILS,17780,1,18646.455,1,2797,521.541,0.06532,2e-05
163,2155,"פאי סיאם בע""מ",513978635,ח.פ.,פאי סיאם אופ 1,IL0012162827,ISIN,ישראל,ישראל,סחיר,TASE,IL0011865271,מלונאות ותיירות,12/01/2028,לא,ILS,4900,1,112554.9,1,480.1,540.376,0.06767,2e-05
163,2155,מפעלים פטרוכימיים בישראל בעמ,520029315,ח.פ.,פטרוכימים אופציה 1,IL0011903056,ISIN,ישראל,ישראל,סחיר,TASE,IL0007560159,אנרגיה,25/10/2026,לא,ILS,37.5,1,158548.361,1,134.3,212.93,0.02667,1e-05
163,2155,רותם שני,512287517,ח.פ.,רותם שני   אפ 2,IL0012093030,ISIN,ישראל,ישראל,סחיר,TASE,IL0011715294 ,בנייה,23/10/2027,לא,ILS,2600,1,74038.001,1,1802,1334.165,0.16709,5e-05
163,2155,SCAGE FUTURE -,21380033k525e5jlia77,LEI,SCAGE FUTURE -A,KYG7840J1186,ISIN,"חו""ל",גלובלי,סחיר,NASDAQ,US80590A1051,Industrial Conglomerates,2023-06-24 00:00:00,לא,USD,2,1,219411.275,3.306,4.76,34.528,0.00432,0
163,2155,Taboola.com Ltd,984500F5945AFAFFCB30,LEI,TABOOLA.COM LTD,IL0011754210,ISIN,"חו""ל","ארה""ב",סחיר,NASDAQ,IL0011754137,Software,2026-06-29 00:00:00,לא,USD,0,1,8585.399,3.306,8.5,2.413,0.0003,0
163,9967,אפי נכסים בעמ,510560188,ח.פ.,אפי נכס אופ 3,IL0012137191,ISIN,ישראל,ישראל,סחיר,TASE,IL0010913544,"נדל""ן מניב בחו""ל",20/11/2025,לא,ILS,17000,1,26696.313,1,3900,1041.156,0.35458,9e-05
163,9967,אפי קפיטל נדלן בעמ,513948216,ח.פ.,אפי קפיטל אופציה 1,IL0012042136,ISIN,ישראל,ישראל,סחיר,TASE,IL0011814378,בנייה,15/02/2026,לא,ILS,1157.91,1,66366.899,1,530.8,352.276,0.11997,3e-05
163,9967,ארי נדלן (ארנה) השקעות בעמ,520038332,ח.פ.,ארי נדלן אפ 1,IL0012123498,ISIN,ישראל,ישראל,סחיר,TASE,IL0003660136,"נדל""ן מניב בישראל",27/09/2027,לא,ILS,285.24,1,206092.351,1,59.6,122.831,0.04183,1e-05
163,9967,קבוצת חגג ייזום נדלן בעמ,520033309,ח.פ.,חגג אופ 1,IL0012166547,ISIN,ישראל,ישראל,סחיר,TASE,IL0008230133,בנייה,30/07/2027,לא,ILS,3230,1,33024.488,1,158.2,52.245,0.01779,0
163,9967,"מגידו י.ק. בע""מ",510542855,ח.פ.,מגידו      אפ 1,IL0012251844,ISIN,ישראל,ישראל,סחיר,TASE,IL0012166059,בנייה,12/07/2029,לא,ILS,850,1,63643.626,1,215.8,137.343,0.04677,1e-05
163,9967,"נאוויטס פטרוליום, שותפות מוגבלת",550263107,ח.פ.,נאוויטס פט אפ 6,IL0012288242,ISIN,ישראל,ישראל,סחיר,TASE,IL0011419699,חיפושי נפט וגז,31/08/2026,לא,ILS,12000,1,10549.69,1,1609,169.745,0.05781,1e-05
163,9967,"נאייקס בע""מ",513639013,ח.פ.,נאייקס אפ 1,IL0012189812,ISIN,ישראל,ישראל,סחיר,TASE,IL0011751166,תוכנה ואינטרנט,31/03/2027,לא,ILS,17780,1,11239.238,1,2797,314.362,0.10706,3e-05
163,9967,"פאי סיאם בע""מ",513978635,ח.פ.,פאי סיאם אופ 1,IL0012162827,ISIN,ישראל,ישראל,סחיר,TASE,IL0011865271,מלונאות ותיירות,12/01/2028,לא,ILS,4900,1,39540.682,1,480.1,189.835,0.06465,2e-05
163,9967,מפעלים פטרוכימיים בישראל בעמ,520029315,ח.פ.,פטרוכימים אופציה 1,IL0011903056,ISIN,ישראל,ישראל,סחיר,TASE,IL0007560159,אנרגיה,25/10/2026,לא,ILS,37.5,1,55698.243,1,134.3,74.803,0.02548,1e-05
163,9967,רותם שני,512287517,ח.פ.,רותם שני   אפ 2,IL0012093030,ISIN,ישראל,ישראל,סחיר,TASE,IL0011715294 ,בנייה,23/10/2027,לא,ILS,2600,1,26009.645,1,1802,468.694,0.15962,4e-05
163,9967,SCAGE FUTURE -,21380033k525e5jlia77,LEI,SCAGE FUTURE -A,KYG7840J1186,ISIN,"חו""ל",גלובלי,סחיר,NASDAQ,US80590A1051,Industrial Conglomerates,2023-06-24 00:00:00,לא,USD,2,1,77421.966,3.306,4.76,12.184,0.00415,0
163,9967,Taboola.com Ltd,984500F5945AFAFFCB30,LEI,TABOOLA.COM LTD,IL0011754210,ISIN,"חו""ל","ארה""ב",סחיר,NASDAQ,IL0011754137,Software,2026-06-29 00:00:00,לא,USD,0,1,3016.062,3.306,8.5,0.848,0.00029,0
163,9968,אפי נכסים בעמ,510560188,ח.פ.,אפי נכס אופ 3,IL0012137191,ISIN,ישראל,ישראל,סחיר,TASE,IL0010913544,"נדל""ן מניב בחו""ל",20/11/2025,לא,ILS,17000,1,7063.044,1,3900,275.459,0.30342,5e-05
163,9968,אפי קפיטל נדלן בעמ,513948216,ח.פ.,אפי קפיטל אופציה 1,IL0012042136,ISIN,ישראל,ישראל,סחיר,TASE,IL0011814378,בנייה,15/02/2026,לא,ILS,1157.91,1,17558.692,1,530.8,93.202,0.10266,2e-05
163,9968,ארי נדלן (ארנה) השקעות בעמ,520038332,ח.פ.,ארי נדלן אפ 1,IL0012123498,ISIN,ישראל,ישראל,סחיר,TASE,IL0003660136,"נדל""ן מניב בישראל",27/09/2027,לא,ILS,285.24,1,54525.858,1,59.6,32.497,0.0358,1e-05
163,9968,קבוצת חגג ייזום נדלן בעמ,520033309,ח.פ.,חגג אופ 1,IL0012166547,ISIN,ישראל,ישראל,סחיר,TASE,IL0008230133,בנייה,30/07/2027,לא,ILS,3230,1,8737.29,1,158.2,13.822,0.01523,0
163,9968,"מגידו י.ק. בע""מ",510542855,ח.פ.,מגידו      אפ 1,IL0012251844,ISIN,ישראל,ישראל,סחיר,TASE,IL0012166059,בנייה,12/07/2029,לא,ILS,850,1,16838.196,1,215.8,36.337,0.04003,1e-05
163,9968,"נאוויטס פטרוליום, שותפות מוגבלת",550263107,ח.פ.,נאוויטס פט אפ 6,IL0012288242,ISIN,ישראל,ישראל,סחיר,TASE,IL0011419699,חיפושי נפט וגז,31/08/2026,לא,ILS,12000,1,2791.132,1,1609,44.909,0.04947,1e-05
163,9968,"נאייקס בע""מ",513639013,ח.פ.,נאייקס אפ 1,IL0012189812,ISIN,ישראל,ישראל,סחיר,TASE,IL0011751166,תוכנה ואינטרנט,31/03/2027,לא,ILS,17780,1,7655.212,1,2797,214.116,0.23585,4e-05
163,9968,"פאי סיאם בע""מ",513978635,ח.פ.,פאי סיאם אופ 1,IL0012162827,ISIN,ישראל,ישראל,סחיר,TASE,IL0011865271,מלונאות ותיירות,12/01/2028,לא,ILS,4900,1,10461.279,1,480.1,50.225,0.05532,1e-05
163,9968,מפעלים פטרוכימיים בישראל בעמ,520029315,ח.פ.,פטרוכימים אופציה 1,IL0011903056,ISIN,ישראל,ישראל,סחיר,TASE,IL0007560159,אנרגיה,25/10/2026,לא,ILS,37.5,1,14736.086,1,134.3,19.791,0.0218,0
163,9968,רותם שני,512287517,ח.פ.,רותם שני   אפ 2,IL0012093030,ISIN,ישראל,ישראל,סחיר,TASE,IL0011715294 ,בנייה,23/10/2027,לא,ILS,2600,1,6881.372,1,1802,124.002,0.13659,2e-05
163,9968,SCAGE FUTURE -,21380033k525e5jlia77,LEI,SCAGE FUTURE -A,KYG7840J1186,ISIN,"חו""ל",גלובלי,סחיר,NASDAQ,US80590A1051,Industrial Conglomerates,2023-06-24 00:00:00,לא,USD,2,1,20705.153,3.306,4.76,3.258,0.00359,0
163,9968,Taboola.com Ltd,984500F5945AFAFFCB30,LEI,TABOOLA.COM LTD,IL0011754210,ISIN,"חו""ל","ארה""ב",סחיר,NASDAQ,IL0011754137,Software,2026-06-29 00:00:00,לא,USD,0,1,797.96,3.306,8.5,0.224,0.00025,0
660,2108,אפי נכסים בעמ,510560188,ח.פ.,אפי נכס אופ 3,IL0012137191,ISIN,ישראל,ישראל,סחיר,TASE,IL0010913544,"נדל""ן מניב בחו""ל",20/11/2025,לא,ILS,17000,1,1.223,1,3900,0.048,0.06952,1e-05
660,2108,אפי קפיטל נדלן בעמ,513948216,ח.פ.,אפי קפיטל אופציה 1,IL0012042136,ISIN,ישראל,ישראל,סחיר,TASE,IL0011814378,בנייה,15/02/2026,לא,ILS,1157.91,1,3.041,1,530.8,0.016,0.02352,0
