מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,ענף מסחר,נכס בסיס,תאריך פקיעה,בעל עניין/צד קשור,תאריך רכישה,מטבע פעילות,סוג גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,שער מימוש,יחס המרה,ערך נקוב (יחידות),שער נייר הערך,שער חליפין,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
163,2104,בנק מזרחי טפחות בעמ,520000522,ח.פ.,CALL1 190126  כלל בטוח,406259820,פנימי,מניה,ישראל,ישראל,ביטוח,IL0002240146,2026-01-19 00:00:00,לא,20/01/2025,ILS,אחר,אי-תלות,30/09/2025,1,1,11.403,16968.024,1,1.935,0.02687,1e-05
163,2104,בנק מזרחי טפחות בעמ,520000522,ח.פ.,EO050326 NIS/NIS0.00,406381533,פנימי,מניה,ישראל,ישראל,בנקים,IL0006046119,2026-05-03 00:00:00,לא,5/03/2025,ILS,אחר,אי-תלות,30/09/2025,1,1,131.132,6528.263,1,8.561,0.11891,5e-05
163,2104,בנק מזרחי טפחות בעמ,520000522,ח.פ.,EO050326 NIS/NIS0.00,406377846,פנימי,מניה,ישראל,ישראל,בנקים,IL0006046119,2026-05-03 00:00:00,לא,4/03/2025,ILS,אחר,אי-תלות,30/09/2025,1,1,136.833,6528.263,1,8.933,0.12408,5e-05
163,2104,בנק מזרחי טפחות בעמ,520000522,ח.פ.,EO090626 NIS/NIS0.00,406696963,פנימי,מניה,ישראל,ישראל,ביטוח,IL0007670123,2026-03-05 00:00:00,לא,9/06/2025,ILS,אחר,אי-תלות,30/09/2025,1,1,67.846,12398.691,1,8.412,0.11684,5e-05
163,2104,בנק מזרחי טפחות בעמ,520000522,ח.פ.,EO110626 NIS/NIS0.00,406712091,פנימי,מניה,ישראל,ישראל,ביטוח,IL0005660183,2026-06-09 00:00:00,לא,12/06/2025,ILS,אחר,אי-תלות,30/09/2025,1,1,25.656,32496.575,1,8.337,0.11581,5e-05
163,2104,בנק מזרחי טפחות בעמ,520000522,ח.פ.,EO120326 NIS/NIS0.00,406401299,פנימי,מניה,ישראל,ישראל,בנקים,IL0006046119,2026-12-03 00:00:00,לא,12/03/2025,ILS,אחר,אי-תלות,30/09/2025,1,1,68.417,6528.267,1,4.466,0.06204,2e-05
163,2104,בנק מזרחי טפחות בעמ,520000522,ח.פ.,EO150726 NIS/NIS0.00,406827600,פנימי,מניה,ישראל,ישראל,בנקים,IL0006046119,2026-07-15 00:00:00,לא,15/07/2025,ILS,אחר,אי-תלות,30/09/2025,1,1,136.833,6528.322,1,8.933,0.12408,5e-05
163,2104,בנק מזרחי טפחות בעמ,520000522,ח.פ.,EO170326 NIS/NIS0.00,406413492,פנימי,מניה,ישראל,ישראל,ביטוח,IL0002240146,17/12/2025,לא,17/03/2025,ILS,אחר,אי-תלות,30/09/2025,1,1,51.312,16968.1,1,8.707,0.12094,5e-05
163,2104,בנק מזרחי טפחות בעמ,520000522,ח.פ.,EO171225 NIS/NIS0.00,406175737,פנימי,מניה,ישראל,ישראל,ביטוח,IL0007670123,17/12/2025,לא,17/12/2024,ILS,אחר,אי-תלות,30/09/2025,1,1,32.213,12398.517,1,3.994,0.05548,2e-05
163,2104,בנק מזרחי טפחות בעמ,520000522,ח.פ.,EO221225 NIS/NIS0.00,406189134,פנימי,מניה,ישראל,ישראל,אנרגיה מתחדשת,IL0007200111,22/12/2025,לא,22/12/2024,ILS,אחר,אי-תלות,30/09/2025,1,1,25.656,10188.785,1,2.614,0.03631,1e-05
