מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,מאפיין עיקרי,שם נייר ערך,מספר נייר ערך,תאריך רכישה,"מח""מ",סוג הצמדה,מועד פדיון,שיעור ריבית,תשואה לפדיון,ערך נקוב (יחידות),שער נייר הערך,"שווי הוגן (באלפי ש""ח)","עלות מופחתת (באלפי ש""ח)",השיטה שיושמה בדוח הכספי,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
163,1589,ממשלת ישראל,ערד  8791,8287914,1/06/2012,1.599,צמוד למדד המחירים לצרכן,1/06/2027,0.048,0.04853,23821.416,122.922,29.282,ריק במקור,שווי הוגן,7e-05,1e-05
163,1589,ממשלת ישראל,ערד  סדרה 8861,8288615,1/04/2018,6.24,צמוד למדד המחירים לצרכן,1/04/2033,0.048,0.04856,1222524.318,122.931,1502.865,ריק במקור,שווי הוגן,0.00364,0.00044
163,1589,ממשלת ישראל,ערד  סדרה 8862,8288623,1/05/2018,6.322,צמוד למדד המחירים לצרכן,1/05/2033,0.048,0.04858,3873223.47,122.076,4728.261,ריק במקור,שווי הוגן,0.01146,0.00138
163,1589,ממשלת ישראל,ערד  סדרה 8863,8288631,1/06/2018,6.405,צמוד למדד המחירים לצרכן,1/06/2033,0.048,0.04857,2155629.996,121.12,2610.906,ריק במקור,שווי הוגן,0.00633,0.00076
163,1589,ממשלת ישראל,ערד  סדרה 8864,8288649,1/07/2018,6.488,צמוד למדד המחירים לצרכן,1/07/2033,0.048,0.04856,1497280.067,120.054,1797.543,ריק במקור,שווי הוגן,0.00436,0.00053
163,1589,ממשלת ישראל,ערד 2027 סדרה 5,8287955,2/10/2012,1.896,צמוד למדד המחירים לצרכן,2/10/2027,0.048,0.0484,501498.625,122.827,615.976,ריק במקור,שווי הוגן,0.00149,0.00018
163,1589,ממשלת ישראל,ערד 4.8% 8774,8287740,2/01/2011,0.258,צמוד למדד המחירים לצרכן,2/01/2026,0.048,0.0475,381697.718,127.12,485.216,ריק במקור,שווי הוגן,0.00118,0.00014
163,1589,ממשלת ישראל,ערד 4.8% 8794,8287948,2/09/2012,1.854,צמוד למדד המחירים לצרכן,2/09/2027,0.048,0.04857,442615.785,121.673,538.546,ריק במקור,שווי הוגן,0.0013,0.00016
163,1589,ממשלת ישראל,ערד 4.8% 8796,8287963,1/11/2012,1.974,צמוד למדד המחירים לצרכן,1/11/2027,0.048,0.04851,1027882.535,122.354,1257.653,ריק במקור,שווי הוגן,0.00305,0.00037
163,1589,ממשלת ישראל,ערד 4.8% 8797,8287971,2/12/2012,2.058,צמוד למדד המחירים לצרכן,2/12/2027,0.048,0.04858,822879.592,122.079,1004.562,ריק במקור,שווי הוגן,0.00243,0.00029
163,1589,ממשלת ישראל,ערד 4.8% 8799,8287997,1/02/2013,2.225,צמוד למדד המחירים לצרכן,1/02/2028,0.048,0.04846,784441.54,121.49,953.019,ריק במקור,שווי הוגן,0.00231,0.00028
163,1589,ממשלת ישראל,ערד 4.8% 8805,8288052,1/08/2013,2.669,צמוד למדד המחירים לצרכן,1/08/2028,0.048,0.04848,1004477.416,119.909,1204.46,ריק במקור,שווי הוגן,0.00292,0.00035
163,1589,ממשלת ישראל,ערד 8288557,8288557,1/04/2017,5.891,צמוד למדד המחירים לצרכן,1/10/2032,0.048,0.04855,4208110.949,122.686,5162.758,ריק במקור,שווי הוגן,0.01251,0.00151
163,1589,ממשלת ישראל,ערד 8771,8287716,1/10/2010,0.008,צמוד למדד המחירים לצרכן,1/10/2025,0.048,0.00784,380957.635,129.483,493.275,ריק במקור,שווי הוגן,0.0012,0.00014
163,1589,ממשלת ישראל,ערד 8781,8287815,1/08/2011,0.827,צמוד למדד המחירים לצרכן,1/08/2026,0.048,0.04833,1203328.42,123.476,1485.821,ריק במקור,שווי הוגן,0.0036,0.00043
163,1589,ממשלת ישראל,ערד 8782,8287823,29/08/2011,0.909,צמוד למדד המחירים לצרכן,1/09/2026,0.048,0.04854,240850.705,123.332,297.047,ריק במקור,שווי הוגן,0.00072,9e-05
163,1589,ממשלת ישראל,ערד 8783,8287831,25/09/2011,0.971,צמוד למדד המחירים לצרכן,2/10/2026,0.048,0.04849,12720.174,125.185,15.924,ריק במקור,שווי הוגן,4e-05,0
163,1589,ממשלת ישראל,ערד 8784,8287849,1/11/2011,1.053,צמוד למדד המחירים לצרכן,1/11/2026,0.048,0.04846,804238.756,124.942,1004.832,ריק במקור,שווי הוגן,0.00243,0.00029
163,1589,ממשלת ישראל,ערד 8785,8287856,1/12/2011,1.135,צמוד למדד המחירים לצרכן,1/12/2026,0.048,0.04846,25856.644,124.339,32.15,ריק במקור,שווי הוגן,8e-05,1e-05
163,1589,ממשלת ישראל,ערד 8786,8287864,1/01/2012,1.22,צמוד למדד המחירים לצרכן,1/01/2027,0.048,0.04835,352279.425,123.975,436.74,ריק במקור,שווי הוגן,0.00106,0.00013
163,1589,ממשלת ישראל,ערד 8787,8287872,1/02/2012,1.305,צמוד למדד המחירים לצרכן,1/02/2027,0.048,0.04837,850956.484,123.476,1050.727,ריק במקור,שווי הוגן,0.00255,0.00031
163,1589,ממשלת ישראל,ערד 8788,8287880,1/03/2012,1.382,צמוד למדד המחירים לצרכן,1/03/2027,0.048,0.0487,634852.299,122.977,780.719,ריק במקור,שווי הוגן,0.00189,0.00023
163,1589,ממשלת ישראל,ערד 8789,8287898,1/04/2012,1.433,צמוד למדד המחירים לצרכן,1/04/2027,0.048,0.04855,696371.684,125.441,873.539,ריק במקור,שווי הוגן,0.00212,0.00026
163,1589,ממשלת ישראל,ערד 8790,8287906,1/05/2012,1.517,צמוד למדד המחירים לצרכן,1/05/2027,0.048,0.04854,409589.589,124.463,509.789,ריק במקור,שווי הוגן,0.00124,0.00015
163,1589,ממשלת ישראל,ערד 8792,8287922,1/07/2012,1.682,צמוד למדד המחירים לצרכן,1/07/2027,0.048,0.04852,202042.612,122.445,247.391,ריק במקור,שווי הוגן,0.0006,7e-05
163,1589,ממשלת ישראל,ערד 8793,8287930,1/08/2012,1.767,צמוד למדד המחירים לצרכן,1/08/2027,0.048,0.04853,1058040.91,122.3,1293.984,ריק במקור,שווי הוגן,0.00314,0.00038
163,1589,ממשלת ישראל,ערד 8883,8288839,2/02/2020,7.581,צמוד למדד המחירים לצרכן,2/02/2035,0.048,0.04858,7122742.139,118.81,8462.504,ריק במקור,שווי הוגן,0.02051,0.00247
163,1589,ממשלת ישראל,ערד 8884,8288847,1/03/2020,7.655,צמוד למדד המחירים לצרכן,1/03/2035,0.048,0.0486,1583360.951,118.847,1881.777,ריק במקור,שווי הוגן,0.00456,0.00055
163,1589,ממשלת ישראל,ערד 8885,8288854,1/03/2020,7.644,צמוד למדד המחירים לצרכן,1/05/2035,0.048,0.04857,316616.684,120.387,381.166,ריק במקור,שווי הוגן,0.00092,0.00011
163,1589,ממשלת ישראל,ערד 8886,8288862,1/06/2020,7.727,צמוד למדד המחירים לצרכן,1/06/2035,0.048,0.04856,4045662.769,120.279,4866.101,ריק במקור,שווי הוגן,0.01179,0.00142
163,1589,ממשלת ישראל,ערד 8888,8288888,2/08/2020,7.898,צמוד למדד המחירים לצרכן,2/08/2035,0.048,0.04859,9944122.892,119.76,11909.092,ריק במקור,שווי הוגן,0.02886,0.00348
163,1589,ממשלת ישראל,ערד 8889,8288896,2/08/2020,7.978,צמוד למדד המחירים לצרכן,1/09/2035,0.048,0.04857,10433872.702,119.084,12425.098,ריק במקור,שווי הוגן,0.03011,0.00363
163,1589,ממשלת ישראל,ערד 8890,8288904,2/08/2020,7.874,צמוד למדד המחירים לצרכן,1/10/2035,0.048,0.04855,147415.248,121.471,179.067,ריק במקור,שווי הוגן,0.00043,5e-05
163,1589,ממשלת ישראל,ערד 8891,8288912,2/08/2020,7.958,צמוד למדד המחירים לצרכן,1/11/2035,0.048,0.04856,9450302.627,121.108,11445.112,ריק במקור,שווי הוגן,0.02773,0.00334
163,1589,ממשלת ישראל,ערד 8892,8288920,2/08/2020,8.04,צמוד למדד המחירים לצרכן,1/12/2035,0.048,0.04855,7016771.529,120.279,8439.734,ריק במקור,שווי הוגן,0.02045,0.00247
163,1589,ממשלת ישראל,ערד 8893,8288938,2/08/2020,8.124,צמוד למדד המחירים לצרכן,1/01/2036,0.048,0.04854,10335811.728,120.051,12408.297,ריק במקור,שווי הוגן,0.03007,0.00363
