מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,בעל עניין/צד קשור,נכס בסיס,תאריך רכישה,דירוג,שם מדרג,דירוג נייר הערך/המנפיק,מטבע פעילות,"מח""מ",שיעור ריבית,תשואה לפדיון,סוג גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
163,2104,JPMorgan Chase & Co,8I5DZWZKVSZI1NUHU748,LEI,JP 11/28,XS1668108175,ISIN,קרן מובטחת,"חו""ל",אירופה,לא,מניות לרבות מדדי מניות,16/03/2016,NR,NR,NR,USD,0,0,0,אחר,אי-תלות,30/09/2025,1.981,3.306,16802,1.1,1,1e-05
163,2105,JPMorgan Chase & Co,8I5DZWZKVSZI1NUHU748,LEI,JP 11/28,XS1668108175,ISIN,קרן מובטחת,"חו""ל",אירופה,לא,מניות לרבות מדדי מניות,16/03/2016,NR,NR,NR,USD,0,0,0,אחר,אי-תלות,30/09/2025,2737.764,3.306,16802,1520.757,1,0.0005
163,2155,JPMorgan Chase & Co,8I5DZWZKVSZI1NUHU748,LEI,JP 11/28,XS1668108175,ISIN,קרן מובטחת,"חו""ל",אירופה,לא,מניות לרבות מדדי מניות,16/03/2016,NR,NR,NR,USD,0,0,0,אחר,אי-תלות,30/09/2025,19955.978,3.306,16802,11085.029,1,0.00039
163,9967,JPMorgan Chase & Co,8I5DZWZKVSZI1NUHU748,LEI,JP 11/28,XS1668108175,ISIN,קרן מובטחת,"חו""ל",אירופה,לא,מניות לרבות מדדי מניות,16/03/2016,NR,NR,NR,USD,0,0,0,אחר,אי-תלות,30/09/2025,7041.712,3.306,16802,3911.489,1,0.00033
163,9968,JPMorgan Chase & Co,8I5DZWZKVSZI1NUHU748,LEI,JP 11/28,XS1668108175,ISIN,קרן מובטחת,"חו""ל",אירופה,לא,מניות לרבות מדדי מניות,16/03/2016,NR,NR,NR,USD,0,0,0,אחר,אי-תלות,30/09/2025,1883.183,3.306,16802,1046.059,1,0.0002
660,2108,JPMorgan Chase & Co,8I5DZWZKVSZI1NUHU748,LEI,JP 11/28,XS1668108175,ISIN,קרן מובטחת,"חו""ל",אירופה,לא,מניות לרבות מדדי מניות,16/03/2016,NR,NR,NR,USD,0,0,0,אחר,אי-תלות,30/09/2025,0.034,3.306,16802,0.019,1,0
660,2109,JPMorgan Chase & Co,8I5DZWZKVSZI1NUHU748,LEI,JP 11/28,XS1668108175,ISIN,קרן מובטחת,"חו""ל",אירופה,לא,מניות לרבות מדדי מניות,16/03/2016,NR,NR,NR,USD,0,0,0,אחר,אי-תלות,30/09/2025,252.668,3.306,16802,140.35,1,0.00068
660,2158,JPMorgan Chase & Co,8I5DZWZKVSZI1NUHU748,LEI,JP 11/28,XS1668108175,ISIN,קרן מובטחת,"חו""ל",אירופה,לא,מניות לרבות מדדי מניות,16/03/2016,NR,NR,NR,USD,0,0,0,אחר,אי-תלות,30/09/2025,525.17,3.306,16802,291.718,1,0.00039
660,9972,JPMorgan Chase & Co,8I5DZWZKVSZI1NUHU748,LEI,JP 11/28,XS1668108175,ISIN,קרן מובטחת,"חו""ל",אירופה,לא,מניות לרבות מדדי מניות,16/03/2016,NR,NR,NR,USD,0,0,0,אחר,אי-תלות,30/09/2025,222.922,3.306,16802,123.827,1,0.00033
660,9973,JPMorgan Chase & Co,8I5DZWZKVSZI1NUHU748,LEI,JP 11/28,XS1668108175,ISIN,קרן מובטחת,"חו""ל",אירופה,לא,מניות לרבות מדדי מניות,16/03/2016,NR,NR,NR,USD,0,0,0,אחר,אי-תלות,30/09/2025,58.647,3.306,16802,32.577,1,0.0002
