מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,ענף מסחר,בעל עניין/צד קשור,תאריך רכישה,דירוג,שם מדרג,דירוג נייר הערך/המנפיק,מטבע פעילות,"מח""מ",סוג הצמדה,ריבית עוגן,מועד פדיון,שיעור ריבית,תשואה לפדיון,נחיתות חוזית,האם סווג כחוב בעייתי,סוג גורם משערך,תלות/אי-תלות המשערך,שם גורם משערך,תאריך שערוך אחרון,תאריך אחרון בו נבחנה בפועל ירידת ערך,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)","עלות מופחתת (באלפי ש""ח)",עלות מופחתת (במטבע הפעילות),השיטה שיושמה בדוח הכספי,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
163,2104,אספן גרופ בעמ,520037540,ח.פ.,אספן גרופ נעם 5,1223072,פנימי,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,"נדל""ן מניב בחו""ל",לא,10/06/2025,A3.il,מידרוג Moodys,נייר ערך,ILS,0.25,לא צמוד,0,31/12/2025,0.087,0.0956,החוב לא נחות,ריק במקור,חברת ציטוט,אי-תלות,ריק במקור,30/09/2025,ריק במקור,175098.303,1,102.57,179.598,ריק במקור,ריק במקור,שווי הוגן,1,0.00097
163,2155,אספן גרופ בעמ,520037540,ח.פ.,אספן גרופ נעם 5,1223072,פנימי,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,"נדל""ן מניב בחו""ל",לא,10/06/2025,A3.il,מידרוג Moodys,נייר ערך,ILS,0.25,לא צמוד,0,31/12/2025,0.087,0.0956,החוב לא נחות,ריק במקור,חברת ציטוט,אי-תלות,ריק במקור,30/09/2025,ריק במקור,9463754.16,1,102.57,9706.973,ריק במקור,ריק במקור,שווי הוגן,1,0.00035
163,9967,אספן גרופ בעמ,520037540,ח.פ.,אספן גרופ נעם 5,1223072,פנימי,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,"נדל""ן מניב בחו""ל",לא,10/06/2025,A3.il,מידרוג Moodys,נייר ערך,ILS,0.25,לא צמוד,0,31/12/2025,0.087,0.0956,החוב לא נחות,ריק במקור,חברת ציטוט,אי-תלות,ריק במקור,30/09/2025,ריק במקור,4188743.518,1,102.57,4296.394,ריק במקור,ריק במקור,שווי הוגן,1,0.00036
163,9968,אספן גרופ בעמ,520037540,ח.פ.,אספן גרופ נעם 5,1223072,פנימי,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,"נדל""ן מניב בחו""ל",לא,10/06/2025,A3.il,מידרוג Moodys,נייר ערך,ILS,0.25,לא צמוד,0,31/12/2025,0.087,0.0956,החוב לא נחות,ריק במקור,חברת ציטוט,אי-תלות,ריק במקור,30/09/2025,ריק במקור,2857071.095,1,102.57,2930.498,ריק במקור,ריק במקור,שווי הוגן,1,0.00055
660,2108,אספן גרופ בעמ,520037540,ח.פ.,אספן גרופ נעם 5,1223072,פנימי,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,"נדל""ן מניב בחו""ל",לא,10/06/2025,A3.il,מידרוג Moodys,נייר ערך,ILS,0.25,לא צמוד,0,31/12/2025,0.087,0.0956,החוב לא נחות,ריק במקור,חברת ציטוט,אי-תלות,ריק במקור,30/09/2025,ריק במקור,7270.551,1,102.57,7.457,ריק במקור,ריק במקור,שווי הוגן,1,0.00098
660,2158,אספן גרופ בעמ,520037540,ח.פ.,אספן גרופ נעם 5,1223072,פנימי,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,"נדל""ן מניב בחו""ל",לא,10/06/2025,A3.il,מידרוג Moodys,נייר ערך,ILS,0.25,לא צמוד,0,31/12/2025,0.087,0.0956,החוב לא נחות,ריק במקור,חברת ציטוט,אי-תלות,ריק במקור,30/09/2025,ריק במקור,498966.987,1,102.57,511.79,ריק במקור,ריק במקור,שווי הוגן,1,0.00068
660,9972,אספן גרופ בעמ,520037540,ח.פ.,אספן גרופ נעם 5,1223072,פנימי,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,"נדל""ן מניב בחו""ל",לא,10/06/2025,A3.il,מידרוג Moodys,נייר ערך,ILS,0.25,לא צמוד,0,31/12/2025,0.087,0.0956,החוב לא נחות,ריק במקור,חברת ציטוט,אי-תלות,ריק במקור,30/09/2025,ריק במקור,249151.286,1,102.57,255.554,ריק במקור,ריק במקור,שווי הוגן,1,0.00068
660,9973,אספן גרופ בעמ,520037540,ח.פ.,אספן גרופ נעם 5,1223072,פנימי,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,"נדל""ן מניב בחו""ל",לא,10/06/2025,A3.il,מידרוג Moodys,נייר ערך,ILS,0.25,לא צמוד,0,31/12/2025,0.087,0.0956,החוב לא נחות,ריק במקור,חברת ציטוט,אי-תלות,ריק במקור,30/09/2025,ריק במקור,131619.777,1,102.57,135.002,ריק במקור,ריק במקור,שווי הוגן,1,0.00081
163,12157,אספן גרופ בעמ,520037540,ח.פ.,אספן גרופ נעם 5,1223072,פנימי,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,"נדל""ן מניב בחו""ל",לא,10/06/2025,A3.il,מידרוג Moodys,נייר ערך,ILS,0.25,לא צמוד,0,31/12/2025,0.087,0.0956,החוב לא נחות,ריק במקור,חברת ציטוט,אי-תלות,ריק במקור,30/09/2025,ריק במקור,1540990.076,1,102.57,1580.594,ריק במקור,ריק במקור,שווי הוגן,1,0.0004
660,12158,אספן גרופ בעמ,520037540,ח.פ.,אספן גרופ נעם 5,1223072,פנימי,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,"נדל""ן מניב בחו""ל",לא,10/06/2025,A3.il,מידרוג Moodys,נייר ערך,ILS,0.25,לא צמוד,0,31/12/2025,0.087,0.0956,החוב לא נחות,ריק במקור,חברת ציטוט,אי-תלות,ריק במקור,30/09/2025,ריק במקור,104946.079,1,102.57,107.643,ריק במקור,ריק במקור,שווי הוגן,1,0.00065
163,1589,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור
163,2105,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור
163,2156,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור
163,2157,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור
163,8645,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור
660,2109,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור
660,2159,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור
660,2160,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור
163,12966,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור
660,13286,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור
