מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,זירת מסחר,נכס בסיס,בעל עניין/צד קשור,"מח""מ",שיעור ריבית,תשואה לפדיון,דירוג,שם מדרג,דירוג נייר הערך/המנפיק,מטבע פעילות,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
163,2104,"אלה פקדונות בע""מ",515666881,ח.פ.,אלה פיקדון אגח ה,IL0011625774,ISIN,קרן מובטחת,ישראל,ישראל,סחיר,TASE,אחר,לא,2.787,0.0005,0.02633,ilAAA,מעלות S&P,נייר ערך,ILS,291362.749,1,109.77,319.829,0.81583,0.00173
163,2104,GREENSHORE,635400WDAII7Z67DM642,LEI,GREENSHORE 5/30,XS1995759534,ISIN,קרן מובטחת,"חו""ל",ישראל,סחיר,EURONEXT,אחר,לא,0,0,0,NR,NR,NR,JPY,3001164.641,2.233,107.726,72.2,0.18417,0.00039
163,2105,"אלה פקדונות בע""מ",515666881,ח.פ.,אלה פיקדון אגח ה,IL0011625774,ISIN,קרן מובטחת,ישראל,ישראל,סחיר,TASE,אחר,לא,2.787,0.0005,0.02633,ilAAA,מעלות S&P,נייר ערך,ILS,22951.227,1,109.77,25.194,0.81583,1e-05
163,2105,GREENSHORE,635400WDAII7Z67DM642,LEI,GREENSHORE 5/30,XS1995759534,ISIN,קרן מובטחת,"חו""ל",ישראל,סחיר,EURONEXT,אחר,לא,0,0,0,NR,NR,NR,JPY,236407.748,2.233,107.726,5.687,0.18417,0
163,2155,"אלה פקדונות בע""מ",515666881,ח.פ.,אלה פיקדון אגח ה,IL0011625774,ISIN,קרן מובטחת,ישראל,ישראל,סחיר,TASE,אחר,לא,2.787,0.0005,0.02633,ilAAA,מעלות S&P,נייר ערך,ILS,14302909.741,1,109.77,15700.304,0.81583,0.00056
163,2155,GREENSHORE,635400WDAII7Z67DM642,LEI,GREENSHORE 5/30,XS1995759534,ISIN,קרן מובטחת,"חו""ל",ישראל,סחיר,EURONEXT,אחר,לא,0,0,0,NR,NR,NR,JPY,147326269.794,2.233,107.726,3544.287,0.18417,0.00013
163,9967,"אלה פקדונות בע""מ",515666881,ח.פ.,אלה פיקדון אגח ה,IL0011625774,ISIN,קרן מובטחת,ישראל,ישראל,סחיר,TASE,אחר,לא,2.787,0.0005,0.02633,ilAAA,מעלות S&P,נייר ערך,ILS,8621146.215,1,109.77,9463.432,0.81583,0.0008
163,9967,GREENSHORE,635400WDAII7Z67DM642,LEI,GREENSHORE 5/30,XS1995759534,ISIN,קרן מובטחת,"חו""ל",ישראל,סחיר,EURONEXT,אחר,לא,0,0,0,NR,NR,NR,JPY,88801603.044,2.233,107.726,2136.336,0.18417,0.00018
163,9968,"אלה פקדונות בע""מ",515666881,ח.פ.,אלה פיקדון אגח ה,IL0011625774,ISIN,קרן מובטחת,ישראל,ישראל,סחיר,TASE,אחר,לא,2.787,0.0005,0.02633,ilAAA,מעלות S&P,נייר ערך,ILS,5871990.289,1,109.77,6445.684,0.81583,0.00121
163,9968,GREENSHORE,635400WDAII7Z67DM642,LEI,GREENSHORE 5/30,XS1995759534,ISIN,קרן מובטחת,"חו""ל",ישראל,סחיר,EURONEXT,אחר,לא,0,0,0,NR,NR,NR,JPY,60484086.186,2.233,107.726,1455.09,0.18417,0.00027
660,2108,"אלה פקדונות בע""מ",515666881,ח.פ.,אלה פיקדון אגח ה,IL0011625774,ISIN,קרן מובטחת,ישראל,ישראל,סחיר,TASE,אחר,לא,2.787,0.0005,0.02633,ilAAA,מעלות S&P,נייר ערך,ILS,15534.856,1,109.77,17.053,0.81583,0.00225
660,2108,GREENSHORE,635400WDAII7Z67DM642,LEI,GREENSHORE 5/30,XS1995759534,ISIN,קרן מובטחת,"חו""ל",ישראל,סחיר,EURONEXT,אחר,לא,0,0,0,NR,NR,NR,JPY,160015.855,2.233,107.726,3.85,0.18417,0.00051
660,2109,"אלה פקדונות בע""מ",515666881,ח.פ.,אלה פיקדון אגח ה,IL0011625774,ISIN,קרן מובטחת,ישראל,ישראל,סחיר,TASE,אחר,לא,2.787,0.0005,0.02633,ilAAA,מעלות S&P,נייר ערך,ILS,4666.795,1,109.77,5.123,0.81583,2e-05
660,2109,GREENSHORE,635400WDAII7Z67DM642,LEI,GREENSHORE 5/30,XS1995759534,ISIN,קרן מובטחת,"חו""ל",ישראל,סחיר,EURONEXT,אחר,לא,0,0,0,NR,NR,NR,JPY,48070.04,2.233,107.726,1.156,0.18417,1e-05
660,2158,"אלה פקדונות בע""מ",515666881,ח.פ.,אלה פיקדון אגח ה,IL0011625774,ISIN,קרן מובטחת,ישראל,ישראל,סחיר,TASE,אחר,לא,2.787,0.0005,0.02633,ilAAA,מעלות S&P,נייר ערך,ILS,779318.527,1,109.77,855.458,0.81583,0.00114
660,2158,GREENSHORE,635400WDAII7Z67DM642,LEI,GREENSHORE 5/30,XS1995759534,ISIN,קרן מובטחת,"חו""ל",ישראל,סחיר,EURONEXT,אחר,לא,0,0,0,NR,NR,NR,JPY,8027324.068,2.233,107.726,193.117,0.18417,0.00026
660,9972,"אלה פקדונות בע""מ",515666881,ח.פ.,אלה פיקדון אגח ה,IL0011625774,ISIN,קרן מובטחת,ישראל,ישראל,סחיר,TASE,אחר,לא,2.787,0.0005,0.02633,ilAAA,מעלות S&P,נייר ערך,ILS,452902.962,1,109.77,497.152,0.81583,0.00133
660,9972,GREENSHORE,635400WDAII7Z67DM642,LEI,GREENSHORE 5/30,XS1995759534,ISIN,קרן מובטחת,"חו""ל",ישראל,סחיר,EURONEXT,אחר,לא,0,0,0,NR,NR,NR,JPY,4665099.98,2.233,107.726,112.23,0.18417,0.0003
