מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם הבנק,מספר מזהה בנק,סוג מספר מזהה בנק,מאפיין עיקרי,"ישראל/חו""ל",בעל עניין/צד קשור,דירוג הבנק,שם מדרג,מטבע פעילות,שווי מטבעי,שער חליפין,שיעור ריבית,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
163,1589,מזרחי,20-061,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,מעלות S&P,USD,42541.322,3.306,ריק במקור,140641.611,0.42157,0.04109
163,1589,מזרחי,20-061,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,מעלות S&P,USD,8.241,3.306,ריק במקור,27.244,8e-05,1e-05
163,1589,מזרחי,20-061,סימול בנק,"מזומן ועו""ש בש""ח",ישראל,לא,ilAAA,מעלות S&P,ILS,182787.76,1.0,ריק במקור,182787.76,0.54791,0.0534
163,1589,לאומי למשכנתאות‎ בנק,10,סימול בנק,"פקדון במט""ח עד שלושה חודשים",ישראל,לא,ilAAA,מעלות S&P,USD,26407.312,3.306,ריק במקור,87302.574,0.26169,0.02551
163,1589,מזרחי,20-061,סימול בנק,"מזומן ועו""ש בש""ח",ישראל,לא,ilAAA,מעלות S&P,ILS,-165171.007,1.0,ריק במקור,-165171.007,-0.4951,-0.04826
163,1589,מזרחי,20-061,סימול בנק,"פקדון במט""ח עד שלושה חודשים",ישראל,לא,ilAAA,מעלות S&P,USD,26625.5,3.306,ריק במקור,88023.905,0.26385,0.02572
163,2104,מזרחי,20-061,סימול בנק,"פקדון במט""ח עד שלושה חודשים",ישראל,לא,ilAAA,מעלות S&P,USD,-7.246,3.306,ריק במקור,-23.956,-0.0027,-0.00013
163,2104,מזרחי,20-061,סימול בנק,"פקדון במט""ח עד שלושה חודשים",ישראל,לא,ilAAA,מעלות S&P,USD,-5.204,3.306,ריק במקור,-17.204,-0.00194,-9e-05
163,2104,מזרחי,20-061,סימול בנק,"פקדון במט""ח עד שלושה חודשים",ישראל,לא,ilAAA,מעלות S&P,USD,-6.378,3.306,ריק במקור,-21.085,-0.00237,-0.00011
163,2104,מזרחי,20-061,סימול בנק,"פקדון במט""ח עד שלושה חודשים",ישראל,לא,ilAAA,מעלות S&P,USD,-9.166,3.306,ריק במקור,-30.303,-0.00341,-0.00016
163,2104,מזרחי,20-061,סימול בנק,"פקדון במט""ח עד שלושה חודשים",ישראל,לא,ilAAA,מעלות S&P,USD,-0.9,3.306,ריק במקור,-2.977,-0.00033,-2e-05
163,2104,מזרחי,20-061,סימול בנק,"פקדון במט""ח עד שלושה חודשים",ישראל,לא,ilAAA,מעלות S&P,USD,-20.0,3.306,ריק במקור,-66.12,-0.00744,-0.00036
163,2104,מזרחי,20-061,סימול בנק,"פקדון במט""ח עד שלושה חודשים",ישראל,לא,ilAAA,מעלות S&P,USD,84.972,3.306,ריק במקור,280.918,0.03161,0.00152
163,2104,מזרחי,20-061,סימול בנק,"פקדון במט""ח עד שלושה חודשים",ישראל,לא,ilAAA,מעלות S&P,USD,0.484,3.306,ריק במקור,1.6,0.00018,1e-05
163,2104,מזרחי,20-061,סימול בנק,"פקדון במט""ח עד שלושה חודשים",ישראל,לא,ilAAA,מעלות S&P,EUR,0.555,3.881,ריק במקור,2.153,0.00024,1e-05
163,2104,מזרחי,20-061,סימול בנק,"פקדון במט""ח עד שלושה חודשים",ישראל,לא,ilAAA,מעלות S&P,GBP,0.0,4.441,ריק במקור,0.0,0.0,0.0
163,2104,מזרחי,20-061,סימול בנק,"פקדון במט""ח עד שלושה חודשים",ישראל,לא,ilAAA,מעלות S&P,JPY,127.282,2.233,ריק במקור,2.842,0.00032,2e-05
163,2104,מזרחי,20-061,סימול בנק,"פקדון במט""ח עד שלושה חודשים",ישראל,לא,ilAAA,מעלות S&P,USD,-0.801,3.306,ריק במקור,-2.647,-0.0003,-1e-05
163,2104,מזרחי,20-061,סימול בנק,"פקדון במט""ח עד שלושה חודשים",ישראל,לא,ilAAA,מעלות S&P,USD,-1.067,3.306,ריק במקור,-3.526,-0.0004,-2e-05
163,2104,מזרחי,20-061,סימול בנק,"פקדון במט""ח עד שלושה חודשים",ישראל,לא,ilAAA,מעלות S&P,USD,-0.795,3.306,ריק במקור,-2.628,-0.0003,-1e-05
163,2104,מזרחי,20-061,סימול בנק,"פקדון במט""ח עד שלושה חודשים",ישראל,לא,ilAAA,מעלות S&P,USD,-56.55,3.306,ריק במקור,-186.954,-0.02104,-0.00101
163,2104,מזרחי,20-061,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,מעלות S&P,EUR,28.624,3.881,ריק במקור,111.082,0.0125,0.0006
163,2104,מזרחי,20-061,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,מעלות S&P,EUR,29.358,3.881,ריק במקור,113.931,0.01282,0.00062
163,2104,פועלים,12-531,סימול בנק,"פק""מ לתקופה של עד שלושה חודשים",ישראל,לא,ilAAA,מעלות S&P,ILS,42.099,1.0,ריק במקור,42.099,0.00474,0.00023
163,2104,מזרחי,20-061,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,מעלות S&P,USD,305.058,3.306,ריק במקור,1008.523,0.1135,0.00546
163,2104,מזרחי,20-061,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,מעלות S&P,USD,214.145,3.306,ריק במקור,707.965,0.07967,0.00383
163,2104,מזרחי,20-061,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,מעלות S&P,USD,59.123,3.306,ריק במקור,195.46,0.022,0.00106
163,2104,מזרחי,20-061,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,מעלות S&P,JPY,773.999,2.233,ריק במקור,17.285,0.00195,9e-05
163,2104,מזרחי,20-061,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,מעלות S&P,JPY,5.0,2.233,ריק במקור,0.112,1e-05,0.0
163,2104,מזרחי,20-061,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,מעלות S&P,JPY,-0.005,2.233,ריק במקור,0.0,0.0,0.0
163,2104,מזרחי,20-061,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,מעלות S&P,GBP,2.066,4.441,ריק במקור,9.175,0.00103,5e-05
163,2104,מזרחי,20-061,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,מעלות S&P,GBP,3.812,4.441,ריק במקור,16.928,0.00191,9e-05
163,2104,מזרחי,20-061,סימול בנק,"מזומן ועו""ש בש""ח",ישראל,לא,ilAAA,מעלות S&P,ILS,5848.446,1.0,ריק במקור,5848.446,0.65818,0.03167
163,2104,לאומי למשכנתאות‎ בנק,10,סימול בנק,"פקדון במט""ח עד שלושה חודשים",ישראל,לא,ilAAA,מעלות S&P,USD,19.643,3.306,ריק במקור,64.94,0.00731,0.00035
163,2104,פועלים,12-531,סימול בנק,"פקדון במט""ח עד שלושה חודשים",ישראל,לא,ilAAA,מעלות S&P,USD,10.557,3.306,ריק במקור,34.902,0.00393,0.00019
163,2104,מזרחי,20-061,סימול בנק,"מזומן ועו""ש בש""ח",ישראל,לא,ilAAA,מעלות S&P,ILS,541.154,1.0,ריק במקור,541.154,0.0609,0.00293
163,2104,מזרחי,20-061,סימול בנק,"פקדון במט""ח עד שלושה חודשים",ישראל,לא,ilAAA,מעלות S&P,USD,-1.992,3.306,ריק במקור,-6.585,-0.00074,-4e-05
163,2104,מזרחי,20-061,סימול בנק,"פקדון במט""ח עד שלושה חודשים",ישראל,לא,ilAAA,מעלות S&P,USD,-1.702,3.306,ריק במקור,-5.628,-0.00063,-3e-05
163,2104,מזרחי,20-061,סימול בנק,"פקדון במט""ח עד שלושה חודשים",ישראל,לא,ilAAA,מעלות S&P,USD,-0.282,3.306,ריק במקור,-0.932,-0.0001,-1e-05
163,2104,מזרחי,20-061,סימול בנק,"פקדון במט""ח עד שלושה חודשים",ישראל,לא,ilAAA,מעלות S&P,USD,0.2,3.306,ריק במקור,0.66,7e-05,0.0
163,2104,מזרחי,20-061,סימול בנק,"פקדון במט""ח עד שלושה חודשים",ישראל,לא,ilAAA,מעלות S&P,CAD,0.257,2.374,ריק במקור,0.609,7e-05,0.0
