"
","
שווי הוגן","ידווח בקבצי נכסי הנוסטרו בלבד
עלות מופחתת","
השיטה שיושמה בדוח הכספי","
שיעור מסך נכסי השקעה","
.1"
מזומנים ושווי מזומנים,"4,962,373.59",0.00,"4,962,373.592",7.067%,
איגרות חוב ממשלתיות,10447066.481,0,10447066.481,0.14879,
ניירות ערך מסחריים,0,0,0.000,0,
איגרות חוב,5198423.104,0,5198423.104,0.07403,
"מניות, מניות בכורה ויחידות השתתפות",9512751.863,0,9512751.863,0.13548,
קרנות סל,11031959.592,0,11031959.592,0.15712,
קרנות נאמנות,1072948.653,0,1072948.653,0.01528,
כתבי אופציה,14160.192,0,14160.192,0.0002,
אופציות,471.232,0,471.232,1e-05,
חוזים עתידיים,60791.158,0,60791.158,0.00087,
מוצרים מובנים,45011.342,0,45011.342,0.00064,
לא סחיר איגרות חוב ממשלתיות,0,0,0.000,0,
לא סחיר איגרות חוב מיועדות,8922313.82,0,8922313.82,0.12707,
אפיק השקעה מובטח תשואה,10835181.723,0,10835181.723,0.15431,
לא סחיר ניירות ערך מסחריים,19711.504,0,19711.504,0.00028,
לא סחיר איגרות חוב,728425.056,0,728425.056,0.01037,
"לא סחיר מניות, מניות בכורה ויחידות השתתפות",260106.005,0,260106.005,0.0037,
קרנות השקעה,5125271.473,0,5125271.473,0.07299,
לא סחיר כתבי אופציה,0.606,0,0.606,0,
לא סחיר אופציות,432772.549,0,432772.549,0.00616,
לא סחיר נגזרים אחרים,431980.239,0,431980.239,0.00615,
הלוואות,1073974.63,0,1073974.63,0.0153,
לא סחיר מוצרים מובנים,18633.052,0,18633.052,0.00027,
פיקדונות מעל 3 חודשים,0,0,0.000,0,
זכויות מקרקעין,21675.794,0,21675.794,0.00031,
השקעה בחברות מוחזקות,0,0,0.000,0,
נכסים אחרים,-200.682,0,-200.682,0,
סך הכל נכסים,70215802.979,0,70215802.979,1,
מסגרות אשראי,571421.4463237475,ריק במקור,ריק במקור,ריק במקור,
יתרות התחייבויות להשקעה,1370174.5069999993,,,,
