מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,זירת מסחר,ענף מסחר,נכס בסיס,תאריך פקיעה,בעל עניין/צד קשור,מטבע פעילות,שער מימוש,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
162,2102,"כלל החזקות עסקי ביטוח בע""מ",520036120,ח.פ.,CIC 17000,IL0858770824,ISIN,מניה,ישראל,ישראל,TASE,ביטוח,מניות לרבות מדדי מניות,2025-10-30 00:00:00,לא,ILS,17000,835.08,1,90600,756.583,0.03344833612451513,1.1088339730189848e-05
162,2102,"כלל החזקות עסקי ביטוח בע""מ",520036120,ח.פ.,CIP 17000,IL0858773307,ISIN,מניה,ישראל,ישראל,TASE,ביטוח,מניות לרבות מדדי מניות,2025-10-30 00:00:00,לא,ILS,17000,-835.08,1,87700,-732.365,-0.03237766469221556,-1.0733405226525692e-05
162,2102,"הבורסה לניירות ערך בתל אביב בע""מ",520020033,ח.פ.,bC 7340 NOV 25,IL0859236395,ISIN,מדד,ישראל,ישראל,TASE,שירותים פיננסיים,מניות לרבות מדדי מניות,2025-11-27 00:00:00,לא,ILS,7340,3622.494,1,511100,18514.566,0.8185241100679234,0.00027134603574891603
162,2102,"הבורסה לניירות ערך בתל אביב בע""מ",520020033,ח.פ.,bP 7340 NOV 25,IL0859259074,ISIN,מדד,ישראל,ישראל,TASE,שירותים פיננסיים,מניות לרבות מדדי מניות,2025-11-27 00:00:00,לא,ILS,7340,-3622.494,1,166100,-6016.962,-0.266008312933855,-8.818347596977803e-05
162,2102,"נייס בע""מ",520036872,ח.פ.,NICE US 10/17/25 C175,NICE US 10/17/25 C175,טיקר,מניה,"חו""ל",ישראל,NYSE,Software,מניות לרבות מדדי מניות,2025-10-17 00:00:00,לא,USD,175,762.63,3.306,35,88.244,0.0039012441106550284,1.2932876513890386e-06
162,2102,"נייס בע""מ",520036872,ח.פ.,NICE US 10/17/25 C200,NICE US 10/17/25 C200,טיקר,מניה,"חו""ל",ישראל,NYSE,Software,מניות לרבות מדדי מניות,2025-10-17 00:00:00,לא,USD,200,-762.63,3.306,5,-12.606,-0.0005573079558827489,-1.8475119139443157e-07
162,2102,"טבע תעשיות פרמצבטיות בע""מ",520013954,ח.פ.,TEVA US 12/19/25 C24,TEVA US 12/19/25 C24,טיקר,מניה,"חו""ל",ישראל,NYSE,Pharmaceuticals,מניות לרבות מדדי מניות,2025-12-19 00:00:00,לא,USD,24,-9532.879,3.306,47,-1481.238,-0.06548514373757347,-2.1708748630708e-05
162,2102,"טבע תעשיות פרמצבטיות בע""מ",520013954,ח.פ.,TEVA US 12/19/25 P16,TEVA US 12/19/25 P16,טיקר,מניה,"חו""ל",ישראל,NYSE,Pharmaceuticals,מניות לרבות מדדי מניות,2025-12-19 00:00:00,לא,USD,16,-9532.879,3.306,27,-850.924,-0.03761912700710552,-1.2470983879590298e-05
162,2102,"טבע תעשיות פרמצבטיות בע""מ",520013954,ח.פ.,TEVA US 12/19/25 P11,TEVA US 12/19/25 P11,טיקר,מניה,"חו""ל",ישראל,NYSE,Pharmaceuticals,מניות לרבות מדדי מניות,2025-12-19 00:00:00,לא,USD,11,9532.879,3.306,2,63.031,0.0027865839891516374,9.237706127861666e-07
162,2102,"טבע תעשיות פרמצבטיות בע""מ",520013954,ח.פ.,TEVA US 12/19/25 C17,TEVA US 12/19/25 C17,טיקר,מניה,"חו""ל",ישראל,NYSE,Pharmaceuticals,מניות לרבות מדדי מניות,2025-12-19 00:00:00,לא,USD,17,9532.879,3.306,390,12291.122,0.5433872820343871,0.00018013639799098117
162,2142,"כלל החזקות עסקי ביטוח בע""מ",520036120,ח.פ.,CIC 17000,IL0858770824,ISIN,מניה,ישראל,ישראל,TASE,ביטוח,מניות לרבות מדדי מניות,2025-10-30 00:00:00,לא,ILS,17000,182.231,1,90600,165.101,0.03344829130104556,1.4472593732665083e-05
162,2142,"כלל החזקות עסקי ביטוח בע""מ",520036120,ח.פ.,CIP 17000,IL0858773307,ISIN,מניה,ישראל,ישראל,TASE,ביטוח,מניות לרבות מדדי מניות,2025-10-30 00:00:00,לא,ILS,17000,-182.231,1,87700,-159.816,-0.03237758779515507,-1.4009315752052398e-05
162,2142,"הבורסה לניירות ערך בתל אביב בע""מ",520020033,ח.פ.,bC 7340 NOV 25,IL0859236395,ISIN,מדד,ישראל,ישראל,TASE,שירותים פיננסיים,מניות לרבות מדדי מניות,2025-11-27 00:00:00,לא,ILS,7340,790.499,1,511100,4040.24,0.8185239607642372,0.0003541635247664325
162,2142,"הבורסה לניירות ערך בתל אביב בע""מ",520020033,ח.פ.,bP 7340 NOV 25,IL0859259074,ISIN,מדד,ישראל,ישראל,TASE,שירותים פיננסיים,מניות לרבות מדדי מניות,2025-11-27 00:00:00,לא,ILS,7340,-790.499,1,166100,-1313.019,-0.266008334266949,-0.00011509797366624172
162,2142,"נייס בע""מ",520036872,ח.פ.,NICE US 10/17/25 C175,NICE US 10/17/25 C175,טיקר,מניה,"חו""ל",ישראל,NYSE,Software,מניות לרבות מדדי מניות,2025-10-17 00:00:00,לא,USD,175,166.421,3.306,35,19.257,0.003901331582390382,1.6880499664443676e-06
162,2142,"נייס בע""מ",520036872,ח.פ.,NICE US 10/17/25 C200,NICE US 10/17/25 C200,טיקר,מניה,"חו""ל",ישראל,NYSE,Software,מניות לרבות מדדי מניות,2025-10-17 00:00:00,לא,USD,200,-166.421,3.306,5,-2.751,-0.000557333083198626,-2.4114999520633817e-07
162,2142,"טבע תעשיות פרמצבטיות בע""מ",520013954,ח.פ.,TEVA US 12/19/25 C24,TEVA US 12/19/25 C24,טיקר,מניה,"חו""ל",ישראל,NYSE,Pharmaceuticals,מניות לרבות מדדי מניות,2025-12-19 00:00:00,לא,USD,24,-2080.26,3.306,47,-323.235,-0.06548511782904684,-2.8334466994009716e-05
