מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,שם נייר ערך,מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,זירת מסחר,דירוג,שם מדרג,מטבע פעילות,"מח""מ",מועד פדיון,שיעור ריבית,תשואה לפדיון,סכום לקבל (במטבע הפעילות),ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)","עלות מופחתת (באלפי ש""ח)",השיטה שיושמה בדוח הכספי,שיעור מערך נקוב מונפק,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
162,2102,מדינת ישראל,ממשל שקלית 1026,IL0010994569,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,1.02,2026-10-30 00:00:00,0.0625,0.0387,0,123538.429,1,108.22,133.693,ריק במקור,שווי הוגן,8e-06,6.565407893201078e-05,1.9593797422731828e-06
162,2102,מדינת ישראל,ממשל שקלית 0142,IL0011254005,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,11.17,2042-01-31 00:00:00,0.055,0.0434,0,106050157.187,1,117,124078.68,ריק במקור,שווי הוגן,0.003422,0.06093267000141897,0.0018184740565324788
162,2102,מדינת ישראל,ממשל שקלית 0327,IL0011393449,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,1.47,2027-03-31 00:00:00,0.02,0.0396,0,242003.135,1,98.22,237.695,ריק במקור,שווי הוגן,9e-06,0.00011672747482474251,3.483613710812265e-06
162,2102,מדינת ישראל,ממשל שקלית 0347,IL0011401937,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,14.44,2047-03-31 00:00:00,0.0375,0.0449,0,254156950.556,1,91.85,233443.151,ריק במקור,שווי הוגן,0.009684,0.11463947298580562,0.003421299402674932
162,2102,מדינת ישראל,ממשל משתנה 0526,IL0011417958,לא צמוד למדד המחירים לצרכן ריבית משתנה,ישראל,ישראל,TASE,RF,אחר,ILS,0.65,2026-05-31 00:00:00,0.0417,0.0437,0,5070847.1,1,100.25,5083.524,ריק במקור,שווי הוגן,0.000239,0.0024964215474914254,7.45031822530689e-05
162,2102,מדינת ישראל,ממשל שקלית 0928,IL0011508798,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,2.92,2028-09-28 00:00:00,0.0225,0.0393,0,83006365.454,1,95.37,79163.171,ריק במקור,שווי הוגן,0.002391,0.038875521361195174,0.0011602007105196823
162,2102,מדינת ישראל,ממשל שקלית 0330,IL0011609851,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,4.39,2030-03-31 00:00:00,0.01,0.0393,0,128048190.377,1,88.66,113527.526,ריק במקור,שווי הוגן,0.003392,0.05575119978577715,0.0016638383059306922
162,2102,מדינת ישראל,ממשל שקלית 0537,IL0011661803,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,10.55,2037-05-31 00:00:00,0.015,0.0421,0,328737097.288,1,75.94,249642.949,ריק במקור,שווי הוגן,0.008223,0.1225948843878583,0.0036587206291424177
162,2102,מדינת ישראל,ממשל משתנה 1130,IL0011665523,לא צמוד למדד המחירים לצרכן ריבית משתנה,ישראל,ישראל,TASE,RF,אחר,ILS,4.65,2030-11-29 00:00:00,0.0417,0.0452,0,18896951.969,1,98.78,18666.409,ריק במקור,שווי הוגן,0.000566,0.009166716954987893,0.0002735714185154482
162,2102,מדינת ישראל,ממשל שקלית 0226,IL0011746976,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,0.4,2026-02-27 00:00:00,0.005,0.0409,0,2421739.463,1,98.89,2394.858,ריק במקור,שווי הוגן,9.8e-05,0.0011760690250271703,3.509859342539153e-05
162,2102,מדינת ישראל,ממשל שקלית 0432,IL0011806606,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,6.28,2032-04-30 00:00:00,0.013,0.0402,0,358507123.988,1,85.09,305053.723,ריק במקור,שווי הוגן,0.009269,0.14980605722323345,0.004470810626967865
162,2102,מדינת ישראל,ממשל שקלית 1152,IL0011840761,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,17.25,2052-11-29 00:00:00,0.028,0.0461,0,473383316.644,1,74.63,353285.95,ריק במקור,שווי הוגן,0.016823,0.173491982728119,0.00517769317510817
162,2102,מדינת ישראל,ממשל שקלית 0229,IL0011948028,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,3.2,2029-02-28 00:00:00,0.0375,0.0391,0,110975772.447,1,101.7,112862.361,ריק במקור,שווי הוגן,0.003168,0.055424549958091256,0.0016540897714055554
162,2102,מדינת ישראל,ממשל שקלית 0335,IL0012023326,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,7.92,2035-03-30 00:00:00,0.04,0.041,0,230569355.168,1,101.25,233451.472,ריק במקור,שווי הוגן,0.006482,0.114643559269985,0.003421421353703299
162,2102,מדינת ישראל,ממשל שקלית 0927,IL0012035791,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,1.96,2027-09-30 00:00:00,0.0375,0.0397,0,80524670.215,1,99.62,80218.676,ריק במקור,שווי הוגן,0.002221,0.03939385970787849,0.001175669995484999
162,2102,מדינת ישראל,ממשל שקלית 0829,IL0012128935,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,3.66,2029-08-31 00:00:00,0.046,0.0394,0,20918215.456,1,102.76,21495.559,ריק במקור,שווי הוגן,0.001075,0.010556058486784608,0.0003150349147183323
162,2102,מדינת ישראל,ממשל שקלית 1035,IL0012277849,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,8.41,2035-10-31 00:00:00,0.0415,0.0414,0,10141694.2,1,100.47,10189.36,ריק במקור,שווי הוגן,0.004957,0.0050038000920517405,0.00014933336502830123
162,2102,מדינת ישראל,ISRAEL 4.5 2120,US46513JB593,"נקוב במט""ח",ישראל,ישראל,אחר,Baa1,Moodys,USD,16.19,2120-04-03 00:00:00,0.045,0.0619,0,4744171.48,3.306,74.9625,11757.292,ריק במקור,שווי הוגן,0.004744,0.005773781551724464,0.00017231268479868468
162,2102,מדינת ישראל,ISRAEL 5.75 2054,US46514BRM18,"נקוב במט""ח",ישראל,ישראל,אחר,Baa1,Moodys,USD,13.92,2054-03-12 00:00:00,0.0575,0.0614,0,10561638.262,3.306,95.1125,33210.219,ריק במקור,שווי הוגן,0.003521,0.0163089042775266,0.0004867227928541954
162,2102,מדינת ישראל,ISRAEL 5.625 02/35,US46514Y8B63,"נקוב במט""ח",ישראל,ישראל,אחר,Baa1,Moodys,USD,7.41,2035-02-19 00:00:00,0.05625,0.0515,0,11323822.629,3.306,104.14963,38990.034,ריק במקור,שווי הוגן,0.00453,0.019147261036836512,0.000571430686499238
162,2102,מדינת ישראל,ISRAEL 3.8 05/60,XS2167193015,"נקוב במט""ח",ישראל,ישראל,אחר,Baa1,Moodys,USD,15.75,2060-05-13 00:00:00,0.038,0.0616,0,2151829.843,3.306,67.84011,4826.111,ריק במקור,שווי הוגן,0.00043,0.002370010939455659,7.073058520163189e-05
162,2102,מדינת ישראל,ISRAEL 6.5 11/06/31,XS2715285230,"נקוב במט""ח",ישראל,ישראל,אחר,Baa1,Moodys,USD,5.06,2031-11-06 00:00:00,0.065,0.0474,0,1247437.59,3.306,111.831,4611.943,ריק במקור,שווי הוגן,0.000832,0.0022648371249948357,6.759177882700373e-05
162,2112,מדינת ישראל,ממשל צמודה 0536,IL0010977085,צמוד למדד המחירים לצרכן בריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,8.96,2036-05-30 00:00:00,0.04,0.0194,0,120.549,1,170.85,0.206,ריק במקור,שווי הוגן,0,1.4198511498357821e-06,8.069313070480822e-08
162,2112,מדינת ישראל,ממשל שקלית 1026,IL0010994569,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,1.02,2026-10-30 00:00:00,0.0625,0.0387,0,4099.013,1,108.22,4.436,ריק במקור,שווי הוגן,0,3.0575047090638495e-05,1.7376443097404334e-06
162,2112,מדינת ישראל,ממשל צמודה 0841,IL0011205833,צמוד למדד המחירים לצרכן בריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,13.23,2041-08-30 00:00:00,0.0275,0.0202,0,118009.056,1,139.93,165.13,ריק במקור,שווי הוגן,6e-06,0.0011381554387008869,6.468377025866496e-05
162,2112,מדינת ישראל,ממשל שקלית 0142,IL0011254005,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,11.17,2042-01-31 00:00:00,0.055,0.0434,0,4998048.776,1,117,5847.717,ריק במקור,שווי הוגן,0.000161,0.0403052801279818,0.002290633942746257
162,2112,מדינת ישראל,ממשל צמודה 0545,IL0011348658,צמוד למדד המחירים לצרכן בריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,17.67,2045-05-31 00:00:00,0.01,0.0207,0,205349.827,1,99.57,204.467,ריק במקור,שווי הוגן,9e-06,0.0014092849759877325,8.009263279524283e-05
162,2112,מדינת ישראל,ממשל צמודה 1025,IL0011359127,צמוד למדד המחירים לצרכן בריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,0.08,2025-10-31 00:00:00,0.0075,0.0956,0,6036.275,1,119.27,7.199,ריק במקור,שווי הוגן,1e-06,4.961897294984367e-05,2.8199507181743417e-06
162,2112,מדינת ישראל,ממשל שקלית 0327,IL0011393449,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,1.47,2027-03-31 00:00:00,0.02,0.0396,0,12859.85,1,98.22,12.631,ריק במקור,שווי הוגן,0,8.705893142512508e-05,4.947742397730256e-06
