מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,זירת מסחר,ענף מסחר,בעל עניין/צד קשור,דירוג,שם מדרג,דירוג נייר הערך/המנפיק,מטבע פעילות,"מח""מ",מועד פדיון,שיעור ריבית,תשואה לפדיון,נחיתות חוזית,האם סווג כחוב בעייתי,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,סכום לקבל (במטבע הפעילות),"שווי הוגן (באלפי ש""ח)","עלות מופחתת (באלפי ש""ח)",עלות מופחתת (במטבע הפעילות),השיטה שיושמה בדוח הכספי,שיעור מערך נקוב מונפק,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
162,2102,"אמות השקעות בע""מ",520026683,ח.פ.,אמות אגח ד,IL0011331498,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",לא,Aa2.il,מידרוג Moodys,נייר ערך,ILS,1.71,2028-07-02 00:00:00,0.032,0.0283,החוב לא נחות,ריק במקור,1984429.66,1,120.07,0,2382.705,ריק במקור,ריק במקור,שווי הוגן,0.004792,0.0008647264561127525,3.4920481317743065e-05
162,2102,"איירפורט סיטי בע""מ",511659401,ח.פ.,ארפורט אגח ה,IL0011334872,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",לא,ilAA,S&P מעלות,נייר ערך,ILS,1.76,2029-02-28 00:00:00,0.0234,0.0297,החוב לא נחות,ריק במקור,11061293.989,1,118.73,0,13133.059,ריק במקור,ריק במקור,שווי הוגן,0.006786,0.004766223081325505,0.00019247567007007473
162,2102,"הראל ביטוח מימון והנפקות בע""מ",513834200,ח.פ.,הראל הנפק אגח ט,IL0011340309,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,ביטוח,לא,Aa3.il,מידרוג Moodys,נייר ערך,ILS,0.24,2025-12-31 00:00:00,0.024,0.0593,החוב לא נחות,ריק במקור,3117029.479,1,118.37,0,3689.628,ריק במקור,ריק במקור,שווי הוגן,0.010559,0.0013390322951495812,5.4074501729514026e-05
162,2102,"קרסו מוטורס בע""מ",514065283,ח.פ.,קרסו מוט' אגח א,IL0011364648,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,מסחר,לא,ilAA-,S&P מעלות,נייר ערך,ILS,0.66,2026-09-01 00:00:00,0.0275,0.0498,החוב לא נחות,ריק במקור,773063.454,1,98.85,0,764.173,ריק במקור,ריק במקור,שווי הוגן,0.008515,0.00027733211209404876,1.1199577358516338e-05
162,2102,"ריט 1 בע""מ",513821488,ח.פ.,ריט 1 אגח ה,IL0011367534,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",לא,ilAA,S&P מעלות,נייר ערך,ILS,1.67,2028-09-20 00:00:00,0.04,0.0289,החוב לא נחות,ריק במקור,12551515.488,1,121.74,0,15280.215,ריק במקור,ריק במקור,שווי הוגן,0.017386,0.005545464573075946,0.00022394398905386834
162,2102,"ריט 1 בע""מ",513821488,ח.פ.,ריט 1 אגח ו,IL0011385445,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",לא,ilAA,S&P מעלות,נייר ערך,ILS,3.04,2031-09-21 00:00:00,0.035,0.0286,החוב לא נחות,ריק במקור,8438231.067,1,123.08,0,10385.775,ריק במקור,ריק במקור,שווי הוגן,0.011432,0.003769184355484385,0.00015221198673683186
162,2102,"קבוצת עזריאלי בע""מ",510960719,ח.פ.,עזריאלי אגח ד,IL0011386500,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",לא,Aa1.il,מידרוג Moodys,נייר ערך,ILS,2.42,2030-07-05 00:00:00,0.0134,0.0284,החוב לא נחות,ריק במקור,19931974.261,1,116.33,0,23186.865,ריק במקור,ריק במקור,שווי הוגן,0.009024,0.008414929922006634,0.00033982238088623253
162,2102,"מגה אור החזקות בע""מ",513257873,ח.פ.,מגה אור אגח ו,IL0011386682,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",לא,ilA+,S&P מעלות,נייר ערך,ILS,0.73,2026-06-30 00:00:00,0.0205,0.0371,החוב לא נחות,ריק במקור,2377122.189,1,119.4,0,2838.284,ריק במקור,ריק במקור,שווי הוגן,0.019274,0.001030064260897395,4.159736240804005e-05
162,2102,"ביג מרכזי קניות בע""מ",513623314,ח.פ.,ביג אגח ח,IL0011389249,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",לא,Aa2.il,מידרוג Moodys,נייר ערך,ILS,0.52,2026-04-12 00:00:00,0.0134,0.0517,החוב לא נחות,ריק במקור,3471142.257,1,118.28,0,4105.667,ריק במקור,ריק במקור,שווי הוגן,0.007694,0.0014900203234932887,6.0171891933904634e-05
162,2102,"סלע קפיטל נדל""ן בע""מ",513992529,ח.פ.,סלע נדלן אגח ג,IL0011389736,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",לא,Aa3.il,מידרוג Moodys,נייר ערך,ILS,1.95,2029-04-13 00:00:00,0.0196,0.0299,החוב לא נחות,ריק במקור,6367378.411,1,118.11,0,7520.511,ריק במקור,ריק במקור,שווי הוגן,0.005561,0.0027293285678197565,0.00011021921046683548
162,2102,"סלקום ישראל בע""מ",511930125,ח.פ.,סלקום אגח יא,IL0011392524,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,בהשאלה,TASE,תקשורת ומדיה,לא,ilAA-,S&P מעלות,נייר ערך,ILS,0.74,2026-07-05 00:00:00,0.0355,0.0503,החוב לא נחות,ריק במקור,32912.186,1,99.83,0,32.856,ריק במקור,ריק במקור,שווי הוגן,0.000232,1.1924032745153344e-05,4.815314250718264e-07
162,2102,"סלקום ישראל בע""מ",511930125,ח.פ.,סלקום אגח יא,IL0011392524,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,תקשורת ומדיה,לא,ilAA-,S&P מעלות,נייר ערך,ILS,0.74,2026-07-05 00:00:00,0.0355,0.0503,החוב לא נחות,ריק במקור,865418.295,1,99.83,0,863.947,ריק במקור,ריק במקור,שווי הוגן,0.006089,0.00031354188939849634,1.2661846545426382e-05
162,2102,"גירון פיתוח ובניה בע""מ",520044520,ח.פ.,גירון אגח ו,IL0011398497,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",לא,A1.il,מידרוג Moodys,נייר ערך,ILS,0.24,2025-12-31 00:00:00,0.025,0.0652,החוב לא נחות,ריק במקור,4267327.87,1,119.7,0,5107.992,ריק במקור,ריק במקור,שווי הוגן,0.013998,0.001853782075419446,7.486178071023523e-05
162,2102,"קבוצת אשטרום בע""מ",510381601,ח.פ.,אשטרום קב אגח ג,IL0011401028,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,בנייה,לא,ilA,S&P מעלות,נייר ערך,ILS,1.7,2029-01-15 00:00:00,0.043,0.0508,החוב לא נחות,ריק במקור,2591268.595,1,99.73,0,2584.272,ריק במקור,ריק במקור,שווי הוגן,0.003668,0.0009378787420983358,3.787460978004684e-05
162,2102,"רבוע כחול נדל""ן בע""מ",513765859,ח.פ.,רבוע נדלן אגח ו,IL0011406076,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",לא,ilAA-,S&P מעלות,נייר ערך,ILS,0.65,2026-11-30 00:00:00,0.0215,0.0354,החוב לא נחות,ריק במקור,15501417.732,1,120.13,0,18621.853,ריק במקור,ריק במקור,שווי הוגן,0.011065,0.006758205044662528,0.0002729184140664739
162,2102,"ביג מרכזי קניות בע""מ",513623314,ח.פ.,ביג אגח ט,IL0011410508,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",לא,Aa3.il,מידרוג Moodys,נייר ערך,ILS,0.7,2026-12-20 00:00:00,0.0195,0.0419,החוב לא נחות,ריק במקור,5365645.041,1,118.54,0,6360.436,ריק במקור,ריק במקור,שווי הוגן,0.015934,0.0023083165064965955,9.321736703062293e-05
162,2102,"מגה אור החזקות בע""מ",513257873,ח.פ.,מגה אור אגח ז,IL0011416968,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",לא,ilA+,S&P מעלות,נייר ערך,ILS,1.39,2027-08-30 00:00:00,0.0205,0.03,החוב לא נחות,ריק במקור,2801969.459,1,118.88,0,3330.981,ריק במקור,ריק במקור,שווי הוגן,0.005565,0.001208872854805321,4.8818238002714195e-05
162,2102,"קרסו מוטורס בע""מ",514065283,ח.פ.,קרסו מוט' אגח ג,IL0011418295,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,מסחר,לא,ilAA-,S&P מעלות,נייר ערך,ILS,1.39,2027-09-01 00:00:00,0.023,0.0478,החוב לא נחות,ריק במקור,1920518.268,1,96.94,0,1861.75,ריק במקור,ריק במקור,שווי הוגן,0.00233,0.0006756625262749342,2.7285461730809376e-05
