מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,מאפיין עיקרי,שם שותף כללי קרן השקעות,מספר מזהה שותף כללי קרן השקעות,סוג מספר מזהה שותף כללי קרן השקעות,שם קרן השקעה,מספר מזהה קרן השקעה,סוג מספר מזהה קרן השקעות,מטבע פעילות,תאריך העמדת התחייבות לקרן השקעה,סכום המחויבות הראשוני (במטבע הדיווח של קרן ההשקעה),"סכום המחויבות הראשוני (באלפי ש""ח)",יתרת המחויבות לתקופת הדיווח (במטבע הדיווח של קרן ההשקעה),"יתרת המחויבות לתקופת הדיווח (באלפי ש""ח)",שיעור יתרת המחויבות,תאריך פקיעת מחויבות להשקעה
162,2102,התחייבות להשקעה,Audax,ריק במקור,ריק במקור,EC- 2,7084,פנימי,USD,2017-06-30 00:00:00,2047.39856,6768.69963936,30.77291,101.73524046,0.015030248922320234,2026-10-31 00:00:00
162,2102,התחייבות להשקעה,Audax,ריק במקור,ריק במקור,EC-3,8157,פנימי,USD,2017-06-30 00:00:00,2559.248,8460.873888,132.39328,437.69218368,0.051731321075565946,2026-10-31 00:00:00
162,2102,התחייבות להשקעה - קרן בפירוק,Audax,ריק במקור,ריק במקור,EC-4,8158,פנימי,USD,2017-06-30 00:00:00,2559.248,8460.873888,197.0385,651.409281,0.0769907801041556,NR
162,2102,התחייבות להשקעה,Audax,ריק במקור,ריק במקור,EC-5,8317,פנימי,USD,2017-06-30 00:00:00,1881.0472800000002,6218.7423076800005,291.14088,962.51174928,0.15477595012922798,2026-10-31 00:00:00
162,2102,התחייבות להשקעה,Audax,ריק במקור,ריק במקור,ADLS II,8548,פנימי,USD,2021-03-09 00:00:00,13397.873806661446,44293.37080482274,5919.352448753235,19569.379195578196,0.44181282300256647,2029-07-02 00:00:00
162,2102,התחייבות להשקעה,CD&R Associates XII L.P,ריק במקור,ריק במקור,CDR XII,9471,פנימי,USD,2023-02-01 00:00:00,20872.293,69003.80065800001,13444.46424584796,44447.398796773356,0.6441297199999999,2033-03-31 00:00:00
162,2102,התחייבות להשקעה - קרן בהנזלה,ANATOMY,ריק במקור,ריק במקור,ANATOMY I,554,פנימי,ILS,2012-01-01 00:00:00,4833.33298,4833.33298,316.31225,316.31225,0.06544391857727956,NR
162,2102,התחייבות להשקעה,TENE,ריק במקור,ריק במקור,TENE IV,5973,פנימי,USD,2017-09-01 00:00:00,8284.59727569936,27388.878593462086,2055.428274234343,6795.2458746187385,0.24810237671581087,2027-09-01 00:00:00
162,2102,התחייבות להשקעה,Court Square,ריק במקור,ריק במקור,Court Square IV,6476,פנימי,USD,2018-08-06 00:00:00,18898.25108366936,62477.618082610905,896.3238319898719,2963.2465885585166,0.04742893022330605,2028-08-06 00:00:00
162,2102,התחייבות להשקעה,TPG Asia,ריק במקור,ריק במקור,TPG Asia VII,6550,פנימי,USD,2017-09-07 00:00:00,18453.19155,61006.2512643,2721.56514,8997.49435284,0.14748479321995658,2027-09-07 00:00:00
162,2102,התחייבות להשקעה,stage one,ריק במקור,ריק במקור,Ramon Space,8419,פנימי,USD,2021-03-24 00:00:00,793.312,2622.689472,28.428669999999997,93.98518302,0.03583542162478318,2030-03-24 00:00:00
162,2102,התחייבות להשקעה,stage one,ריק במקור,ריק במקור,StageOne IV,8981,פנימי,USD,2021-12-30 00:00:00,2488.202998622748,8225.999113446805,1367.1889547243757,4519.926684318786,0.5494684137432244,2033-12-30 00:00:00
162,2102,התחייבות להשקעה,Sky,ריק במקור,ריק במקור,SKY 4,8987,פנימי,USD,2022-01-20 00:00:00,8294.009415272352,27419.995126890397,5428.605838319536,17946.970901484387,0.6545213016425393,2032-01-20 00:00:00
162,2102,התחייבות להשקעה,HarbourVest,ריק במקור,ריק במקור,HarbourVest B,6217,פנימי,USD,2016-06-28 00:00:00,37438.965910788,123773.22130106513,5458.522864073079,18045.8765886256,0.14579790684069646,2026-06-28 00:00:00
162,2102,התחייבות להשקעה,Arclight Energy Partners,ריק במקור,ריק במקור,Arclight VII,7183,פנימי,USD,2019-04-01 00:00:00,23539.117329999997,77820.32189297999,3209.53772,10610.73170232,0.13634911092904606,2029-04-01 00:00:00
162,2102,התחייבות להשקעה,ArcLight Fund VII AIV L.P,ריק במקור,ריק במקור,ArcLight AIV,9386,פנימי,USD,2022-12-01 00:00:00,1484.3216699999998,4907.167441019999,808.9150999999999,2674.2733206,0.5449729100835671,2029-04-01 00:00:00
162,2102,התחייבות להשקעה,Monarch Alternative Capital GP VI LP,ריק במקור,ריק במקור,MCP VI,9667,פנימי,USD,2023-02-02 00:00:00,19320.27445605348,63872.82735171281,3091.243914421347,10219.652381076974,0.1600000000751951,2029-07-13 00:00:00
162,2102,התחייבות להשקעה - קרן בהנזלה,TENE,ריק במקור,ריק במקור,Tene Growth III,3356,פנימי,USD,2013-11-25 00:00:00,7500,24795,825.89575,2730.4113495,0.11011943333333334,NR
162,2102,התחייבות להשקעה - קרן בהנזלה,Victoria South American,ריק במקור,ריק במקור,VICTORIA II,555,פנימי,USD,2012-03-01 00:00:00,2500,8265,93.95916,310.62898296,0.037583663999999996,NR
162,2102,התחייבות להשקעה - צמיתה,Homerun GP Limited Partnership,ריק במקור,ריק במקור,Manor Evergreen,9911,פנימי,ILS,2023-01-05 00:00:00,27804.612885421662,27804.612885421662,10712.37627011907,10712.37627011907,0.38527334706162064,NR
162,2102,התחייבות להשקעה,Sky,ריק במקור,ריק במקור,Sky III,5382,פנימי,USD,2017-01-01 00:00:00,6330.7429173,20929.4360845938,754.0221344290227,2492.797176422349,0.11910484192439862,2027-12-31 00:00:00
162,2102,התחייבות להשקעה,Audax,ריק במקור,ריק במקור,ADLS,6562,פנימי,USD,2017-06-30 00:00:00,15158.056537323515,50112.534912391544,828.3571391115603,2738.5487019028183,0.05464797792988208,2026-10-31 00:00:00
162,2102,התחייבות להשקעה,Monarch,ריק במקור,ריק במקור,MCP V,8032,פנימי,USD,2020-06-30 00:00:00,20573.100166173408,68014.66914936929,6393.231428209011,21136.02310165899,0.3107568318128765,2026-06-30 00:00:00
162,2102,התחייבות להשקעה,Monarch,ריק במקור,ריק במקור,MORE I,8733,פנימי,USD,2021-08-04 00:00:00,21862.717269999997,72278.14329462,4372.54337,14455.62838122,0.19999999615784267,2027-09-30 00:00:00
162,2102,התחייבות להשקעה,Audax,ריק במקור,ריק במקור,EC-6,8542,פנימי,USD,2021-06-10 00:00:00,1919.4361499999998,6345.655911899999,119.90603999999999,396.40936824,0.062469408008179905,2026-10-31 00:00:00
162,2102,התחייבות להשקעה,Fortissimo,ריק במקור,ריק במקור,Fortissimo VI,9290,פנימי,USD,2022-10-19 00:00:00,9954.007221349671,32907.94787378202,5624.012354880733,18592.984845235704,0.5649998266846916,2032-03-24 00:00:00
162,2102,התחייבות להשקעה - קרן בהנזלה,Evergreen,ריק במקור,ריק במקור,Evergreen V,499,פנימי,USD,2007-04-01 00:00:00,4000,13224,200,661.2,0.05,NR
162,2102,התחייבות להשקעה - קרן בהנזלה,Fimi,ריק במקור,ריק במקור,Fimi Israel Opp,527,פנימי,USD,2005-09-01 00:00:00,4000,13224,453.1152000000001,1497.9988512000002,0.11327880000000001,NR
162,2102,התחייבות להשקעה - קרן בהנזלה,Fimi,ריק במקור,ריק במקור,Fimi Israel Opp,538,פנימי,USD,2007-10-01 00:00:00,3000,9918,520.7028300000001,1721.4435559800002,0.17356761,NR
162,2102,התחייבות להשקעה,Fortissimo,ריק במקור,ריק במקור,Fortissimo V,7411,פנימי,USD,2019-04-01 00:00:00,10274.083452652645,33966.119894469644,2627.146319619742,8685.345732662867,0.2557061495292258,2029-04-01 00:00:00
162,2102,התחייבות להשקעה,Francisco Partners,ריק במקור,ריק במקור,Francisco VI,8192,פנימי,USD,2020-10-01 00:00:00,27829.724000000002,92005.067544,681.8240663243724,2254.1103632683753,0.024499850099999998,2030-09-30 00:00:00
162,2102,התחייבות להשקעה,CD&R Capital Partners,ריק במקור,ריק במקור,CD&R XI,8647,פנימי,USD,2019-12-11 00:00:00,27829.724000000002,92005.067544,4238.182784756345,14011.432286404479,0.15228978859999995,2029-12-11 00:00:00
162,2102,התחייבות להשקעה - קרן בהנזלה,KOTAK,ריק במקור,ריק במקור,KOTAK- CIIF I,2663,פנימי,USD,2013-04-14 00:00:00,2500.00005,8265.0001653,314.17749999999995,1038.670815,0.12567099748658003,NR
162,2102,התחייבות להשקעה - קרן בהנזלה,Fortissimo,ריק במקור,ריק במקור,FORTISSIMO III,2101,פנימי,USD,2012-06-21 00:00:00,3000,9918,383.96270000000004,1269.3806862000001,0.1279875666666667,NR
162,2102,התחייבות להשקעה,Francisco Partners,ריק במקור,ריק במקור,Francisco VII,9054,פנימי,USD,2021-11-15 00:00:00,20872.293,69003.80065800001,13441.753071352909,44438.43565389272,0.6439998265333333,2032-04-28 00:00:00
162,2102,התחייבות להשקעה,Court Sqaure Capital Partners,ריק במקור,ריק במקור,Court Square V,9886,פנימי,USD,2023-06-19 00:00:00,16697.8344,55203.0405264,16697.831617027598,55203.031325893244,0.9999998333333332,2028-06-29 00:00:00
162,2102,התחייבות להשקעה - קרן בהנזלה,Gavea Investment Fund,ריק במקור,ריק במקור,Gavea III,540,פנימי,USD,2008-07-01 00:00:00,5000,16530,200,661.2,0.04,NR
