מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,זירת מסחר,נכס בסיס (כתב אופציה),ענף מסחר,תאריך פקיעה,בעל עניין/צד קשור,מטבע פעילות,שער מימוש,יחס המרה,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
162,2102,"מניבים קרן הריט החדשה בע""מ",515327120,ח.פ.,מניבים ריט אפ 4,IL0011993222,ISIN,ישראל,ישראל,סחיר,TASE,IL0011405730,"נדל""ן מניב בישראל",2025-12-07 00:00:00,לא,ILS,175.13,1,2822189.688,1,43.8,1236.119,0.10806693595123888,1.81163301566947e-05
162,2102,"אלומיי קפיטל בע""מ",520039868,ח.פ.,אלומיי אפ 2,IL0012030826,ISIN,ישראל,ישראל,סחיר,TASE,IL0010826357,אנרגיה מתחדשת,2028-01-05 00:00:00,לא,ILS,8000,1,15634.302,1,646.6,101.091,0.008837817897990962,1.4815708939595813e-06
162,2102,"אלוני חץ נכסים והשקעות בע""מ",520038506,ח.פ.,אלוני חץ אפ 16,IL0012084047,ISIN,ישראל,ישראל,סחיר,TASE,IL0003900136,"נדל""ן מניב בישראל",2025-12-31 00:00:00,לא,ILS,3192,1,219256.211,1,944.9,2071.752,0.18112163205229517,3.0363211984277043e-05
162,2102,"אפי נכסים בע""מ",510560188,ח.פ.,אפי נכס אופ 3,IL0012137191,ISIN,ישראל,ישראל,סחיר,TASE,IL0010913544,"נדל""ן מניב בחו""ל",2025-11-20 00:00:00,לא,ILS,17000,1,77696.394,1,3900,3030.159,0.2649097688613071,4.440944672097092e-05
162,2102,"ביג מרכזי קניות בע""מ",513623314,ח.פ.,ביג אפ 7,IL0012143454,ISIN,ישראל,ישראל,סחיר,TASE,IL0010972607,"נדל""ן מניב בישראל",2026-06-01 00:00:00,לא,ILS,57284.8,1,22497.022,1,12600,2834.625,0.2478153303369502,4.154373678458199e-05
162,2102,"אמות השקעות בע""מ",520026683,ח.פ.,אמות אפ 12,IL0012250366,ISIN,ישראל,ישראל,סחיר,TASE,IL0010972789,"נדל""ן מניב בישראל",2026-12-31 00:00:00,לא,ILS,2768.75,1,282459.197,1,169.8,479.616,0.04193013096084551,7.0291628916255505e-06
162,2102,נאוויטס פטרוליום  שותפות מוגבלת,550263107,מספר שותפות,נאוויטס פט אפ 6,IL0012288242,ISIN,ישראל,ישראל,סחיר,TASE,IL0011419699,חיפושי נפט וגז,2026-08-31 00:00:00,לא,ILS,12000,1,42692.807,1,1609,686.927,0.06005416639674391,1.0067474349595646e-05
162,2102,"ווישור גלובלטק בע""מ",515559169,ח.פ.,ווישור אפ 1,IL0012292517,ISIN,ישראל,ישראל,סחיר,TASE,IL0011732281,ביטוח,2028-10-01 00:00:00,לא,ILS,1325,1,243685.166,1,162.1,395.014,0.03453385364826742,5.789251714856417e-06
162,2102,AIRSHIP AI HOLDINGS INC,254900B47YHDWK85HP13,LEI,AISPW,US0089401162,ISIN,"חו""ל","ארה""ב",סחיר,NASDAQ,US0089401089,Software,2028-12-31 00:00:00,לא,USD,11.5,1,109246.79,3.306,167,603.154,0.052730363894360935,8.839712842639774e-06
162,2142,"מניבים קרן הריט החדשה בע""מ",515327120,ח.פ.,מניבים ריט אפ 4,IL0011993222,ISIN,ישראל,ישראל,סחיר,TASE,IL0011405730,"נדל""ן מניב בישראל",2025-12-07 00:00:00,לא,ILS,175.13,1,615856.916,1,43.8,269.745,0.10806680034213445,2.364558540782759e-05
162,2142,"אלומיי קפיטל בע""מ",520039868,ח.פ.,אלומיי אפ 2,IL0012030826,ISIN,ישראל,ישראל,סחיר,TASE,IL0010826357,אנרגיה מתחדשת,2028-01-05 00:00:00,לא,ILS,8000,1,3411.71,1,646.6,22.06,0.008837804650864652,1.9337582312801966e-06
162,2142,"אלוני חץ נכסים והשקעות בע""מ",520038506,ח.פ.,אלוני חץ אפ 16,IL0012084047,ISIN,ישראל,ישראל,סחיר,TASE,IL0003900136,"נדל""ן מניב בישראל",2025-12-31 00:00:00,לא,ILS,3192,1,47845.988,1,944.9,452.097,0.18112171211432262,3.9630385090076294e-05
162,2142,"אפי נכסים בע""מ",510560188,ח.פ.,אפי נכס אופ 3,IL0012137191,ISIN,ישראל,ישראל,סחיר,TASE,IL0010913544,"נדל""ן מניב בחו""ל",2025-11-20 00:00:00,לא,ILS,17000,1,16954.871,1,3900,661.24,0.2649097890905595,5.796365788085753e-05
162,2142,"ביג מרכזי קניות בע""מ",513623314,ח.פ.,ביג אפ 7,IL0012143454,ISIN,ישראל,ישראל,סחיר,TASE,IL0010972607,"נדל""ן מניב בישראל",2026-06-01 00:00:00,לא,ILS,57284.8,1,4909.29,1,12600,618.57,0.2478150871661536,5.422324701373487e-05
162,2142,"אמות השקעות בע""מ",520026683,ח.פ.,אמות אפ 12,IL0012250366,ISIN,ישראל,ישראל,סחיר,TASE,IL0010972789,"נדל""ן מניב בישראל",2026-12-31 00:00:00,לא,ILS,2768.75,1,61638.114,1,169.8,104.662,0.04193029512097898,9.174569537726561e-06
162,2142,נאוויטס פטרוליום  שותפות מוגבלת,550263107,מספר שותפות,נאוויטס פט אפ 6,IL0012288242,ISIN,ישראל,ישראל,סחיר,TASE,IL0011419699,חיפושי נפט וגז,2026-08-31 00:00:00,לא,ILS,12000,1,9316.404,1,1609,149.901,0.06005420466769095,1.3140176456352347e-05
162,2142,"ווישור גלובלטק בע""מ",515559169,ח.פ.,ווישור אפ 1,IL0012292517,ISIN,ישראל,ישראל,סחיר,TASE,IL0011732281,ביטוח,2028-10-01 00:00:00,לא,ILS,1325,1,53176.863,1,162.1,86.2,0.034533942017431235,7.556208501194603e-06
162,2142,AIRSHIP AI HOLDINGS INC,254900B47YHDWK85HP13,LEI,AISPW,US0089401162,ISIN,"חו""ל","ארה""ב",סחיר,NASDAQ,US0089401089,Software,2028-12-31 00:00:00,לא,USD,11.5,1,23839.784,3.306,167,131.62,0.05273036482986426,1.153768170449227e-05
162,2144,"מניבים קרן הריט החדשה בע""מ",515327120,ח.פ.,מניבים ריט אפ 4,IL0011993222,ISIN,ישראל,ישראל,סחיר,TASE,IL0011405730,"נדל""ן מניב בישראל",2025-12-07 00:00:00,לא,ILS,175.13,1,524.656,1,43.8,0.23,0.1081843838193791,7.093252548720348e-07
162,2144,"אלומיי קפיטל בע""מ",520039868,ח.פ.,אלומיי אפ 2,IL0012030826,ISIN,ישראל,ישראל,סחיר,TASE,IL0010826357,אנרגיה מתחדשת,2028-01-05 00:00:00,לא,ILS,8000,1,2.906,1,646.6,0.019,0.008936970837253056,5.859643409812461e-08
162,2144,"אלוני חץ נכסים והשקעות בע""מ",520038506,ח.פ.,אלוני חץ אפ 16,IL0012084047,ISIN,ישראל,ישראל,סחיר,TASE,IL0003900136,"נדל""ן מניב בישראל",2025-12-31 00:00:00,לא,ILS,3192,1,40.761,1,944.9,0.385,0.18109125117591718,1.1873487961988408e-06
162,2144,"אפי נכסים בע""מ",510560188,ח.פ.,אפי נכס אופ 3,IL0012137191,ISIN,ישראל,ישראל,סחיר,TASE,IL0010913544,"נדל""ן מניב בחו""ל",2025-11-20 00:00:00,לא,ILS,17000,1,14.444,1,3900,0.563,0.26481655691439315,1.73630486301285e-06
162,2144,"ביג מרכזי קניות בע""מ",513623314,ח.פ.,ביג אפ 7,IL0012143454,ISIN,ישראל,ישראל,סחיר,TASE,IL0010972607,"נדל""ן מניב בישראל",2026-06-01 00:00:00,לא,ILS,57284.8,1,4.182,1,12600,0.527,0.2478833490122295,1.6252800405111405e-06
162,2144,"אמות השקעות בע""מ",520026683,ח.פ.,אמות אפ 12,IL0012250366,ISIN,ישראל,ישראל,סחיר,TASE,IL0010972789,"נדל""ן מניב בישראל",2026-12-31 00:00:00,לא,ILS,2768.75,1,52.51,1,169.8,0.089,0.041862652869237994,2.7447803340700475e-07
