מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,ענף מסחר,בעל עניין/צד קשור,תאריך רכישה,דירוג,שם מדרג,דירוג נייר הערך/המנפיק,מטבע פעילות,"מח""מ",מועד פדיון,תשואה לפדיון,שיעור ריבית,נחיתות חוזית,האם סווג כחוב בעייתי,סוג גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,תאריך אחרון בו נבחנה בפועל ירידת ערך,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)","עלות מופחתת (באלפי ש""ח)",עלות מופחתת (במטבע הפעילות),השיטה שיושמה בדוח הכספי,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
162,2102,"נתיבים אגרות חוב בע""מ",513502229,ח.פ.,נתיבים אגח א,IL0010902810,ISIN,"צמוד למט""ח",ישראל,ישראל,לא סחיר,"אג""ח מובנות",לא,2004-05-11 00:00:00,Aa1.il,מידרוג Moodys,נייר ערך,USD,0.99,2027-07-05 00:00:00,0.0458,0.0797,החוב לא נחות,ריק במקור,חברת ציטוט,אי-תלות,2025-09-30 00:00:00,ריק במקור,4340.685,3.306,105.33,15.115,ריק במקור,ריק במקור,שווי הוגן,0.013605632002534798,2.2152262874241103e-07
162,2102,CROSSLINX TRANSIT SOLUTIONS,549300N3TR1FPECQEH46,LEI,CRSLNX 4.555 06/51,CA22766TAB04,ISIN,"צמוד למט""ח","חו""ל",קנדה,לא סחיר,Marine Transportation,לא,2015-07-21 00:00:00,Baa3,Moodys,נייר ערך,CAD,14.19,2051-06-30 00:00:00,0.0613,0.04555,החוב לא נחות,ריק במקור,חברת ציטוט,אי-תלות,2025-09-30 00:00:00,ריק במקור,297260.93,2.3745,80.69,569.547,ריק במקור,ריק במקור,שווי הוגן,0.5126726358020303,8.347174901247368e-06
162,2102,Transed Partners General Partners,549300VSBVN6J3P7AF23,LEI,TRANSED PARTNERS 3.951 09/50 12/37,CA89366TAA57,ISIN,"צמוד למט""ח","חו""ל",קנדה,לא סחיר,Marine Transportation,לא,2016-02-08 00:00:00,BBB,DBRS,נייר ערך,CAD,9.66,2050-09-30 00:00:00,0.0502,0.03951,החוב לא נחות,ריק במקור,חברת ציטוט,אי-תלות,2025-09-30 00:00:00,ריק במקור,241987.185,2.3745,91.59,526.275,ריק במקור,ריק במקור,שווי הוגן,0.47372173219543506,7.712988517460294e-06
162,2144,"נתיבים אגרות חוב בע""מ",513502229,ח.פ.,נתיבים אגח א,IL0010902810,ISIN,"צמוד למט""ח",ישראל,ישראל,לא סחיר,"אג""ח מובנות",לא,2004-05-11 00:00:00,Aa1.il,מידרוג Moodys,נייר ערך,USD,0.99,2027-07-05 00:00:00,0.0458,0.0797,החוב לא נחות,ריק במקור,חברת ציטוט,אי-תלות,2025-09-30 00:00:00,ריק במקור,856.608,3.306,105.33,2.983,ריק במקור,ריק במקור,שווי הוגן,0.0008664856816363712,9.199640153405565e-06
162,2144,"מקורות חברת מים בע""מ",520010869,ח.פ.,מקורות אג סדרה 6 ל.ס 4.9%,IL0011009086,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,שירותים,לא,2006-12-25 00:00:00,ilAAA,S&P מעלות,נייר ערך,ILS,4.98,2036-12-25 00:00:00,0.0272,0.049,החוב לא נחות,ריק במקור,חברת ציטוט,אי-תלות,2025-09-30 00:00:00,ריק במקור,322995.481,1,164.64,531.78,ריק במקור,ריק במקור,שווי הוגן,0.15446857384531995,0.0016400216697210898
162,2144,"אלון חברת הדלק לישראל בע""מ",520041690,ח.פ.,אלון  חברה לדלק ל.ס,IL0011015679,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,השקעה ואחזקות,לא,2007-01-22 00:00:00,NR,NR,NR,ILS,0,2026-06-30 00:00:00,0,0.0535,החוב לא נחות,ריק במקור,גורם תלוי/פנימי,קיימת תלות,2025-09-30 00:00:00,ריק במקור,80271.445,1,0,0,ריק במקור,ריק במקור,שווי הוגן,0.0,0.0
162,2144,"נתיבי הגז הטבעי לישראל בע""מ",513436394,ח.פ.,נתיבי גז  סדרה א ל.ס 5.6%,IL0011030843,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,שירותים,לא,2007-01-02 00:00:00,Aaa.il,מידרוג Moodys,נייר ערך,ILS,0.58,2026-12-29 00:00:00,0.0283,0.056,החוב לא נחות,ריק במקור,חברת ציטוט,אי-תלות,2025-09-30 00:00:00,ריק במקור,30929.285,1,147.67,45.673,ריק במקור,ריק במקור,שווי הוגן,0.013266845637739853,0.00014085657550334975
162,2144,"מקורות חברת מים בע""מ",520010869,ח.פ.,מקורות אגח 8 רמ,IL0011243461,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,שירותים,לא,2011-07-14 00:00:00,ilAAA,S&P מעלות,נייר ערך,ILS,9.45,2048-07-14 00:00:00,0.0277,0.041,החוב לא נחות,ריק במקור,חברת ציטוט,אי-תלות,2025-09-30 00:00:00,ריק במקור,680376.934,1,139.55,949.466,ריק במקור,ריק במקור,שווי הוגן,0.27579574059690204,0.0029281748367057884
162,2144,"מת""ם מרכז תעשיות מדע חיפה בע""מ",510687403,ח.פ.,מתמ אגח א'  רמ,IL0011389991,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,"נדל""ן מניב בישראל",לא,2016-08-16 00:00:00,Aa2.il,מידרוג Moodys,נייר ערך,ILS,1.22,2027-06-30 00:00:00,0.0464,0.031,החוב לא נחות,ריק במקור,חברת ציטוט,אי-תלות,2025-09-30 00:00:00,ריק במקור,151171.094,1,98.25,148.526,ריק במקור,ריק במקור,שווי הוגן,0.04314302794191206,0.0004580575774135819
162,2144,"רפאל מערכות לחימה מתקדמות בע""מ",520042185,ח.פ.,רפאל אגח ג רצף מוסדי,IL0011402760,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,ביטחוניות,לא,2017-03-01 00:00:00,Aaa.il,מידרוג Moodys,נייר ערך,ILS,4.65,2034-09-15 00:00:00,0.0245,0.0214,החוב לא נחות,ריק במקור,חברת ציטוט,אי-תלות,2025-09-30 00:00:00,ריק במקור,189848.418,1,118.75,225.445,ריק במקור,ריק במקור,שווי הוגן,0.06548604240580345,0.0006952775308027212
