מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,בעל עניין/צד קשור,נכס בסיס,תאריך רכישה,דירוג,שם מדרג,דירוג נייר הערך/המנפיק,מטבע פעילות,"מח""מ",שיעור ריבית,תשואה לפדיון,סוג גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
162,2102,ICG,B264034,"מספר תאגיד או שותפות בחו""ל",EUROPEAN CREDIT 2022 ONE SARL ICG SDP 5A,10220,פנימי,שכבת חוב (TRANCHE) בדרוג BB+ ומטה,"חו""ל",אירופה,לא,אחר,2024-07-19 00:00:00,NR,NR,NR,GBP,2.4,0.05,0.0897,דיווח מנהל הקרן,אי-תלות,2025-09-30 00:00:00,2090914.408,4.4409,100.686,9349.218,1.0,0.0001370204001353534
162,2144,"בנק לאומי לישראל בע""מ",520018078,ח.פ.,CLN מניבים  בנק לאומי   סדרה 7,11021,פנימי,שכבת חוב (TRANCHE) בדרוג BB+ ומטה,ישראל,ישראל,לא,"ריבית ואג""ח",2025-09-14 00:00:00,NR,NR,NR,ILS,3.64,0.04179,0.043,חברת ציטוט,אי-תלות,2025-09-30 00:00:00,1107759.975,1,100.73,1115.847,0.26875361428038463,0.003441297642057371
162,2144,"מימון ישיר הנפקות(סדרה 16) בע""מ",516100120,ח.פ.,"מימון ישיר אג""ח 16  רצף מוסדיים",IL0011983405,ISIN,שכבת חוב (TRANCHE) בדרוג AA- ומעלה,ישראל,ישראל,לא,"ריבית ואג""ח",2023-07-25 00:00:00,Aa2.il,מידרוג Moodys,נייר ערך,ILS,1.34,0.0425,0.0358,חברת ציטוט,אי-תלות,2025-09-30 00:00:00,80690.858,1,108.68,87.695,0.02112148726870111,0.00027045338359131776
162,2144,"בנק לאומי לישראל בע""מ",520018078,ח.פ.,לאומי אגח א  רצף מוסדיים,IL0011986390,ISIN,שכבת חוב (TRANCHE) בדרוג BB+ ומטה,ישראל,ישראל,לא,"ריבית ואג""ח",2023-08-03 00:00:00,NR,NR,NR,ILS,1.19,0.068,0.061,חברת ציטוט,אי-תלות,2025-09-30 00:00:00,29504.681,1,100.51,29.655,0.00714245629686221,9.145669753578345e-05
162,2144,"בנק לאומי לישראל בע""מ",520018078,ח.פ.,לאומי אגח 2 רצף מוסדיים,IL0012058975,ISIN,שכבת חוב (TRANCHE) בדרוג BB+ ומטה,ישראל,ישראל,לא,"ריבית ואג""ח",2024-01-18 00:00:00,NR,NR,NR,ILS,4.24,0.068,0.0605,חברת ציטוט,אי-תלות,2025-09-30 00:00:00,198175.579,1,101.46,201.069,0.04842780459125907,0.0006201013898776746
162,2144,"בנק הפועלים בע""מ",520000118,ח.פ.,פועלים אגח 1 רמ,IL0012117474,ISIN,שכבת חוב (TRANCHE) בדרוג BB+ ומטה,ישראל,ישראל,לא,"ריבית ואג""ח",2024-09-24 00:00:00,NR,NR,NR,ILS,1.91,0.0675,0.0573,חברת ציטוט,אי-תלות,2025-09-30 00:00:00,212237.943,1,101.09,214.551,0.05167496681666107,0.0006616801859045648
162,2144,"בנק לאומי לישראל בע""מ",520018078,ח.פ.,לאומי אגח 3 רמ,IL0012150293,ISIN,שכבת חוב (TRANCHE) בדרוג BB+ ומטה,ישראל,ישראל,לא,"ריבית ואג""ח",2024-12-20 00:00:00,NR,NR,NR,ILS,3.25,0.0369,0.0364,חברת ציטוט,אי-תלות,2025-09-30 00:00:00,457402.563,1,103.39,472.909,0.11390092277500627,0.0014584621606794743
162,2144,"מימון ישיר נדל""ן ומשכנתאות הנפקות (סדרה 1) בע""מ",517014023,ח.פ.,ממון משהנ אג1רמ,IL0012152687,ISIN,שכבת חוב (TRANCHE) בדרוג AA- ומעלה,ישראל,ישראל,לא,משכנתאות או תיקי משכנתאות,2024-12-24 00:00:00,Aa1.il,מידרוג Moodys,נייר ערך,ILS,10.42,0.05,0.0476,חברת ציטוט,אי-תלות,2025-09-30 00:00:00,16661.885,1,106.71,17.78,0.004282342706397238,5.483392622445556e-05
162,2144,"בנק לאומי לישראל בע""מ",520018078,ח.פ.,לאומי אגח 4  רצף מוסדיים,IL0012219288,ISIN,שכבת חוב (TRANCHE) בדרוג BB+ ומטה,ישראל,ישראל,לא,"ריבית ואג""ח",2025-05-20 00:00:00,NR,NR,NR,ILS,3.34,0.067,0.0649,חברת ציטוט,אי-תלות,2025-09-30 00:00:00,709282.481,1,99.38,704.885,0.16977272995493908,0.002173881444697714
162,2144,"הראל חברה לביטוח בע""מ",520004078,ח.פ.,הראלבט אגח ב רמ,IL0012248154,ISIN,שכבת חוב (TRANCHE) בדרוג BB+ ומטה,ישראל,ישראל,לא,"ריבית ואג""ח",2025-07-02 00:00:00,NR,NR,NR,ILS,3.19,0.0608,0.0586,חברת ציטוט,אי-תלות,2025-09-30 00:00:00,160499.228,1,99.22,159.247,0.0383549060160653,0.0004911213863591606
