מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם הנכס האחר,מספר הנכס האחר,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,בעל עניין/צד קשור,תאריך עסקה,מטבע פעילות,תאריך שערוך אחרון,שווי מטבעי,שער חליפין,"שווי הוגן (באלפי ש""ח)","עלות מופחתת (באלפי ש""ח)",השיטה שיושמה בדוח הכספי,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
162,2102,נייר לצורך שערוך מסגרות,11074,אחר,ישראל,ישראל,לא,,ILS,2025-09-30 00:00:00,8.032,1,8.032,ריק במקור,שווי הוגן,-0.0028020878903892432,1.1771549811836224e-07
162,2102,זכאים רב בריח,10531,חייבים/זכאים עמלת UP FRONT,ישראל,ישראל,לא,,ILS,2025-09-30 00:00:00,-164.009,1,-164.009,ריק במקור,שווי הוגן,0.05721708575882088,-2.403685399762758e-06
162,2102,זכאים רווח נדחה   עמל,10588,אחר,ישראל,ישראל,לא,,ILS,2025-09-30 00:00:00,-1794.413,1,-1794.413,ריק במקור,שווי הוגן,0.6260088318796106,-2.6298583182901487e-05
162,2102,נדלן דאבל יו אילת,170502,חייבים והכנסות שכר דירה לקבל,ישראל,ישראל,לא,,ILS,45930,1761.43,1,1761.43,ריק במקור,שווי הוגן,-0.6145022002948611,2.581519046945055e-05
162,2102,זכאים הלוואות חול בגין עמלת Upfront AUD,7760,חייבים/זכאים עמלת UP FRONT,"חו""ל",ישראל,לא,,AUD,2025-09-30 00:00:00,-0.108,2.1849,-0.236,ריק במקור,שווי הוגן,8.233226371163612e-05,-3.4587721060674164e-09
162,2102,זכאים הלוואות חול בגין עמלת Upfront NOK,8770,חייבים/זכאים עמלת UP FRONT,"חו""ל",ישראל,לא,,NOK,2025-09-30 00:00:00,-2.771,0.3311,-0.918,ריק במקור,שווי הוגן,0.00032025855121729644,-1.34540372600419e-08
162,2102,זכאים הלוואות חול בגין עמלת Upfront USD,7890,חייבים/זכאים עמלת UP FRONT,"חו""ל",ישראל,לא,,USD,2025-09-30 00:00:00,-69.994,3.306,-231.399,ריק במקור,שווי הוגן,0.08072713343478342,-3.3913407058131108e-06
162,2102,זכאים הלוואות חול בגין עמלת Upfront GBP,8295,חייבים/זכאים עמלת UP FRONT,"חו""ל",ישראל,לא,,GBP,2025-09-30 00:00:00,-0.733,4.4409,-3.257,ריק במקור,שווי הוגן,0.001136255012325419,-4.7733986226532104e-08
162,2102,זכאים הלוואות חול בגין עמלת Upfront EUR,8919,חייבים/זכאים עמלת UP FRONT,"חו""ל",ישראל,לא,,EUR,2025-09-30 00:00:00,-1.136,3.8807,-4.409,ריק במקור,שווי הוגן,0.0015381480962059478,-6.461748396462389e-08
162,2102,זכאים FUGEN,10776,אחר,"חו""ל",ישראל,לא,,EUR,2025-09-30 00:00:00,-154.296,3.8807,-598.778,ריק במקור,שווי הוגן,0.20889300085053414,-8.77557900053744e-06
162,2102,זכאים RCE,10631,אחר,"חו""ל",ישראל,לא,,EUR,2025-09-30 00:00:00,-473.749,3.8807,-1838.477,ריק במקור,שווי הוגן,0.641381242338041,-2.69443769713835e-05
162,2142,זכאים רווח נדחה   עמל,10588,אחר,ישראל,ישראל,לא,,ILS,2025-09-30 00:00:00,-7.223,1,-7.223,ריק במקור,שווי הוגן,1.0,-6.331611833425593e-07
162,2144,נייר לצורך שערוך מסגרות,11074,אחר,ישראל,ישראל,לא,,ILS,2025-09-30 00:00:00,-20.032,1,-20.032,ריק במקור,שווי הוגן,0.584858836238358,-6.177914567650696e-05
162,2144,זכאים הלוואות בארץ בגין עמלת up front,7562,חייבים/זכאים עמלת UP FRONT,ישראל,ישראל,לא,,ILS,2025-09-30 00:00:00,-10.547,1,-10.547,ריק במקור,שווי הוגן,0.30793261510612835,-3.25271889701537e-05
162,2144,הפרשה משתנה60 מנגנון חירום ייצוגית,8240,אחר,ישראל,ישראל,לא,,ILS,2025-09-30 00:00:00,-0.531,1,-0.531,ריק במקור,שווי הוגן,0.015503196986949288,-1.6376161319002194e-06
162,2144,זכאים הלוואות חול בגין עמלת Upfront EUR,8919,חייבים/זכאים עמלת UP FRONT,"חו""ל",ישראל,לא,,EUR,2025-09-30 00:00:00,-0.224,3.8807,-0.87,ריק במקור,שווי הוגן,0.025400718227205046,-2.6830998771246532e-06
162,2144,זכאים הלוואות חול בגין עמלת Upfront NOK,8770,חייבים/זכאים עמלת UP FRONT,"חו""ל",ישראל,לא,,NOK,2025-09-30 00:00:00,-0.547,0.3311,-0.181,ריק במקור,שווי הוגן,0.005284517240372544,-5.582081353558186e-07
162,2144,זכאים הלוואות חול בגין עמלת Upfront GBP,8295,חייבים/זכאים עמלת UP FRONT,"חו""ל",ישראל,לא,,GBP,2025-09-30 00:00:00,-0.145,4.4409,-0.643,ריק במקור,שווי הוגן,0.018773174505853845,-1.9830266907944275e-06
162,2144,זכאים הלוואות חול בגין עמלת Upfront USD,7890,חייבים/זכאים עמלת UP FRONT,"חו""ל",ישראל,לא,,USD,2025-09-30 00:00:00,-0.424,3.306,-1.4,ריק במקור,שווי הוגן,0.04087471898630697,-4.317631986177602e-06
162,2144,זכאים הלוואות חול בגין עמלת Upfront AUD,7760,חייבים/זכאים עמלת UP FRONT,"חו""ל",ישראל,לא,,AUD,2025-09-30 00:00:00,-0.021,2.1849,-0.047,ריק במקור,שווי הוגן,0.0013722227088260198,-1.4494907382167666e-07
162,2207,נייר לצורך שערוך מסגרות,11074,אחר,ישראל,ישראל,לא,,ILS,2025-09-30 00:00:00,-53.829,1,-53.829,ריק במקור,שווי הוגן,0.5650982615268328,-1.8122976639208775e-05
162,2207,זכאים הלוואות בארץ בגין עמלת up front,7562,חייבים/זכאים עמלת UP FRONT,ישראל,ישראל,לא,,ILS,2025-09-30 00:00:00,-26.331,1,-26.331,ריק במקור,שווי הוגן,0.2764235323759133,-8.865037394099951e-06
162,2207,הפרשה משתנה60 מנגנון חירום ייצוגית,8240,אחר,ישראל,ישראל,לא,,ILS,2025-09-30 00:00:00,-1.327,1,-1.327,ריק במקור,שווי הוגן,0.013930880994373056,-4.467701424925234e-07
162,2207,זכאים רווח נדחה   עמל,10588,אחר,ישראל,ישראל,לא,,ILS,2025-09-30 00:00:00,-8.579,1,-8.579,ריק במקור,שווי הוגן,0.0900625682371714,-2.8883504539889668e-06
162,2207,זכאים הלוואות חול בגין עמלת Upfront AUD,7760,חייבים/זכאים עמלת UP FRONT,"חו""ל",ישראל,לא,,AUD,2025-09-30 00:00:00,-0.002,2.1849,-0.004,ריק במקור,שווי הוגן,4.1992105484168974e-05,-1.3467072870912538e-09
162,2207,זכאים הלוואות חול בגין עמלת Upfront NOK,8770,חייבים/זכאים עמלת UP FRONT,"חו""ל",ישראל,לא,,NOK,2025-09-30 00:00:00,-0.048,0.3311,-0.016,ריק במקור,שווי הוגן,0.0001679684219366759,-5.386829148365015e-09
162,2207,זכאים הלוואות חול בגין עמלת Upfront EUR,8919,חייבים/זכאים עמלת UP FRONT,"חו""ל",ישראל,לא,,EUR,2025-09-30 00:00:00,-0.02,3.8807,-0.077,ריק במקור,שווי הוגן,0.0008083480305702527,-2.5924115276506634e-08
