Unnamed: 0,Unnamed: 1,ידווח בקבצי נכסי הנוסטרו בלבד,Unnamed: 3,Unnamed: 4
עמודה1,שווי הוגן,עלות מופחתת,השיטה שיושמה בדוח הכספי,שיעור מסך נכסי השקעה
מזומנים ושווי מזומנים,29829793.702000007,ריק במקור,ריק במקור,0.15979249326754913
איגרות חוב ממשלתיות,7687350.099999999,ריק במקור,ריק במקור,0.04117966256726688
ניירות ערך מסחריים,0,ריק במקור,ריק במקור,0
איגרות חוב,9493853.856999999,ריק במקור,ריק במקור,0.05085675729718687
"מניות, מניות בכורה ויחידות השתתפות",29621416.054999974,ריק במקור,ריק במקור,0.15867625411122108
קרנות סל,29886921.246999986,ריק במקור,ריק במקור,0.16009851458774313
קרנות נאמנות,763925.5709999995,ריק במקור,ריק במקור,0.0040922030128804285
כתבי אופציה,24000.766999999974,ריק במקור,ריק במקור,0.0001285675133249874
אופציות,47461.32400000002,ריק במקור,ריק במקור,0.0002542412251154954
חוזים עתידיים,404150.10199999984,ריק במקור,ריק במקור,0.002164954712663143
מוצרים מובנים,0,ריק במקור,ריק במקור,0
לא סחיר איגרות חוב ממשלתיות,0,ריק במקור,ריק במקור,0
לא סחיר איגרות חוב מיועדות,30926797.625000015,ריק במקור,ריק במקור,0.16566893323664958
אפיק השקעה מובטח תשואה,22852673.538149994,ריק במקור,ריק במקור,0.1224173964785246
לא סחיר ניירות ערך מסחריים,0,ריק במקור,ריק במקור,0
לא סחיר איגרות חוב,178181.56999999977,ריק במקור,ריק במקור,0.0009544845535662327
"לא סחיר מניות, מניות בכורה ויחידות השתתפות",2619740.270999997,ריק במקור,ריק במקור,0.014033447022747171
קרנות השקעה,14593246.523241092,ריק במקור,ריק במקור,0.07817322741525831
לא סחיר כתבי אופציה,22631.391999999996,ריק במקור,ריק במקור,0.00012123203364805032
לא סחיר אופציות,0,ריק במקור,ריק במקור,0
לא סחיר נגזרים אחרים,852137.0819999977,ריק במקור,ריק במקור,0.004564735187202589
הלוואות,3239023.704399997,ריק במקור,ריק במקור,0.017350829799539204
לא סחיר מוצרים מובנים,231890.87,ריק במקור,ריק במקור,0.0012421949897962825
פיקדונות מעל 3 חודשים,14322.634,ריק במקור,ריק במקור,7.67236079431928e-05
זכויות מקרקעין,3393777.960000002,ריק במקור,ריק במקור,0.018179818715558103
השקעה בחברות מוחזקות,0,ריק במקור,ריק במקור,0
נכסים אחרים,-4978.960000000001,ריק במקור,ריק במקור,-2.6671335384597504e-05
סך הכל נכסים,186678316.9347911,ריק במקור,ריק במקור,1
מסגרות אשראי,626751.2087848319,ריק במקור,ריק במקור,ריק במקור
יתרות התחייבויות להשקעה,6583371.55,ריק במקור,ריק במקור,ריק במקור
