מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,זירת מסחר,סיווג הקרן,בעל עניין/צד קשור,מטבע פעילות,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,סכום לקבל (במטבע הפעילות),"שווי הוגן (באלפי ש""ח)",שיעור מערך נקוב מונפק,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
162,2102,"מיטב קרנות נאמנות בע""מ",513534974,ח.פ.,תכלית סל תא 125,IL0011437188,ISIN,עוקב אחר מדדי מניות בישראל,ישראל,ישראל,TASE,"125 מניות בארץ - מניות כללי-ת""א",לא,ILS,2297097.373,1.0,3198.0,0.0,73461.174,0.012013,0.010644091852000033,0.0010766333030091735
162,2102,"מיטב קרנות נאמנות בע""מ",513534974,ח.פ.,תכלית סל תלבונד 60,IL0011451015,ISIN,עוקב אחר מדדים אחרים בישראל,ישראל,ישראל,TASE,"60 אג""ח בארץ - חברות והמרה-תל בונד צמוד מדד-תל בונד",לא,ILS,1767885.34,1.0,392.09,0.0,6931.702,0.004675,0.0010043628322451304,0.00010158973527615137
162,2102,"מיטב קרנות נאמנות בע""מ",513534974,ח.פ.,תכלית סל תלבונד שקלי,IL0011451841,ISIN,עוקב אחר מדדים אחרים בישראל,ישראל,ישראל,TASE,"אג""ח בארץ - חברות והמרה-תל בונד שקלי-תל בונד- שקלי",לא,ILS,2202311.975,1.0,421.35,0.0,9279.442,0.008615,0.0013445365436619196,0.00013599777605707812
162,2102,"קסם קרנות נאמנות בע""מ",510938608,ח.פ.,קסם ETF תלבונד 20,IL0011459604,ISIN,עוקב אחר מדדים אחרים בישראל,ישראל,ישראל,TASE,"20 אג""ח בארץ - חברות והמרה-תל בונד צמוד מדד-תל בונד",לא,ILS,61395.388,1.0,3977.99,0.0,2442.302,0.002409,0.0003538751887946058,3.5793923865223155e-05
162,2102,"קסם קרנות נאמנות בע""מ",510938608,ח.פ.,קסם ETF תא 125,IL0011463564,ISIN,עוקב אחר מדדי מניות בישראל,ישראל,ישראל,TASE,"125 מניות בארץ - מניות כללי-ת""א",לא,ILS,236453.525,1.0,31750.0,0.0,75073.994,0.008506,0.010877779979836686,0.0011002704929587823
162,2102,"קסם קרנות נאמנות בע""מ",510938608,ח.פ.,קסם ETF תלבונד שקלי,IL0011464141,ISIN,עוקב אחר מדדים אחרים בישראל,ישראל,ישראל,TASE,"אג""ח בארץ - חברות והמרה-תל בונד שקלי-תל בונד- שקלי",לא,ILS,187184.635,1.0,4185.19,0.0,7834.033,0.005814,0.0011351052846446392,0.00011481413058649002
162,2102,"אי.בי.אי קרנות נאמנות בע""מ",513765339,ח.פ.,איביאי סל תלבונד 60,IL0011480063,ISIN,עוקב אחר מדדים אחרים בישראל,ישראל,ישראל,TASE,"60 אג""ח בארץ - חברות והמרה-תל בונד צמוד מדד-תל בונד",לא,ILS,1604202.068,1.0,392.58,0.0,6297.776,0.005786,0.0009125106849956053,9.229903372483402e-05
162,2102,"אי.בי.אי קרנות נאמנות בע""מ",513765339,ח.פ.,איביאי סל אינדקס בנקים יש,IL0011487746,ISIN,עוקב אחר מדדי מניות בישראל,ישראל,ישראל,TASE,"מניות בארץ - מניות לפי ענפים-ת""א בנקים",לא,ILS,12048521.944,1.0,6734.0,0.0,811347.468,0.055548,0.11755947397845366,0.01189095758748655
162,2102,"הראל קרנות נאמנות בע""מ",511776783,ח.פ.,הראל סל תא 125,IL0011488991,ISIN,עוקב אחר מדדי מניות בישראל,ישראל,ישראל,TASE,"125 מניות בארץ - מניות כללי-ת""א",לא,ILS,2522590.375,1.0,3192.0,0.0,80521.085,0.025105,0.011667031413937138,0.001180102045543574
162,2102,"הראל קרנות נאמנות בע""מ",511776783,ח.פ.,הראל סל תלבונד 60,IL0011504730,ISIN,עוקב אחר מדדים אחרים בישראל,ישראל,ישראל,TASE,"60 אג""ח בארץ - חברות והמרה-תל בונד צמוד מדד-תל בונד",לא,ILS,2924154.383,1.0,390.79,0.0,11427.303,0.014975,0.0016557489641077002,0.00016747642738974792
